gene ID,log2_foldChange,p_value,adjusted p_value,rotein ID,locus tag,Annotation,,
gene-M8001_RS04005,-0.360703321,0.282760335,0.659456772,WP_003247366.1,PP_0746,uracil phosphoribosyltransferase,,
gene-M8001_RS04000,-0.382499692,0.26317137,0.642898647,WP_003247369.1,PP_0745,uracil-xanthine permease family protein,,
gene-M8001_RS03960,-0.086382666,0.770837324,0.933665078,WP_003247385.1,PP_0737,acyloxyacyl hydrolase,,
gene-M8001_RS03875,-0.687896185,0.108964307,0.441440804,WP_003247410.1,PP_0722,ribose-phosphate pyrophosphokinase,,
gene-M8001_RS03865,-0.310302155,0.516213889,0.830846413,WP_003247413.1,PP_0720,aminoacyl-tRNA hydrolase,,
gene-M8001_RS03860,-0.083901115,0.848518852,0.962724804,WP_003247414.1,PP_0719,redox-regulated ATPase YchF,,
gene-M8001_RS03720,-0.459294794,0.22342481,0.596857168,WP_003247452.1,PP_0694,Mks condensin complex protein MksE,,
gene-M8001_RS03705,-0.007041854,0.983960098,1,WP_003247458.1,PP_0691,glutamate 5-kinase,,
gene-M8001_RS03700,-0.002753033,0.994938458,1,WP_003247460.1,PP_0690,Obg family GTPase CgtA,,
gene-M8001_RS03695,0.050793485,0.912495753,0.979086854,WP_003247464.1,PP_0689,50S ribosomal protein L27,,
gene-M8001_RS03690,-0.13016066,0.788280137,0.939740862,WP_003247466.1,PP_0688,50S ribosomal protein L21,,
gene-M8001_RS03670,-0.090706302,0.842675228,0.960737764,WP_003247482.1,PP_0684,FKBP-type peptidyl-prolyl cis-trans isomerase,,
gene-M8001_RS03660,-0.078503134,0.768715548,0.933044366,WP_003247486.1,PP_0682,TIGR00645 family protein,,
gene-M8001_RS03635,-0.350251772,0.295564589,0.671444221,WP_003247495.1,PP_0677,lipoprotein,,
gene-M8001_RS03605,-0.099697507,0.801677131,0.944277939,WP_003247505.1,PP_0671,serine hydroxymethyltransferase,,
gene-M8001_RS03365,0.549242875,0.09593773,0.414971083,WP_003247546.1,PP_0628,DUF1780 domain-containing protein,,
gene-M8001_RS03355,-0.619291504,0.037077168,0.268360953,WP_003247549.1,PP_0626,NAD(P)/FAD-dependent oxidoreductase,,
gene-M8001_RS03310,-0.671337844,0.039490677,0.274833821,WP_003247556.1,PP_0622,outer membrane protein assembly factor BamD,,
gene-M8001_RS03290,-0.401225321,0.402349662,0.760399496,WP_003247565.1,PP_0618,branched-chain amino acid ABC transporter permease,,
gene-M8001_RS03285,-0.216881946,0.622411555,0.879470459,WP_003247567.1,PP_0617,branched-chain amino acid ABC transporter permease,,
gene-M8001_RS03220,0.115129533,0.757385696,0.928903876,WP_003247609.1,PP_0604,signal peptidase II,,
gene-M8001_RS03200,-0.500221844,0.253707393,0.631304329,WP_003247625.1,PP_0600,30S ribosomal protein S20,,
gene-M8001_RS18925,-0.056106268,0.902824918,0.977698456,WP_003247665.1,PP_3614,hypothetical protein,,
gene-M8001_RS18850,0.706820816,0.028602173,0.227856701,WP_003247701.1,PP_3600,MFS transporter,,
gene-M8001_RS18825,0.220316289,0.764608774,0.930656407,WP_003247716.1,PP_3595,ABC transporter permease subunit,,
gene-M8001_RS18820,1.258238616,0.009221804,0.111387432,WP_003247720.1,PP_3594,ABC transporter permease subunit,,
gene-M8001_RS18800,0.280367839,0.411132882,0.767595856,WP_003247729.1,PP_3590,aspartate/tyrosine/aromatic aminotransferase,,
gene-M8001_RS18795,-0.467516419,0.14825021,0.512489242,WP_003247731.1,PP_3589,serine/threonine transporter,,
gene-M8001_RS18745,0.916774793,0.009204401,0.111387432,WP_003247748.1,PP_3579,DUF1345 domain-containing protein,,
gene-M8001_RS18690,0.703489113,0.076024484,0.375303462,WP_003247774.1,PP_3568,hypothetical protein,,
gene-M8001_RS18650,-0.192791591,0.532984003,0.838246946,WP_003247790.1,PP_3560,LysR family transcriptional regulator,,
gene-M8001_RS18545,0.414531303,0.230401252,0.60353099,WP_003247847.1,PP_3539,MerR family DNA-binding transcriptional regulator,,
gene-M8001_RS18500,0.873397445,0.00723195,0.09481486,WP_003247865.1,PP_3530,bifunctional allantoicase/(S)-ureidoglycine aminohydrolase,,
gene-M8001_RS18370,-1.104342181,0.003145838,0.054909246,WP_003247923.1,PP_3504,hypothetical protein,,
gene-M8001_RS15080,-0.516703452,0.104115116,0.433577553,WP_003248033.1,PP_2884,cupin domain-containing protein,,
gene-M8001_RS15150,-0.157938281,0.586141933,0.866181989,WP_003248064.1,PP_2899,hypothetical protein,,
gene-M8001_RS15290,-0.619789509,0.191635396,0.562766844,WP_003248123.1,PP_2928,saccharopine dehydrogenase family protein,,
gene-M8001_RS15295,-0.447360541,0.240843152,0.617555571,WP_003248125.1,PP_2929,carboxynorspermidine decarboxylase,,
gene-M8001_RS15465,0.47632899,0.19722036,0.569505167,WP_003248200.1,PP_2960,AraC family transcriptional regulator,,
gene-M8001_RS16075,0.615327632,0.050445024,0.310829003,WP_003248318.1,PP_3079,peptidylprolyl isomerase,,
gene-M8001_RS16170,-0.986392962,0.003082768,0.054161217,WP_003248350.1,PP_3096,type VI secretion system baseplate subunit TssG,,
gene-M8001_RS16180,-1.012273208,0.005797443,0.082653162,WP_003248355.1,PP_3098,type VI secretion system baseplate subunit TssE,,
gene-M8001_RS16185,-0.820964074,0.043716054,0.288747304,WP_003248356.1,PP_3099,type VI secretion system contractile sheath large subunit,,
gene-M8001_RS16200,-0.064948321,0.915774364,0.980197999,WP_003248365.1,PP_5563,hypothetical protein,,
gene-M8001_RS16230,-0.318961264,0.497143042,0.82247698,WP_003248379.1,PP_5568,hypothetical protein,,
gene-M8001_RS04630,-0.546983143,0.241040721,0.617555571,WP_003248481.1,PP_0872,peptide chain release factor 3,,
gene-M8001_RS04595,0.227969448,0.668313219,0.898805262,WP_003248496.1,PP_0865,sigma-70 family RNA polymerase sigma factor,,
gene-M8001_RS04590,-0.554875021,0.120177393,0.460537914,WP_003248498.1,PP_0864,type III PLP-dependent enzyme,,
gene-M8001_RS04580,-0.051929481,1,1,WP_003248502.1,PP_0862,Fe2+-dependent dioxygenase,,
gene-M8001_RS04560,0.011745282,0.980875319,1,WP_003248511.1,PP_0858,pyridoxal phosphate-dependent aminotransferase,,
gene-M8001_RS04545,-0.027010827,0.939086028,0.988313334,WP_003248514.1,PP_0855,tetratricopeptide repeat protein,,
gene-M8001_RS04540,-0.149549136,0.673645425,0.900379566,WP_003248516.1,PP_0854,histidine--tRNA ligase,,
gene-M8001_RS04515,-0.221171981,0.590277638,0.866648485,WP_003248526.1,PP_0849,nucleoside-diphosphate kinase,,
gene-M8001_RS04510,0.526169953,0.076002811,0.375303462,WP_003248529.1,PP_0848,Fe-S cluster assembly protein IscX,,
gene-M8001_RS04505,0.557908128,0.06735143,0.357154229,WP_003248531.1,PP_0847,ISC system 2Fe-2S type ferredoxin,,
gene-M8001_RS04490,0.374136485,0.270506455,0.649164552,WP_003248536.1,PP_0844,iron-sulfur cluster assembly protein IscA,,
gene-M8001_RS04485,0.326594984,0.351141715,0.72164532,WP_003248539.1,PP_0843,Fe-S cluster assembly scaffold IscU,,
gene-M8001_RS04480,0.076099909,0.834019631,0.957571132,WP_003248541.1,PP_0842,IscS subfamily cysteine desulfurase,,
gene-M8001_RS04475,-0.014739926,0.96671146,0.996443155,WP_003248542.1,PP_0841,Fe-S cluster assembly transcriptional regulator IscR,,
gene-M8001_RS04460,-0.595261995,0.114053187,0.450076931,WP_003248548.1,PP_0838,inositol-phosphate phosphatase,,
gene-M8001_RS04440,-0.14300107,0.713038316,0.913254957,WP_003248556.1,PP_0834,preprotein translocase subunit YajC,,
gene-M8001_RS04435,-0.377586929,0.383554187,0.747455575,WP_003248558.1,PP_0833,tRNA guanosine(34) transglycosylase Tgt,,
gene-M8001_RS04410,0.757053013,0.015650283,0.156143738,WP_003248566.1,PP_0829,putative addiction module antidote protein,,
gene-M8001_RS04360,0.235573306,0.417466047,0.772550654,WP_003248588.1,PP_0820,GNAT family N-acetyltransferase,,
gene-M8001_RS04355,0.020691998,1,1,WP_003248590.1,PP_0819,YkgJ family cysteine cluster protein,,
gene-M8001_RS04340,0.94260282,0.029479315,0.234129479,WP_003248596.1,PP_0816,heme o synthase,,
gene-M8001_RS04335,0.967327656,0.042534007,0.285273069,WP_003248599.1,PP_0815,cytochrome o ubiquinol oxidase subunit IV,,
gene-M8001_RS04320,0.165345115,0.718042389,0.91523255,WP_003248605.1,PP_0812,ubiquinol oxidase subunit II,,
gene-M8001_RS04315,-0.203149031,0.49488581,0.821346741,WP_003248609.1,PP_0809,disulfide bond formation protein B,,
gene-M8001_RS10900,-0.188718581,0.601045499,0.872423555,WP_003248638.1,PP_2082,phosphoenolpyruvate synthase,,
gene-M8001_RS10955,-1.865770473,1.5023E-05,0.000861429,WP_003248677.1,PP_2093,ANTAR domain-containing protein,,
gene-M8001_RS10970,0.574701794,0.18278544,0.553063048,WP_003248687.1,PP_5502,ribosome modulation factor,,
gene-M8001_RS10990,-0.294150477,0.444748288,0.788214572,WP_003248695.1,PP_2099,YggL family protein,,
gene-M8001_RS11075,-0.344681062,0.216901859,0.589783168,WP_003248727.1,PP_2116,sulfurtransferase TusA,,
gene-M8001_RS11105,0.287095195,0.345491969,0.716300815,WP_003248738.1,PP_2121,YgdI/YgdR family lipoprotein,,
gene-M8001_RS11115,-0.064079311,0.826926482,0.955285914,WP_003248742.1,PP_2123,molybdopterin molybdotransferase MoeA,,
gene-M8001_RS11160,-0.413015224,0.351677047,0.721784039,WP_003248759.1,PP_2131,ATP-binding cassette domain-containing protein,,
gene-M8001_RS11190,-0.119428223,0.680604739,0.90458368,WP_003248769.1,PP_2138,DUF1653 domain-containing protein,,
gene-M8001_RS11195,-0.292354909,0.411120737,0.767595856,WP_003248770.1,PP_2139,type I DNA topoisomerase,,
gene-M8001_RS11205,0.049408842,0.874958249,0.968811458,WP_003248777.1,PP_2141,hypothetical protein,,
gene-M8001_RS11260,-0.013794513,0.9512324,0.991516313,WP_003248799.1,PP_2152,glycerophosphodiester phosphodiesterase,,
gene-M8001_RS11305,0.630950597,0.070429734,0.363144617,WP_003248815.1,PP_2161,DUF4404 family protein,,
gene-M8001_RS11420,-0.409972267,0.219228864,0.592099489,WP_003248857.1,PP_2182,ProQ/FinO family protein,,
gene-M8001_RS11460,-0.170861137,0.57769205,0.86218905,WP_003248880.1,PP_2190,hypothetical protein,,
gene-M8001_RS27165,0.430979416,0.320412145,0.697210413,WP_003248957.1,PP_5172,sulfur starvation response protein OscA,,
gene-M8001_RS27145,0.162918903,0.584891355,0.865805132,WP_003248965.1,PP_5168,sulfate ABC transporter ATP-binding protein,,
gene-M8001_RS27080,-0.054538885,0.882299007,0.971306584,WP_003248995.1,PP_5155,phosphoglycerate dehydrogenase,,
gene-M8001_RS27055,0.000380825,0.994402027,1,WP_003249004.1,PP_5150,ribose-5-phosphate isomerase RpiA,,
gene-M8001_RS27035,-0.215618331,0.481967394,0.812308095,WP_003249017.1,PP_5146,RNA pyrophosphohydrolase,,
gene-M8001_RS27030,-0.112533536,0.755107466,0.928840491,WP_003249020.1,PP_5145,phosphoenolpyruvate--protein phosphotransferase,,
gene-M8001_RS27020,-0.272768996,0.345065855,0.716300815,WP_003249024.1,PP_5143,sulfite exporter TauE/SafE family protein,,
gene-M8001_RS26920,-0.292352935,0.330775529,0.705586608,WP_003249063.1,PP_5124,YfhL family 4Fe-4S dicluster ferredoxin,,
gene-M8001_RS26840,-0.097495733,0.787085555,0.939449638,WP_003249083.1,PP_5108,RNA polymerase sigma factor RpoH,,
gene-M8001_RS26820,-0.266818911,0.461830277,0.800258812,WP_003249091.1,PP_5104,thiazole synthase,,
gene-M8001_RS26810,0.120070188,0.665252582,0.897927888,WP_003249095.1,PP_5102,DUF3392 family protein,,
gene-M8001_RS26780,-0.044362599,0.88083071,0.970271194,WP_003249110.1,PP_5096,YggT family protein,,
gene-M8001_RS26750,-0.322469383,0.306223956,0.681798696,WP_003249122.1,PP_5090,SPOR domain-containing protein,,
gene-M8001_RS26735,-0.030336784,0.943209478,0.988610666,WP_003249127.1,PP_5087,50S ribosomal protein L31,,
gene-M8001_RS26675,0.532923734,0.271976886,0.650401188,WP_003249156.1,PP_5075,FAD-dependent oxidoreductase,,
gene-M8001_RS26615,-0.015320343,0.954212693,0.993395487,WP_003249182.1,PP_5063,betaine-aldehyde dehydrogenase,,
gene-M8001_RS26590,-0.514232898,0.074180716,0.372479195,WP_003249191.1,PP_5059,divergent polysaccharide deacetylase family protein,,
gene-M8001_RS26565,-0.581317036,0.075557345,0.375303462,WP_003249204.1,PP_5054,glutaredoxin 3,,
gene-M8001_RS26560,-0.393209945,0.279833667,0.657137896,WP_003249206.1,PP_5053,protein-export chaperone SecB,,
gene-M8001_RS26530,-1.26269009,0.00705937,0.093649481,WP_003249219.1,PP_5046,type I glutamate--ammonia ligase,,
gene-M8001_RS26525,-0.723732666,0.136527368,0.489750971,WP_003249221.1,PP_5045,tRNA 4-thiouridine(8) synthase ThiI,,
gene-M8001_RS26490,-0.096696466,0.795028647,0.942189298,WP_003249234.1,PP_5038,outer membrane protein assembly factor BamE,,
gene-M8001_RS26435,0.06174243,0.823026301,0.954202323,WP_003249262.1,PP_5027,D-aminoacyl-tRNA deacylase,,
gene-M8001_RS26375,-0.131990232,0.64006932,0.887037703,WP_003249283.1,PP_5015,phosphoribosyl-ATP diphosphatase,,
gene-M8001_RS26370,-0.200194477,0.496054106,0.821708,WP_003249284.1,PP_5014,phosphoribosyl-AMP cyclohydrolase,,
gene-M8001_RS26305,0.796197916,0.011169311,0.125644814,WP_003249308.1,PP_5001,ATP-dependent protease ATPase subunit HslU,,
gene-M8001_RS26300,0.705589018,0.017836267,0.1688303,WP_003249309.1,PP_5000,ATP-dependent protease subunit HslV,,
gene-M8001_RS26290,-0.065520418,0.829413063,0.956014438,WP_003249311.1,PP_4998,aspartate carbamoyltransferase catalytic subunit,,
gene-M8001_RS26285,-0.148162385,0.601233251,0.872423555,WP_003249313.1,PP_4997,bifunctional pyr operon transcriptional regulator/uracil phosphoribosyltransferase PyrR,,
gene-M8001_RS26275,0.025491018,0.931376823,0.985811476,WP_003249318.1,PP_4995,YqgE/AlgH family protein,,
gene-M8001_RS26255,0.527108964,0.085333829,0.394744612,WP_003249327.1,PP_4991,twitching motility response regulator PilH,,
gene-M8001_RS26235,0.240777666,0.572624606,0.860345203,WP_003249336.1,PP_4987,chemotaxis protein CheW,,
gene-M8001_RS26205,0.02873132,0.930260778,0.985185084,WP_003249350.1,PP_4981,YceI family protein,,
gene-M8001_RS26135,-0.168477217,0.703442691,0.909005439,WP_003249375.1,PP_4967,methionine adenosyltransferase,,
gene-M8001_RS26130,-0.428176224,0.279866136,0.657137896,WP_003249377.1,PP_4966,metalloregulator ArsR/SmtB family transcription factor,,
gene-M8001_RS26055,-0.322469445,0.271086538,0.649164552,WP_003249408.1,PP_4951,multidrug transporter subunit MdtD,,
gene-M8001_RS26015,-0.35448454,0.338443819,0.711835108,WP_003249431.1,PP_4944,carbamoyltransferase,,
gene-M8001_RS25995,-0.263864946,0.50320532,0.824732344,WP_003249439.1,PP_4940,glycosyltransferase,,
gene-M8001_RS25980,-0.681108373,0.034188666,0.255216681,WP_003249444.1,PP_4937,hypothetical protein,,
gene-M8001_RS25965,-0.236807332,0.511788655,0.829690903,WP_003249449.1,PP_4934,bifunctional D-glycero-beta-D-manno-heptose-7-phosphate kinase/D-glycero-beta-D-manno-heptose 1-phosphate adenylyltransferase HldE,,
gene-M8001_RS25895,-0.214296317,0.46516446,0.802870764,WP_003249476.1,PP_4920,RsiV family protein,,
gene-M8001_RS25885,0.075085429,0.787705244,0.939449638,WP_003249480.1,PP_4918,DUF1249 domain-containing protein,,
gene-M8001_RS25875,-0.200892901,0.513597715,0.830209031,WP_003249484.1,PP_4916,esterase,,
gene-M8001_RS25820,0.908270518,0.016806203,0.163001424,WP_003249507.1,PP_4905,flagellar motor stator protein MotA,,
gene-M8001_RS25810,-0.1727,0.628836147,0.882951847,WP_003249512.1,PP_4903,small ribosomal subunit biogenesis GTPase RsgA,,
gene-M8001_RS25805,0.006394163,0.997228668,1,WP_003249514.1,PP_4902,oligoribonuclease,,
gene-M8001_RS25800,0.216154872,0.474303909,0.808647752,WP_003249516.1,PP_4901,trimeric intracellular cation channel family protein,,
gene-M8001_RS25790,0.035062109,0.905748244,0.977698456,WP_003249520.1,PP_4899,NAD(P)H-hydrate dehydratase,,
gene-M8001_RS25785,0.105483985,0.717070005,0.9151904,WP_003249523.1,PP_4898,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE,,
gene-M8001_RS25765,0.385470338,0.248425994,0.62683116,WP_003249532.1,PP_4894,RNA chaperone Hfq,,
gene-M8001_RS25760,0.203601965,0.568505033,0.859047393,WP_003249534.1,PP_4893,GTPase HflX,,
gene-M8001_RS25750,-0.123603175,0.731152614,0.919979344,WP_003249538.1,PP_4891,protease modulator HflC,,
gene-M8001_RS25740,0.280600814,0.529724945,0.836340321,WP_003249542.1,PP_4889,adenylosuccinate synthase,,
gene-M8001_RS25695,-0.37749092,0.240372465,0.617555571,WP_003249550.1,PP_4881,extracellular solute-binding protein,,
gene-M8001_RS25665,-0.282270334,0.536362707,0.841612207,WP_003249557.1,PP_4877,30S ribosomal protein S6,,
gene-M8001_RS25660,-0.147009487,0.758675539,0.929288488,WP_003249563.1,PP_4876,30S ribosomal protein S18,,
gene-M8001_RS25655,0.183694061,0.701487328,0.90856854,WP_003249565.1,PP_4875,hypothetical protein,,
gene-M8001_RS25650,0.342198807,0.476506581,0.809378691,WP_003249568.1,PP_4874,50S ribosomal protein L9,,
gene-M8001_RS25630,-2.329088352,2.10127E-10,3.91587E-08,WP_003249580.1,PP_4870,azurin,,
gene-M8001_RS25615,-0.308152514,0.387062043,0.749143079,WP_003249588.1,PP_4867,branched-chain amino acid ABC transporter substrate-binding protein,,
gene-M8001_RS25610,-0.562555131,0.069965554,0.3628133,WP_003249590.1,PP_4866,branched-chain amino acid ABC transporter permease,,
gene-M8001_RS25590,0.040869401,0.903143987,0.977698456,WP_003249597.1,PP_4862,SDR family oxidoreductase,,
gene-M8001_RS25575,-0.192275901,0.558010531,0.855499212,WP_003249603.1,PP_4859,TetR family transcriptional regulator,,
gene-M8001_RS25555,1.053194826,0.052425634,0.314185266,WP_003249613.1,PP_4855,osmotically-inducible lipoprotein OsmE,,
gene-M8001_RS25485,-1.844914656,6.96765E-05,0.002885493,WP_003249642.1,PP_4841,urea ABC transporter substrate-binding protein,,
gene-M8001_RS25460,-0.227257862,0.461965946,0.800258812,WP_003249653.1,PP_4836,copper chaperone PCu(A)C,,
gene-M8001_RS25420,-0.234915241,0.542985416,0.845974888,WP_003249670.1,PP_4828,precorrin-8X methylmutase,,
gene-M8001_RS25375,-0.568978027,0.161817276,0.532886796,WP_003249687.1,PP_4822,bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase,,
gene-M8001_RS25370,-0.569963925,0.06518046,0.352447298,WP_003249693.1,PP_4821,DNA-binding transcriptional regulator Fis,,
gene-M8001_RS25305,-0.152973538,0.688836324,0.904693667,WP_003249722.1,PP_4808,23S rRNA (pseudouridine(1915)-N(3))-methyltransferase RlmH,,
gene-M8001_RS25265,-0.113030115,0.75606795,0.928840491,WP_003249742.1,PP_4800,lipoyl synthase,,
gene-M8001_RS25250,0.240303619,0.760200635,0.929840594,WP_003249747.1,PP_4797,ribosome alternative rescue factor ArfA,,
gene-M8001_RS25245,-0.126898272,0.698825799,0.908498475,WP_003249749.1,PP_4796,DNA polymerase III subunit delta,,
gene-M8001_RS25210,-0.035186584,0.916998513,0.980197999,WP_003249762.1,PP_4789,HlyC/CorC family transporter,,
gene-M8001_RS25195,-0.549840585,0.092135834,0.410484383,WP_003249769.1,PP_4786,DUF1820 family protein,,
gene-M8001_RS25150,0.087669562,0.762573771,0.929915853,WP_003249787.1,PP_4777,DUF2788 domain-containing protein,,
gene-M8001_RS25145,0.042440484,0.923958982,0.983320002,WP_003249795.1,PP_4776,Lrp/AsnC family transcriptional regulator,,
gene-M8001_RS25060,-0.018833831,0.940235921,0.988374504,WP_003249853.1,PP_4761,HAD family hydrolase,,
gene-M8001_RS24935,-0.042754097,0.871394307,0.968132601,WP_003249898.1,PP_5707,DUF3077 domain-containing protein,,
gene-M8001_RS24910,1.60100901,5.64143E-05,0.002494659,WP_003249907.1,PP_4736,FMN-dependent L-lactate dehydrogenase LldD,,
gene-M8001_RS24895,-0.117011367,0.683227917,0.904672871,WP_003249914.1,PP_4733,SsrA-binding protein SmpB,,
gene-M8001_RS24880,0.184720907,0.578350753,0.862567348,WP_003249922.1,PP_4730,ferric iron uptake transcriptional regulator,,
gene-M8001_RS24855,0.236866457,0.496025631,0.821708,WP_003249933.1,PP_4725,4-hydroxy-tetrahydrodipicolinate reductase,,
gene-M8001_RS24840,0.220835631,0.522005581,0.834210627,WP_003249939.1,PP_4722,transcription elongation factor GreA,,
gene-M8001_RS24830,-0.112898266,0.727499108,0.919257,WP_003249945.1,PP_4720,ribosome assembly RNA-binding protein YhbY,,
gene-M8001_RS24825,0.446513016,0.125941819,0.473068918,WP_003249947.1,PP_4719,23S rRNA (uridine(2552)-2'-O)-methyltransferase RlmE,,
gene-M8001_RS24805,-0.673916395,0.11220113,0.446033533,WP_003249956.1,PP_4715,triose-phosphate isomerase,,
gene-M8001_RS24780,-0.114832109,0.812900586,0.948115864,WP_003249963.1,PP_4713,transcription termination factor NusA,,
gene-M8001_RS24775,0.51795458,0.284531577,0.660447405,WP_003249965.1,PP_4712,translation initiation factor IF-2,,
gene-M8001_RS24770,0.625013623,0.155993771,0.526301718,WP_003249967.1,PP_4711,30S ribosome-binding factor RbfA,,
gene-M8001_RS24760,0.480142746,0.219012514,0.591985992,WP_003249971.1,PP_4709,30S ribosomal protein S15,,
gene-M8001_RS24750,0.214706159,0.59386834,0.869849291,WP_003249976.1,PP_4707,BON domain-containing protein,,
gene-M8001_RS24710,0.83286883,0.013011559,0.138277628,WP_003249992.1,PP_4699,3-methyl-2-oxobutanoate hydroxymethyltransferase,,
gene-M8001_RS24685,-0.090150045,0.828907848,0.955854398,WP_003250005.1,PP_5704,hypothetical protein,,
gene-M8001_RS24675,0.199050134,0.50478022,0.826447942,WP_003250009.1,PP_4693,RNA polymerase-binding protein DksA,,
gene-M8001_RS24605,-0.619138365,0.075927018,0.375303462,WP_003250040.1,PP_4679,acetolactate synthase small subunit,,
gene-M8001_RS24600,-0.156855528,0.735273572,0.921961393,WP_003250043.1,PP_4678,ketol-acid reductoisomerase,,
gene-M8001_RS24595,-0.271590791,0.406677159,0.763873799,WP_003250045.1,PP_4677,CDP-diacylglycerol--serine O-phosphatidyltransferase,,
gene-M8001_RS11550,0.560419626,0.13990844,0.495952608,WP_003250077.1,PP_2208,phosphonoacetaldehyde hydrolase,,
gene-M8001_RS11580,0.621507364,0.062580248,0.342693688,WP_003250091.1,PP_2214,SDR family NAD(P)-dependent oxidoreductase,,
gene-M8001_RS11595,0.346554154,0.296206647,0.671444221,WP_003250095.1,PP_2217,enoyl-CoA hydratase,,
