Accession,Peptide count,Unique peptides,Confidence score,Description,Light 1,Light 2,Light 3,Light 4,Light 5,Light Glu nM 1,Light Glu nM 2,Light Glu nM 3,Light Glu nM 4,Light Glu mM 1,Light Glu mM 2,Light Glu mM 3,Light Glu mM 4,Darkness 1,Darkness 2,Darkness 3,Darkness 4,Darkness 5,Darkness 6,Darkness Glu nM 1,Darkness Glu nM 2,Darkness Glu nM 3,Darkness Glu nM 4,Darkness Glu nM 5,Darkness Glu mM 1,Darkness Glu mM 2,Darkness Glu mM 3,Light 1.1,Light 3.1,Light 5.1,Light Glu nM 1.1,Light Glu nM 3.1,Light Glu nM 4.1,Light Glu mM 1.1,Light Glu mM 3.1,Light Glu mM 4.1,Darkness 1.1,Darkness 3.1,Darkness 5.1,Darkness Glu nM 1.1,Darkness Glu nM 3.1,Darkness Glu nM 5.1,Darkness Glu mM 1.1,Darkness Glu mM 2.1,Darkness Glu mM 3.1,Alteromonas_SS120,Light avg,Light G nM avg,Light G mM avg,Darkness avg,Darkness G nM,Darkness G mM,t.test G nM/L,FC G nM/L,t.test G mM/L,FC GmM/L,t.test G nM/O,FC G nM/D,t.test G mM/O,FC G mM/D,Alteromonas_SS120.1,locus_tag_deh24,log2_FC_light_low_glucose,log2_FC_light_high_glucose,log2_FC_dark_low_glucose,log2_FC_dark_high_glucose,t_test_light_low_glucose,t_test_light_high_glucose,t_test_dark_low_glucose,t_test_dark_high_glucose,resolved_locus_tag,resolution_method
A0A359KAH9,2,2,9.52686,30S ribosomal protein S2 (Fragment) OS=Alteromonas sp. OX=232 GN=rpsB PE=3 SV=1,46930.19,2954.523,507.3841,175.4525,10817.47,71061.94,20372.62,44154.2,29917.57,133034.3,946190.4,4326732.0,1264317.0,0.111359,3834.881,5155.793,31883.85,32447.18,57580.26,17167.65,85186.09,2506.263,7305.718,17429.45,469606.4,329288.2,82515.25,8.59e-05,4e-07,9.92e-06,0.000106,5.36e-05,8.83e-06,0.000104,0.000999,0.000783,1.48e-10,1.37e-05,7.91e-05,2.78e-05,4.07e-06,1.75e-05,0.000262,0.000677,0.000187,30S ribosomal protein S2 (Fragment) OS=Alteromonas sp. OX=232 GN=rpsB PE=3 SV=1,3.21e-05,5.61e-05,0.000629,3.09e-05,9.45e-05,0.000299,0.134,1.75,0.091,19.61,0.316,3.06,0.086,9.66,30S ribosomal protein S2 (Fragment) OS=Alteromonas sp. OX=232 GN=rpsB PE=3 SV=1,,0.8073549220576041,4.2935176304174245,1.613531652917927,3.2720231890610485,0.134,0.091,0.316,0.086,,empty
A0A359K9D0,3,3,12.25822,4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin) OS=Alteromonas sp. OX=232 GN=ispG PE=3 SV=1,3979.008,418.3358,7192.88,6092.36,22475.16,253.6905,22680.45,2911.31,12334.33,0.0,322224.5,3004167.0,217849.2,11692.99,20872.0,5111.583,18163.16,2663.431,5143.168,11459.17,31982.6,7611.571,9475.951,8744.171,136142.9,40167.49,1584.432,7.28e-06,5.67e-06,2.06e-05,3.78e-07,3.54e-06,3.64e-06,0.0,0.000693,0.000135,1.56e-05,1.36e-05,6.49e-06,1.85e-05,1.24e-05,8.8e-06,7.59e-05,8.26e-05,3.6e-06,4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin) OS=Alteromonas sp. OX=232 GN=ispG PE=3 SV=1,1.12e-05,2.52e-06,0.000276,1.19e-05,3.24e-05,3.25e-05,0.093,0.23,0.171,24.68,0.202,2.73,0.102,2.73,4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin) OS=Alteromonas sp. OX=232 GN=ispG PE=3 SV=1,,-2.120294233717712,4.625270489374693,1.4489009511451278,1.4489009511451278,0.093,0.171,0.202,0.102,,empty
A0A359KCF1,2,2,7.399272,50S ribosomal protein L1 (Fragment) OS=Alteromonas sp. OX=232 GN=rplA PE=4 SV=1,15499.68,161066.6,113286.9,89735.72,86672.6,59254.55,3401207.0,190439.0,333271.1,13361.79,1348781.0,6666301.0,417612.7,50927.06,110011.2,54369.92,39388.8,220873.4,1456867.0,196622.4,76257.3,81093.26,8979.838,189045.0,602584.8,182358.4,25951.63,2.84e-05,8.93e-05,7.95e-05,8.82e-05,0.000231,9.84e-05,1.04e-05,0.001539,0.000259,6.78e-05,0.000144,0.000538,0.000318,0.000132,0.00019,0.000336,0.000375,5.89e-05,50S ribosomal protein L1 (Fragment) OS=Alteromonas sp. OX=232 GN=rplA PE=4 SV=1,6.57e-05,0.000139,0.000603,0.00025,0.000219,0.000167,0.09,2.12,0.182,9.17,0.426,0.88,0.491,0.67,50S ribosomal protein L1 (Fragment) OS=Alteromonas sp. OX=232 GN=rplA PE=4 SV=1,,1.0840642647884746,3.196921733820329,-0.1844245711374274,-0.5777669993169522,0.09,0.182,0.426,0.491,,empty
A0A2D5LJN7,5,5,19.71495,50S ribosomal protein L11 OS=Alteromonas sp. OX=232 GN=rplK PE=3 SV=1,7005946.0,10530231.0,17110287.0,7998301.0,23097529.0,10064101.0,17424041.0,12786736.0,40548623.0,17917844.0,39607887.0,129000000.0,25459682.0,4891930.0,13288140.0,3101337.0,7192669.0,5120811.0,13937178.0,9646853.0,17933439.0,7640830.0,10899394.0,9906478.0,45520703.0,10857011.0,16116525.0,0.012818,0.013485,0.021185,0.014988,0.015535,0.011973,0.013997,0.029804,0.015775,0.006509,0.008233,0.01248,0.015599,0.012419,0.009968,0.025378,0.022317,0.036605,50S ribosomal protein L11 OS=Alteromonas sp. OX=232 GN=rplK PE=3 SV=1,0.015829,0.014165,0.019859,0.009074,0.015922,0.024917,0.351,0.89,0.297,1.25,0.199,1.75,0.011,2.75,50S ribosomal protein L11 OS=Alteromonas sp. OX=232 GN=rplK PE=3 SV=1,,-0.1681227588083269,0.3219280948873623,0.8073549220576041,1.459431618637297,0.351,0.297,0.199,0.011,,empty
A0A359KA81,3,3,23.371,50S ribosomal protein L13 OS=Alteromonas sp. OX=232 GN=rplM PE=3 SV=1,696027.1,473773.5,1357950.0,340399.0,1989430.0,797337.9,3092048.0,571607.4,2748969.0,7518586.0,12219837.0,65663132.0,8366977.0,284856.2,1601550.0,79571.7,518494.4,612819.2,2210401.0,358675.6,3114407.0,191362.5,866399.5,707111.2,7363750.0,2345555.0,3284027.0,0.001273,0.00107,0.001825,0.001187,0.000694,0.000812,0.005873,0.015156,0.005184,0.000379,0.000211,0.001493,0.00058,0.000311,0.000712,0.004105,0.004821,0.007459,50S ribosomal protein L13 OS=Alteromonas sp. OX=232 GN=rplM PE=3 SV=1,0.001389,0.000898,0.008738,0.000695,0.001709,0.004557,0.107,0.65,0.081,6.29,0.329,2.46,0.009,6.56,50S ribosomal protein L13 OS=Alteromonas sp. OX=232 GN=rplM PE=3 SV=1,,-0.6214883767462701,2.6530600171045644,1.298658315564515,2.713695814843359,0.107,0.081,0.329,0.009,,empty
A0A359K7S7,2,2,8.040769,50S ribosomal protein L19 OS=Alteromonas sp. OX=232 GN=rplS PE=3 SV=1,357023.7,510472.2,814128.6,273030.0,822672.3,652960.6,305480.4,346593.8,527747.2,541420.4,760453.6,10329944.0,4365853.0,164257.0,839770.9,71704.35,172759.4,241871.0,946249.7,399909.7,503669.7,331149.5,605753.5,543900.5,1720874.0,711656.2,1373408.0,0.000653,0.000642,0.000755,0.000972,0.000421,0.000156,0.000423,0.002384,0.002705,0.000219,0.00019,0.000589,0.000647,0.000538,0.000547,0.000959,0.001463,0.003119,50S ribosomal protein L19 OS=Alteromonas sp. OX=232 GN=rplS PE=3 SV=1,0.000683,0.000516,0.001837,0.000333,0.000682,0.001755,0.298,0.76,0.119,2.69,0.117,2.05,0.052,5.27,50S ribosomal protein L19 OS=Alteromonas sp. OX=232 GN=rplS PE=3 SV=1,,-0.3959286763311392,1.4276061727818994,1.0356239097307212,2.3978029618624896,0.298,0.119,0.117,0.052,,empty
A0A359K3M8,2,2,11.54717,50S ribosomal protein L27 OS=Alteromonas sp. OX=232 GN=rpmA PE=3 SV=1,86570.65,148064.9,281443.1,170157.1,498884.7,188034.6,567438.8,226059.4,443853.5,237949.0,3686954.0,8214697.0,3227918.0,100545.2,257013.5,52393.33,304176.7,113019.8,325960.6,106441.0,365159.4,98034.35,181667.5,256043.3,4088262.0,1045855.0,511349.0,0.000158,0.000222,0.000458,0.00028,0.000275,0.000131,0.000186,0.001896,0.002,0.000134,0.000139,0.000275,0.000172,0.000159,0.000258,0.002279,0.00215,0.001161,50S ribosomal protein L27 OS=Alteromonas sp. OX=232 GN=rpmA PE=3 SV=1,0.000279,0.000229,0.001361,0.000183,0.000899,0.001197,0.375,0.82,0.089,4.87,0.249,4.92,0.026,6.55,50S ribosomal protein L27 OS=Alteromonas sp. OX=232 GN=rpmA PE=3 SV=1,,-0.2863041851566411,2.2839217723076173,2.298658315564515,2.711494906650088,0.375,0.089,0.249,0.026,,empty
A0A359K8B9,12,12,73.87073,50S ribosomal subunit assembly factor BipA OS=Alteromonas sp. OX=232 GN=typA PE=3 SV=1,1625964.0,2009361.0,7397938.0,3101499.0,11658786.0,2219755.0,9027225.0,3945986.0,17952087.0,16939180.0,15708410.0,44415437.0,13222373.0,1231027.0,3728134.0,711317.4,2647754.0,2094951.0,6506195.0,1726037.0,4473864.0,2318171.0,1321111.0,3872964.0,22407715.0,2694920.0,2409076.0,0.002975,0.00583,0.010693,0.003306,0.004794,0.005301,0.013232,0.010252,0.008193,0.001638,0.001888,0.005106,0.002791,0.003768,0.003897,0.012492,0.00554,0.005472,50S ribosomal subunit assembly factor BipA OS=Alteromonas sp. OX=232 GN=typA PE=3 SV=1,0.006499,0.004467,0.010559,0.002877,0.006719,0.005837,0.18,0.69,0.193,1.62,0.291,2.34,0.125,2.03,50S ribosomal subunit assembly factor BipA OS=Alteromonas sp. OX=232 GN=typA PE=3 SV=1,,-0.5353317329965558,0.6959938131099002,1.2265085298086795,1.0214797274104517,0.18,0.193,0.291,0.125,,empty
A0A359K441,2,2,14.94892,Acetoacetyl-CoA reductase OS=Alteromonas sp. OX=232 GN=DEH24_05610 PE=3 SV=1,327218.6,307257.5,707262.0,262398.3,274367.6,448126.3,269547.1,329888.1,107142.1,664795.1,41751.78,321521.8,106991.2,525889.5,584186.9,150021.7,274954.4,236846.9,567406.9,455009.6,979959.9,327666.9,439132.6,688768.6,49041.96,37915.21,210651.9,0.000599,0.000557,0.000252,0.000667,0.000401,3.16e-05,0.000519,7.42e-05,6.63e-05,0.0007,0.000398,0.000577,0.000736,0.000533,0.000693,2.73e-05,7.79e-05,0.000478,Acetoacetyl-CoA reductase OS=Alteromonas sp. OX=232 GN=DEH24_05610 PE=3 SV=1,0.000469,0.000367,0.00022,0.000558,0.000418,0.000342,0.181,0.78,0.088,0.47,0.044,0.75,0.081,0.61,Acetoacetyl-CoA reductase OS=Alteromonas sp. OX=232 GN=DEH24_05610 PE=3 SV=1,DEH24_05610,-0.3584539709124763,-1.0892673380970874,-0.4150374992788438,-0.7131188522118385,0.181,0.088,0.044,0.081,,unresolved
A0A359KAW1,2,2,7.656606,Acetolactate synthase OS=Alteromonas sp. OX=232 GN=DEH24_21385 PE=3 SV=1,23966.28,102767.4,30522.88,56011.06,223062.2,31320.44,82984.05,115337.5,31599.78,81383.15,591425.1,1218291.0,762540.9,86056.87,131269.7,14616.5,3730.053,34605.56,46733.79,31281.61,34511.11,34534.15,13808.33,94907.77,105181.7,56448.11,482152.2,4.38e-05,2.41e-05,0.000205,4.66e-05,0.00014,9.33e-06,6.36e-05,0.000281,0.000472,0.000115,3.88e-05,8.43e-05,5.06e-05,5.61e-05,9.55e-05,5.86e-05,0.000116,0.001095,Acetolactate synthase OS=Alteromonas sp. OX=232 GN=DEH24_21385 PE=3 SV=1,9.08e-05,6.54e-05,0.000272,7.92e-05,7.01e-05,0.000434,0.403,0.72,0.077,3.0,0.348,0.88,0.207,5.48,Acetolactate synthase OS=Alteromonas sp. OX=232 GN=DEH24_21385 PE=3 SV=1,DEH24_21385,-0.4739311883324124,1.584962500721156,-0.1844245711374274,2.454175893185802,0.403,0.077,0.348,0.207,,unresolved
A0A359K1M2,8,8,41.9437,Acetyl-coenzyme A synthetase OS=Alteromonas sp. OX=232 GN=acs PE=3 SV=1,1059333.0,4979760.0,6030895.0,2629548.0,3341303.0,1995796.0,2557133.0,4168137.0,5192107.0,6046189.0,9234459.0,19816069.0,9304033.0,2570696.0,7716897.0,1583774.0,1013252.0,3167444.0,5743073.0,4149349.0,3599062.0,1441940.0,1756067.0,4945735.0,9166235.0,2642008.0,2740682.0,0.001938,0.004753,0.003065,0.002972,0.005064,0.001533,0.004723,0.004574,0.005765,0.00342,0.004204,0.007719,0.00671,0.002344,0.004977,0.00511,0.005431,0.006225,Acetyl-coenzyme A synthetase OS=Alteromonas sp. OX=232 GN=acs PE=3 SV=1,0.003252,0.00319,0.005021,0.005115,0.004143,0.004969,0.471,0.98,0.106,1.54,0.419,0.81,0.34,0.97,Acetyl-coenzyme A synthetase OS=Alteromonas sp. OX=232 GN=acs PE=3 SV=1,,-0.0291463456595165,0.6229303509201767,-0.3040061868900999,-0.043943347587597,0.471,0.106,0.419,0.34,,empty
A0A359K084,8,8,32.67057,Aconitate hydratase B OS=Alteromonas sp. OX=232 GN=acnB PE=3 SV=1,9778710.0,4544624.0,4780925.0,7658049.0,5617766.0,5956194.0,5973565.0,3278216.0,4846382.0,5098215.0,2508984.0,13059006.0,13654584.0,4595347.0,6178793.0,1572414.0,751622.1,2265294.0,1304842.0,9165883.0,2565996.0,650120.0,1357476.0,13626052.0,9279479.0,3400304.0,3045032.0,0.017891,0.003768,0.005153,0.00887,0.003983,0.001431,0.003983,0.003014,0.008461,0.006114,0.004174,0.005521,0.014821,0.001057,0.013711,0.005173,0.006989,0.006916,Aconitate hydratase B OS=Alteromonas sp. OX=232 GN=acnB PE=3 SV=1,0.008937,0.004761,0.005152,0.00527,0.006647,0.007614,0.129,0.53,0.271,0.58,0.178,1.26,0.212,1.44,Aconitate hydratase B OS=Alteromonas sp. OX=232 GN=acnB PE=3 SV=1,,-0.9159357352115256,-0.7858751946471527,0.3334237337251918,0.5260688116675876,0.129,0.271,0.178,0.212,,empty
A0A2D5LGS0,6,6,39.1493,Acyl carrier protein OS=Alteromonas sp. OX=232 GN=acpP PE=3 SV=1,2805283.0,1874474.0,1827172.0,1322881.0,4700558.0,11225563.0,9717069.0,2177722.0,12576708.0,122000000.0,68386799.0,248000000.0,78326650.0,1486033.0,4900953.0,970286.5,1798361.0,1871940.0,36719023.0,3401413.0,39187254.0,1782980.0,2995295.0,2867903.0,120000000.0,16971214.0,6364987.0,0.005132,0.00144,0.004311,0.016718,0.002646,0.003714,0.095165,0.057141,0.048533,0.001977,0.002576,0.004562,0.0055,0.002898,0.002886,0.066835,0.034885,0.014457,Acyl carrier protein OS=Alteromonas sp. OX=232 GN=acpP PE=3 SV=1,0.003628,0.007692,0.066946,0.003038,0.024206,0.017657,0.198,2.12,0.022,18.45,0.34,7.97,0.077,5.81,Acyl carrier protein OS=Alteromonas sp. OX=232 GN=acpP PE=3 SV=1,,1.0840642647884746,4.205548911173033,2.9945797242157477,2.538538163629804,0.198,0.022,0.34,0.077,,empty
