gene_names,gene,locus_tag_ncbi,locus_tag,source,start,end,strand,Note,exception,inference,product,protein_id,Ontology_term_ncbi,go_component,go_function,go_process,old_locus_tags,start_cyanorak,end_cyanorak,strand_cyanorak,locus_tag_cyanorak,gene_names_cyanorak,Ontology_term_cyanorak,cluster_number,cyanorak_Role,cyanorak_Role_description,eggNOG,eggNOG_description,kegg,kegg_description,ontology_term_description,product_cyanorak,protein_domains,protein_domains_description,tIGR_Role,tIGR_Role_description,position_merge_note,ec_numbers
BL107_RS00070,,BL107_RS00070,BL107_04869,Protein Homology,13108.0,14283.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_009788203.1,GNAT family N-acetyltransferase,WP_009788203.1,,,,,BL107_04869,13108.0,14283.0,-,CK_Syn_BL107_04869,BL107_04869,,CK_00042847,R.3,Enzymes of unknown specificity,"COG3146,bactNOG04293,cyaNOG02307","COG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown",,,,protein of unknown function DUF482,"PF04339,IPR007434","Peptidogalycan biosysnthesis/recognition,Peptidogalycan biosysnthesis/recognition",703,Unknown function / Enzymes of unknown specificity,,2.3.1.-
BL107_RS00075,,BL107_RS00075,BL107_04874,Protein Homology,14570.0,15268.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_009788204.1,dihydrofolate reductase family protein,WP_009788204.1,,,,,BL107_04874,14570.0,15268.0,-,CK_Syn_BL107_04874,ribD2,"GO:0009231,GO:0055114,GO:0008703",CK_00000200,B.7,Riboflavin%2C FMN and FAD,"COG1985,bactNOG47018,bactNOG83865,bactNOG76076,bactNOG19704,bactNOG89860,bactNOG89607,cyaNOG02725","COG: METABOLISM [H] Coenzyme transport and metabolism,bactNOG: METABOLISM [H] Coenzyme transport and metabolism,bactNOG: METABOLISM [H] Coenzyme transport and metabolism,bactNOG: METABOLISM [H] Coenzyme transport and metabolism,bactNOG: METABOLISM [H] Coenzyme transport and metabolism,bactNOG: METABOLISM [H] Coenzyme transport and metabolism,bactNOG: METABOLISM [H] Coenzyme transport and metabolism,cyaNOG: METABOLISM [H] Coenzyme transport and metabolism",1.1.1.193,5-amino-6-(5-phosphoribosylamino)uracil reductase%3B aminodioxyphosphoribosylaminopyrimidine reductase,"riboflavin biosynthetic process,oxidation-reduction process,riboflavin biosynthetic process,oxidation-reduction process,5-amino-6-(5-phosphoribosylamino)uracil reductase activity",5-amino-6-(5-phosphoribosylamino)uracil reductase,"PF01872,IPR002734,IPR024072","RibD C-terminal domain,Bacterial bifunctional deaminase-reductase%2C C-terminal,Dihydrofolate reductase-like domain superfamily",85,Biosynthesis of cofactors%2C prosthetic groups%2C and carriers / Riboflavin%2C FMN%2C and FAD,,
BL107_RS00080,,BL107_RS00080,BL107_04879,Protein Homology,15249.0,16169.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011365275.1,6-carboxytetrahydropterin synthase,WP_037987786.1,,,,,BL107_04879,15249.0,15983.0,-,CK_Syn_BL107_04879,queD,"GO:0008616,GO:0003824",CK_00000201,K.3,tRNA and rRNA base modification,"COG0720,bactNOG32007,cyaNOG00156","COG: METABOLISM [H] Coenzyme transport and metabolism,bactNOG: METABOLISM [H] Coenzyme transport and metabolism,cyaNOG: METABOLISM [H] Coenzyme transport and metabolism","4.2.3.12,4.1.2.50","6-pyruvoyltetrahydropterin synthase%3B 2-amino-4-oxo-6-[(1S%2C2R)-1%2C2-dihydroxy-3-triphosphooxypropyl]-7%2C8-dihydroxypteridine triphosphate lyase%3B 6-[(1S%2C2R)-1%2C2-dihydroxy-3-triphosphooxypropyl]-7%2C8-dihydropterin triphosphate-lyase (6-pyruvoyl-5%2C6%2C7%2C8-tetrahydropterin-forming),6-carboxytetrahydropterin synthase%3B CPH4 synthase%3B queD (gene name)%3B ToyB%3B ykvK (gene name)","queuosine biosynthetic process,queuosine biosynthetic process,catalytic activity",queuosine biosynthesis protein QueD,"PF01242,IPR007115","6-pyruvoyl tetrahydropterin synthase,6-pyruvoyl tetrahydropterin synthase/QueD family",168,Protein synthesis / tRNA and rRNA base modification,,4.1.2.50
BL107_RS00085,,BL107_RS00085,BL107_04884,Protein Homology,16221.0,16796.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_009788206.1,shikimate kinase,WP_009788206.1,"GO:0008652,GO:0009073,GO:0000287,GO:0004765,GO:0005524",,"magnesium ion binding|0000287||IEA,shikimate kinase activity|0004765||IEA,ATP binding|0005524||IEA","amino acid biosynthetic process|0008652||IEA,aromatic amino acid family biosynthetic process|0009073||IEA",BL107_04884,16221.0,16796.0,+,CK_Syn_BL107_04884,aroK,"GO:0009073,GO:0004765",CK_00000202,A.1,Aromatic amino acids family (Phe%2C Trp%2C Tyr),"COG0703,bactNOG36465,cyaNOG03099","COG: METABOLISM [E] Amino acid transport and metabolism,bactNOG: METABOLISM [E] Amino acid transport and metabolism,cyaNOG: METABOLISM [E] Amino acid transport and metabolism",2.7.1.71,shikimate kinase%3B shikimate kinase (phosphorylating)%3B shikimate kinase II,"aromatic amino acid family biosynthetic process,aromatic amino acid family biosynthetic process,shikimate kinase activity",shikimate kinase,"PF01202,PS01128,IPR000623,IPR023000","Shikimate kinase,Shikimate kinase signature.,Shikimate kinase/Threonine synthase-like 1,Shikimate kinase%2C conserved site",70,Amino acid biosynthesis / Aromatic amino acid family,,2.7.1.71
BL107_RS00090,,BL107_RS00090,BL107_04889,Protein Homology,16828.0,17088.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_009788207.1,chlororespiratory reduction protein 7,WP_009788207.1,,,,,BL107_04889,16828.0,17088.0,-,CK_Syn_BL107_04889,BL107_04889,,CK_00001167,R.2,Conserved hypothetical proteins,"NOG253823,NOG289054,NOG45070,bactNOG46582,cyaNOG04214","COG: POORLY CHARACTERIZED [S] Function unknown,COG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown",,,,protein of unknown function DUF3571,"PF12095,IPR021954","Protein CHLORORESPIRATORY REDUCTION 7,Protein CHLORORESPIRATORY REDUCTION 7",156,Hypothetical proteins / Conserved,,
BL107_RS00095,,BL107_RS00095,BL107_04894,Protein Homology,17087.0,17761.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_009788208.1,DUF6816 family protein,WP_009788208.1,,,,,BL107_04894,17087.0,17761.0,+,CK_Syn_BL107_04894,BL107_04894,,CK_00001320,R.2,Conserved hypothetical proteins,"NOG295078,NOG12830,bactNOG66815,bactNOG22351,cyaNOG07090,cyaNOG02831","COG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown",,,,uncharacterized conserved secreted protein,,,156,Hypothetical proteins / Conserved,,
BL107_RS00100,,BL107_RS00100,BL107_04899,Protein Homology,17727.0,18452.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011129061.1,glutathione S-transferase family protein,WP_037988599.1,"GO:0006749,GO:0005515",,protein binding|0005515||IEA,glutathione metabolic process|0006749||IEA,BL107_04899,17727.0,18467.0,-,CK_Syn_BL107_04899,gst,"GO:0006749,GO:0005515,GO:0004364",CK_00000203,"B.9,D.1.4"," Thioredoxin%2C glutaredoxin and glutathione,Oxidative stress","COG0625,bactNOG35878,bactNOG31572,bactNOG57463,bactNOG35515,bactNOG92718,bactNOG51320,cyaNOG00899","COG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones,bactNOG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones,bactNOG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones,bactNOG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones,bactNOG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones,bactNOG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones,bactNOG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones,cyaNOG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones",2.5.1.18,glutathione transferase%3B glutathione S-transferase%3B glutathione S-alkyltransferase%3B glutathione S-aryltransferase%3B S-(hydroxyalkyl)glutathione lyase%3B glutathione S-aralkyltransferase%3B glutathione S-alkyl transferase%3B GST,"glutathione metabolic process,glutathione metabolic process,protein binding,glutathione transferase activity",glutathione S-transferase%2C rho class,"PF13417,PS50404,PS50405,IPR004045,IPR010987,IPR012336","Glutathione S-transferase%2C N-terminal domain,Soluble glutathione S-transferase N-terminal domain profile.,Soluble glutathione S-transferase C-terminal domain profile.,Glutathione S-transferase%2C N-terminal,Glutathione S-transferase%2C C-terminal-like,Thioredoxin-like fold",86,Biosynthesis of cofactors%2C prosthetic groups%2C and carriers / Glutathione and analogs,,
BL107_RS00105,,BL107_RS00105,BL107_04904,Protein Homology,18512.0,18718.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_006850467.1,DUF751 family protein,WP_009788210.1,,,,,BL107_04904,18512.0,18718.0,+,CK_Syn_BL107_04904,BL107_04904,,CK_00001168,,,"COG0609,NOG14682,NOG320325,COG0477,NOG254909,bactNOG73128,bactNOG53616,cyaNOG08118,cyaNOG04374","COG: METABOLISM [P] Inorganic ion transport and metabolism,COG: POORLY CHARACTERIZED [S] Function unknown,COG: GEPR,COG: CELLULAR PROCESSES AND SIGNALING [U] Intracellular trafficking%2C secretion%2C and vesicular transport,bactNOG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown",,,,conserved hypothetical protein,"PF05421,IPR008470","Protein of unknown function (DUF751),Uncharacterised protein family Ycf33",156,Hypothetical proteins / Conserved,,
rbfA,rbfA,BL107_RS00110,BL107_04909,Protein Homology,18718.0,19122.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_009788211.1,30S ribosome-binding factor RbfA,WP_009788211.1,GO:0006364,,,rRNA processing|0006364||IEA,BL107_04909,18718.0,19122.0,+,CK_Syn_BL107_04909,rbfA,"GO:0006396,GO:0006364,GO:0019843",CK_00000204,,,"COG0858,bactNOG44280,bactNOG32167,bactNOG94573,bactNOG101505,bactNOG99262,bactNOG100393,cyaNOG03192","COG: INFORMATION STORAGE AND PROCESSING [J] Translation%2C ribosomal structure and biogenesis,bactNOG: INFORMATION STORAGE AND PROCESSING [J] Translation%2C ribosomal structure and biogenesis,bactNOG: INFORMATION STORAGE AND PROCESSING [J] Translation%2C ribosomal structure and biogenesis,bactNOG: INFORMATION STORAGE AND PROCESSING [J] Translation%2C ribosomal structure and biogenesis,bactNOG: INFORMATION STORAGE AND PROCESSING [J] Translation%2C ribosomal structure and biogenesis,bactNOG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: INFORMATION STORAGE AND PROCESSING [J] Translation%2C ribosomal structure and biogenesis,cyaNOG: INFORMATION STORAGE AND PROCESSING [J] Translation%2C ribosomal structure and biogenesis",,,"RNA processing,rRNA processing,RNA processing,rRNA processing,rRNA binding",ribosome-binding factor A,"TIGR00082,PF02033,PS01319,IPR020053,IPR000238","ribosome-binding factor A,Ribosome-binding factor A,Ribosome-binding factor A signature.,Ribosome-binding factor A%2C conserved site,Ribosome-binding factor A",166,Transcription / RNA processing,,
BL107_RS00120,,BL107_RS00120,BL107_04924,Protein Homology,20756.0,21958.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_009788214.1,glycosyltransferase,WP_009788214.1,,,,,BL107_04924,20756.0,21958.0,+,CK_Syn_BL107_04924,BL107_04924,GO:0016740,CK_00001321,,,"COG0457,COG0463,bactNOG35372,bactNOG04609,cyaNOG02266","COG: POORLY CHARACTERIZED [R] General function prediction only,COG: CELLULAR PROCESSES AND SIGNALING [M] Cell wall/membrane/envelope biogenesis,bactNOG: CELLULAR PROCESSES AND SIGNALING [M] Cell wall/membrane/envelope biogenesis,bactNOG: CELLULAR PROCESSES AND SIGNALING [M] Cell wall/membrane/envelope biogenesis,cyaNOG: CELLULAR PROCESSES AND SIGNALING [M] Cell wall/membrane/envelope biogenesis",2.4.1.-,,transferase activity,beta-glycosyltransferase%2C family 2,"PF13414,PF00535,PS50005,PS50293,IPR019734,IPR013026,IPR001173","TPR repeat,Glycosyl transferase family 2,TPR repeat profile.,TPR repeat region circular profile.,Tetratricopeptide repeat,Tetratricopeptide repeat-containing domain,Glycosyltransferase 2-like",90,Cell envelope / Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,,2.4.-.-
BL107_RS00125,,BL107_RS00125,BL107_04929,Protein Homology,21955.0,22773.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_009788215.1,uroporphyrinogen-III synthase,WP_009788215.1,,,,,BL107_04929,21955.0,22773.0,+,CK_Syn_BL107_04929,hemD,"GO:0033014,GO:0004852",CK_00000206,"B.10.2,B.5.2,B.5.3","Cobalamin (b12),Chlorophylls and porphyrins,Hemes and phycobilins","COG1587,bactNOG85116,bactNOG98625,bactNOG48113,bactNOG85457,bactNOG30944,bactNOG31605,cyaNOG00451","COG: METABOLISM [H] Coenzyme transport and metabolism,bactNOG: METABOLISM [H] Coenzyme transport and metabolism,bactNOG: METABOLISM [H] Coenzyme transport and metabolism,bactNOG: METABOLISM [H] Coenzyme transport and metabolism,bactNOG: METABOLISM [H] Coenzyme transport and metabolism,bactNOG: METABOLISM [H] Coenzyme transport and metabolism,bactNOG: METABOLISM [H] Coenzyme transport and metabolism,cyaNOG: METABOLISM [H] Coenzyme transport and metabolism",4.2.1.75,uroporphyrinogen-III synthase%3B porphobilinogenase%3B uroporphyrinogen isomerase%3B uroporphyrinogen III cosynthase%3B URO-synthase%3B hydroxymethylbilane hydro-lyase (cyclizing),"tetrapyrrole biosynthetic process,tetrapyrrole biosynthetic process,uroporphyrinogen-III synthase activity",uroporphyrinogen-III synthase,"PF02602,IPR003754","Uroporphyrinogen-III synthase HemD,Tetrapyrrole biosynthesis%2C uroporphyrinogen III synthase",79,Biosynthesis of cofactors%2C prosthetic groups%2C and carriers / Heme%2C porphyrin%2C and cobalamin,,
