RAST annotation gene number,Locus ID,RAST RegionID (Chromosome_start_stop),RAST Annotation,"Periodic in co-cultured, L:D cultures","Periodic in co-cultured, extended darkness cultures",periodicity_cluster
439,MIT1002_0437 ,contig00002_216764_215616,Membrane fusion protein of RND family multidrug efflux pump,Y,,coculture_LD
444,MIT1002_0442 ,contig00002_221924_222304,hypothetical protein,Y,,coculture_LD
445,MIT1002_0443 ,contig00002_223719_222322,Asparaginyl-tRNA synthetase (EC 6.1.1.22),Y,,coculture_LD
446,MIT1002_0444 ,contig00002_224045_224533,hypothetical protein,Y,,coculture_LD
447,MIT1002_0445 ,contig00002_225685_224717,"Inner membrane protein YrbG, predicted calcium/sodium:proton antiporter",Y,,coculture_LD
456,MIT1002_0454 ,contig00002_235215_235985,Dethiobiotin synthetase (EC 6.3.3.3),Y,,coculture_LD
457,MIT1002_0455 ,contig00002_236678_235956,Alpha-aspartyl dipeptidase Peptidase E (EC 3.4.13.21),Y,,coculture_LD
458,MIT1002_0456 ,contig00002_236772_237248,Low molecular weight protein tyrosine phosphatase (EC 3.1.3.48),Y,,coculture_LD
468,MIT1002_0466 ,contig00002_247093_245273,Lipid A export ATP-binding/permease protein MsbA,Y,,coculture_LD
474,MIT1002_0472 ,contig00003_2424_3329,hypothetical protein,Y,,coculture_LD
476,MIT1002_0474 ,contig00003_5675_6055,hypothetical protein,Y,,coculture_LD
478,MIT1002_0476 ,contig00003_7304_8407,Potassium efflux system KefA protein / Small-conductance mechanosensitive channel,Y,,coculture_LD
491,MIT1002_0489 ,contig00003_24463_24792,putative orphan protein,Y,,coculture_LD
511,MIT1002_0509 ,contig00003_45545_44448,3-isopropylmalate dehydrogenase (EC 1.1.1.85),Y,,coculture_LD
514,MIT1002_0512 ,contig00003_49729_48437,Enolase (EC 4.2.1.11),Y,,coculture_LD
515,MIT1002_0513 ,contig00003_51420_49789,CTP synthase (EC 6.3.4.2),Y,,coculture_LD
533,MIT1002_0531 ,contig00003_71282_70260,UDP-glucose 4-epimerase (EC 5.1.3.2),Y,,coculture_LD
539,MIT1002_0537 ,contig00003_77836_76004,Capsular polysaccharide export system periplasmic protein KpsD,Y,,coculture_LD
545,MIT1002_0544 ,contig00003_83373_83059,putative DNA uptake protein and related DNA-binding protein,Y,,coculture_LD
574,MIT1002_0572 ,contig00003_109441_110304,Phosphatidate cytidylyltransferase (EC 2.7.7.41),Y,,coculture_LD
575,MIT1002_0573 ,contig00003_110304_111491,1-deoxy-D-xylulose 5-phosphate reductoisomerase (EC 1.1.1.267),Y,,coculture_LD
580,MIT1002_0579 ,contig00003_116596_117366,Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase (EC 2.3.1.129),Y,,coculture_LD
583,MIT1002_0582 ,contig00003_119087_122551,DNA polymerase III alpha subunit (EC 2.7.7.7),Y,,coculture_LD
590,MIT1002_0589 ,contig00003_129951_129796,hypothetical protein,Y,,coculture_LD
598,MIT1002_0597 ,contig00003_139004_137823,Flagellar protein FlgT,Y,,coculture_LD
616,MIT1002_0615 ,contig00004_4207_4863,FIG026291: Hypothetical periplasmic protein,Y,,coculture_LD
617,MIT1002_0616 ,contig00004_4924_5484,FIG002577: Putative lipoprotein precursor,Y,,coculture_LD
619,MIT1002_0618 ,contig00004_7846_6446,Sensor protein basS/pmrB (EC 2.7.3.-),Y,,coculture_LD
620,MIT1002_0619 ,contig00004_8523_7843,response regulator in two-component regulatory system with PhoQ,Y,,coculture_LD
632,MIT1002_0631 ,contig00004_16557_15400,S-(hydroxymethyl)glutathione dehydrogenase (EC 1.1.1.284),Y,,coculture_LD
634,MIT1002_0633 ,contig00004_17707_20256,Excinuclease ABC subunit A paralog of unknown function,Y,,coculture_LD
641,MIT1002_0640 ,contig00004_29728_28769,Transaldolase (EC 2.2.1.2),Y,,coculture_LD
657,MIT1002_0656 ,contig00004_43046_40956,"2,4-dienoyl-CoA reductase [NADPH] (EC 1.3.1.34)",Y,,coculture_LD
658,MIT1002_0657 ,contig00004_43827_43378,FIG003551: hypothetical protein,Y,,coculture_LD
659,MIT1002_0658 ,contig00004_44484_43948,"Integral membrane protein YggT, involved in response to extracytoplasmic stress (osmotic shock)",Y,,coculture_LD
660,MIT1002_0659 ,contig00004_45326_44505,Pyrroline-5-carboxylate reductase (EC 1.5.1.2),Y,,coculture_LD
666,MIT1002_0665 ,contig00004_49770_49204,UPF0301 protein YqgE,Y,,coculture_LD
671,MIT1002_0670 ,contig00004_54412_53615,Zn-dependent protease with chaperone function PA4632,Y,,coculture_LD
706,MIT1002_0703 ,contig00004_97751_98530,"Peptidase, M23/M37 family",Y,,coculture_LD
718,MIT1002_0715 ,contig00004_109634_109116,hypothetical protein,Y,,coculture_LD
741,MIT1002_0738 ,contig00004_136923_137489,FIG001590: Putative conserved exported protein precursor,Y,,coculture_LD
756,MIT1002_0754 ,contig00005_8336_9685,Aspartokinase (EC 2.7.2.4),Y,,coculture_LD
757,MIT1002_0755 ,contig00005_10331_9750,SOUL heme-binding protein,Y,,coculture_LD
777,MIT1002_0775 ,contig00005_32246_32614,FIG039061: hypothetical protein related to heme utilization,Y,,coculture_LD
796,MIT1002_0794 ,contig00005_49156_49788,Ubiquinol-cytochrome C reductase iron-sulfur subunit (EC 1.10.2.2),Y,,coculture_LD
797,MIT1002_0795 ,contig00005_49790_51055,"Ubiquinol--cytochrome c reductase, cytochrome B subunit (EC 1.10.2.2)",Y,,coculture_LD
798,MIT1002_0796 ,contig00005_51052_51786,"ubiquinol cytochrome C oxidoreductase, cytochrome C1 subunit",Y,,coculture_LD
817,MIT1002_0814 ,contig00005_66174_66974,"Uncharacterized ABC transporter, ATP-binding protein YrbF",Y,,coculture_LD
820,MIT1002_0817 ,contig00005_68349_69014,"Uncharacterized ABC transporter, auxiliary component YrbC",Y,,coculture_LD
825,MIT1002_0822 ,contig00005_73884_72517,"Outer membrane stress sensor protease DegQ, serine protease",Y,,coculture_LD
826,MIT1002_0823 ,contig00005_74401_73967,hypothetical protein,Y,,coculture_LD
831,MIT1002_0828 ,contig00005_78233_78559,hypothetical protein,Y,,coculture_LD
839,MIT1002_0836 ,contig00005_92234_92731,hypothetical protein,Y,,coculture_LD
841,MIT1002_0838 ,contig00005_94660_93515,S-adenosylmethionine synthetase (EC 2.5.1.6),Y,,coculture_LD
843,MIT1002_0840 ,contig00005_97098_98108,D-erythrose-4-phosphate dehydrogenase (EC 1.2.1.72),Y,,coculture_LD
875,MIT1002_0869 ,contig00005_131718_132254,Conserved domain protein,Y,,coculture_LD
884,MIT1002_0878 ,contig00006_8952_9827,2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60),Y,,coculture_LD
889,MIT1002_0883 ,contig00006_16941_15415,FIG001881: hydrolase of alkaline phosphatase superfamily,Y,,coculture_LD
892,MIT1002_0886 ,contig00006_18501_19376,NADPH dependent preQ0 reductase,Y,,coculture_LD
901,MIT1002_0895 ,contig00006_26987_27829,hypothetical protein,Y,,coculture_LD
903,MIT1002_0897 ,contig00006_29672_30226,hypothetical protein,Y,,coculture_LD
905,MIT1002_0899 ,contig00006_31430_31672,putative signal transduction protein with EFhand domain,Y,,coculture_LD
907,MIT1002_0901 ,contig00006_33192_32191,hypothetical protein,Y,,coculture_LD
926,MIT1002_0921 ,contig00006_57470_59350,Protein kinase,Y,,coculture_LD
931,MIT1002_0926 ,contig00006_62772_63503,protein of unknown function DUF541,Y,,coculture_LD
933,MIT1002_0928 ,contig00006_63974_64264,hypothetical protein,Y,,coculture_LD
938,MIT1002_0933 ,contig00006_70008_72617,Membrane alanine aminopeptidase N (EC 3.4.11.2),Y,,coculture_LD
950,MIT1002_0945 ,contig00006_93488_92970,3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.60),Y,,coculture_LD
953,MIT1002_0948 ,contig00006_95465_93990,Cryptochrome,Y,,coculture_LD
954,MIT1002_0949 ,contig00006_97088_95634,Cryptochrome,Y,,coculture_LD
955,MIT1002_0950 ,contig00006_97053_98477,Deoxyribodipyrimidine photolyase (EC 4.1.99.3),Y,,coculture_LD
956,MIT1002_0951 ,contig00006_98481_100019,FIG004436: Protein related to deoxyribodipyrimidine photolyase,Y,,coculture_LD
957,MIT1002_0952 ,contig00006_100074_100196,hypothetical protein,Y,,coculture_LD
958,MIT1002_0953 ,contig00006_100322_101698,"Multi antimicrobial extrusion protein (Na(+)/drug antiporter), MATE family of MDR efflux pumps",Y,,coculture_LD
996,MIT1002_0991 ,contig00007_8268_7159,Rossmann fold nucleotide-binding protein Smf possibly involved in DNA uptake,Y,,coculture_LD
1001,MIT1002_0996 ,contig00007_12453_13832,Trk system potassium uptake protein TrkA,Y,,coculture_LD
1010,MIT1002_1004 ,contig00007_23034_23495,Periplasmic/membrane protein associated with DUF414,Y,,coculture_LD
1015,MIT1002_1009 ,contig00007_27552_27878,hypothetical protein,Y,,coculture_LD
1018,MIT1002_1012 ,contig00007_31677_31564,hypothetical protein,Y,,coculture_LD
1019,MIT1002_1013 ,contig00007_32793_31693,DNA polymerase III beta subunit (EC 2.7.7.7),Y,,coculture_LD
1020,MIT1002_1014 ,contig00007_34418_32826,Chromosomal replication initiator protein DnaA,Y,,coculture_LD
1027,MIT1002_1021 ,contig00007_39555_39992,Flavoprotein MioC,Y,,coculture_LD
1045,MIT1002_1040 ,contig00007_56944_57282,putative methylated-DNA binding protein,Y,,coculture_LD
1062,MIT1002_1056 ,contig00007_77691_78851,"Type I restriction-modification system, specificity subunit S (EC 3.1.21.3)",Y,,coculture_LD
1074,MIT1002_1068 ,contig00007_92371_92490,hypothetical protein,Y,,coculture_LD
1079,MIT1002_1073 ,contig00007_97957_97094,Protein YicC,Y,,coculture_LD
1088,MIT1002_1082 ,contig00007_104261_103401,hypothetical protein,Y,,coculture_LD
1090,MIT1002_1084 ,contig00007_105126_105434,hypothetical protein,Y,,coculture_LD
1091,MIT1002_1085 ,contig00007_106975_105608,Ubiquinone biosynthesis monooxygenase UbiB,Y,,coculture_LD
1124,MIT1002_1120 ,contig00008_23260_22487,hypothetical protein,Y,,coculture_LD
1125,MIT1002_1121 ,contig00008_25958_23481,hypothetical protein,Y,,coculture_LD
1132,MIT1002_1128 ,contig00008_33194_34174,Phenylalanyl-tRNA synthetase alpha chain (EC 6.1.1.20),Y,,coculture_LD
1160,MIT1002_1156 ,contig00008_64069_65223,permease of the major facilitator superfamily,Y,,coculture_LD
1179,MIT1002_1174 ,contig00008_90879_88561,3-phytase (EC 3.1.3.8),Y,,coculture_LD
1180,MIT1002_1175 ,contig00008_93729_91024,TonB-dependent receptor,Y,,coculture_LD
1184,MIT1002_1180 ,contig00008_98214_102209,ATP-dependent helicase HrpA,Y,,coculture_LD
1188,MIT1002_1184 ,contig00008_104863_105840,Quinone oxidoreductase (EC 1.6.5.5),Y,,coculture_LD
1209,MIT1002_1205 ,contig00009_18813_21632,Isoleucyl-tRNA synthetase (EC 6.1.1.5),Y,,coculture_LD
1211,MIT1002_1207 ,contig00009_22188_22655,FKBP-type peptidyl-prolyl cis-trans isomerase slpA (EC 5.2.1.8),Y,,coculture_LD
1239,MIT1002_1232 ,contig00009_44673_46469,Translation elongation factor LepA,Y,,coculture_LD
1242,MIT1002_1235 ,contig00009_48044_48988,GTP-binding protein Era,Y,,coculture_LD
1243,MIT1002_1236 ,contig00009_49215_49853,Pyridoxamine 5'-phosphate oxidase (EC 1.4.3.5),Y,,coculture_LD
1244,MIT1002_1237 ,contig00009_49969_50790,Putative deoxyribonuclease YjjV,Y,,coculture_LD
1247,MIT1002_1240 ,contig00009_55323_52798,FIG00951782: hypothetical protein,Y,,coculture_LD
1261,MIT1002_1254 ,contig00009_70344_68464,1-deoxy-D-xylulose 5-phosphate synthase (EC 2.2.1.7),Y,,coculture_LD
1266,MIT1002_1259 ,contig00009_74983_73727,"Cyclopropane-fatty-acyl-phospholipid synthase (EC 2.1.1.79), plant type",Y,,coculture_LD
1267,MIT1002_1260 ,contig00009_75729_74986,Hypothetical protein COG3496,Y,,coculture_LD
1268,MIT1002_1261 ,contig00009_76991_75726,"COG2907: Amine oxidase, flavin-containing",Y,,coculture_LD
1269,MIT1002_1262 ,contig00009_77721_77002,"Oxidoreductase, short-chain dehydrogenase/reductase family (EC 1.1.1.-)",Y,,coculture_LD
1270,MIT1002_1263 ,contig00009_78173_77718,FIG002994: Putative transcriptional regulator,Y,,coculture_LD
1271,MIT1002_1264 ,contig00009_78430_79005,"Uncharacterized protein, similar to the N-terminal domain of Lon protease",Y,,coculture_LD
1272,MIT1002_1265 ,contig00009_79124_79735,RNA polymerase sigma-70 factor,Y,,coculture_LD
1273,MIT1002_1266 ,contig00009_79728_80471,FIG111991: hypothetical protein,Y,,coculture_LD
1283,MIT1002_1276 ,contig00009_95401_92588,Tetratricopeptide TPR_2,Y,,coculture_LD
1286,MIT1002_1279 ,contig00009_97889_98692,CDP-diacylglycerol--serine O-phosphatidyltransferase (EC 2.7.8.8),Y,,coculture_LD
1297,MIT1002_1289 ,contig00010_11996_12997,"Response regulator receiver:Metal-dependent phosphohydrolase, HD subdomain",Y,,coculture_LD
1309,MIT1002_1301 ,contig00010_25063_26748,Response regulator with TPR repeat,Y,,coculture_LD
1312,MIT1002_1304 ,contig00010_31665_32228,Alkyl hydroperoxide reductase protein C (EC 1.6.4.-),Y,,coculture_LD
1313,MIT1002_1305 ,contig00010_32410_33999,Alkyl hydroperoxide reductase protein F (EC 1.6.4.-),Y,,coculture_LD
1318,MIT1002_1309 ,contig00010_39361_38783,"2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase (EC 1.14.13.-)",Y,,coculture_LD
1340,MIT1002_1329 ,contig00010_61750_61274,Putative regulatory protein associated with the ectoine operon,Y,,coculture_LD
1341,MIT1002_1330 ,contig00010_63751_61781,High-affinity choline uptake protein BetT,Y,,coculture_LD
1345,MIT1002_1334 ,contig00010_69836_70549,hypothetical protein,Y,,coculture_LD
1372,MIT1002_1362 ,contig00011_7987_6581,Mannose-6-phosphate isomerase (EC 5.3.1.8) / Mannose-1-phosphate guanylyltransferase (GDP) (EC 2.7.7.22),Y,,coculture_LD
1401,MIT1002_1391 ,contig00011_33959_34240,hypothetical protein,Y,,coculture_LD
1402,MIT1002_1392 ,contig00011_34342_34905,Cytochrome b561 family protein,Y,,coculture_LD
1408,MIT1002_1398 ,contig00011_38870_40288,Leucine aminopeptidase-related protein,Y,,coculture_LD
1412,MIT1002_1402 ,contig00011_45350_46723,Cytochrome d ubiquinol oxidase subunit I (EC 1.10.3.-),Y,,coculture_LD
1413,MIT1002_1403 ,contig00011_46735_47742,Cytochrome d ubiquinol oxidase subunit II (EC 1.10.3.-),Y,,coculture_LD
1424,MIT1002_1414 ,contig00011_58289_56253,Oligopeptidase A (EC 3.4.24.70),Y,,coculture_LD
1449,MIT1002_1439 ,contig00011_91983_90655,ATP-dependent hsl protease ATP-binding subunit HslU,Y,,coculture_LD
1458,MIT1002_1447 ,contig00012_3470_2271,"2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase (EC 1.14.13.-)",Y,,coculture_LD
1461,MIT1002_1450 ,contig00012_6317_6793,FIG000233: metal-dependent hydrolase,Y,,coculture_LD
1493,MIT1002_1482 ,contig00012_51700_50513,Alcohol dehydrogenase (EC 1.1.1.1),Y,,coculture_LD
1496,MIT1002_1485 ,contig00012_55479_55988,Non-specific DNA-binding protein Dps / Iron-binding ferritin-like antioxidant protein / Ferroxidase (EC 1.16.3.1),Y,,coculture_LD
1505,MIT1002_1494 ,contig00012_64053_63250,"Methylglyoxal reductase, acetol producing (EC 1.1.1.-) / 2,5-diketo-D-gluconic acid reductase B (EC 1.1.1.274)",Y,,coculture_LD
1509,MIT1002_1498 ,contig00012_67508_66888,FIG137268: Possible translation factor Sua5/YciO/YrdC/YwlC family,Y,,coculture_LD
1510,MIT1002_1499 ,contig00012_67716_67591,hypothetical protein,Y,,coculture_LD
1520,MIT1002_1509 ,contig00012_77433_77702,"Propeptide, PepSY amd peptidase M4",Y,,coculture_LD
1523,MIT1002_1512 ,contig00012_81025_79985,transport protein,Y,,coculture_LD
1524,MIT1002_1513 ,contig00012_81099_81467,Dihydroneopterin triphosphate epimerase,Y,,coculture_LD
1525,MIT1002_1514 ,contig00012_81491_82387,Cell division inhibitor,Y,,coculture_LD
1526,MIT1002_1515 ,contig00012_85238_82716,"ABC-type transport system, permease component",Y,,coculture_LD
1527,MIT1002_1516 ,contig00012_85937_85239,"ABC transporter, ATP-binding protein",Y,,coculture_LD
1528,MIT1002_1517 ,contig00012_85954_86610,Arylesterase( EC:3.1.1.2 ),Y,,coculture_LD
1545,MIT1002_1533 ,contig00013_12609_12181,hypothetical protein,Y,,coculture_LD
1560,MIT1002_1547 ,contig00013_27467_26808,hypothetical protein,Y,,coculture_LD
1562,MIT1002_1549 ,contig00013_29584_27920,Membrane-bound lytic murein transglycosylase D precursor (EC 3.2.1.-),Y,,coculture_LD
1564,MIT1002_1551 ,contig00013_30525_31382,FIG005121: SAM-dependent methyltransferase (EC 2.1.1.-),Y,,coculture_LD
1565,MIT1002_1552 ,contig00013_32408_31569,Potassium efflux system KefA protein / Small-conductance mechanosensitive channel,Y,,coculture_LD
1590,MIT1002_1576 ,contig00013_57019_55517,Catalase (EC 1.11.1.6),Y,,coculture_LD
1593,MIT1002_1580 ,contig00013_61204_60098,NADH-flavin oxidoreductase/NADH oxidase( EC:1.6.99.1 ),Y,,coculture_LD
1633,MIT1002_1619 ,contig00014_19004_20011,"transcriptional regulator, LacI family",Y,,coculture_LD
1634,MIT1002_1620 ,contig00014_21080_20190,beta-lactamase-like,Y,,coculture_LD
1637,MIT1002_1623 ,contig00014_22971_23177,hypothetical protein,Y,,coculture_LD
1640,MIT1002_1626 ,contig00014_26220_24988,Na(+)-translocating NADH-quinone reductase subunit F (EC 1.6.5.-),Y,,coculture_LD
1646,MIT1002_1632 ,contig00014_32487_31309,short-chain alcohol dehydrogenase,Y,,coculture_LD
1652,MIT1002_1638 ,contig00014_38791_38108,ThiJ/PfpI family protein,Y,,coculture_LD
1660,MIT1002_1646 ,contig00014_48799_49305,"Sensory subunit of low CO2-induced protein complex, putative",Y,,coculture_LD
1677,MIT1002_1664 ,contig00014_70189_69137,Tas protein,Y,,coculture_LD
1709,MIT1002_1695 ,contig00015_24251_22299,TonB-dependent receptor,Y,,coculture_LD
1717,MIT1002_1703 ,contig00015_33849_32665,putative MR-MLE-family protein,Y,,coculture_LD
1725,MIT1002_1711 ,contig00015_45619_43787,RNA polymerase sigma factor RpoD,Y,,coculture_LD
1732,MIT1002_1719 ,contig00015_52609_52028,Acyl-phosphate:glycerol-3-phosphate O-acyltransferase PlsY,Y,,coculture_LD
1764,MIT1002_1749 ,contig00016_1484_621,hypothetical protein,Y,,coculture_LD
1768,MIT1002_1753 ,contig00016_4738_7569,Excinuclease ABC subunit A,Y,,coculture_LD
1769,MIT1002_1754 ,contig00016_7773_7940,hypothetical protein,Y,,coculture_LD
1780,MIT1002_1764 ,contig00016_15897_14920,"Fructose-1,6-bisphosphatase, type I (EC 3.1.3.11)",Y,,coculture_LD
1788,MIT1002_1772 ,contig00016_21863_22870,Glycosyltransferase (EC 2.4.1.-),Y,,coculture_LD
1791,MIT1002_1775 ,contig00016_24426_25235,Diaminopimelate epimerase (EC 5.1.1.7),Y,,coculture_LD
1792,MIT1002_1776 ,contig00016_25232_25927,Protein of unknown function DUF484,Y,,coculture_LD
1794,MIT1002_1778 ,contig00016_26874_27614,2-haloalkanoic acid dehalogenase (EC 3.8.1.2),Y,,coculture_LD
1796,MIT1002_1780 ,contig00016_30096_29284,Serine acetyltransferase (EC 2.3.1.30),Y,,coculture_LD
1797,MIT1002_1781 ,contig00016_30560_32731,ATP-dependent DNA helicase UvrD/PcrA,Y,,coculture_LD
1803,MIT1002_1787 ,contig00016_40007_39339,Glutathione S-transferase (EC 2.5.1.18),Y,,coculture_LD
1806,MIT1002_1790 ,contig00016_43498_44112,GTP cyclohydrolase II (EC 3.5.4.25),Y,,coculture_LD
1815,MIT1002_1799 ,contig00016_56397_53299,"RND efflux system, inner membrane transporter CmeB",Y,,coculture_LD
1816,MIT1002_1800 ,contig00016_57564_56419,"RND efflux system, membrane fusion protein CmeA",Y,,coculture_LD
1852,MIT1002_1835 ,contig00017_4526_4993,hypothetical protein,Y,,coculture_LD
1860,MIT1002_1842 ,contig00017_12680_11028,Choline dehydrogenase (EC 1.1.99.1),Y,,coculture_LD
