metabolite,extraction efficiency (%),intracellular,extracellular,metabolite_id,resolution_method
methionine,0,yes,,kegg.compound:C00073,name_match
muramic acid,0,,,kegg.compound:C06470,name_match
n-acetyl glucosamine,0,,,kegg.compound:C00140,name_match
n-acetyl glutamic acid,1.1,yes,,kegg.compound:C00624,name_match
n-acetyl muramic acid,2.8,,,kegg.compound:C02713,name_match
ornithine,0,,,kegg.compound:C00077,name_match
orotic acid,0,,,kegg.compound:C00295,name_match
pantothenic acid,51.9,yes,yes,kegg.compound:C00864,name_match
phenylalanine,39.7,yes,yes,kegg.compound:C00079,name_match
phosphoenolpyruvate,0,,,kegg.compound:C00074,name_match
phycocyanobilin,0,,,kegg.compound:C05786,name_match
proline,0,yes,,kegg.compound:C00148,name_match
pyridoxine,6.8,,,kegg.compound:C00314,name_match
riboflavin,87.6,,,kegg.compound:C00255,name_match
S-(5'-adenosyl)-L-homocysteine,43.3,yes,,kegg.compound:C00021,name_match
S-adenosyl-L-methionine,0,yes,,chebi:142094,name_match
alanine (isom. sarcosine),0,,,kegg.compound:C00041,name_match
serine,0,,,kegg.compound:C00065,name_match
sn-glycerol 3-phosphate,0,,,kegg.compound:C00093,name_match
taurocholic acid,92.8,,,kegg.compound:C05122,name_match
spermidine,0,yes,yes,kegg.compound:C00315,name_match
succinic acid,0,,yes,kegg.compound:C00042,name_match
syringic acid,32.9,,,kegg.compound:C10833,name_match
taurine,0,,,kegg.compound:C00245,name_match
thiamine,2,,,kegg.compound:C00378,name_match
thiamine monophosphate,0,,,kegg.compound:C01081,name_match
threonine / homoserine,0,,,kegg.compound:C00188,name_match
thymidine,52.6,,yes,kegg.compound:C00214,name_match
tryptamine,21.3,,,kegg.compound:C00398,name_match
tryptophan,46.7,yes,yes,kegg.compound:C00078,name_match
tyrosine,2.1,yes,yes,chebi:173245,name_match
uracil,0,yes,,kegg.compound:C00106,name_match
uridine 5'-monophosphate,0,yes,,kegg.compound:C00105,name_match
valine,0,yes,yes,kegg.compound:C00183,name_match
xanthine,0.3,,yes,kegg.compound:C00385,name_match
xanthosine,10.4,,yes,kegg.compound:C01762,name_match
