Synonym,Product,Expression  9313 t=20+0.01,Expression  9313+ diluted 1a3 T=20  +0.01,q Value,log 2 fold change coculture/axenic
PMT2117,D12 class N6 adenine-specific DNA met,59.01,203.01,8.20E-16,1.782519431
PMT2080,hypothetical protein,68.01,231.01,1.05E-21,1.764136508
PMT1541,hypothetical protein,11.01,36.01,1.25E-10,1.709583131
PMT0117,Serine acetyltransferase,83.01,270.01,6.25E-20,1.70165579
PMT2125,hypothetical protein,67.01,214.01,1.46E-13,1.675229898
PMT0846,hypothetical protein,39.01,124.01,1.85E-11,1.668540559
PMT0479,hypothetical protein,17.01,54.01,4.00E-10,1.666843407
PMT2151,GntR family transcriptional regulator,32.01,100.01,1.16E-12,1.64354968
PMT0973,vinculin family protein,16.01,50.01,2.35E-08,1.643243297
PMT1698,WRKY DNA-binding domain,8.01,25.01,2.02E-06,1.64263091
PMT1492,hypothetical protein,10.01,31.01,3.34E-07,1.631291552
PMT0172,hypothetical protein,16.01,49.01,4.93E-09,1.614102839
PMT2195,"ferredoxin, PetF like protein",79.01,240.01,2.08E-13,1.60298735
PMT1151,hypothetical protein,43.01,130.01,7.04E-10,1.595878559
PMT0905,hypothetical protein,24.01,72.01,4.55E-09,1.584561863
PMT0292,hypothetical protein,5.01,15.01,4.37E-04,1.583041468
PMT0897,amino acid ABC transporter substrate-binding protein,75.01,223.01,2.05E-12,1.571953556
PMT0994,"two-component response regulator, phosphate",21.01,61.01,2.04E-09,1.537969569
PMT0561,hypothetical protein,17.01,49.01,2.38E-08,1.526693006
PMT0750,SpoU family tRNA/rRNA methyltransferase,23.01,66.01,2.90E-08,1.520423615
PMT0965,hypothetical protein,7.01,20.01,2.11E-07,1.513234818
PMT1300,hypothetical protein,20.01,57.01,3.36E-08,1.510493834
PMT0915,outer membrane protein,41.01,116.01,4.38E-11,1.500201521
PMT1277,hypothetical protein,5.01,14.01,5.35E-05,1.483574447
PMT1326,hypothetical protein,72.01,199.01,7.70E-14,1.466571754
PMT0514,hypothetical protein,15.01,41.01,2.35E-07,1.450051767
PMT1721,hypothetical protein,544.01,1475.01,2.61E-11,1.439019659
PMT1560,hypothetical protein,24.01,65.01,9.90E-08,1.437026251
PMT0912,hypothetical protein,36.01,97.01,1.59E-07,1.429735872
PMT2180,hypothetical protein,138.01,368.01,5.78E-13,1.414972163
PMT0059,DNA polymerase III subunits gamma/tau,38.01,101.01,7.90E-11,1.410047197
PMT2265,hypothetical protein,73.01,194.01,1.40E-11,1.409965031
PMT1448,hypothetical protein,85.01,225.01,4.60E-11,1.404284655
PMT1457,hypothetical protein,57.01,150.01,1.85E-07,1.395771771
PMT2130,hypothetical protein,16.01,42.01,1.34E-05,1.391759478
PMT0549,50S ribosomal protein L11,8.01,21.01,1.80E-05,1.391202014
PMT0827,hypothetical protein,8.01,21.01,2.19E-04,1.391202014
PMT1720,hypothetical protein,13.01,34.01,2.51E-07,1.386338044
PMT1389,hypothetical protein,5.01,13.01,1.12E-05,1.376738454
PMT0807,hypothetical protein,24.01,62.01,5.43E-07,1.368865486
PMT0239,indole-3-glycerol phosphate synthase,19.01,49.01,1.41E-06,1.366317615
PMT1941,hypothetical protein,7.01,18.01,2.41E-04,1.361311832
PMT0928,hypothetical protein,32.01,82.01,1.60E-06,1.357277161
PMT0781,phosphonate ABC transporter,16.01,41.01,1.32E-06,1.357002436
PMT0836,hypothetical protein,16.01,41.01,1.06E-05,1.357002436
PMT1155,GTP-dependent nucleic acid-binding protein EngD,19.01,48.01,1.33E-07,1.336576404
PMT0736,DnaJ domain-containing protein,48.01,121.01,5.24E-11,1.333719432
PMT1632,hypothetical protein,910.01,2242.01,9.72E-04,1.300838409
PMT1840,photosystem II reaction center I protein I,647.01,1593.01,1.47E-08,1.299895408
PMT0829,hypothetical protein,11.01,27.01,5.88E-05,1.294679171
PMT1070,helix-hairpin-helix DNA-binding motif-containing protein,40.01,98.01,9.89E-09,1.292568327
PMT1054,ribosomal L29e family protein,47.01,115.01,2.96E-07,1.290719722
PMT0391,hypothetical protein,42.01,102.01,4.80E-08,1.279905895
PMT1269,hypothetical protein,68.01,165.01,1.26E-08,1.278734661
PMT0543,glycosyl transferase family protein,12.01,29.01,1.80E-06,1.272314144
PMT1479,extracellular link domain-containing protein,1179.01,2846.01,2.56E-08,1.271364776
PMT1047,trypsin and protease inhibitor,264.01,632.01,8.68E-08,1.25935481
PMT0138,S-adenosyl-L-homocysteine hydrolase,550.01,1309.01,0.001848587,1.250946364
PMT1453,fructose-6-phosphate aldolase (FSA),123.01,292.01,1.17E-07,1.247242173
PMT0356,"bifuntional enzyme: tRNA methyltransferase; 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase",14.01,33.01,3.71E-06,1.236446183
PMT1513,hypothetical protein,29.01,68.01,1.37E-07,1.229196596
PMT0190,LysM domain-containing protein,257.01,602.01,0.004276132,1.227962957
PMT0211,recombination protein O,15.01,35.01,1.25E-05,1.221843085
PMT0184,enolase-phosphatase E-1,12.01,28.01,1.74E-05,1.221705832
PMT0295,TPR repeat-containing protein,6.01,14.01,1.96E-05,1.22102006
PMT1129,hypothetical protein,33.01,76.01,1.89E-06,1.203286096
PMT2136,dephospho-CoA kinase,17.01,39.01,2.76E-05,1.197460857
PMT0952,hemolysin-type calcium-binding protei,7.01,16.01,1.09E-04,1.191486959
PMT1679,bilin biosynthesis protein CpeY,7.01,16.01,4.37E-05,1.191486959
PMT1714,hypothetical protein,43.01,98.01,3.47E-06,1.188256824
PMT1552,CopG family protein,108.01,245.01,1.68E-07,1.181675744
PMT0067,hypothetical protein,30.01,68.01,1.43E-07,1.180303573
PMT0199,hypothetical protein,15.01,34.01,7.28E-05,1.180035029
PMT2142,hypothetical protein,15.01,34.01,7.13E-05,1.180035029
PMT1420,50S ribosomal protein L21,1137.01,2573.01,0.008114119,1.178212121
PMT1576,ABC transporter ATP-binding protein,19.01,43.01,2.20E-05,1.177913599
PMT1568,carbonic anhydrase,35.01,79.01,3.18E-05,1.1742682
PMT1079,membrane bound transcriptional regulator,32.01,72.01,3.34E-07,1.16967459
PMT1945,C1q domain-containing protein,20.01,45.01,4.11E-05,1.169524397
PMT0300,hypothetical protein,8.01,18.01,2.28E-05,1.168924033
PMT1026,NUDIX hydrolase,21.01,47.01,4.60E-05,1.161891519
PMT0025,hypothetical protein,278.01,620.01,5.91E-07,1.157154707
PMT1355,ABC transporter ATP-binding protein,69.01,153.01,1.67E-08,1.148748606
PMT0678,ABC transporter,37.01,82.01,5.65E-08,1.147884702
PMT1258,resolvase,39.01,86.01,1.34E-05,1.140660407
PMT0359,hypothetical protein,165.01,363.01,8.84E-07,1.137455833
PMT0820,hypothetical protein,234.01,513.01,1.92E-07,1.132416766
PMT2184,NAD-dependent DNA ligase LigA,89.01,195.01,1.49E-07,1.131508774
PMT1483,hypothetical protein,543.01,1189.01,2.92E-07,1.130710177
PMT0731,hypothetical protein,16.01,35.01,5.43E-05,1.128793754
PMT0818,S4 domain-containing protein,16.01,35.01,6.55E-04,1.128793754
PMT0842,pyrimidine dimer DNA glycosylase,22.01,48.01,5.87E-05,1.125175791
PMT1543,hypothetical protein,45.01,98.01,7.41E-05,1.122683391
PMT1643,hypothetical protein,52.01,113.01,1.55E-05,1.119589496
PMT0670,hypothetical protein,12.01,26.01,0.001575129,1.114830248
PMT1678,CpeT protein,13.01,28.01,1.21E-04,1.106321021
PMT0622,methyl-coenzyme M reductase alpha sub,7.01,15.01,0.001046836,1.098437628
PMT1983,hypothetical protein,28.01,59.01,2.27E-06,1.075017475
PMT0484,hypothetical protein,19.01,40.01,1.88E-04,1.073602097
PMT1633,hypothetical protein,454.01,955.01,2.00E-06,1.072791765
PMT1642,exodeoxyribonuclease small subunit,49.01,103.01,7.62E-05,1.071636346
PMT1611,hypothetical protein,32.01,67.01,8.61E-05,1.06585373
PMT0243,REJ domain-containing protein,22.01,46.01,3.25E-04,1.063788311
PMT1040,Sema domain-containing protein,22.01,46.01,9.76E-05,1.063788311
PMT0981,Pectate lyase,38.01,78.01,8.19E-05,1.037280048
PMT0068,hypothetical protein,24.01,49.01,1.92E-05,1.029440743
PMT1996,3-oxoacyl-ACP synthase,112.01,226.01,5.06E-06,1.012759069
PMT1984,hypothetical protein,49.01,16.01,0.042001087,-1.614102839
PMT1645,Glypican,47.01,8.01,0.024261885,-2.553093533
PMT2132,hypothetical protein,42.01,7.01,0.033113986,-2.583246436
PMT2120,hypothetical protein,70.01,11.01,0.025089251,-2.668746538
PMT1172,hypothetical protein,53.01,7.01,0.00244397,-2.918778191
PMT2228,urea ABC transporter,273.01,36.01,7.35E-04,-2.922484292
PMT0925,hypothetical protein,1373.01,176.01,2.60E-04,-2.96361283
PMT1152,high light inducible protein,278.01,35.01,0.002834403,-2.989297811
PMT1242,methyltransferase,56.01,7.01,0.014071268,-2.998198079
PMT0246,Profilin,225.01,27.01,0.007789552,-3.058423575
PMT1490,hypothetical protein,52.01,6.01,0.002591478,-3.113352142
PMT1441,hypothetical protein,61.01,7.01,7.38E-04,-3.121559381
PMT0147,lysyl-tRNA synthetase,65.01,7.01,0.00227601,-3.213175305
PMT0763,hypothetical protein,38.01,4.01,2.19E-04,-3.244704883
PMT1331,hypothetical protein,78.01,8.01,6.47E-04,-3.283784925
PMT2068,hypothetical protein,90.01,9.01,7.33E-04,-3.320486281
PMT2241,homeobox domain,203.01,20.01,1.97E-05,-3.342757722
PMT2199,pyridoxamine 5'-phosphate oxidase,63.01,6.01,4.78E-04,-3.390143914
PMT0526,hypothetical protein,44.01,4.01,9.34E-07,-3.45615723
PMT0426,homoserine kinase,80.01,7.01,4.75E-06,-3.512693976
PMT1537,aspartoacylase,47.01,4.01,5.74E-07,-3.551293539
PMT1831,CRP family global nitrogen regulatory protein,83.01,7.01,4.47E-06,-3.565798795
PMT0896,amino acid ABC transporter,37.01,3.01,8.49E-09,-3.620079744
PMT1975,hypothetical protein,129.01,10.01,5.42E-11,-3.687969019
PMT1415,hypothetical protein,59.01,4.01,1.15E-09,-3.879285317
PMT0929,hemolysin-type calcium-binding domain-containing protein,179.01,12.01,5.84E-13,-3.897732127
PMT1866,hypothetical protein,108.01,6.01,9.97E-15,-4.167656088
PMT1594,high light inducible protein,48.01,2.01,1.86E-58,-4.578067529
PMT1496,16S rRNA methyltransferase GidB,49.01,2.01,9.55E-52,-4.60780874
PMT0333,hypothetical protein,98.01,4.01,6.85E-39,-4.611254814
PMT0540,hypothetical protein,74.01,3.01,1.22E-38,-4.619884824
PMT1106,cytochrome C biogenesis protein,76.01,3.01,3.00E-28,-4.658353842
PMT0324,hypothetical protein,93.01,3.01,4.49E-61,-4.949550444
PMT1686,dihydrobiliverdin:ferredoxin oxidoreductase,43.01,1.01,2.57E-194,-5.412244933
PMT0513,CopG family protein,35.01,0.01,0,-11.77355135
PMT0040,methyl-accepting chemotaxis protein,36.01,0.01,0,-11.81418188
PMT2000,hypothetical protein,37.01,0.01,0,-11.85369942
PMT0229,hypothetical protein,40.01,0.01,0,-11.96614491
PMT0885,"guanylate-binding protein, C-terminal",40.01,0.01,0,-11.96614491
PMT1924,hypothetical protein,40.01,0.01,0,-11.96614491
PMT1774,methanol dehydrogenase beta subunit,41.01,0.01,0,-12.00176003
PMT0365,hypothetical protein,43.01,0.01,0,-12.07045642
PMT2081,hypothetical protein,44.01,0.01,0,-12.10361566
PMT1436,hypothetical protein,45.01,0.01,0,-12.13602985
PMT2262,NADH-ubiquinone/plastoquinone (complex I,47.01,0.01,0,-12.19875197
PMT2266,hypothetical protein,48.01,0.01,0,-12.22911922
PMT1283,pterin-4-alpha-carbinolamine dehydratase,53.01,0.01,0,-12.37204883
PMT0845,"histidine kinase-, DNA gyrase B-, phy",60.01,0.01,0,-12.55098721
PMT1693,hypothetical protein,62.01,0.01,0,-12.59828517
PMT1494,hypothetical protein,65.01,0.01,0,-12.66644594
PMT0372,hemolysin-type calcium-binding protein,0.01,8.01,1,9.645658432
PMT0831,hypothetical protein,0.01,5.01,1,8.968666793
PMT1812,hypothetical protein,0.01,5.01,1,8.968666793
PMT0290,Phage integrase,1.01,9.01,1,3.157171813
PMT1878,hemolysin-type calcium-binding protein,1.01,8.01,1,2.98744695
PMT1140,protein kinase domain-containing protein,1.01,7.01,1,2.795059151
PMT0369,hypothetical protein,2.01,9.01,1,2.164331605
PMT0116,glycosyltransferase,2.01,8.01,1,1.994606741
PMT0801,flavodoxin FldA,3.01,10.01,1,1.733606582
PMT2071,hypothetical protein,2.01,6.01,1,1.58016949
PMT1811,hypothetical protein,4.01,11.01,1,1.457140327
PMT0835,C-type lectin domain-containing protein,4.01,10.01,1,1.319767832
PMT1810,hypothetical protein,3.01,7.01,1,1.219650957
PMT1197,RuBisCo-expression protein CbbX,32.01,64.01,1.08E-05,0.999774632
PMT1335,N-acetylmannosamine-6-phosphate 2-epimerase,18.01,36.01,3.64E-04,0.999599418
PMT2098,general (type II) secretion pathway protein D precursor,10.01,20.01,7.14E-05,0.999279193
PMT0843,hypothetical protein,7.01,14.01,0.001063051,0.998970606
PMT0803,hypothetical protein,6.01,12.01,9.97E-04,0.998799255
PMT1181,Maf-like protein,6.01,12.01,0.001438479,0.998799255
PMT0886,hypothetical protein,5.01,10.01,1,0.998559466
PMT1208,hypothetical protein,5.01,10.01,1,0.998559466
PMT2057,O-succinylbenzoic acid--CoA ligase,3.01,6.01,1,0.997601504
PMT0830,hypothetical protein,2.01,4.01,1,0.996406735
PMT1582,hypothetical protein,2.01,4.01,1,0.996406735
PMT0833,hypothetical protein,1.01,2.01,1,0.992840208
PMT1270,hypothetical protein,108.01,214.01,1.22E-05,0.986513322
PMT1440,hypothetical protein,43.01,85.01,3.28E-04,0.982960429
PMT0605,tRNA 2-selenouridine synthase,26.01,51.01,3.27E-05,0.971713701
PMT1010,hypothetical protein,19.01,37.01,4.85E-04,0.961156604
PMT0913,hypothetical protein,18.01,35.01,9.68E-04,0.958968881
PMT0515,GIC family ligand gated channel,17.01,33.01,1.38E-04,0.956519998
PMT1781,elongation factor G,455.01,882.01,0.014244738,0.95489676
PMT0697,"ferredoxin, 4Fe-4S",77.01,149.01,2.51E-04,0.952291451
PMT1119,HAMP domain-containing protein,75.01,145.01,3.62E-05,0.950997546
PMT0923,hypothetical protein,30.01,58.01,5.57E-04,0.9508583
PMT1771,hypothetical protein,67.01,129.01,1.92E-05,0.945034586
PMT0922,SAP domain-containing protein,75.01,144.01,8.66E-05,0.941014148
PMT1862,queuine tRNA-ribosyltransferase,49.01,94.01,1.52E-06,0.93973808
PMT0487,fibronectin type I domain-containing protein,19.01,36.01,8.27E-04,0.921639068
PMT0632,hypothetical protein,9.01,17.01,0.003424226,0.91678413
PMT1107,hypothetical protein,9.01,17.01,6.59E-04,0.91678413
PMT1901,methylthioribose-1-phosphate isomerase,34.01,64.01,4.22E-05,0.912338303
PMT0462,"cytochrome c, class IC:cytochrome c, class I",42.01,79.01,5.19E-04,0.911302476
PMT1125,hypothetical protein,173.01,325.01,2.11E-05,0.90962868
PMT1616,RND family multidrug efflux transporter,8.01,15.01,1.57E-04,0.906049829
PMT1319,secreted protein MPB70 precursor,30.01,56.01,5.56E-06,0.900241109
PMT0370,precorrin-6y methylase,14.01,26.01,8.13E-04,0.892609444
PMT1809,hypothetical protein,7.01,13.01,8.47E-04,0.892134613
PMT2219,CTP synthetase,69.01,128.01,3.77E-05,0.891379178
PMT1736,30S ribosomal protein S19,2435.01,4508.01,0.027702144,0.888563019
PMT0151,hypothetical protein,74.01,137.01,1.71E-05,0.888489074
PMT1217,protochlorophyllide reductase iron-sulfur ATP-binding protein,459.01,840.01,0.045899421,0.871880918
PMT0680,hypothetical protein,47.01,86.01,9.69E-04,0.871536725
PMT1346,riboflavin synthase subunit alpha,23.01,42.01,0.001026299,0.868471802
PMT1289,hypothetical protein,22.01,40.01,2.81E-04,0.862201483
PMT1522,hypothetical protein,65.01,118.01,1.02E-04,0.860175557
PMT0060,hypothetical protein,43.01,78.01,8.22E-05,0.858986942
PMT1439,hypothetical protein,43.01,78.01,4.37E-04,0.858986942
PMT0049,SqdX,277.01,502.01,0.026395209,0.857778045
PMT0659,Sodium:sulfate symporter transmembrane,21.01,38.01,0.001916459,0.855302863
PMT0558,uracil phosphoribosyltransferase,98.01,177.01,7.27E-06,0.852830006
PMT1622,bacterioferritin comigratory (BCP) protein,61.01,110.01,1.25E-04,0.850517036
PMT1356,response regulator receiver domain-containing protein,75.01,135.01,1.07E-04,0.847911422
PMT0796,early protein (E6),45.01,81.01,5.85E-04,0.847854443
PMT1015,hypothetical protein,96.01,172.01,1.15E-04,0.841235856
PMT0773,hypothetical protein,13.01,23.01,0.002875538,0.822640022
PMT1608,hypothetical protein,443.01,781.01,0.054032222,0.818001756
PMT0990,high light inducible protein,101.01,178.01,0.001510041,0.817460162
PMT1644,hypothetical protein,46.01,81.01,0.001462546,0.816152551
PMT0448,hypothetical protein,20.01,35.01,0.005251855,0.807045895
PMT0062,Clp protease proteolytic subunit,310.01,539.01,1.30E-04,0.797997286
PMT1673,hypothetical protein,34.01,59.01,7.43E-04,0.795000452
PMT1066,Orn/Lys/Arg decarboxylase family protein,15.01,26.01,7.14E-04,0.793142422
PMT0743,methionyl-tRNA synthetase,48.01,83.01,1.89E-04,0.789950209
PMT1833,hypothetical protein,40.01,69.01,0.001520653,0.786444804
PMT1658,30S ribosomal protein S14,47.01,81.01,0.002580142,0.785132327
PMT0124,hypothetical protein,21.01,36.01,0.00388312,0.777321438
PMT1424,hypothetical protein,7.01,12.01,0.002812279,0.776749802
PMT1571,hypothetical protein,24.01,41.01,0.002785719,0.77234034
PMT0108,ABC transporter ATP-binding protein,58.01,99.01,4.27E-04,0.771272625
PMT1358,M23/M37 familypeptidase,17.01,29.01,0.002732403,0.770167155
PMT0972,DNA polymerase N-terminal dom,20.01,34.01,0.007790484,0.765237839
PMT1672,hypothetical protein,106.01,180.01,3.42E-04,0.763876692
PMT0466,hypothetical protein,121.01,205.01,9.82E-05,0.76056801
PMT0091,hypothetical protein,114.01,191.01,2.72E-04,0.744487799
PMT1115,"transcription initiation factor IIA, gam",43.01,72.01,0.004068776,0.743525136
PMT0217,VIC family potassium channel protein,12.01,20.01,0.005777678,0.736485016
PMT0429,arginine repressor domain-containing protein,12.01,20.01,0.001637625,0.736485016
PMT0476,hypothetical protein,9.01,15.01,0.020250207,0.736324966
PMT1117,hypothetical protein,41.01,68.01,0.004503666,0.729771148
PMT0107,hypothetical protein,128.01,212.01,3.92E-04,0.727875798
PMT2244,major facilitator superfamily multidrug-efflux transporter,57.01,94.01,5.84E-04,0.721599225
PMT1600,hypothetical protein,74.01,122.01,7.58E-05,0.721207275
PMT0384,peptide deformylase,17.01,28.01,0.004117686,0.719558842
PMT0216,hypothetical protein,192.01,316.01,8.12E-04,0.718788763
PMT1500,hypothetical protein,385.01,633.01,8.63E-04,0.717332373
PMT1433,hypothetical protein,47.01,77.01,5.50E-04,0.712078116
PMT1435,hypothetical protein,11.01,18.01,0.00692059,0.709983712
PMT2153,hypothetical protein,72.01,117.01,2.33E-04,0.70036266
PMT0900,FAD linked oxidase domain-containing protein,16.01,26.01,0.00231286,0.700093091
PMT0465,tryptophan synthase subunit alpha,45.01,73.01,5.21E-04,0.697848515
PMT2269,esterase/lipase/thioesterase family protein,21.01,34.01,5.13E-04,0.694882844
PMT1820,tRNA (guanine-N(7)-)-methyltransferase,68.01,110.01,1.47E-04,0.693815875
PMT0619,hypothetical protein,26.01,42.01,0.008218699,0.691666387
PMT2110,ABC transporter ATP-binding protein,13.01,21.01,0.002163756,0.6914552
PMT2252,hypothetical protein,13.01,21.01,0.004062479,0.6914552
PMT0853,hypothetical protein,31.01,50.01,8.40E-04,0.689483079
PMT0103,"aminotransferase, class III pyridoxal-phosphate dependent",64.01,103.01,0.001115993,0.686415184
PMT2174,"Fatty acid desaturase, type 1",699.01,1121.01,0.074556075,0.681414148
PMT1044,major facilitator superfamily proline/betaine transporter,45.01,72.01,1.74E-04,0.677951702
PMT1730,hypothetical protein,15.01,24.01,0.006139517,0.677711427
PMT1725,hypothetical protein,134.01,214.01,4.92E-04,0.67533755
PMT1606,cysteine desulfurase activator complex subunit SufB,124.01,198.01,3.40E-04,0.67511683
PMT2124,2Fe-2S-binding domain-containing protein,57.01,91.01,0.005692167,0.674810073
PMT1508,TatD family deoxyribonuclease,22.01,35.01,0.00309378,0.669607917
PMT0386,DNA polymerase III subunit epsilon,61.01,97.01,1.38E-04,0.66908774
PMT0611,"copper binding proteins, plastocyanin",68.01,107.01,0.002773601,0.653926825
PMT0358,circadian phase modifier CpmA-like protein,14.01,22.01,0.008586626,0.651702189
PMT0320,hypothetical protein,90.01,141.01,9.00E-04,0.647640281
PMT1475,cell division protein FtsW,50.01,78.01,2.33E-04,0.641442468
PMT1209,hypothetical protein,136.01,212.01,2.14E-04,0.640419587
PMT1604,ABC transporter,102.01,159.01,6.92E-04,0.640406912
PMT2231,urease accessory protein ureF,9.01,14.01,0.014961933,0.636857945
PMT2263,hypothetical protein,519.01,806.01,4.70E-04,0.635035402
PMT1491,dethiobiotin synthase,78.01,121.01,2.24E-04,0.633395295
PMT0669,phosphoribosylaminoimidazole carboxylase ATPase subunit,31.01,48.01,0.001082053,0.63060141
PMT1118,hypothetical protein,22.01,34.01,0.0112072,0.627799861
PMT1438,mannitol dehydrogenase,11.01,17.01,0.007678768,0.627568672
PMT1243,cob(I)alamin adenosyltransferase,84.01,129.01,2.66E-04,0.618849926
PMT0253,Galanin,43.01,66.01,6.82E-04,0.618012467
PMT0538,hypothetical protein,15.01,23.01,0.008750739,0.616337007
PMT1077,recombination protein RecR,47.01,72.01,0.002194815,0.615229586
PMT2249,bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase,83.01,127.01,0.001140039,0.613585041
PMT0093,multidrug efflux family ABC transporter,34.01,52.01,0.00164664,0.612830032
PMT0609,hypothetical protein,19.01,29.01,0.018748185,0.609791764
PMT1002,hypothetical protein,21.01,32.01,0.012458831,0.607446515
PMT0056,50S ribosomal protein L35,1697.01,2585.01,0.068279726,0.607174795
PMT0636,hypothetical protein,25.01,38.01,0.009622535,0.603873968
PMT1667,NrdR family transcriptional regulator,104.01,158.01,4.44E-04,0.603293623
PMT0507,hypothetical protein,211.01,320.01,7.78E-04,0.600805617
PMT1527,hypothetical protein,203.01,306.01,3.75E-04,0.592028005
PMT2116,hypothetical protein,144.01,216.01,7.76E-04,0.584929107
PMT1972,hypothetical protein,108.01,162.01,0.002241492,0.584917977
PMT0710,phosphoribosylglycinamide formyltransferase,20.01,30.01,0.012580234,0.584722152
PMT0375,bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase,10.01,15.01,0.012838269,0.584482003
PMT2100,class-I aminotransferase,10.01,15.01,0.013299051,0.584482003
PMT1089,exodeoxyribonuclease V subunit gamma,8.01,12.01,0.001667919,0.584362003
PMT1557,oxidoreductase,6.01,9.01,1,0.584162115
PMT1081,RNA-binding protein RbpD,2166.01,3246.01,0.095916291,0.583627541
PMT1936,DNA polymerase family B protein,98.01,146.01,0.003419902,0.57506632
PMT0747,hypothetical protein,286.01,425.01,0.001492297,0.571431197
PMT0628,hypothetical protein,56.01,83.01,0.003668096,0.567600716
PMT1533,hypothetical protein,314.01,465.01,0.003336004,0.566451237
PMT1176,acetolactate synthase 3 regulatory subunit,105.01,155.01,5.97E-04,0.561834569
PMT0638,UmuC protein,38.01,56.01,7.73E-04,0.559305403
PMT0717,class-V aminotransferase family cysteine desulfurase,19.01,28.01,0.005013534,0.559183451
PMT1917,UvrD/REP helicase,19.01,28.01,0.001207645,0.559183451
PMT1724,arogenate dehydrogenase,17.01,25.01,0.015154455,0.556121917
PMT1822,hypothetical protein,17.01,25.01,0.009348656,0.556121917
PMT0371,hypothetical protein,41.01,60.01,0.016135596,0.549227186
PMT0694,sugar ABC transporter substrate-binding protein,41.01,60.01,6.19E-04,0.549227186
PMT1903,nucleotide sugar epimerase,39.01,57.01,0.002392524,0.547371003
PMT2032,HAD family hydrolase,26.01,38.01,0.001873725,0.547312626
PMT0170,hypothetical protein,13.01,19.01,0.010629039,0.54713757
PMT1011,trigger factor,13.01,19.01,0.019619027,0.54713757
