am_hot1a3_id,locus_tag
AMHOT1A3_single_00333,ACZ81_01655
AMHOT1A3_single_00334,ACZ81_01660
AMHOT1A3_single_00335,ACZ81_01665
AMHOT1A3_single_00336,ACZ81_01670
AMHOT1A3_single_00337,ACZ81_01675
AMHOT1A3_single_00338,ACZ81_01680
AMHOT1A3_single_00339,ACZ81_01685
AMHOT1A3_single_00340,ACZ81_01690
AMHOT1A3_single_00341,ACZ81_01695
AMHOT1A3_single_00342,ACZ81_01700
AMHOT1A3_single_00343,ACZ81_01705
AMHOT1A3_single_00344,ACZ81_01710
AMHOT1A3_single_00345,ACZ81_01715
AMHOT1A3_single_00346,ACZ81_01720
AMHOT1A3_single_00347,ACZ81_01725
AMHOT1A3_single_00348,ACZ81_01730
AMHOT1A3_single_00349,ACZ81_01735
AMHOT1A3_single_00350,ACZ81_01740
AMHOT1A3_single_00351,ACZ81_01745
AMHOT1A3_single_00352,ACZ81_01750
AMHOT1A3_single_00353,ACZ81_01760
AMHOT1A3_single_00354,ACZ81_01765
AMHOT1A3_single_00355,ACZ81_01770
AMHOT1A3_single_00356,ACZ81_01775
AMHOT1A3_single_00357,ACZ81_01780
AMHOT1A3_single_00358,ACZ81_01785
AMHOT1A3_single_00359,ACZ81_01790
AMHOT1A3_single_00360,ACZ81_01795
AMHOT1A3_single_00362,ACZ81_01800
AMHOT1A3_single_00363,ACZ81_01805
AMHOT1A3_single_00364,ACZ81_01810
AMHOT1A3_single_00365,ACZ81_01815
AMHOT1A3_single_00366,ACZ81_01820
AMHOT1A3_single_00367,ACZ81_01825
AMHOT1A3_single_00368,ACZ81_01830
AMHOT1A3_single_00369,ACZ81_01835
AMHOT1A3_single_00370,ACZ81_01840
AMHOT1A3_single_00371,ACZ81_01845
AMHOT1A3_single_00372,ACZ81_01850
AMHOT1A3_single_00373,ACZ81_01855
AMHOT1A3_single_00374,ACZ81_01860
AMHOT1A3_single_00375,ACZ81_01865
AMHOT1A3_single_00376,ACZ81_01870
AMHOT1A3_single_00377,ACZ81_01875
AMHOT1A3_single_00378,ACZ81_01880
AMHOT1A3_single_00379,ACZ81_01885
AMHOT1A3_single_00380,ACZ81_01890
AMHOT1A3_single_00381,ACZ81_01895
AMHOT1A3_single_00382,ACZ81_01900
AMHOT1A3_single_00383,ACZ81_01905
AMHOT1A3_single_00384,ACZ81_01910
AMHOT1A3_single_00385,ACZ81_01915
AMHOT1A3_single_00386,ACZ81_01920
AMHOT1A3_single_00387,ACZ81_01925
AMHOT1A3_single_00388,ACZ81_01930
AMHOT1A3_single_00389,ACZ81_01935
AMHOT1A3_single_00390,ACZ81_01940
AMHOT1A3_single_00391,ACZ81_01945
AMHOT1A3_single_00392,ACZ81_01950
AMHOT1A3_single_00393,ACZ81_01955
AMHOT1A3_single_00394,ACZ81_01960
AMHOT1A3_single_00395,ACZ81_01965
AMHOT1A3_single_00396,ACZ81_01970
AMHOT1A3_single_00397,ACZ81_01975
AMHOT1A3_single_00398,ACZ81_01980
AMHOT1A3_single_00399,ACZ81_01985
AMHOT1A3_single_00400,ACZ81_01990
AMHOT1A3_single_00401,ACZ81_01995
AMHOT1A3_single_00402,ACZ81_02000
AMHOT1A3_single_00403,ACZ81_02005
AMHOT1A3_single_00404,ACZ81_02010
AMHOT1A3_single_00405,ACZ81_02015
AMHOT1A3_single_00406,ACZ81_02020
AMHOT1A3_single_00407,ACZ81_02025
AMHOT1A3_single_00408,ACZ81_02030
AMHOT1A3_single_00409,ACZ81_02035
AMHOT1A3_single_00410,ACZ81_02040
AMHOT1A3_single_00411,ACZ81_02045
AMHOT1A3_single_00412,ACZ81_02050
AMHOT1A3_single_00413,ACZ81_02055
AMHOT1A3_single_00414,ACZ81_02060
AMHOT1A3_single_00415,ACZ81_02065
AMHOT1A3_single_00416,ACZ81_02070
AMHOT1A3_single_00417,ACZ81_02075
AMHOT1A3_single_00418,ACZ81_02080
AMHOT1A3_single_00419,ACZ81_02085
AMHOT1A3_single_00420,ACZ81_02090
AMHOT1A3_single_00421,ACZ81_02095
AMHOT1A3_single_00422,ACZ81_02100
AMHOT1A3_single_00423,ACZ81_02105
AMHOT1A3_single_00424,ACZ81_02110
AMHOT1A3_single_00425,ACZ81_02115
AMHOT1A3_single_00426,ACZ81_02120
AMHOT1A3_single_00427,ACZ81_02125
AMHOT1A3_single_00428,ACZ81_02130
AMHOT1A3_single_00429,ACZ81_02140
AMHOT1A3_single_00430,ACZ81_02145
AMHOT1A3_single_00431,ACZ81_02150
AMHOT1A3_single_00432,ACZ81_02155
AMHOT1A3_single_00433,ACZ81_02160
AMHOT1A3_single_00434,ACZ81_02165
AMHOT1A3_single_00435,ACZ81_02170
AMHOT1A3_single_00436,ACZ81_02175
AMHOT1A3_single_00437,ACZ81_02180
AMHOT1A3_single_00438,ACZ81_02185
AMHOT1A3_single_00439,ACZ81_02190
AMHOT1A3_single_00440,ACZ81_02195
AMHOT1A3_single_00441,ACZ81_02200
AMHOT1A3_single_00445,ACZ81_02215
AMHOT1A3_single_00446,ACZ81_02225
AMHOT1A3_single_00447,ACZ81_02230
AMHOT1A3_single_00448,ACZ81_02235
AMHOT1A3_single_00449,ACZ81_02240
AMHOT1A3_single_00450,ACZ81_02245
AMHOT1A3_single_00451,ACZ81_02250
AMHOT1A3_single_00452,ACZ81_02255
AMHOT1A3_single_00453,ACZ81_02260
AMHOT1A3_single_00454,ACZ81_02265
AMHOT1A3_single_00455,ACZ81_02270
AMHOT1A3_single_00456,ACZ81_02275
AMHOT1A3_single_00457,ACZ81_02280
AMHOT1A3_single_00458,ACZ81_02285
AMHOT1A3_single_00459,ACZ81_02290
AMHOT1A3_single_00460,ACZ81_02295
AMHOT1A3_single_00461,ACZ81_02300
AMHOT1A3_single_00462,ACZ81_02305
AMHOT1A3_single_00463,ACZ81_02310
AMHOT1A3_single_00464,ACZ81_02315
AMHOT1A3_single_00465,ACZ81_02320
AMHOT1A3_single_00466,ACZ81_02325
AMHOT1A3_single_00468,ACZ81_02335
AMHOT1A3_single_00469,ACZ81_02340
AMHOT1A3_single_00470,ACZ81_02345
AMHOT1A3_single_00471,ACZ81_02350
AMHOT1A3_single_00472,ACZ81_02355
AMHOT1A3_single_00473,ACZ81_02360
AMHOT1A3_single_00474,ACZ81_02365
AMHOT1A3_single_00475,ACZ81_02370
AMHOT1A3_single_00476,ACZ81_02375
AMHOT1A3_single_00477,ACZ81_02380
AMHOT1A3_single_00478,ACZ81_02385
AMHOT1A3_single_00479,ACZ81_02390
AMHOT1A3_single_00480,ACZ81_02395
AMHOT1A3_single_00481,ACZ81_02400
AMHOT1A3_single_00482,ACZ81_02405
AMHOT1A3_single_00483,ACZ81_02410
AMHOT1A3_single_00484,ACZ81_02415
AMHOT1A3_single_00485,ACZ81_02420
AMHOT1A3_single_00486,ACZ81_02425
AMHOT1A3_single_00487,ACZ81_02430
AMHOT1A3_single_00488,ACZ81_02435
AMHOT1A3_single_00489,ACZ81_02440
AMHOT1A3_single_00490,ACZ81_02445
AMHOT1A3_single_00491,ACZ81_02450
AMHOT1A3_single_00492,ACZ81_RS21440
AMHOT1A3_single_00493,ACZ81_02460
AMHOT1A3_single_00494,ACZ81_02465
AMHOT1A3_single_00495,ACZ81_02470
AMHOT1A3_single_00496,ACZ81_02475
AMHOT1A3_single_00497,ACZ81_02480
AMHOT1A3_single_00498,ACZ81_02485
AMHOT1A3_single_00499,ACZ81_02490
AMHOT1A3_single_00500,ACZ81_02495
AMHOT1A3_single_00501,ACZ81_02500
AMHOT1A3_single_00502,ACZ81_02505
AMHOT1A3_single_00503,ACZ81_02510
AMHOT1A3_single_00504,ACZ81_02515
AMHOT1A3_single_00505,ACZ81_02520
AMHOT1A3_single_00506,ACZ81_02525
AMHOT1A3_single_00507,ACZ81_02530
AMHOT1A3_single_00508,ACZ81_02535
AMHOT1A3_single_00510,ACZ81_02545
AMHOT1A3_single_00511,ACZ81_02550
AMHOT1A3_single_00512,ACZ81_02555
AMHOT1A3_single_00513,ACZ81_02560
AMHOT1A3_single_00514,ACZ81_02565
AMHOT1A3_single_00515,ACZ81_02570
AMHOT1A3_single_00516,ACZ81_02575
AMHOT1A3_single_00519,ACZ81_02590
AMHOT1A3_single_00520,ACZ81_02595
AMHOT1A3_single_00521,ACZ81_02600
AMHOT1A3_single_00523,ACZ81_02610
AMHOT1A3_single_00525,ACZ81_02620
AMHOT1A3_single_00526,ACZ81_02625
AMHOT1A3_single_00527,ACZ81_02630
AMHOT1A3_single_00528,ACZ81_02635
AMHOT1A3_single_00530,ACZ81_02645
AMHOT1A3_single_00531,ACZ81_02650
AMHOT1A3_single_00532,ACZ81_02655
AMHOT1A3_single_00533,ACZ81_02660
AMHOT1A3_single_00534,ACZ81_02665
AMHOT1A3_single_00535,ACZ81_02670
AMHOT1A3_single_00536,ACZ81_02675
AMHOT1A3_single_00537,ACZ81_02680
AMHOT1A3_single_00538,ACZ81_02685
AMHOT1A3_single_00539,ACZ81_02690
AMHOT1A3_single_00540,ACZ81_02695
AMHOT1A3_single_00541,ACZ81_02700
AMHOT1A3_single_00542,ACZ81_02705
AMHOT1A3_single_00543,ACZ81_02710
AMHOT1A3_single_00544,ACZ81_02715
AMHOT1A3_single_00545,ACZ81_02720
AMHOT1A3_single_00546,ACZ81_02725
AMHOT1A3_single_00547,ACZ81_02730
AMHOT1A3_single_00548,ACZ81_02735
AMHOT1A3_single_00549,ACZ81_02740
AMHOT1A3_single_00550,ACZ81_02745
AMHOT1A3_single_00551,ACZ81_02750
AMHOT1A3_single_00552,ACZ81_02755
AMHOT1A3_single_00553,ACZ81_02760
AMHOT1A3_single_00554,ACZ81_02765
AMHOT1A3_single_00555,ACZ81_02770
AMHOT1A3_single_00556,ACZ81_02775
AMHOT1A3_single_00557,ACZ81_02780
AMHOT1A3_single_00558,ACZ81_02790
AMHOT1A3_single_00559,ACZ81_02795
AMHOT1A3_single_00560,ACZ81_02800
AMHOT1A3_single_00561,ACZ81_02805
AMHOT1A3_single_00562,ACZ81_02810
AMHOT1A3_single_00563,ACZ81_02815
AMHOT1A3_single_00564,ACZ81_02820
AMHOT1A3_single_00565,ACZ81_02825
AMHOT1A3_single_00566,ACZ81_02830
AMHOT1A3_single_00567,ACZ81_02835
AMHOT1A3_single_00568,ACZ81_02840
AMHOT1A3_single_00569,ACZ81_02845
AMHOT1A3_single_00570,ACZ81_02850
AMHOT1A3_single_00571,ACZ81_02855
AMHOT1A3_single_00572,ACZ81_02860
AMHOT1A3_single_00573,ACZ81_02865
AMHOT1A3_single_00574,ACZ81_02870
AMHOT1A3_single_00575,ACZ81_02875
AMHOT1A3_single_00576,ACZ81_02880
AMHOT1A3_single_00577,ACZ81_02885
AMHOT1A3_single_00578,ACZ81_02890
AMHOT1A3_single_00579,ACZ81_02895
AMHOT1A3_single_00580,ACZ81_02900
AMHOT1A3_single_00581,ACZ81_02905
AMHOT1A3_single_00582,ACZ81_02915
AMHOT1A3_single_00583,ACZ81_02920
AMHOT1A3_single_00584,ACZ81_02925
AMHOT1A3_single_00585,ACZ81_02930
AMHOT1A3_single_00586,ACZ81_02940
AMHOT1A3_single_00587,ACZ81_RS21280
AMHOT1A3_single_00588,ACZ81_02945
AMHOT1A3_single_00589,ACZ81_02950
AMHOT1A3_single_00590,ACZ81_02955
AMHOT1A3_single_00591,ACZ81_02960
AMHOT1A3_single_00592,ACZ81_02965
AMHOT1A3_single_00593,ACZ81_02970
AMHOT1A3_single_00595,ACZ81_02980
AMHOT1A3_single_00596,ACZ81_02985
AMHOT1A3_single_00597,ACZ81_02990
AMHOT1A3_single_00598,ACZ81_02995
AMHOT1A3_single_00599,ACZ81_03000
AMHOT1A3_single_00600,ACZ81_03005
AMHOT1A3_single_00601,ACZ81_03010
AMHOT1A3_single_00602,ACZ81_03015
AMHOT1A3_single_00603,ACZ81_03020
AMHOT1A3_single_00604,ACZ81_03025
AMHOT1A3_single_00605,ACZ81_03030
AMHOT1A3_single_00606,ACZ81_03035
AMHOT1A3_single_00607,ACZ81_03040
AMHOT1A3_single_00608,ACZ81_03045
AMHOT1A3_single_00609,ACZ81_03050
AMHOT1A3_single_00610,ACZ81_03055
AMHOT1A3_single_00611,ACZ81_03060
AMHOT1A3_single_00612,ACZ81_03065
AMHOT1A3_single_00613,ACZ81_03070
AMHOT1A3_single_00614,ACZ81_03075
AMHOT1A3_single_00615,ACZ81_03080
AMHOT1A3_single_00616,ACZ81_03085
AMHOT1A3_single_00617,ACZ81_03090
AMHOT1A3_single_00618,ACZ81_03095
AMHOT1A3_single_00619,ACZ81_03100
AMHOT1A3_single_00620,ACZ81_03105
AMHOT1A3_single_00621,ACZ81_03110
AMHOT1A3_single_00622,ACZ81_03115
AMHOT1A3_single_00623,ACZ81_03120
AMHOT1A3_single_00624,ACZ81_03125
AMHOT1A3_single_00625,ACZ81_03130
AMHOT1A3_single_00626,ACZ81_03135
AMHOT1A3_single_00627,ACZ81_03140
AMHOT1A3_single_00628,ACZ81_03145
AMHOT1A3_single_00629,ACZ81_03150
AMHOT1A3_single_00630,ACZ81_03155
