seqid,gene_names,gene,locus_tag_ncbi,locus_tag,source,start,end,strand,Note,exception,inference,product,protein_id,Ontology_term,go_component,go_function,go_process,old_locus_tags,ec_numbers
NC_010475.1,SYNPCC7002_RS00085,,SYNPCC7002_RS00085,SYNPCC7002_A0016,Protein Homology,11402,11767,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_015134499.1,VOC family protein,WP_041443690.1,,,,,SYNPCC7002_A0016,
NC_010475.1,SYNPCC7002_RS00090,,SYNPCC7002_RS00090,SYNPCC7002_A0017,GeneMarkS-2+,11850,12152,-,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_012305659.1,,,,,SYNPCC7002_A0017,
NC_010475.1,SYNPCC7002_RS00095,,SYNPCC7002_RS00095,SYNPCC7002_A0018,Protein Homology,12398,12628,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012305660.1,hypothetical protein,WP_012305660.1,,,,,SYNPCC7002_A0018,
NC_010475.1,SYNPCC7002_RS00100,,SYNPCC7002_RS00100,SYNPCC7002_A0019,Protein Homology,12655,14193,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012305661.1,AAA family ATPase,WP_012305661.1,"GO:0005524,GO:0016887",,"ATP binding|0005524||IEA,ATP hydrolysis activity|0016887||IEA",,SYNPCC7002_A0019,
NC_010475.1,rsmD,rsmD,SYNPCC7002_RS00105,SYNPCC7002_A0020,Protein Homology,14203,14742,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012305662.1,16S rRNA (guanine(966)-N(2))-methyltransferase RsmD,WP_012305662.1,"GO:0031167,GO:0052913",,16S rRNA (guanine(966)-N(2))-methyltransferase activity|0052913||IEA,rRNA methylation|0031167||IEA,SYNPCC7002_A0020,2.1.1.171
NC_010475.1,SYNPCC7002_RS00110,,SYNPCC7002_RS00110,SYNPCC7002_A0021,Protein Homology,14914,15801,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012305663.1,alpha/beta fold hydrolase,WP_041443291.1,,,,,SYNPCC7002_A0021,
NC_010475.1,SYNPCC7002_RS00115,,SYNPCC7002_RS00115,SYNPCC7002_A0022,Protein Homology,15864,20024,-,,,COORDINATES: protein motif:HMM:NF044287.2,eIF2A-related protein,WP_012305664.1,,,,,SYNPCC7002_A0022,
NC_010475.1,SYNPCC7002_RS00120,,SYNPCC7002_RS00120,SYNPCC7002_A0023,Protein Homology,20106,20954,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012305665.1,cell division protein FtsQ/DivIB,WP_041443292.1,,,,,SYNPCC7002_A0023,
NC_010475.1,ftsZ,ftsZ,SYNPCC7002_RS00125,SYNPCC7002_A0024,Protein Homology,21214,22362,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012305666.1,cell division protein FtsZ,WP_083764478.1,"GO:0000910,GO:0003924,GO:0005525",,"GTPase activity|0003924||IEA,GTP binding|0005525||IEA",cytokinesis|0000910||IEA,SYNPCC7002_A0024,
NC_010475.1,thiD,thiD,SYNPCC7002_RS00130,SYNPCC7002_A0025,Protein Homology,22367,23170,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012305667.1,bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase,WP_012305667.1,"GO:0009228,GO:0008902,GO:0008972",,"hydroxymethylpyrimidine kinase activity|0008902||IEA,phosphomethylpyrimidine kinase activity|0008972||IEA",thiamine biosynthetic process|0009228||IEA,SYNPCC7002_A0025,"2.7.1.49,2.7.4.7"
NC_010475.1,SYNPCC7002_RS00135,,SYNPCC7002_RS00135,SYNPCC7002_A0026,Protein Homology,23167,24519,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012305668.1,GTP-binding protein,WP_012305668.1,,,,,SYNPCC7002_A0026,
NC_010475.1,SYNPCC7002_RS00140,,SYNPCC7002_RS00140,SYNPCC7002_A0027,Protein Homology,24806,25246,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012305669.1,DUF6036 family nucleotidyltransferase,WP_012305669.1,,,,,SYNPCC7002_A0027,
NC_010475.1,SYNPCC7002_RS00145,,SYNPCC7002_RS00145,SYNPCC7002_A0028,Protein Homology,25340,26419,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012305670.1,hypothetical protein,WP_012305670.1,,,,,SYNPCC7002_A0028,
NC_010475.1,SYNPCC7002_RS00150,,SYNPCC7002_RS00150,SYNPCC7002_A0029,Protein Homology,26445,27062,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012305671.1,LysE family translocator,WP_012305671.1,,,,,SYNPCC7002_A0029,
NC_010475.1,csaB,csaB,SYNPCC7002_RS00155,SYNPCC7002_A0030,Protein Homology,27194,28225,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012305672.1,polysaccharide pyruvyl transferase CsaB,WP_012305672.1,"GO:0042545,GO:0046919",,pyruvyltransferase activity|0046919||IEA,cell wall modification|0042545||IEA,SYNPCC7002_A0030,
NC_010475.1,SYNPCC7002_RS00160,,SYNPCC7002_RS00160,SYNPCC7002_A0031,Protein Homology,28387,28854,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_015133894.1,Dps family protein,WP_369009151.1,,,,,SYNPCC7002_A0031,
NC_010475.1,SYNPCC7002_RS00165,,SYNPCC7002_RS00165,SYNPCC7002_A0033,Protein Homology,29424,30743,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012305674.1,hemolysin family protein,WP_012305674.1,GO:0016020,membrane|0016020||IEA,,,SYNPCC7002_A0033,
NC_010475.1,SYNPCC7002_RS00170,,SYNPCC7002_RS00170,SYNPCC7002_A0034,Protein Homology,30885,31730,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012305675.1,3'(2')%2C5'-bisphosphate nucleotidase CysQ,WP_012305675.1,,,,,SYNPCC7002_A0034,
NC_010475.1,lysS,lysS,SYNPCC7002_RS00175,SYNPCC7002_A0035,Protein Homology,31804,33420,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012305676.1,lysine--tRNA ligase,WP_012305676.1,"GO:0006430,GO:0004824,GO:0005524,GO:0005737",cytoplasm|0005737||IEA,"lysine-tRNA ligase activity|0004824||IEA,ATP binding|0005524||IEA",lysyl-tRNA aminoacylation|0006430||IEA,SYNPCC7002_A0035,6.1.1.6
NC_010475.1,SYNPCC7002_RS00180,,SYNPCC7002_RS00180,SYNPCC7002_A0036,GeneMarkS-2+,33504,34478,-,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_012305677.1,,,,,SYNPCC7002_A0036,
NC_010475.1,trpS,trpS,SYNPCC7002_RS00185,SYNPCC7002_A0037,Protein Homology,34718,35728,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012595351.1,tryptophan--tRNA ligase,WP_012305678.1,"GO:0006436,GO:0000166,GO:0004830,GO:0005524",,"nucleotide binding|0000166||IEA,tryptophan-tRNA ligase activity|0004830||IEA,ATP binding|0005524||IEA",tryptophanyl-tRNA aminoacylation|0006436||IEA,SYNPCC7002_A0037,6.1.1.2
NC_010475.1,SYNPCC7002_RS00190,,SYNPCC7002_RS00190,SYNPCC7002_A0038,Protein Homology,35772,36683,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012305679.1,methylenetetrahydrofolate reductase,WP_012305679.1,"GO:0006555,GO:0004489",,methylenetetrahydrofolate reductase (NAD(P)H) activity|0004489||IEA,methionine metabolic process|0006555||IEA,SYNPCC7002_A0038,1.5.1.20
NC_010475.1,SYNPCC7002_RS00195,,SYNPCC7002_RS00195,SYNPCC7002_A0039,Protein Homology,36701,37603,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012305680.1,PhzF family phenazine biosynthesis protein,WP_012305680.1,"GO:0009058,GO:0016853,GO:0005737",cytoplasm|0005737||IEA,isomerase activity|0016853||IEA,biosynthetic process|0009058||IEA,SYNPCC7002_A0039,
NC_010475.1,SYNPCC7002_RS00200,,SYNPCC7002_RS00200,SYNPCC7002_RS00200,Protein Homology,37587,38036,+,,,COORDINATES: protein motif:HMM:TIGR00654.1,PhzF family phenazine biosynthesis isomerase,WP_083764419.1,"GO:0009058,GO:0003824",,catalytic activity|0003824||IEA,biosynthetic process|0009058||IEA,,
NC_010475.1,ftsH3,ftsH3,SYNPCC7002_RS00205,SYNPCC7002_A0040,Protein Homology,38116,39978,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012305681.1,ATP-dependent zinc metalloprotease FtsH3,WP_012305681.1,,,,,SYNPCC7002_A0040,3.4.24.-
NC_010475.1,SYNPCC7002_RS00210,,SYNPCC7002_RS00210,SYNPCC7002_A0041,Protein Homology,40120,45915,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012305682.1,translocation/assembly module TamB,WP_012305682.1,"GO:0009306,GO:0005886",plasma membrane|0005886||IEA,,protein secretion|0009306||IEA,SYNPCC7002_A0041,
NC_010475.1,SYNPCC7002_RS00215,,SYNPCC7002_RS00215,SYNPCC7002_A0042,GeneMarkS-2+,46222,46563,-,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_041443293.1,,,,,SYNPCC7002_A0042,
NC_010475.1,SYNPCC7002_RS00220,,SYNPCC7002_RS00220,SYNPCC7002_A0043,Protein Homology,46832,48373,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012305684.1,FAD-dependent oxidoreductase,WP_012305684.1,,,,,SYNPCC7002_A0043,1.-.-.-
NC_010475.1,SYNPCC7002_RS00225,,SYNPCC7002_RS00225,SYNPCC7002_A0044,Protein Homology,48397,49074,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002737530.1,uracil-DNA glycosylase family protein,WP_012305685.1,,,,,SYNPCC7002_A0044,
NC_010475.1,SYNPCC7002_RS00230,,SYNPCC7002_RS00230,SYNPCC7002_A0045,Protein Homology,49554,50762,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012305686.1,response regulator,WP_012305686.1,GO:0000160,,,phosphorelay signal transduction system|0000160||IEA,SYNPCC7002_A0045,
NC_010475.1,SYNPCC7002_RS00235,,SYNPCC7002_RS00235,SYNPCC7002_A0046,Protein Homology,50845,51207,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012305687.1,response regulator transcription factor,WP_012305687.1,"GO:0000160,GO:0006355,GO:0000156,GO:0003677",,"phosphorelay response regulator activity|0000156||IEA,DNA binding|0003677||IEA","phosphorelay signal transduction system|0000160||IEA,regulation of DNA-templated transcription|0006355||IEA",SYNPCC7002_A0046,
NC_010475.1,SYNPCC7002_RS00240,,SYNPCC7002_RS00240,SYNPCC7002_A0047,Protein Homology,51282,51773,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012305688.1,chemotaxis protein CheW,WP_012305688.1,"GO:0006935,GO:0007165",,,"chemotaxis|0006935||IEA,signal transduction|0007165||IEA",SYNPCC7002_A0047,
NC_010475.1,SYNPCC7002_RS00245,,SYNPCC7002_RS00245,SYNPCC7002_A0048,Protein Homology,51869,56263,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_015133788.1,GAF domain-containing protein,WP_041443695.1,GO:0005515,,protein binding|0005515||IEA,,SYNPCC7002_A0048,
NC_010475.1,SYNPCC7002_RS00250,,SYNPCC7002_RS00250,SYNPCC7002_A0049,Protein Homology,56378,59512,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012305690.1,hybrid sensor histidine kinase/response regulator,WP_012305690.1,GO:0000160,,,phosphorelay signal transduction system|0000160||IEA,SYNPCC7002_A0049,2.7.13.3
NC_010475.1,SYNPCC7002_RS00255,,SYNPCC7002_RS00255,SYNPCC7002_A0050,Protein Homology,59525,60178,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_015132562.1,DUF3318 domain-containing protein,WP_012305691.1,,,,,SYNPCC7002_A0050,
NC_010475.1,SYNPCC7002_RS00260,,SYNPCC7002_RS00260,SYNPCC7002_A0051,Protein Homology,60296,60643,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012305692.1,helix-turn-helix transcriptional regulator,WP_012305692.1,GO:0003700,,DNA-binding transcription factor activity|0003700||IEA,,SYNPCC7002_A0051,
NC_010475.1,accB,accB,SYNPCC7002_RS00265,SYNPCC7002_A0052,Protein Homology,60707,61204,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002765725.1,acetyl-CoA carboxylase biotin carboxyl carrier protein,WP_012305693.1,"GO:0006633,GO:0003989,GO:0009317",acetyl-CoA carboxylase complex|0009317||IEA,acetyl-CoA carboxylase activity|0003989||IEA,fatty acid biosynthetic process|0006633||IEA,SYNPCC7002_A0052,6.4.1.2
NC_010475.1,efp,efp,SYNPCC7002_RS00270,SYNPCC7002_A0053,Protein Homology,61290,61847,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012593915.1,elongation factor P,WP_012305694.1,"GO:0006414,GO:0003746,GO:0005737",cytoplasm|0005737||IEA,translation elongation factor activity|0003746||IEA,translational elongation|0006414||IEA,SYNPCC7002_A0053,
NC_010475.1,SYNPCC7002_RS00275,,SYNPCC7002_RS00275,SYNPCC7002_A0054,Protein Homology,61952,62608,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012305695.1,ComF family protein,WP_012305695.1,,,,,SYNPCC7002_A0054,
NC_010475.1,SYNPCC7002_RS00280,,SYNPCC7002_RS00280,SYNPCC7002_A0055,Protein Homology,62605,63024,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012305696.1,type II toxin-antitoxin system VapC family toxin,WP_012305696.1,,,,,SYNPCC7002_A0055,
NC_010475.1,SYNPCC7002_RS00285,,SYNPCC7002_RS00285,SYNPCC7002_A0056,Protein Homology,63031,63270,-,,,COORDINATES: protein motif:HMM:NF046758.1,FitA-like ribbon-helix-helix domain-containing protein,WP_012305697.1,,,,,SYNPCC7002_A0056,
NC_010475.1,SYNPCC7002_RS00290,,SYNPCC7002_RS00290,SYNPCC7002_A0057,Protein Homology,63367,64266,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_015132545.1,hypothetical protein,WP_223209900.1,,,,,SYNPCC7002_A0057,
NC_010475.1,accD,accD,SYNPCC7002_RS00295,SYNPCC7002_A0058,Protein Homology,64484,65443,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012305699.1,acetyl-CoA carboxylase%2C carboxyltransferase subunit beta,WP_012305699.1,"GO:0006633,GO:0003989,GO:0009317",acetyl-CoA carboxylase complex|0009317||IEA,acetyl-CoA carboxylase activity|0003989||IEA,fatty acid biosynthetic process|0006633||IEA,SYNPCC7002_A0058,6.4.1.2
NC_010475.1,SYNPCC7002_RS00300,,SYNPCC7002_RS00300,SYNPCC7002_A0059,Protein Homology,65470,65679,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012305700.1,hypothetical protein,WP_012305700.1,,,,,SYNPCC7002_A0059,
NC_010475.1,mutT,mutT,SYNPCC7002_RS00305,SYNPCC7002_A0060,Protein Homology,65831,66229,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012305701.1,8-oxo-dGTP diphosphatase MutT,WP_012305701.1,"GO:0006281,GO:0016818",,hydrolase activity%2C acting on acid anhydrides%2C in phosphorus-containing anhydrides|0016818||IEA,DNA repair|0006281||IEA,SYNPCC7002_A0060,3.6.1.55
NC_010475.1,rnc,rnc,SYNPCC7002_RS00310,SYNPCC7002_A0061,Protein Homology,66337,67062,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_015133157.1,ribonuclease III,WP_041443295.1,"GO:0006364,GO:0006396,GO:0003723,GO:0004525",,"RNA binding|0003723||IEA,ribonuclease III activity|0004525||IEA","rRNA processing|0006364||IEA,RNA processing|0006396||IEA",SYNPCC7002_A0061,3.1.26.3
NC_010475.1,SYNPCC7002_RS00315,,SYNPCC7002_RS00315,SYNPCC7002_A0062,GeneMarkS-2+,67152,67652,+,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_041443296.1,,,,,SYNPCC7002_A0062,
NC_010475.1,SYNPCC7002_RS00320,,SYNPCC7002_RS00320,SYNPCC7002_A0063,Protein Homology,67696,70698,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012305704.1,UPF0182 family protein,WP_012305704.1,,,,,SYNPCC7002_A0063,
NC_010475.1,SYNPCC7002_RS00325,,SYNPCC7002_RS00325,SYNPCC7002_A0064,Protein Homology,70804,72312,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012305705.1,bifunctional UDP-sugar hydrolase/5'-nucleotidase,WP_049761529.1,"GO:0008253,GO:0046872",,"5'-nucleotidase activity|0008253||IEA,metal ion binding|0046872||IEA",,SYNPCC7002_A0064,
NC_010475.1,SYNPCC7002_RS00330,,SYNPCC7002_RS00330,SYNPCC7002_A0065,Protein Homology,72394,72648,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012305706.1,chlororespiratory reduction protein 7,WP_012305706.1,,,,,SYNPCC7002_A0065,
NC_010475.1,SYNPCC7002_RS00335,,SYNPCC7002_RS00335,SYNPCC7002_A0066,Protein Homology,72686,74116,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_015133942.1,YdiU family protein,WP_012305707.1,,,,,SYNPCC7002_A0066,
NC_010475.1,SYNPCC7002_RS00340,,SYNPCC7002_RS00340,SYNPCC7002_A0067,Protein Homology,74161,74340,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012305708.1,PCP reductase family protein,WP_012305708.1,,,,,SYNPCC7002_A0067,
NC_010475.1,lpxB,lpxB,SYNPCC7002_RS00345,SYNPCC7002_A0068,Protein Homology,74343,75515,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012305709.1,lipid-A-disaccharide synthase,WP_012305709.1,"GO:0009245,GO:0008915",,lipid-A-disaccharide synthase activity|0008915||IEA,lipid A biosynthetic process|0009245||IEA,SYNPCC7002_A0068,2.4.1.182
NC_010475.1,lpxA,lpxA,SYNPCC7002_RS00350,SYNPCC7002_A0069,Protein Homology,75522,76325,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_015133370.1,acyl-ACP--UDP-N-acetylglucosamine O-acyltransferase,WP_315862069.1,"GO:0008610,GO:0008780",,acyl-[acyl-carrier-protein]-UDP-N-acetylglucosamine O-acyltransferase activity|0008780||IEA,lipid biosynthetic process|0008610||IEA,SYNPCC7002_A0069,2.3.1.129
NC_010475.1,fabZ,fabZ,SYNPCC7002_RS00355,SYNPCC7002_A0070,Protein Homology,76369,76836,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012305711.1,3-hydroxyacyl-ACP dehydratase FabZ,WP_012305711.1,"GO:0006633,GO:0016836,GO:0019171",,"hydro-lyase activity|0016836||IEA,(3R)-hydroxyacyl-[acyl-carrier-protein] dehydratase activity|0019171||IEA",fatty acid biosynthetic process|0006633||IEA,SYNPCC7002_A0070,4.2.1.59
NC_010475.1,SYNPCC7002_RS00360,,SYNPCC7002_RS00360,SYNPCC7002_A0071,Protein Homology,76972,77229,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012305712.1,TIGR03643 family protein,WP_012305712.1,,,,,SYNPCC7002_A0071,
NC_010475.1,ylqF,ylqF,SYNPCC7002_RS00365,SYNPCC7002_A0072,Protein Homology,77289,78125,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012305713.1,ribosome biogenesis GTPase YlqF,WP_012305713.1,"GO:0042254,GO:0003924,GO:0005525,GO:0005737",cytoplasm|0005737||IEA,"GTPase activity|0003924||IEA,GTP binding|0005525||IEA",ribosome biogenesis|0042254||IEA,SYNPCC7002_A0072,
NC_010475.1,eno,eno,SYNPCC7002_RS00370,SYNPCC7002_A0073,Protein Homology,78306,79598,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012305714.1,phosphopyruvate hydratase,WP_012305714.1,"GO:0006096,GO:0000287,GO:0004634,GO:0000015",phosphopyruvate hydratase complex|0000015||IEA,"magnesium ion binding|0000287||IEA,phosphopyruvate hydratase activity|0004634||IEA",glycolytic process|0006096||IEA,SYNPCC7002_A0073,4.2.1.11
NC_010475.1,SYNPCC7002_RS16605,,SYNPCC7002_RS16605,SYNPCC7002_RS16605,GeneMarkS-2+,79701,79904,-,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_143589370.1,,,,,,
NC_010475.1,rbfA,rbfA,SYNPCC7002_RS00375,SYNPCC7002_A0074,Protein Homology,79979,80374,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012305715.1,30S ribosome-binding factor RbfA,WP_012305715.1,GO:0006364,,,rRNA processing|0006364||IEA,SYNPCC7002_A0074,
NC_010475.1,SYNPCC7002_RS00380,,SYNPCC7002_RS00380,SYNPCC7002_A0075,Protein Homology,80386,81978,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012305716.1,glycoside hydrolase family 3 N-terminal domain-containing protein,WP_041443297.1,"GO:0005975,GO:0004553",,hydrolase activity%2C hydrolyzing O-glycosyl compounds|0004553||IEA,carbohydrate metabolic process|0005975||IEA,SYNPCC7002_A0075,
NC_010475.1,SYNPCC7002_RS00385,,SYNPCC7002_RS00385,SYNPCC7002_A0076,Protein Homology,82165,82413,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012305717.1,DUF4327 family protein,WP_012305717.1,,,,,SYNPCC7002_A0076,
NC_010475.1,SYNPCC7002_RS16340,,SYNPCC7002_RS16340,SYNPCC7002_A0077,Protein Homology,82481,82723,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012305718.1,DUF4327 family protein,WP_012305718.1,,,,,SYNPCC7002_A0077,
NC_010475.1,SYNPCC7002_RS00390,,SYNPCC7002_RS00390,SYNPCC7002_A0078,Protein Homology,82844,83233,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012305719.1,hypothetical protein,WP_012305719.1,,,,,SYNPCC7002_A0078,
NC_010475.1,SYNPCC7002_RS00395,,SYNPCC7002_RS00395,SYNPCC7002_A0079,Protein Homology,83336,83683,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012305720.1,hypothetical protein,WP_012305720.1,,,,,SYNPCC7002_A0079,
NC_010475.1,SYNPCC7002_RS00405,,SYNPCC7002_RS00405,SYNPCC7002_A0081,Protein Homology,84600,84794,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012305721.1,heavy-metal-associated domain-containing protein,WP_012305721.1,GO:0046872,,metal ion binding|0046872||IEA,,SYNPCC7002_A0081,
NC_010475.1,SYNPCC7002_RS00410,,SYNPCC7002_RS00410,SYNPCC7002_A0082,Protein Homology,84870,85547,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012305722.1,peptidoglycan-binding protein,WP_143589371.1,,,,,SYNPCC7002_A0082,
NC_010475.1,SYNPCC7002_RS00415,,SYNPCC7002_RS00415,SYNPCC7002_A0083,Protein Homology,85586,86875,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012305723.1,pitrilysin family protein,WP_012305723.1,GO:0046872,,metal ion binding|0046872||IEA,,SYNPCC7002_A0083,
