Accession,Protein Name,log2_fold_change,adjusted_p_value,n_measurements,COG group,Cellular location,sources,resolved_locus_tag,resolution_method
PMM0325,petB Cytochrome b6 309806:310462 forward,-0.0297353209854712,0.3586,1,C,cytoplasmic membrane,iTRAQ2 protein list :: Ratio 115:114,PMM0325,locus_tag:Accession
PMM0329,psaE Photosystem I PsaE protein (subunit IV) 319058:319267 reverse,0.1751980708680126,0.7827,2,NO COG,unknown,iTRAQ1 protein list :: Ratio 116:115 ; iTRAQ2 protein list :: Ratio 115:114,PMM0329,locus_tag:Accession
PMM0338,CDS conserved hypothetical 327021:327320 forward,-0.1598792265384678,,1,NO COG,cytoplasmic,iTRAQ2 protein list :: Ratio 115:114,PMM0338,locus_tag:Accession
PMM0378,CDS conserved hypothetical protein 358218:358490 reverse,-0.523877580119848,0.0807,1,NO COG,unknown,iTRAQ2 protein list :: Ratio 115:114,PMM0378,locus_tag:Accession
PMM0395,CDS conserved hypothetical protein 374367:374942 forward,0.2993618976515587,0.6135,1,S,unknown,iTRAQ1 protein list :: Ratio 116:115,PMM0395,locus_tag:Accession
PMM0403,CDS conserved hypothetical protein 381740:382186 forward,0.3374256642826881,0.4618,1,NO COG,unknown,iTRAQ1 protein list :: Ratio 116:115,PMM0403,locus_tag:Accession
PMM0405,pdhC Dihydrolipoamide acetyltransferase component 383670:385037 forward,0.0414291333308612,0.1883,2,C,cytoplasmic,iTRAQ1 protein list :: Ratio 116:115 ; iTRAQ2 protein list :: Ratio 115:114,PMM0405,locus_tag:Accession
PMM0406,queA Queuosine biosynthesis protein 385044:386168 forward,0.4556494273164153,,1,J,unknown,iTRAQ1 protein list :: Ratio 116:115,PMM0406,locus_tag:Accession
PMM0407,cysK1 O-acetylserine (thiol)-lyase A 386171:387157 reverse,0.1323794250528661,0.6679,1,E,unknown,iTRAQ2 protein list :: Ratio 115:114,PMM0407,locus_tag:Accession
PMM0436,topA Prokaryotic DNA topoisomerase 414484:417096 forward,0.0615688492680028,0.5328,1,L,unknown,iTRAQ1 protein list :: Ratio 116:115,PMM0436,locus_tag:Accession
PMM0452,"groEL2,cpn60-2 GroEL2 protein (Chaperonin cpn60 2) 430556:432301 reverse",-0.0506803515444827,0.7874,2,O,cytoplasmic,iTRAQ1 protein list :: Ratio 116:115 ; iTRAQ2 protein list :: Ratio 115:114,PMM0452,locus_tag:Accession
PMM0454,ispD putative 2-C-methyl-D-erythritol 4-phosphate 433458:434129 forward,0.6569081834733373,0.008,1,I,unknown,iTRAQ1 protein list :: Ratio 116:115,PMM0454,locus_tag:Accession
PMM0461,petA Cytochrome f 439817:440770 reverse,1.10091038764691,0.2682,1,NO COG,unknown,iTRAQ2 protein list :: Ratio 115:114,PMM0461,locus_tag:Accession
PMM0462,petC Rieske iron-sulfur protein 440775:441311 reverse,0.1206173612179418,0.652,1,C,unknown,iTRAQ1 protein list :: Ratio 116:115,PMM0462,locus_tag:Accession
PMM0475,rpl19 Ribosomal protein L19 450648:451130 reverse,0.0926133927142838,0.532,1,J,cytoplasmic,iTRAQ1 protein list :: Ratio 116:115,PMM0475,locus_tag:Accession
PMM0482,phb Band 7 protein 455827:456633 forward,0.1544535926798724,0.4939,1,O,unknown,iTRAQ2 protein list :: Ratio 115:114,PMM0482,locus_tag:Accession
PMM0483,"hemL, gsa glutamate-1-semialdehyde 2,1-aminomutase 456638:457939 reverse",-0.1023723257204494,0.0331,1,H,unknown,iTRAQ2 protein list :: Ratio 115:114,PMM0483,locus_tag:Accession
PMM0506,"purA,adeK Adenylosuccinate synthetase 478206:479516 reverse",0.061292338478294,0.6395,1,F,cytoplasmic,iTRAQ1 protein list :: Ratio 116:115,PMM0506,locus_tag:Accession
PMM0515,cobC possible alpha-ribazole-5'-P phosphatase 485563:486891 reverse,-0.0914840922488201,0.8934,2,G,unknown,iTRAQ1 protein list :: Ratio 116:115 ; iTRAQ2 protein list :: Ratio 115:114,PMM0515,locus_tag:Accession
PMM0529,CDS conserved hypothetical protein 500539:501444 reverse,-0.0855885557189886,0.6848,1,NO COG,unknown,iTRAQ1 protein list :: Ratio 116:115,PMM0529,locus_tag:Accession
PMM0541,CDS conserved hypothetical protein 511060:511407 forward,0.3082443643937131,,1,NO COG,cytoplasmic,iTRAQ2 protein list :: Ratio 115:114,PMM0541,locus_tag:Accession
PMM0543,"chlL,frxC Protochlorophyllide reductase iron-sulfur 512474:513361 reverse",0.5891882114908569,0.1441,1,P,cytoplasmic,iTRAQ1 protein list :: Ratio 116:115,PMM0543,locus_tag:Accession
PMM0549,csoS1 carboxysome shell protein CsoS1 518725:519021 forward,-0.1425762912676929,0.0502,1,Q & C,cytoplasmic,iTRAQ2 protein list :: Ratio 115:114,PMM0549,locus_tag:Accession
PMM0550,"rbcL, cbbL Ribulose bisphosphate carboxylase, large chain 519087:520502 forward",-0.2026666822415644,0.6774,2,G,cytoplasmic,iTRAQ1 protein list :: Ratio 116:115 ; iTRAQ2 protein list :: Ratio 115:114,PMM0550,locus_tag:Accession
PMM0552,csoS2 carboxysome shell protein CsoS2 521024:523321 forward,0.216632287231355,0.4991,2,NO COG,unknown,iTRAQ1 protein list :: Ratio 116:115 ; iTRAQ2 protein list :: Ratio 115:114,PMM0552,locus_tag:Accession
PMM0581,petE plastocyanin 546477:546827 reverse,0.4184598375809911,0.2124,1,C,unknown,iTRAQ2 protein list :: Ratio 115:114,PMM0581,locus_tag:Accession
PMM0590,proA Gamma-glutamyl phosphate reductase 558202:559512 forward,-0.0335001618120372,0.4119,2,E,cytoplasmic,iTRAQ1 protein list :: Ratio 116:115 ; iTRAQ2 protein list :: Ratio 115:114,PMM0590,locus_tag:Accession
PMM0593,CDS Peptidase family M3 560476:562563 reverse,-0.0430512347852513,0.6751,1,E,cytoplasmic,iTRAQ1 protein list :: Ratio 116:115,PMM0593,locus_tag:Accession
PMM0608,menB Napthoate synthase 577662:578519 forward,-0.226509972504442,0.1109,1,H,unknown,iTRAQ1 protein list :: Ratio 116:115,PMM0608,locus_tag:Accession
PMM0615,CDS Possible nitrilase 585897:586724 forward,0.0294175468350917,0.8867,1,R,unknown,iTRAQ1 protein list :: Ratio 116:115,PMM0615,locus_tag:Accession
PMM0619,acs acetyl-coenzyme A synthetase 589700:591682 forward,-0.0110063596570185,0.9504,1,I,cytoplasmic membrane,iTRAQ1 protein list :: Ratio 116:115,PMM0619,locus_tag:Accession
PMM0627,pcb light-harvesting complex protein 596691:597749 forward,0.4500443127539092,0.0327,2,NO COG,cytoplasmic membrane,iTRAQ1 protein list :: Ratio 116:115 ; iTRAQ2 protein list :: Ratio 115:114,PMM0627,locus_tag:Accession
PMM0642,cysD putative O-Acetyl homoserine sulfhydrylase 610958:612286 forward,-0.4490993353524767,0.0018,1,E,cytoplasmic,iTRAQ1 protein list :: Ratio 116:115,PMM0642,locus_tag:Accession
PMM0659,CDS NAD-dependent DNA ligase N-terminus 626013:626762 forward,-0.1405974915156712,0.4354,2,L,unknown,iTRAQ1 protein list :: Ratio 116:115 ; iTRAQ2 protein list :: Ratio 115:114,PMM0659,locus_tag:Accession
PMM0661,nrdJ ribonucleotide reductase (Class II) 628726:631134 reverse,0.2855797704027948,0.0833,1,NO COG,unknown,iTRAQ1 protein list :: Ratio 116:115,PMM0661,locus_tag:Accession
PMM0708,CDS putative secreted protein 671693:673975 reverse,-0.039979876006979,0.0967,2,NO COG,outer membrane,iTRAQ1 protein list :: Ratio 116:115 ; iTRAQ2 protein list :: Ratio 115:114,PMM0708,locus_tag:Accession
PMM0710,"CDS ABC transporter, substrate binding protein, 675854:676825 forward",-0.1569879576876091,0.8202,2,P,periplasmic,iTRAQ1 protein list :: Ratio 116:115 ; iTRAQ2 protein list :: Ratio 115:114,PMM0710,locus_tag:Accession
PMM0719,CDS hypothetical 683454:683759 forward,-0.1873785604229079,0.5663,1,NO COG,cytoplasmic,iTRAQ1 protein list :: Ratio 116:115,PMM0719,locus_tag:Accession
PMM0735,CDS hypothetical 698520:698723 forward,-0.179514657013621,0.185,1,NO COG,unknown,iTRAQ1 protein list :: Ratio 116:115,PMM0735,locus_tag:Accession
PMM0741,CDS conserved hypothetical protein 702603:703256 reverse,1.6205394927770855,,1,NO COG,unknown,iTRAQ1 protein list :: Ratio 116:115,PMM0741,locus_tag:Accession
PMM0743,ftsH1 FtsH ATP-dependent protease homolog 703879:705792 reverse,0.4279279276152344,,1,O,cytoplasmic membrane,iTRAQ2 protein list :: Ratio 115:114,PMM0743,locus_tag:Accession
PMM0753,"rps2, rpsB 30S ribosomal protein S2 713478:714182 forward",0.6299394094395401,0.1373,1,J,cytoplasmic,iTRAQ1 protein list :: Ratio 116:115,PMM0753,locus_tag:Accession
PMM0760,chlP Aromatic-ring hydroxylase (flavoprotein 723227:724558 reverse,0.3805078193394459,0.3568,1,C,cytoplasmic,iTRAQ1 protein list :: Ratio 116:115,PMM0760,locus_tag:Accession
PMM0767,"glpX, cbbF, fbp Fructose-1,6-bisphosphatase/sedoheptulose-1,7-bis 730434:731435 forward",-0.4589836681695192,0.5138,2,G,cytoplasmic,iTRAQ1 protein list :: Ratio 116:115 ; iTRAQ2 protein list :: Ratio 115:114,PMM0767,locus_tag:Accession
PMM0781,"cbbA,cfxA,fbaA,fda Fructose-bisphosphate/sedoheptulose-1,7-bisphosph 742975:744048 reverse",0.158459166618691,0.6418,2,G,cytoplasmic,iTRAQ1 protein list :: Ratio 116:115 ; iTRAQ2 protein list :: Ratio 115:114,PMM0781,locus_tag:Accession
PMM0785,"prk, cbbP phosphoribulokinase 746750:747649 reverse",-0.2207823106853522,0.1977,1,C,cytoplasmic,iTRAQ1 protein list :: Ratio 116:115,PMM0785,locus_tag:Accession
PMM0790,CDS conserved hypothetical protein 751468:752004 reverse,0.688314660640385,0.2161,1,NO COG,unknown,iTRAQ1 protein list :: Ratio 116:115,PMM0790,locus_tag:Accession
PMM0797,CDS possible mRNA binding protein 757849:758769 forward,0.087191249562623,0.5745,1,M&G,unknown,iTRAQ1 protein list :: Ratio 116:115,PMM0797,locus_tag:Accession
PMM0804,CDS ferritin 763008:763562 forward,0.1991112571579298,0.1063,2,P,unknown,iTRAQ1 protein list :: Ratio 116:115 ; iTRAQ2 protein list :: Ratio 115:114,PMM0804,locus_tag:Accession
PMM0856,tpx thioredoxin peroxidase 812943:813527 reverse,-0.0646832576683579,0.4897,2,O,unknown,iTRAQ1 protein list :: Ratio 116:115 ; iTRAQ2 protein list :: Ratio 115:114,PMM0856,locus_tag:Accession
PMM0889,leuS Leucyl-tRNA synthetase 849238:851814 forward,0.0654344459486331,0.5316,1,J,cytoplasmic,iTRAQ1 protein list :: Ratio 116:115,PMM0889,locus_tag:Accession
PMM0893,ribA/ribB possible GTP cyclohydrolase II / 855364:857097 forward,0.1797658083581496,0.2332,1,H,cytoplasmic,iTRAQ1 protein list :: Ratio 116:115,PMM0893,locus_tag:Accession
PMM0894,CDS Cyclophilin-type peptidyl-prolyl cis-trans 857094:857531 reverse,-0.1341603478413375,0.4151,1,O,cytoplasmic,iTRAQ1 protein list :: Ratio 116:115,PMM0894,locus_tag:Accession
PMM0901,htpG heat shock protein HtpG 863832:865736 forward,0.007510389479991,0.0035,2,O,cytoplasmic,iTRAQ1 protein list :: Ratio 116:115 ; iTRAQ2 protein list :: Ratio 115:114,PMM0901,locus_tag:Accession
PMM0920,"glnA Glutamine synthetase, glutamate--ammonia ligase 881367:882788 forward",-0.0872734999514736,,1,E,cytoplasmic,iTRAQ2 protein list :: Ratio 115:114,PMM0920,locus_tag:Accession
PMM0941,CDS possible cAMP phosphodiesterases class-II 899990:900349 forward,-0.0424320417226054,0.5676,2,NO COG,unknown,iTRAQ1 protein list :: Ratio 116:115 ; iTRAQ2 protein list :: Ratio 115:114,PMM0941,locus_tag:Accession
PMM0952,trpD/G putative Anthranilate synthase component II 910472:911503 reverse,0.3282620286094129,0.1141,1,E,unknown,iTRAQ1 protein list :: Ratio 116:115,PMM0952,locus_tag:Accession
PMM0961,CDS Glycoside hydrolase family 13 918353:920110 reverse,-0.1778817252706554,,1,G,cytoplasmic,iTRAQ1 protein list :: Ratio 116:115,PMM0961,locus_tag:Accession
PMM0962,CDS possible Vng0271c 920161:921387 forward,-0.3093594213843066,0.0461,1,NO COG,cytoplasmic,iTRAQ1 protein list :: Ratio 116:115,PMM0962,locus_tag:Accession
PMM0970,"urtA putative urea ABC transporter, substrate binding 926568:927887 forward",-0.1433727883016099,0.7413,1,E,periplasmic,iTRAQ1 protein list :: Ratio 116:115,PMM0970,locus_tag:Accession
PMM1007,CDS 957628:958299 reverse,0.4502742925538212,0.4562,1,NO COG,cytoplasmic,iTRAQ1 protein list :: Ratio 116:115,PMM1007,locus_tag:Accession
PMM1033,CDS Cobalamin synthesis protein/P47K 977075:978433 forward,-0.2931821526602385,0.0509,1,R,cytoplasmic,iTRAQ1 protein list :: Ratio 116:115,PMM1033,locus_tag:Accession
PMM1061,trxA Thioredoxin 1000324:1000647 reverse,-0.1082697534198813,0.7834,1,O,cytoplasmic,iTRAQ1 protein list :: Ratio 116:115,PMM1061,locus_tag:Accession
PMM1069,folD putuative bifunctional Methylenetetrahydrofolate 1011546:1012442 forward,-0.0918788295938619,0.5182,1,H,unknown,iTRAQ1 protein list :: Ratio 116:115,PMM1069,locus_tag:Accession
PMM1075,petH ferredoxin-NADP oxidoreductase (FNR) 1018224:1019336 reverse,0.0297002342154198,0.9072,1,P,cytoplasmic,iTRAQ2 protein list :: Ratio 115:114,PMM1075,locus_tag:Accession
PMM1088,clpC ClpC 1032024:1034552 reverse,-0.0923401721467105,0.4149,1,O,cytoplasmic,iTRAQ1 protein list :: Ratio 116:115,PMM1088,locus_tag:Accession
PMM1090,lysA Diaminopimelate decarboxylase 1035266:1036639 forward,0.010206942869257,0.948,1,E,unknown,iTRAQ1 protein list :: Ratio 116:115,PMM1090,locus_tag:Accession
PMM1091,CDS conserved hypothetical protein 1036668:1037558 forward,0.4890290638504373,0.4603,1,S,cytoplasmic membrane,iTRAQ2 protein list :: Ratio 115:114,PMM1091,locus_tag:Accession
PMM1113,CDS two-component response regulator 1059346:1060083 forward,-0.0889604143557128,0.5249,1,T&K,cytoplasmic,iTRAQ1 protein list :: Ratio 116:115,PMM1113,locus_tag:Accession
PMM1145,pntB putative nicotinamide nucleotide 1097431:1098867 reverse,1.950505740835184,,1,C,cytoplasmic membrane,iTRAQ1 protein list :: Ratio 116:115,PMM1145,locus_tag:Accession
PMM1147,pntA-1 putative nicotinamide nucleotide 1099193:1100323 reverse,0.0127270482138745,0.8587,2,C,cytoplasmic membrane,iTRAQ1 protein list :: Ratio 116:115 ; iTRAQ2 protein list :: Ratio 115:114,PMM1147,locus_tag:Accession
PMM1154,ilvH Acetolactate synthase small subunit 1105694:1106218 forward,0.3521935377450317,0.3302,1,E,cytoplasmic,iTRAQ1 protein list :: Ratio 116:115,PMM1154,locus_tag:Accession
PMM1157,psbD Photosystem II PsbD protein (D2) 1107613:1108689 forward,0.1867868911091297,0.734,2,NO COG,cytoplasmic membrane,iTRAQ1 protein list :: Ratio 116:115 ; iTRAQ2 protein list :: Ratio 115:114,PMM1157,locus_tag:Accession
PMM1158,psbC Photosystem II PsbC protein (CP43) 1108673:1110055 forward,0.4739121782549056,0.0605,2,NO COG,cytoplasmic membrane,iTRAQ1 protein list :: Ratio 116:115 ; iTRAQ2 protein list :: Ratio 115:114,PMM1158,locus_tag:Accession
PMM1164,"futA,sfuA, idiA putative iron ABC transporter, substrate binding 1116122:1117144 reverse",0.3078947755125013,0.0269,1,P,periplasmic,iTRAQ1 protein list :: Ratio 116:115,PMM1164,locus_tag:Accession
PMM1166,CDS conserved hypothetical protein 1118243:1118632 reverse,-0.4835813583661317,,1,NO COG,unknown,iTRAQ1 protein list :: Ratio 116:115,PMM1166,locus_tag:Accession
PMM1171,isiB Flavodoxin 1121029:1121553 reverse,-0.179514657013621,,1,C,unknown,iTRAQ2 protein list :: Ratio 115:114,PMM1171,locus_tag:Accession
PMM1180,sppA signal peptide peptidase SppA (protease IV) 1128287:1129096 forward,0.2668798005959681,0.1631,2,O&R,unknown,iTRAQ1 protein list :: Ratio 116:115 ; iTRAQ2 protein list :: Ratio 115:114,PMM1180,locus_tag:Accession
PMM1186,CDS Putative inner membrane protein; similar to 60 1131179:1132318 forward,0.6845494691838425,0.0384,1,R,cytoplasmic membrane,iTRAQ1 protein list :: Ratio 116:115,PMM1186,locus_tag:Accession
PMM1191,pnp polyribonucleotide nucleotidyltransferase 1136852:1139017 forward,-0.0540887685490374,0.9537,2,J,cytoplasmic,iTRAQ1 protein list :: Ratio 116:115 ; iTRAQ2 protein list :: Ratio 115:114,PMM1191,locus_tag:Accession
PMM1204,"ddhA, rfbF glucose-1-phosphate cytidylyltransferase 1152143:1152910 reverse",-0.0388953202709471,0.7488,1,M&J,unknown,iTRAQ1 protein list :: Ratio 116:115,PMM1204,locus_tag:Accession
PMM1235,CDS possible N-terminal fragment of transketolase 1187097:1187927 forward,0.1486087702052201,0.4365,1,G,unknown,iTRAQ1 protein list :: Ratio 116:115,PMM1235,locus_tag:Accession
PMM1240,CDS methyltransferase 1192421:1193092 forward,-0.0629569855489811,0.6714,1,H,unknown,iTRAQ1 protein list :: Ratio 116:115,PMM1240,locus_tag:Accession
PMM1264,ftsH3 cell division protein FtsH3 1217915:1219777 reverse,0.5527705244390648,0.0537,1,O,cytoplasmic membrane,iTRAQ2 protein list :: Ratio 115:114,PMM1264,locus_tag:Accession
PMM1284,"phoH,psiH PhoH-like phosphate starvation-inducible 1233875:1234831 reverse",-0.1411437038086634,0.3599,1,T,cytoplasmic,iTRAQ1 protein list :: Ratio 116:115,PMM1284,locus_tag:Accession
PMM1294,CDS putative nickel-containing superoxide dismutase 1246173:1246643 forward,0.3103401206121505,0.3734,1,NO COG,cytoplasmic,iTRAQ1 protein list :: Ratio 116:115,PMM1294,locus_tag:Accession
PMM1301,argD Aminotransferase class-III 1253002:1254255 forward,-0.0434972222299557,0.8788,1,E,cytoplasmic membrane,iTRAQ1 protein list :: Ratio 116:115,PMM1301,locus_tag:Accession
PMM1303,CDS conserved hypothetical protein 1255497:1256852 reverse,0.3806186381773764,0.1411,1,C,cytoplasmic,iTRAQ1 protein list :: Ratio 116:115,PMM1303,locus_tag:Accession
PMM1309,ftsZ Cell division protein FtsZ:Tubulin/FtsZ family 1262202:1263317 forward,0.5871056977113589,0.0276,2,D,cytoplasmic,iTRAQ1 protein list :: Ratio 116:115 ; iTRAQ2 protein list :: Ratio 115:114,PMM1309,locus_tag:Accession
PMM1332,CDS Cytosol aminopeptidase 1282104:1283579 forward,0.2654368960490983,0.7301,1,E,unknown,iTRAQ2 protein list :: Ratio 115:114,PMM1332,locus_tag:Accession
PMM1350,CDS Pentapeptide repeats 1300763:1301341 forward,-0.3459809647065524,0.1046,2,S,unknown,iTRAQ1 protein list :: Ratio 116:115 ; iTRAQ2 protein list :: Ratio 115:114,PMM1350,locus_tag:Accession
PMM1354,serA putative D-3-phosphoglycerate dehydrogenase 1303160:1304746 reverse,-0.0267928458865443,0.882,1,E,cytoplasmic,iTRAQ1 protein list :: Ratio 116:115,PMM1354,locus_tag:Accession
PMM1401,CDS conserved hypothetical 1347131:1347412 forward,-0.53897203400299,0.5888,2,NO COG,cytoplasmic,iTRAQ1 protein list :: Ratio 116:115 ; iTRAQ2 protein list :: Ratio 115:114,PMM1401,locus_tag:Accession
PMM1405,CDS hypothetical 1350757:1350987 reverse,0.7738058450755987,0.6785,2,NO COG,unknown,iTRAQ1 protein list :: Ratio 116:115 ; iTRAQ2 protein list :: Ratio 115:114,PMM1405,locus_tag:Accession
PMM1412,CDS conserved hypothetical protein 1354682:1355110 forward,0.2133783907250624,0.3519,1,S,unknown,iTRAQ1 protein list :: Ratio 116:115,PMM1412,locus_tag:Accession
PMM1416,CDS conserved hypothetical 1357735:1359819 forward,-0.0374139616431169,0.7441,1,NO COG,unknown,iTRAQ1 protein list :: Ratio 116:115,PMM1416,locus_tag:Accession
PMM1436,groEL GroEL protein (Chaperonin cpn60) 1373640:1375274 reverse,0.1962115203387625,0.8349,2,O,cytoplasmic,iTRAQ1 protein list :: Ratio 116:115 ; iTRAQ2 protein list :: Ratio 115:114,PMM1436,locus_tag:Accession
PMM1437,groES GroES protein (Chaperonin cpn10) 1375326:1375637 reverse,-0.0988145063072603,0.6445,1,O,cytoplasmic,iTRAQ1 protein list :: Ratio 116:115,PMM1437,locus_tag:Accession
PMM1438,"atpB ATP synthase beta subunit, central region:ATP 1375858:1377318 forward",0.0016373304743444,0.6572,2,C,cytoplasmic,iTRAQ1 protein list :: Ratio 116:115 ; iTRAQ2 protein list :: Ratio 115:114,PMM1438,locus_tag:Accession
PMM1451,"atpA ATP synthase alpha subunit, central region:ATP 1387064:1388581 reverse",-0.4062671376082338,0.0788,2,C,unknown,iTRAQ1 protein list :: Ratio 116:115 ; iTRAQ2 protein list :: Ratio 115:114,PMM1451,locus_tag:Accession
PMM1465,purB Fumarate lyase:Adenylosuccinate lyase 1397682:1398977 forward,-0.2475939287846196,0.3366,1,F,cytoplasmic,iTRAQ1 protein list :: Ratio 116:115,PMM1465,locus_tag:Accession
PMM1483,rpoC2 RNA polymerase beta prime subunit 1413943:1418043 reverse,-0.1663493201399631,0.7602,2,K,cytoplasmic,iTRAQ1 protein list :: Ratio 116:115 ; iTRAQ2 protein list :: Ratio 115:114,PMM1483,locus_tag:Accession
