partner,treatment,product,logFC,logFC_rel_axenic,Pvalue
General_coculture,400ppm,iron complex outermembrane receptor protein_15,-0.260158067,-0.260158067,0.02175515
General_coculture,400ppm,ABC-2 type transport system ATP-binding protein,1.165191258,1.165191258,0.000193482
General_coculture,400ppm,long-chain fatty acid transport protein_2,1.337665489,1.337665489,1.38E-11
General_coculture,400ppm,outer membrane transport energization protein_4,3.462134817,3.462134817,1.12E-27
General_coculture,400ppm,phosphonate transport system substrate-binding,1.657539822,1.657539822,2.51E-17
General_coculture,400ppm,vitamin B12 transporter,-0.812396782,-0.812396782,1.38E-06
General_coculture,400ppm,phosphonate ABC transporter substrate-binding,-0.985204888,-0.985204888,4.28E-13
General_coculture,400ppm,ATPase subunit of ABC transporter with duplicated,1.206579915,1.206579915,0.001656087
General_coculture,400ppm,branched-subunit amino acid transport protein,-1.537715553,-1.537715553,0.000193416
General_coculture,400ppm,FHS family L-fucose permease-like MFS_2,3.299285642,3.299285642,2.69E-14
General_coculture,400ppm,cation/acetate symporter,2.797857639,2.797857639,4.70E-13
General_coculture,400ppm,amino acid ABC transporter substrate-binding_3,1.072932664,1.072932664,1.20E-06
General_coculture,400ppm,iron complex outermembrane receptor protein_16,0.312789534,0.312789534,0.070839855
General_coculture,400ppm,PiT family inorganic phosphate transporter,1.413027824,1.413027824,1.10E-09
General_coculture,400ppm,choline/glycine/proline betaine transport_2,-0.588646212,-0.588646212,0.000650815
General_coculture,400ppm,iron complex outermembrane receptor protein_17,2.562586484,2.562586484,5.28E-10
General_coculture,400ppm,phospholipid transport system substrate-binding,-1.182654215,-1.182654215,1.06E-06
General_coculture,400ppm,outer membrane transport energization protein_5,-1.238345847,-1.238345847,1.45E-11
General_coculture,400ppm,amino acid ABC transporter substrate-binding_4,0.854301221,0.854301221,0.000397197
General_coculture,400ppm,amino acid/amide ABC transporter,1.079174844,1.079174844,2.19E-05
General_coculture,400ppm,iron-regulated ABC transporter ATPase subunit,-0.749981209,-0.749981209,0.00243226
General_coculture,400ppm,iron-regulated ABC transporter permease protein,-0.508414467,-0.508414467,0.07374802
General_coculture,400ppm,iron complex outermembrane receptor protein_18,-1.869843171,-1.869843171,3.10E-19
General_coculture,400ppm,iron complex outermembrane receptor protein_19,4.646951606,4.646951606,2.30E-24
General_coculture,400ppm,iron complex outermembrane receptor protein_20,-3.531633286,-3.531633286,1.01E-21
General_coculture,400ppm,iron complex outermembrane receptor protein_21,0.604640601,0.604640601,6.12E-05
General_coculture,400ppm,iron-regulated ABC transporter membrane component,-0.466791054,-0.466791054,0.014976359
General_coculture,400ppm,fucose permease_5,4.125234015,4.125234015,1.19E-13
General_coculture,400ppm,iron complex outermembrane receptor protein_22,1.996113826,1.996113826,2.12E-07
General_coculture,400ppm,lactate permease,3.535018736,3.535018736,1.01E-35
Prochlorococcus_MIT9312,400ppm,high-affinity iron transporter,-0.135862807,0.433787555,0.447801628
Prochlorococcus_MIT9312,400ppm,iron complex outermembrane receptor protein_1,0.145054357,-0.014889103,0.444092889
Prochlorococcus_MIT9312,400ppm,FHS family L-fucose permease-like MFS_1,-0.940248365,-0.305474431,0.000113942
Prochlorococcus_MIT9312,400ppm,iron complex outermembrane receptor protein_2,0.090325784,0.381743075,0.461857922
Prochlorococcus_MIT9312,400ppm,ABC-2 type transport system ATP-binding protein_1,0.290676909,-1.247011299,0.082443362
Prochlorococcus_MIT9312,400ppm,ABC-2 type transport system permease protein_1,0.200887005,-0.222934132,0.068600717
Prochlorococcus_MIT9312,400ppm,iron complex outermembrane receptor protein_3,0.096538004,-0.162480547,0.501139806
Prochlorococcus_MIT9312,400ppm,phosphate ABC transporter ATP-binding protein,-0.161002199,0.322714264,0.26460063
Prochlorococcus_MIT9312,400ppm,ABC-2 type transport system permease protein_2,0.121654248,-0.55860445,0.335068218
Prochlorococcus_MIT9312,400ppm,phosphate ABC transporter membrane protein 2,-0.289671383,0.119958964,0.019671421
Prochlorococcus_MIT9312,400ppm,vitamin B12 transport system substrate-binding,-0.931588087,0.007090733,2.32E-15
Prochlorococcus_MIT9312,400ppm,vitamin B12 transport system ATP-binding protein,-0.159240567,0.513727806,0.125795228
Prochlorococcus_MIT9312,400ppm,fucose permease_1,0.358298847,-0.361206056,0.025254794
Prochlorococcus_MIT9312,400ppm,putative ABC transport system permease protein_1,-0.031202191,-0.041541818,0.787884105
Prochlorococcus_MIT9312,400ppm,iron complex outermembrane receptor protein_4,0.00690578,-0.116069643,0.949460142
Prochlorococcus_MIT9312,400ppm,ABC-2 type transport system permease protein_3,0.584997516,-0.803698247,4.31E-07
Prochlorococcus_MIT9312,400ppm,putative thiamine transport system ATP-binding,1.074738824,1.535360527,7.07E-06
Prochlorococcus_MIT9312,400ppm,iron complex outermembrane receptor protein_5,0.182679258,-0.394350374,0.233663413
Prochlorococcus_MIT9312,400ppm,fucose permease_2,0.236020694,0.863303289,0.065757595
Prochlorococcus_MIT9312,400ppm,amino acid ABC transporter substrate-binding,-0.471473308,-0.011634028,1.76E-07
Prochlorococcus_MIT9312,400ppm,iron complex outermembrane receptor protein_6,0.369944465,-0.563080199,0.02927613
Prochlorococcus_MIT9312,400ppm,outer membrane transport energization protein_1,-0.149676317,2.982908438,0.586588421
Prochlorococcus_MIT9312,400ppm,putative ABC transport system ATP-binding_1,0.23133508,-0.521840954,0.134204462
Prochlorococcus_MIT9312,400ppm,iron complex outermembrane receptor protein_7,0.28267519,-0.244596234,0.005161521
Prochlorococcus_MIT9312,400ppm,putative ABC transport system ATP-binding_2,0.149118731,-0.583685708,0.347513334
Prochlorococcus_MIT9312,400ppm,carboxylate/amino acid/amine transporter,-1.027112006,-0.106958447,1.25E-07
Prochlorococcus_MIT9312,400ppm,fucose permease_3,0.52814085,-0.352965288,1.70E-06
Prochlorococcus_MIT9312,400ppm,fucose permease_4,-1.908590361,-1.625051266,3.63E-06
Prochlorococcus_MIT9312,400ppm,putative ABC transport system permease protein_2,-0.386398611,-0.583482096,0.002031761
Prochlorococcus_MIT9312,400ppm,iron complex transport system permease protein,0.109171873,0.426849012,0.24638356
Prochlorococcus_MIT9312,400ppm,iron complex outermembrane receptor protein_8,-0.345383437,-0.637896082,0.001457746
Prochlorococcus_MIT9312,400ppm,outer membrane transport energization protein_2,-0.322139118,2.966099649,0.22517658
Prochlorococcus_MIT9312,400ppm,choline/glycine/proline betaine transport_1,0.185952568,-0.584742514,0.151640513
Prochlorococcus_MIT9312,400ppm,putative thiamine transport system permease,1.327333687,1.411060488,3.61E-06
Prochlorococcus_MIT9312,400ppm,phosphate ABC transporter substrate-binding,-0.253950994,-0.132839023,0.006917319
Prochlorococcus_MIT9312,400ppm,cationic peptide transport system ATP-binding,-0.844680436,0.306954857,2.68E-10
Prochlorococcus_MIT9312,400ppm,iron complex outermembrane receptor protein_9,-0.52285896,-0.275096265,0.009727925
Prochlorococcus_MIT9312,400ppm,outer membrane transport energization protein_3,-0.268108182,3.351783135,0.325803844
Prochlorococcus_MIT9312,400ppm,putative ABC transport system ATP-binding_3,-0.064474489,-0.625152594,0.752791042
Prochlorococcus_MIT9312,400ppm,putative ABC transport system permease protein_3,0.090349872,0.098443654,0.531783307
Prochlorococcus_MIT9312,400ppm,iron complex outermembrane receptor protein_10,1.099380644,-1.593134654,1.75E-07
Prochlorococcus_MIT9312,400ppm,ammonium transporter,1.077403506,4.326204987,0.000850098
Prochlorococcus_MIT9312,400ppm,iron complex outermembrane receptor protein_11,-0.01173154,-0.598330592,0.913363604
Prochlorococcus_MIT9312,400ppm,ABC-2 type transport system ATP-binding protein_2,0.286298229,-0.380444288,0.039047732
Prochlorococcus_MIT9312,400ppm,putative ABC transport system substrate-binding,0.06077734,-0.232680829,0.504047467
Prochlorococcus_MIT9312,400ppm,iron(III) transport system permease protein,-0.055871383,-0.21049642,0.594703257
Prochlorococcus_MIT9312,400ppm,sugar phosphate permease,0.61945705,1.583312827,0.002448072
Prochlorococcus_MIT9312,400ppm,iron complex outermembrane receptor protein_12,-0.574981428,-0.050380421,1.92E-08
Prochlorococcus_MIT9312,400ppm,iron complex outermembrane receptor protein_13,-0.865313203,0.30382115,0.008407487
Prochlorococcus_MIT9312,400ppm,iron complex outermembrane receptor protein_14,-0.001115934,-0.418965513,0.994204377
Prochlorococcus_MIT9312,400ppm,polar amino acid transport system,0.242704029,-1.084486692,0.095090259
Prochlorococcus_MIT9312,400ppm,long-chain fatty acid transport protein_1,-0.497234437,0.421112677,0.016433863
Prochlorococcus_MIT9312,400ppm,AGCS family alanine or glycine:cation symporter,-0.226339894,0.761578329,0.045638634
Prochlorococcus_MIT9312,400ppm,amino acid ABC transporter substrate-binding_2,-0.761908716,0.455329698,1.02E-06
Prochlorococcus_MIT9312,400ppm,phospholipid transport system transporter-binding,0.903220429,-0.216396015,5.64E-05
Prochlorococcus_MIT9312,400ppm,iron(III) transport system ATP-binding protein,-0.085013175,-0.23908129,0.444680811
Prochlorococcus_MIT9312,400ppm,iron complex outermembrane receptor protein_15,0.014469961,-0.245688105,0.888209244
Prochlorococcus_MIT9312,400ppm,ABC-2 type transport system ATP-binding protein,0.162456777,1.327648035,0.542533172
Prochlorococcus_MIT9312,400ppm,long-chain fatty acid transport protein_2,-0.574055905,0.763609584,0.001103834
Prochlorococcus_MIT9312,400ppm,outer membrane transport energization protein_4,-0.178164086,3.28397073,0.468480249
Prochlorococcus_MIT9312,400ppm,phosphonate transport system substrate-binding,0.428055536,2.085595358,0.00796902
Prochlorococcus_MIT9312,400ppm,vitamin B12 transporter,1.3810818,0.568685018,4.89E-21
Prochlorococcus_MIT9312,400ppm,phosphonate ABC transporter substrate-binding,0.502362798,-0.48284209,3.37E-05
Prochlorococcus_MIT9312,400ppm,ATPase subunit of ABC transporter with duplicated,-1.918406088,-0.711826173,6.09E-07
Prochlorococcus_MIT9312,400ppm,branched-subunit amino acid transport protein,1.211528746,-0.326186807,0.000748243
Prochlorococcus_MIT9312,400ppm,FHS family L-fucose permease-like MFS_2,3.135352618,6.43463826,2.46E-20
Prochlorococcus_MIT9312,400ppm,cation/acetate symporter,-0.879691296,1.918166343,0.007185149
Prochlorococcus_MIT9312,400ppm,amino acid ABC transporter substrate-binding_3,-0.419192929,0.653739734,0.032746473
Prochlorococcus_MIT9312,400ppm,iron complex outermembrane receptor protein_16,-0.251919551,0.060869983,0.107054069
Prochlorococcus_MIT9312,400ppm,PiT family inorganic phosphate transporter,-0.976137166,0.436890658,4.17E-06
Prochlorococcus_MIT9312,400ppm,choline/glycine/proline betaine transport_2,0.500391999,-0.088254214,0.001038484
Prochlorococcus_MIT9312,400ppm,iron complex outermembrane receptor protein_17,-0.083618869,2.478967614,0.802186568
Prochlorococcus_MIT9312,400ppm,phospholipid transport system substrate-binding,1.246815056,0.064160841,3.68E-09
Prochlorococcus_MIT9312,400ppm,outer membrane transport energization protein_5,0.986323378,-0.252022469,7.90E-10
Prochlorococcus_MIT9312,400ppm,amino acid ABC transporter substrate-binding_4,-0.120412616,0.733888605,0.569642593
Prochlorococcus_MIT9312,400ppm,amino acid/amide ABC transporter,-0.354854263,0.724320582,0.114301989
Prochlorococcus_MIT9312,400ppm,iron-regulated ABC transporter ATPase subunit,0.526210132,-0.223771077,0.016030853
Prochlorococcus_MIT9312,400ppm,iron-regulated ABC transporter permease protein,0.467394647,-0.04101982,0.062562125
Prochlorococcus_MIT9312,400ppm,iron complex outermembrane receptor protein_18,0.99892894,-0.870914231,3.77E-08
Prochlorococcus_MIT9312,400ppm,iron complex outermembrane receptor protein_19,0.65857779,5.305529397,0.03853428
Prochlorococcus_MIT9312,400ppm,iron complex outermembrane receptor protein_20,2.632393989,-0.899239297,9.22E-17
Prochlorococcus_MIT9312,400ppm,iron complex outermembrane receptor protein_21,-0.524354879,0.080285722,0.000135542
Prochlorococcus_MIT9312,400ppm,iron-regulated ABC transporter membrane component,0.497568773,0.030777719,0.003250049
Prochlorococcus_MIT9312,400ppm,fucose permease_5,1.141735632,5.266969646,0.003894558
Prochlorococcus_MIT9312,400ppm,iron complex outermembrane receptor protein_22,0.461674122,2.457787948,0.138529786
Prochlorococcus_MIT9312,400ppm,lactate permease,-0.37640825,3.158610486,0.089393645
Synechococcus_CC9311,400ppm,high-affinity iron transporter,0.177803079,0.747453441,0.281868581
Synechococcus_CC9311,400ppm,iron complex outermembrane receptor protein_1,0.124129555,-0.035813905,0.497116563
Synechococcus_CC9311,400ppm,FHS family L-fucose permease-like MFS_1,1.85828956,2.493063494,8.27E-19
Synechococcus_CC9311,400ppm,iron complex outermembrane receptor protein_2,0.014428818,0.305846108,0.899567075
Synechococcus_CC9311,400ppm,ABC-2 type transport system ATP-binding protein_1,-0.258149586,-1.795837795,0.112855439
Synechococcus_CC9311,400ppm,ABC-2 type transport system permease protein_1,-0.169689335,-0.593510472,0.105414336
Synechococcus_CC9311,400ppm,iron complex outermembrane receptor protein_3,0.32051765,0.061499099,0.018016689
Synechococcus_CC9311,400ppm,phosphate ABC transporter ATP-binding protein,0.083955345,0.567671808,0.541760945
Synechococcus_CC9311,400ppm,ABC-2 type transport system permease protein_2,-0.391005436,-1.071264134,0.001728904
Synechococcus_CC9311,400ppm,phosphate ABC transporter membrane protein 2,0.369229698,0.778860046,0.001264496
Synechococcus_CC9311,400ppm,vitamin B12 transport system substrate-binding,0.648136184,1.586815003,1.19E-10
Synechococcus_CC9311,400ppm,vitamin B12 transport system ATP-binding protein,0.199113291,0.872081664,0.039921254
Synechococcus_CC9311,400ppm,fucose permease_1,-0.392869613,-1.112374516,0.017112013
Synechococcus_CC9311,400ppm,putative ABC transport system permease protein_1,-0.179716597,-0.190056224,0.108042612
Synechococcus_CC9311,400ppm,iron complex outermembrane receptor protein_4,-0.155612588,-0.278588011,0.138961984
Synechococcus_CC9311,400ppm,ABC-2 type transport system permease protein_3,-0.409096566,-1.797792328,0.000499693
Synechococcus_CC9311,400ppm,putative thiamine transport system ATP-binding,-0.192685938,0.267935765,0.443200214
Synechococcus_CC9311,400ppm,iron complex outermembrane receptor protein_5,-0.112247794,-0.689277426,0.462200133
Synechococcus_CC9311,400ppm,fucose permease_2,-0.486744738,0.140537857,0.000211062
Synechococcus_CC9311,400ppm,amino acid ABC transporter substrate-binding,0.255302714,0.715141995,0.001493683
Synechococcus_CC9311,400ppm,iron complex outermembrane receptor protein_6,-0.19619389,-1.129218554,0.254666315
Synechococcus_CC9311,400ppm,outer membrane transport energization protein_1,0.324004124,3.456588879,0.225173387
Synechococcus_CC9311,400ppm,putative ABC transport system ATP-binding_1,-0.151983319,-0.905159353,0.32476665
Synechococcus_CC9311,400ppm,iron complex outermembrane receptor protein_7,-0.323475794,-0.850747218,0.001241995
Synechococcus_CC9311,400ppm,putative ABC transport system ATP-binding_2,0.10362909,-0.629175349,0.504395306
Synechococcus_CC9311,400ppm,carboxylate/amino acid/amine transporter,0.715111371,1.63526493,3.16E-05
Synechococcus_CC9311,400ppm,fucose permease_3,-0.543283569,-1.424389707,1.75E-06
Synechococcus_CC9311,400ppm,fucose permease_4,1.032486945,1.31602604,0.002342768
Synechococcus_CC9311,400ppm,putative ABC transport system permease protein_2,0.054381183,-0.142702303,0.644271809
Synechococcus_CC9311,400ppm,iron complex transport system permease protein,-0.045985489,0.27169165,0.616563051
Synechococcus_CC9311,400ppm,iron complex outermembrane receptor protein_8,0.301676811,0.009164166,0.002597394
Synechococcus_CC9311,400ppm,outer membrane transport energization protein_2,0.357368684,3.645607451,0.160548892
Synechococcus_CC9311,400ppm,choline/glycine/proline betaine transport_1,0.01910631,-0.751588772,0.881340528
Synechococcus_CC9311,400ppm,putative thiamine transport system permease,-0.053411024,0.030315777,0.858511086
Synechococcus_CC9311,400ppm,phosphate ABC transporter substrate-binding,0.209249831,0.330361801,0.017570058
Synechococcus_CC9311,400ppm,cationic peptide transport system ATP-binding,0.384048067,1.53568336,0.001552683
Synechococcus_CC9311,400ppm,iron complex outermembrane receptor protein_9,0.598629292,0.846391987,0.001498394
Synechococcus_CC9311,400ppm,outer membrane transport energization protein_3,0.668340359,4.288231676,0.010082977
Synechococcus_CC9311,400ppm,putative ABC transport system ATP-binding_3,-0.340653384,-0.90133149,0.099446495
Synechococcus_CC9311,400ppm,putative ABC transport system permease protein_3,-0.040474358,-0.032380576,0.778584481
Synechococcus_CC9311,400ppm,iron complex outermembrane receptor protein_10,-0.881200477,-3.573715776,0.00014456
Synechococcus_CC9311,400ppm,ammonium transporter,0.067647843,3.316449325,0.839446366
Synechococcus_CC9311,400ppm,iron complex outermembrane receptor protein_11,0.015197511,-0.57140154,0.885402555
Synechococcus_CC9311,400ppm,ABC-2 type transport system ATP-binding protein_2,-0.167380964,-0.834123481,0.235190237
Synechococcus_CC9311,400ppm,putative ABC transport system substrate-binding,0.064700659,-0.228757509,0.465047414
Synechococcus_CC9311,400ppm,iron(III) transport system permease protein,-0.11095936,-0.265584397,0.284429814
Synechococcus_CC9311,400ppm,sugar phosphate permease,0.167874797,1.131730573,0.419650093
Synechococcus_CC9311,400ppm,iron complex outermembrane receptor protein_12,0.333429794,0.858030801,0.000447685
Synechococcus_CC9311,400ppm,iron complex outermembrane receptor protein_13,0.116274478,1.285408831,0.704119813
Synechococcus_CC9311,400ppm,iron complex outermembrane receptor protein_14,0.508932829,0.09108325,0.000543468
Synechococcus_CC9311,400ppm,polar amino acid transport system,-0.170594773,-1.497785494,0.247592741
Synechococcus_CC9311,400ppm,long-chain fatty acid transport protein_1,0.184751104,1.103098218,0.350024664
Synechococcus_CC9311,400ppm,AGCS family alanine or glycine:cation symporter,0.250198154,1.238116377,0.021916494
Synechococcus_CC9311,400ppm,amino acid ABC transporter substrate-binding_2,0.435945147,1.653183561,0.002443325
Synechococcus_CC9311,400ppm,phospholipid transport system transporter-binding,-0.23682276,-1.356439204,0.314710121
Synechococcus_CC9311,400ppm,iron(III) transport system ATP-binding protein,-0.099220159,-0.253288273,0.368556554
Synechococcus_CC9311,400ppm,iron complex outermembrane receptor protein_15,-0.118939127,-0.379097194,0.247185411
Synechococcus_CC9311,400ppm,ABC-2 type transport system ATP-binding protein,0.224799844,1.389991102,0.39749802
Synechococcus_CC9311,400ppm,long-chain fatty acid transport protein_2,0.78205907,2.119724559,1.68E-06
Synechococcus_CC9311,400ppm,outer membrane transport energization protein_4,0.404679422,3.866814239,0.089096393
Synechococcus_CC9311,400ppm,phosphonate transport system substrate-binding,-0.408113322,1.2494265,0.015678559
Synechococcus_CC9311,400ppm,vitamin B12 transporter,-0.710102918,-1.5224997,9.35E-06
Synechococcus_CC9311,400ppm,phosphonate ABC transporter substrate-binding,-0.684758474,-1.669963362,1.23E-07
Synechococcus_CC9311,400ppm,ATPase subunit of ABC transporter with duplicated,1.165438282,2.372018197,0.000236411
Synechococcus_CC9311,400ppm,branched-subunit amino acid transport protein,0.020071824,-1.517643729,0.957023254
Synechococcus_CC9311,400ppm,FHS family L-fucose permease-like MFS_2,-1.31997659,1.979309052,0.000361424
Synechococcus_CC9311,400ppm,cation/acetate symporter,-0.625509031,2.172348608,0.05102399
Synechococcus_CC9311,400ppm,amino acid ABC transporter substrate-binding_3,-0.331652359,0.741280304,0.088753733
Synechococcus_CC9311,400ppm,iron complex outermembrane receptor protein_16,-0.039318017,0.273471516,0.798393722
Synechococcus_CC9311,400ppm,PiT family inorganic phosphate transporter,0.815650344,2.228678168,1.92E-05
Synechococcus_CC9311,400ppm,choline/glycine/proline betaine transport_2,-0.676875011,-1.265521224,3.47E-05
Synechococcus_CC9311,400ppm,iron complex outermembrane receptor protein_17,1.281514181,3.844100665,5.92E-05
Synechococcus_CC9311,400ppm,phospholipid transport system substrate-binding,-0.388388786,-1.571043001,0.084869223
Synechococcus_CC9311,400ppm,outer membrane transport energization protein_5,-0.998963466,-2.237309313,2.35E-08
Synechococcus_CC9311,400ppm,amino acid ABC transporter substrate-binding_4,0.788469713,1.642770934,0.000105378
Synechococcus_CC9311,400ppm,amino acid/amide ABC transporter,0.615930979,1.695105823,0.003917117
Synechococcus_CC9311,400ppm,iron-regulated ABC transporter ATPase subunit,-0.357499131,-1.10748034,0.118671566
Synechococcus_CC9311,400ppm,iron-regulated ABC transporter permease protein,-0.523773109,-1.032187576,0.04874974
Synechococcus_CC9311,400ppm,iron complex outermembrane receptor protein_18,-0.749412358,-2.619255529,0.000158918
Synechococcus_CC9311,400ppm,iron complex outermembrane receptor protein_19,-0.998300741,3.648650866,0.004607129
Synechococcus_CC9311,400ppm,iron complex outermembrane receptor protein_20,-2.298803273,-5.830436559,2.51E-09
Synechococcus_CC9311,400ppm,iron complex outermembrane receptor protein_21,0.332225572,0.936866174,0.010813415
Synechococcus_CC9311,400ppm,iron-regulated ABC transporter membrane component,-0.347774986,-0.81456604,0.049424412
Synechococcus_CC9311,400ppm,fucose permease_5,-0.517085416,3.608148599,0.224219613
Synechococcus_CC9311,400ppm,iron complex outermembrane receptor protein_22,-0.517219564,1.478894263,0.116900681
Synechococcus_CC9311,400ppm,lactate permease,-0.097349929,3.437668807,0.654471791
Synechococcus_WH8102,400ppm,high-affinity iron transporter,-0.041940272,0.52771009,0.801207163
Synechococcus_WH8102,400ppm,iron complex outermembrane receptor protein_1,-0.269183911,-0.429127371,0.149381014
Synechococcus_WH8102,400ppm,FHS family L-fucose permease-like MFS_1,-0.918041195,-0.283267261,8.54E-05
Synechococcus_WH8102,400ppm,iron complex outermembrane receptor protein_2,-0.104754602,0.186662689,0.35921642
Synechococcus_WH8102,400ppm,ABC-2 type transport system ATP-binding protein_1,-0.032527323,-1.570215531,0.838057553
Synechococcus_WH8102,400ppm,ABC-2 type transport system permease protein_1,-0.03119767,-0.455018806,0.761764789
Synechococcus_WH8102,400ppm,iron complex outermembrane receptor protein_3,-0.417055654,-0.676074204,0.003179077
Synechococcus_WH8102,400ppm,phosphate ABC transporter ATP-binding protein,0.077046854,0.560763318,0.574571967
Synechococcus_WH8102,400ppm,ABC-2 type transport system permease protein_2,0.269351188,-0.41090751,0.023663693
Synechococcus_WH8102,400ppm,phosphate ABC transporter membrane protein 2,-0.079558315,0.330072032,0.496840642
Synechococcus_WH8102,400ppm,vitamin B12 transport system substrate-binding,0.283451903,1.222130722,0.005394496
Synechococcus_WH8102,400ppm,vitamin B12 transport system ATP-binding protein,-0.039872725,0.633095648,0.683525999
Synechococcus_WH8102,400ppm,fucose permease_1,0.034570767,-0.684934136,0.828598601
Synechococcus_WH8102,400ppm,putative ABC transport system permease protein_1,0.210918788,0.200579161,0.052622011
Synechococcus_WH8102,400ppm,iron complex outermembrane receptor protein_4,0.148706809,0.025731386,0.14773037
