partner,treatment,symbol,product,logFC,logFC_rel_axenic,Pvalue
CC9311,400ppm,EZ55_00599,RNA polymerase RpoS-like sigma 38 subunit,-0.735286416,0.422834822,0.003966592
WH8102,400ppm,EZ55_03768,glutathione S-transferase,0.293688175,0.569621102,0.153087051
WH8102,400ppm,EZ55_03800,RNA polymerase RpoE-like sigma-24 subunit,-0.828830599,-2.349040419,4.75E-07
WH8102,400ppm,EZ55_03399,phage shock protein C (PspC) family protein,-0.820809985,-2.609745777,0.002792437
WH8102,400ppm,EZ55_02120,hydroxyacylglutathione hydrolase,-0.218682028,-2.479900537,0.214484663
WH8102,400ppm,EZ55_01395,glutathione synthase/RimK-type ligase-like,0.245287802,-0.126054562,0.460685363
WH8102,400ppm,EZ55_03522,catalase_1,-0.534936948,-3.199264152,0.193272813
WH8102,400ppm,EZ55_00548,toxin YoeB,0.177122672,-2.460222957,0.344613599
WH8102,400ppm,EZ55_00871,DNA-binding MarR family transcriptional,-1.136969457,-4.170847192,1.96E-05
WH8102,400ppm,EZ55_03362,catalase-peroxidase,-1.041098626,-3.575418716,0.000773311
WH8102,400ppm,EZ55_00433,catalase_2,-0.565991251,-3.988372352,0.13966115
WH8102,400ppm,EZ55_00549,antitoxin YefM,0.26758269,-2.762132024,0.15806908
WH8102,400ppm,EZ55_00506,starvation-inducible DNA-binding protein (dps),-1.155569719,-3.343072168,1.85E-05
WH8102,400ppm,EZ55_01815,alkyl hydroperoxide reductase subunit F,-0.742172092,-3.26730389,0.052095503
WH8102,400ppm,EZ55_02313,sulfoxide reductase heme-binding subunit YedZ,-1.156417976,-3.197836618,0.00873461
WH8102,400ppm,EZ55_03120,S-(hydroxymethyl)glutathione,-1.608585147,-3.003430691,3.35E-07
WH8102,400ppm,EZ55_00109,alkylation response protein AidB-like acyl-CoA,-1.957533007,-2.168407251,1.06E-05
WH8102,400ppm,EZ55_01508,alkylhydroperoxidase family enzyme,-1.207025303,-6.061037318,0.000185139
WH8102,400ppm,EZ55_01134,phage shock protein B,-0.994687224,-1.720598828,2.24E-06
WH8102,400ppm,EZ55_02418,osmotically-inducible protein OsmY,-2.28453913,-3.937357062,6.26E-08
WH8102,400ppm,EZ55_01814,peroxiredoxin (alkyl hydroperoxide reductase,-1.040741952,-3.636848904,0.00105283
WH8102,400ppm,EZ55_00872,Ohr subfamily peroxiredoxin,-2.117147741,-5.9602789,2.80E-05
WH8102,400ppm,EZ55_02788,phage shock protein A (PspA) family protein,-0.514674065,-3.907053611,0.080958693
WH8102,400ppm,EZ55_03669,RNA polymerase RpoH-like sigma 32 subunit,-0.543669496,-2.250682229,0.000154916
WH8102,400ppm,EZ55_02312,sulfoxide reductase catalytic subunit YedY,-1.262171686,-3.993146989,0.003620699
WH8102,400ppm,EZ55_00599,RNA polymerase RpoS-like sigma 38 subunit,-0.675347075,0.482774163,0.007850488
General_coculture,400ppm,EZ55_03768,glutathione S-transferase,0.275932927,0.275932927,0.240868538
General_coculture,400ppm,EZ55_03800,RNA polymerase RpoE-like sigma-24 subunit,-1.520209819,-1.520209819,4.92E-19
General_coculture,400ppm,EZ55_03399,phage shock protein C (PspC) family protein,-1.788935792,-1.788935792,4.20E-10
General_coculture,400ppm,EZ55_02120,hydroxyacylglutathione hydrolase,-2.261218509,-2.261218509,9.17E-32
General_coculture,400ppm,EZ55_01395,glutathione synthase/RimK-type ligase-like,-0.371342364,-0.371342364,0.320574389
General_coculture,400ppm,EZ55_03522,catalase_1,-2.664327204,-2.664327204,2.25E-09
General_coculture,400ppm,EZ55_00548,toxin YoeB,-2.637345629,-2.637345629,1.91E-35
General_coculture,400ppm,EZ55_00871,DNA-binding MarR family transcriptional,-3.033877735,-3.033877735,8.83E-28
General_coculture,400ppm,EZ55_03362,catalase-peroxidase,-2.53432009,-2.53432009,3.31E-15
General_coculture,400ppm,EZ55_00433,catalase_2,-3.422381101,-3.422381101,6.79E-16
General_coculture,400ppm,EZ55_00549,antitoxin YefM,-3.029714714,-3.029714714,7.12E-44
General_coculture,400ppm,EZ55_00506,starvation-inducible DNA-binding protein (dps),-2.18750245,-2.18750245,2.07E-15
General_coculture,400ppm,EZ55_01815,alkyl hydroperoxide reductase subunit F,-2.525131798,-2.525131798,5.37E-10
General_coculture,400ppm,EZ55_02313,sulfoxide reductase heme-binding subunit YedZ,-2.041418642,-2.041418642,5.59E-06
General_coculture,400ppm,EZ55_03120,S-(hydroxymethyl)glutathione,-1.394845544,-1.394845544,5.44E-06
General_coculture,400ppm,EZ55_00109,alkylation response protein AidB-like acyl-CoA,-0.210874243,-0.210874243,0.617929219
General_coculture,400ppm,EZ55_01508,alkylhydroperoxidase family enzyme,-4.854012015,-4.854012015,4.93E-42
General_coculture,400ppm,EZ55_01134,phage shock protein B,-0.725911604,-0.725911604,0.00078527
General_coculture,400ppm,EZ55_02418,osmotically-inducible protein OsmY,-1.652817932,-1.652817932,1.97E-05
General_coculture,400ppm,EZ55_01814,peroxiredoxin (alkyl hydroperoxide reductase,-2.596106952,-2.596106952,4.12E-15
General_coculture,400ppm,EZ55_00872,Ohr subfamily peroxiredoxin,-3.84313116,-3.84313116,1.03E-14
General_coculture,400ppm,EZ55_02788,phage shock protein A (PspA) family protein,-3.392379546,-3.392379546,3.80E-25
General_coculture,400ppm,EZ55_03669,RNA polymerase RpoH-like sigma 32 subunit,-1.707012733,-1.707012733,8.18E-29
General_coculture,400ppm,EZ55_02312,sulfoxide reductase catalytic subunit YedY,-2.730975303,-2.730975303,8.13E-10
General_coculture,400ppm,EZ55_00599,RNA polymerase RpoS-like sigma 38 subunit,1.158121237,1.158121237,3.94E-05
MIT9312,800ppm,EZ55_03768,glutathione S-transferase,0.432010083,0.871197116,0.148153982
MIT9312,800ppm,EZ55_03800,RNA polymerase RpoE-like sigma-24 subunit,0.261472806,1.233112525,0.234205625
MIT9312,800ppm,EZ55_03399,phage shock protein C (PspC) family protein,-0.429647097,2.877036255,0.241759262
MIT9312,800ppm,EZ55_02120,hydroxyacylglutathione hydrolase,0.604277044,1.292814551,0.014352122
MIT9312,800ppm,EZ55_01395,glutathione synthase/RimK-type ligase-like,0.983953954,0.973544025,0.04111187
MIT9312,800ppm,EZ55_03522,catalase_1,-2.72191529,-2.980559537,4.16E-06
MIT9312,800ppm,EZ55_00548,toxin YoeB,-0.227776585,0.759110379,0.396058297
MIT9312,800ppm,EZ55_00871,DNA-binding MarR family transcriptional,-0.791488246,1.2599337,0.023059177
MIT9312,800ppm,EZ55_03362,catalase-peroxidase,-0.587637756,-0.506922748,0.148767257
MIT9312,800ppm,EZ55_00433,catalase_2,-2.036643339,-2.199661769,0.000152382
MIT9312,800ppm,EZ55_00549,antitoxin YefM,-0.257962696,0.419951755,0.343298214
MIT9312,800ppm,EZ55_00506,starvation-inducible DNA-binding protein (dps),-0.971961911,-1.722685748,0.005861264
MIT9312,800ppm,EZ55_01815,alkyl hydroperoxide reductase subunit F,-1.392737362,-1.188850323,0.007468304
MIT9312,800ppm,EZ55_02313,sulfoxide reductase heme-binding subunit YedZ,-0.074673694,1.79109597,0.89632109
MIT9312,800ppm,EZ55_03120,S-(hydroxymethyl)glutathione,-0.058484701,0.247463358,0.881763935
MIT9312,800ppm,EZ55_00109,alkylation response protein AidB-like acyl-CoA,-0.8070529,-1.201594069,0.134968719
MIT9312,800ppm,EZ55_01508,alkylhydroperoxidase family enzyme,-1.058038396,1.306683113,0.011870018
MIT9312,800ppm,EZ55_01134,phage shock protein B,-0.358600121,0.845763866,0.195442373
MIT9312,800ppm,EZ55_02418,osmotically-inducible protein OsmY,1.049743638,2.607018486,0.035622557
MIT9312,800ppm,EZ55_01814,peroxiredoxin (alkyl hydroperoxide reductase,-1.390797971,-1.894250721,0.000992033
MIT9312,800ppm,EZ55_00872,Ohr subfamily peroxiredoxin,-0.519774937,2.029449788,0.389254314
MIT9312,800ppm,EZ55_02788,phage shock protein A (PspA) family protein,-0.879089382,0.961360461,0.030143235
MIT9312,800ppm,EZ55_03669,RNA polymerase RpoH-like sigma 32 subunit,-0.191648196,0.211454909,0.328358429
MIT9312,800ppm,EZ55_02312,sulfoxide reductase catalytic subunit YedY,-0.124585979,1.38776946,0.823338674
MIT9312,800ppm,EZ55_00599,RNA polymerase RpoS-like sigma 38 subunit,-0.802893716,-1.033577462,0.019834959
CC9311,800ppm,EZ55_03768,glutathione S-transferase,-0.31340147,0.125785563,0.289100996
CC9311,800ppm,EZ55_03800,RNA polymerase RpoE-like sigma-24 subunit,-0.035188455,0.936451264,0.874533578
CC9311,800ppm,EZ55_03399,phage shock protein C (PspC) family protein,0.734027083,4.040710435,0.046645682
CC9311,800ppm,EZ55_02120,hydroxyacylglutathione hydrolase,-0.735111335,-0.046573828,0.003251893
CC9311,800ppm,EZ55_01395,glutathione synthase/RimK-type ligase-like,0.486439892,0.476029963,0.308157206
CC9311,800ppm,EZ55_03522,catalase_1,0.304856957,0.046212711,0.587828549
CC9311,800ppm,EZ55_00548,toxin YoeB,0.169038821,1.155925785,0.530685943
CC9311,800ppm,EZ55_00871,DNA-binding MarR family transcriptional,-0.018166536,2.03325541,0.957789589
CC9311,800ppm,EZ55_03362,catalase-peroxidase,0.189784305,0.270499313,0.640488379
CC9311,800ppm,EZ55_00433,catalase_2,0.209414008,0.046395578,0.688819855
CC9311,800ppm,EZ55_00549,antitoxin YefM,0.324501549,1.002416,0.236067862
CC9311,800ppm,EZ55_00506,starvation-inducible DNA-binding protein (dps),0.093638448,-0.657085389,0.789384956
CC9311,800ppm,EZ55_01815,alkyl hydroperoxide reductase subunit F,1.212380425,1.416267464,0.019543476
CC9311,800ppm,EZ55_02313,sulfoxide reductase heme-binding subunit YedZ,-0.053873592,1.811896072,0.925014415
CC9311,800ppm,EZ55_03120,S-(hydroxymethyl)glutathione,-0.350753478,-0.044805418,0.372835701
CC9311,800ppm,EZ55_00109,alkylation response protein AidB-like acyl-CoA,0.555950067,0.161408898,0.301917702
CC9311,800ppm,EZ55_01508,alkylhydroperoxidase family enzyme,0.715970087,3.080691596,0.088217609
CC9311,800ppm,EZ55_01134,phage shock protein B,0.489587968,1.693951955,0.077406229
CC9311,800ppm,EZ55_02418,osmotically-inducible protein OsmY,-0.85161567,0.705659178,0.087388404
CC9311,800ppm,EZ55_01814,peroxiredoxin (alkyl hydroperoxide reductase,0.067934836,-0.435517914,0.870454994
CC9311,800ppm,EZ55_00872,Ohr subfamily peroxiredoxin,-0.478093914,2.071130811,0.428117821
CC9311,800ppm,EZ55_02788,phage shock protein A (PspA) family protein,0.841283282,2.681733125,0.037922292
CC9311,800ppm,EZ55_03669,RNA polymerase RpoH-like sigma 32 subunit,0.058535998,0.461639103,0.765258415
CC9311,800ppm,EZ55_02312,sulfoxide reductase catalytic subunit YedY,-0.491786766,1.020568673,0.378957159
CC9311,800ppm,EZ55_00599,RNA polymerase RpoS-like sigma 38 subunit,0.480557056,0.24987331,0.161947679
WH8102,800ppm,EZ55_03768,glutathione S-transferase,-0.118608613,0.320578421,0.688032932
WH8102,800ppm,EZ55_03800,RNA polymerase RpoE-like sigma-24 subunit,-0.226284351,0.745355369,0.307107576
WH8102,800ppm,EZ55_03399,phage shock protein C (PspC) family protein,-0.304379986,3.002303366,0.407139909
WH8102,800ppm,EZ55_02120,hydroxyacylglutathione hydrolase,0.13083429,0.819371797,0.594865245
WH8102,800ppm,EZ55_01395,glutathione synthase/RimK-type ligase-like,-1.470393847,-1.480803776,0.002398011
WH8102,800ppm,EZ55_03522,catalase_1,2.417058333,2.158414087,3.56E-05
WH8102,800ppm,EZ55_00548,toxin YoeB,0.058737763,1.045624727,0.826536079
WH8102,800ppm,EZ55_00871,DNA-binding MarR family transcriptional,0.809654783,2.861076729,0.020235156
WH8102,800ppm,EZ55_03362,catalase-peroxidase,0.397853452,0.47856846,0.327841983
WH8102,800ppm,EZ55_00433,catalase_2,1.827229331,1.664210901,0.000629487
WH8102,800ppm,EZ55_00549,antitoxin YefM,-0.066538853,0.611375597,0.806681865
WH8102,800ppm,EZ55_00506,starvation-inducible DNA-binding protein (dps),0.878323462,0.127599625,0.012683881
WH8102,800ppm,EZ55_01815,alkyl hydroperoxide reductase subunit F,0.180356936,0.384243975,0.725554929
WH8102,800ppm,EZ55_02313,sulfoxide reductase heme-binding subunit YedZ,0.128547286,1.99431695,0.822465783
WH8102,800ppm,EZ55_03120,S-(hydroxymethyl)glutathione,0.409238179,0.715186239,0.298777793
WH8102,800ppm,EZ55_00109,alkylation response protein AidB-like acyl-CoA,0.251102833,-0.143438337,0.640549424
WH8102,800ppm,EZ55_01508,alkylhydroperoxidase family enzyme,0.342068309,2.706789818,0.413440804
WH8102,800ppm,EZ55_01134,phage shock protein B,-0.130987847,1.07337614,0.636043524
WH8102,800ppm,EZ55_02418,osmotically-inducible protein OsmY,-0.198127967,1.359146881,0.689468074
WH8102,800ppm,EZ55_01814,peroxiredoxin (alkyl hydroperoxide reductase,1.322863135,0.819410386,0.001713105
WH8102,800ppm,EZ55_00872,Ohr subfamily peroxiredoxin,0.997868851,3.547093577,0.100127442
WH8102,800ppm,EZ55_02788,phage shock protein A (PspA) family protein,0.0378061,1.878255944,0.925308502
WH8102,800ppm,EZ55_03669,RNA polymerase RpoH-like sigma 32 subunit,0.133112198,0.536215303,0.49714749
WH8102,800ppm,EZ55_02312,sulfoxide reductase catalytic subunit YedY,0.616372745,2.128728184,0.270655255
WH8102,800ppm,EZ55_00599,RNA polymerase RpoS-like sigma 38 subunit,0.32233666,0.091652914,0.347739128
General_coculture,800ppm,EZ55_03768,glutathione S-transferase,0.439187033,0.439187033,0.426572033
General_coculture,800ppm,EZ55_03800,RNA polymerase RpoE-like sigma-24 subunit,0.97163972,0.97163972,0.017165943
General_coculture,800ppm,EZ55_03399,phage shock protein C (PspC) family protein,3.306683352,3.306683352,2.03E-06
General_coculture,800ppm,EZ55_02120,hydroxyacylglutathione hydrolase,0.688537507,0.688537507,0.131974154
General_coculture,800ppm,EZ55_01395,glutathione synthase/RimK-type ligase-like,-0.01040993,-0.01040993,0.990659375
General_coculture,800ppm,EZ55_03522,catalase_1,-0.258644246,-0.258644246,0.805178388
General_coculture,800ppm,EZ55_00548,toxin YoeB,0.986886964,0.986886964,0.048253415
General_coculture,800ppm,EZ55_00871,DNA-binding MarR family transcriptional,2.051421946,2.051421946,0.001620066
General_coculture,800ppm,EZ55_03362,catalase-peroxidase,0.080715008,0.080715008,0.91524041
General_coculture,800ppm,EZ55_00433,catalase_2,-0.16301843,-0.16301843,0.867248662
General_coculture,800ppm,EZ55_00549,antitoxin YefM,0.677914451,0.677914451,0.181815961
General_coculture,800ppm,EZ55_00506,starvation-inducible DNA-binding protein (dps),-0.750723838,-0.750723838,0.25189708
General_coculture,800ppm,EZ55_01815,alkyl hydroperoxide reductase subunit F,0.203887039,0.203887039,0.831713033
General_coculture,800ppm,EZ55_02313,sulfoxide reductase heme-binding subunit YedZ,1.865769664,1.865769664,0.083123219
General_coculture,800ppm,EZ55_03120,S-(hydroxymethyl)glutathione,0.305948059,0.305948059,0.677431039
General_coculture,800ppm,EZ55_00109,alkylation response protein AidB-like acyl-CoA,-0.394541169,-0.394541169,0.694707749
General_coculture,800ppm,EZ55_01508,alkylhydroperoxidase family enzyme,2.364721509,2.364721509,0.002615102
General_coculture,800ppm,EZ55_01134,phage shock protein B,1.204363987,1.204363987,0.020251712
General_coculture,800ppm,EZ55_02418,osmotically-inducible protein OsmY,1.557274849,1.557274849,0.094211582
General_coculture,800ppm,EZ55_01814,peroxiredoxin (alkyl hydroperoxide reductase,-0.50345275,-0.50345275,0.518196463
General_coculture,800ppm,EZ55_00872,Ohr subfamily peroxiredoxin,2.549224725,2.549224725,0.025096851
General_coculture,800ppm,EZ55_02788,phage shock protein A (PspA) family protein,1.840449844,1.840449844,0.015186919
General_coculture,800ppm,EZ55_03669,RNA polymerase RpoH-like sigma 32 subunit,0.403103105,0.403103105,0.271652174
General_coculture,800ppm,EZ55_02312,sulfoxide reductase catalytic subunit YedY,1.512355439,1.512355439,0.148838768
General_coculture,800ppm,EZ55_00599,RNA polymerase RpoS-like sigma 38 subunit,-0.230683746,-0.230683746,0.71926802
