ID,day,organism,eggnog_predicted_gene_name,eggnog_predicted_gene_description,eggnog_predicted_COG,KEGG_predicted_gene_name,KEGG_predicted_KEGG_identifier,Marinobacter_LFC,Marinobacter_pvalue,Marinobacter_padj,Alteromonas_LFC,Alteromonas_pvalue,Alteromonas_padj,Thalassospira_1_LFC,Thalassospira_1_pvalue,Thalassospira_1_padj,Thalassospira_2_LFC,Thalassospira_2_pvalue,Thalassospira_2_padj,Pseudohoeflea_LFC,Pseudohoeflea_pvalue,Pseudohoeflea_padj,Community_LFC,Community_pvalue,Community_padj
1_1004_MED4_genome,4,MED4,,Alkyl hydroperoxide reductase,O,"BCP, PRXQ, DOT5; thioredoxin-dependent peroxiredoxin [EC:1.11.1.24]",K03564,-0.19454869,0.413123062,0.705196315,-0.011906484,0.936721844,0.977557528,-0.278773726,0.236392403,0.460036198,0.161687796,0.393754453,0.458425639,0.513451576,0.002982868,0.019807159,0.17121812,0.455984251,0.952968986
1_1005_MED4_genome,4,MED4,ycf49,Alternative locus ID,S,,,0.188372541,0.751123881,0.864751207,0.094703859,0.728207081,0.879249405,0.574752476,0.312913414,0.525802342,1.074273868,0.007723912,0.016374257,0.150024655,0.74139774,0.848763444,0.136594665,0.675732826,0.990722725
1_1005_MED4_genome,2,MED4,ycf49,Alternative locus ID,S,,,1.274571048,0.000386286,0.004289338,0.147179003,0.813597759,0.905911554,0.206687542,0.920170816,0.988323005,1.682269535,0.000264124,0.003075041,1.089867505,0.000938794,0.003672961,0.316175613,0.36781046,0.860144317
1_1005_MED4_genome,5,MED4,ycf49,Alternative locus ID,S,,,0.137492421,0.730541355,0.932360824,0.084497267,0.804056575,1,0.371352623,0.333276731,0.686194792,0.140236937,0.727827385,0.953036429,0.029469387,0.930998156,0.988363766,0.558172224,0.106108658,0.538950993
1_1006_MED4_genome,2,MED4,,Alternative locus ID,S,,,1.255270554,0.029109107,0.061046502,-1.791990716,0.242394353,0.543971439,0.081298808,0.968815842,0.997773182,1.722455688,0.016788219,0.037572388,1.4051974,0.013343812,0.025892386,-0.46465582,0.475823335,0.874893221
1_1006_MED4_genome,5,MED4,,Alternative locus ID,S,,,-0.209429453,0.732943813,0.932360824,-0.372717479,0.321211909,1,-0.585772536,0.136419031,0.56600639,0.317870721,0.354728966,0.900846365,-0.286402048,0.461364023,0.893299861,0.250455026,0.432466658,0.716630177
1_1006_MED4_genome,4,MED4,,Alternative locus ID,S,,,0.424041294,0.633822293,0.81045562,0.020571051,0.973219661,0.990866289,1.009183478,0.324256103,0.533758332,1.308038172,0.025042997,0.043107165,0.643855733,0.38726835,0.548225866,-0.066379058,0.910429074,1
1_1007_MED4_genome,2,MED4,psaK,Photosystem I subunit X PsaK,S,psaK; photosystem I subunit X,K02698,-2.207469353,0.0000481,0.002357913,-0.979336909,0.233034065,0.536760717,0.487635144,0.606328425,0.887303258,-2.936569943,0.000016,0.001689153,-2.462739674,0.0000288,0.00043059,0.122241062,0.802034513,0.9725584
1_1007_MED4_genome,5,MED4,psaK,Photosystem I subunit X PsaK,S,psaK; photosystem I subunit X,K02698,-0.360488567,0.38292296,0.821893862,-0.331476333,0.368532879,1,-0.025079017,0.947577846,0.990200462,-0.246665127,0.608142571,0.93635803,-0.117974163,0.775308341,0.975244142,-0.57640895,0.133467538,0.556162996
1_1007_MED4_genome,4,MED4,psaK,Photosystem I subunit X PsaK,S,psaK; photosystem I subunit X,K02698,-0.996409471,0.311025727,0.700302898,-0.268962394,0.348256787,0.615456566,-1.09018439,0.320263992,0.530771112,-2.342537493,0.000217403,0.001412809,-1.183494296,0.059029174,0.15212833,-0.306848462,0.38679733,0.952968986
1_1008_MED4_genome,2,MED4,dxs,Catalyzes the acyloin condensation reaction between C atoms 2 and 3 of pyruvate and glyceraldehyde 3-phosphate to yield 1-deoxy-D-xylulose-5-phosphate (DXP),F,dxs; 1-deoxy-D-xylulose-5-phosphate synthase [EC:2.2.1.7],K01662,-0.168940439,0.26441456,0.342047387,0.251357971,0.324357597,0.603712496,0.511043972,0.148118119,0.547471693,-0.308867853,0.040507922,0.073619412,-0.119944816,0.427389849,0.494587892,0.311613703,0.222134695,0.860144317
1_1008_MED4_genome,5,MED4,dxs,Catalyzes the acyloin condensation reaction between C atoms 2 and 3 of pyruvate and glyceraldehyde 3-phosphate to yield 1-deoxy-D-xylulose-5-phosphate (DXP),F,dxs; 1-deoxy-D-xylulose-5-phosphate synthase [EC:2.2.1.7],K01662,-0.180110501,0.452806254,0.831789079,-0.06952091,0.660934518,1,-0.172797852,0.351282068,0.694427245,-0.16667846,0.475675305,0.92281518,-0.100350241,0.688481518,0.959358788,-0.399490619,0.029178603,0.51374809
1_1008_MED4_genome,4,MED4,dxs,Catalyzes the acyloin condensation reaction between C atoms 2 and 3 of pyruvate and glyceraldehyde 3-phosphate to yield 1-deoxy-D-xylulose-5-phosphate (DXP),F,dxs; 1-deoxy-D-xylulose-5-phosphate synthase [EC:2.2.1.7],K01662,-0.074063104,0.762337338,0.870659944,-0.021250829,0.866006222,0.947379245,-0.206043828,0.363275005,0.565752447,-0.327689287,0.024156663,0.041843957,-0.431524066,0.012160892,0.050459368,-0.062164455,0.639466127,0.986255948
1_1009_MED4_genome,4,MED4,ilvA,"Catalyzes the anaerobic formation of alpha-ketobutyrate and ammonia from threonine in a two-step reaction. The first step involved a dehydration of threonine and a production of enamine intermediates (aminocrotonate), which tautomerizes to its imine form (iminobutyrate). Both intermediates are unstable and short- lived. The second step is the nonenzymatic hydrolysis of the enamine imine intermediates to form 2-ketobutyrate and free ammonia. In the low water environment of the cell, the second step is accelerated by RidA",E,"E4.3.1.19, ilvA, tdcB; threonine dehydratase [EC:4.3.1.19]",K01754,0.314524172,0.30020859,0.700302898,-0.162805426,0.204719305,0.485008484,0.410285311,0.129937814,0.385273364,0.430067144,0.005012742,0.011743265,0.416593298,0.051038226,0.137317133,-0.009470168,0.937273612,1
1_1009_MED4_genome,5,MED4,ilvA,"Catalyzes the anaerobic formation of alpha-ketobutyrate and ammonia from threonine in a two-step reaction. The first step involved a dehydration of threonine and a production of enamine intermediates (aminocrotonate), which tautomerizes to its imine form (iminobutyrate). Both intermediates are unstable and short- lived. The second step is the nonenzymatic hydrolysis of the enamine imine intermediates to form 2-ketobutyrate and free ammonia. In the low water environment of the cell, the second step is accelerated by RidA",E,"E4.3.1.19, ilvA, tdcB; threonine dehydratase [EC:4.3.1.19]",K01754,0.028976322,0.873740391,0.979636452,-0.128094881,0.386473987,1,-0.19415853,0.204074728,0.59398114,-0.046716939,0.786495138,0.965941621,-0.109812662,0.563650857,0.92859494,-0.04227786,0.700515279,0.859865719
1_1009_MED4_genome,2,MED4,ilvA,"Catalyzes the anaerobic formation of alpha-ketobutyrate and ammonia from threonine in a two-step reaction. The first step involved a dehydration of threonine and a production of enamine intermediates (aminocrotonate), which tautomerizes to its imine form (iminobutyrate). Both intermediates are unstable and short- lived. The second step is the nonenzymatic hydrolysis of the enamine imine intermediates to form 2-ketobutyrate and free ammonia. In the low water environment of the cell, the second step is accelerated by RidA",E,"E4.3.1.19, ilvA, tdcB; threonine dehydratase [EC:4.3.1.19]",K01754,0.021897847,0.920994973,0.937589477,-0.249529603,0.525549896,0.726840426,-0.025950637,0.930279132,0.990248983,0.131771494,0.609658158,0.672303859,0.217142697,0.346359038,0.4102542,-0.347073742,0.274663461,0.860144317
1_101_MED4_genome,2,MED4,,Belongs to the inositol monophosphatase superfamily,G,"E3.1.3.25, IMPA, suhB; myo-inositol-1(or 4)-monophosphatase [EC:3.1.3.25]",K01092,0.479372948,0.018410274,0.043824209,0.103007972,0.776045402,0.884502002,-0.281211806,0.665035844,0.90662617,0.459636173,0.029608883,0.058158143,0.543576983,0.008149606,0.017689709,0.002804654,0.990776177,0.998573472
1_101_MED4_genome,4,MED4,,Belongs to the inositol monophosphatase superfamily,G,"E3.1.3.25, IMPA, suhB; myo-inositol-1(or 4)-monophosphatase [EC:3.1.3.25]",K01092,0.302063176,0.365971425,0.700302898,0.060823061,0.661547741,0.844407449,0.42596293,0.154958505,0.398103321,0.325746124,0.040661217,0.064714332,-0.074706252,0.768273271,0.863576918,-0.082917078,0.596258398,0.979822398
1_101_MED4_genome,5,MED4,,Belongs to the inositol monophosphatase superfamily,G,"E3.1.3.25, IMPA, suhB; myo-inositol-1(or 4)-monophosphatase [EC:3.1.3.25]",K01092,0.045932537,0.81181079,0.956534294,-0.029495607,0.84156139,1,0.013410493,0.929268344,0.984646845,-0.076341939,0.666772401,0.946554298,-0.044028321,0.800457618,0.982908582,0.114316691,0.299883568,0.638031654
1_1010_MED4_genome,2,MED4,,Participates in chromosomal partition during cell division. May act via the formation of a condensin-like complex containing Smc and ScpA that pull DNA away from mid-cell into both cell halves,D,scpB; segregation and condensation protein B,K06024,-0.165788766,0.281181776,0.359142415,-0.567018076,0.066465892,0.437141231,-0.381416066,0.258356938,0.658142555,-0.291779148,0.0973914,0.148601175,-0.331446367,0.059708264,0.089889949,-0.347077951,0.181546542,0.860144317
1_1010_MED4_genome,5,MED4,,Participates in chromosomal partition during cell division. May act via the formation of a condensin-like complex containing Smc and ScpA that pull DNA away from mid-cell into both cell halves,D,scpB; segregation and condensation protein B,K06024,-0.614753497,0.056709645,0.724256163,-0.125465147,0.347173213,1,-0.29629303,0.169430806,0.569305531,-0.270263578,0.41189221,0.904279926,-0.294267427,0.457406386,0.893299861,-0.227376815,0.058588557,0.527558142
1_1010_MED4_genome,4,MED4,,Participates in chromosomal partition during cell division. May act via the formation of a condensin-like complex containing Smc and ScpA that pull DNA away from mid-cell into both cell halves,D,scpB; segregation and condensation protein B,K06024,-0.107927143,0.644401415,0.814231205,-0.671052476,0.00415174,0.183555703,-0.071968072,0.741072617,0.847331055,0.104808987,0.515804555,0.577088264,0.131950253,0.443679306,0.601063432,-0.020110856,0.908199314,1
1_1011_MED4_genome,2,MED4,ycf19,Alternative locus ID,S,yggT; YggT family protein,K02221,-0.5251598,0.008355324,0.024099967,-0.232895579,0.465797189,0.69093394,0.09054333,0.779579584,0.951081381,-0.560054014,0.004633834,0.015275505,-0.354504406,0.063648424,0.095299004,0.516281079,0.050542134,0.860144317
1_1011_MED4_genome,5,MED4,ycf19,Alternative locus ID,S,yggT; YggT family protein,K02221,-0.643634573,0.045655267,0.724256163,-0.332197199,0.074849324,1,-0.572211489,0.015847477,0.548815156,-0.398484606,0.153303866,0.898808268,-0.434367938,0.140471046,0.893299861,-0.252900337,0.146788623,0.558962513
1_1011_MED4_genome,4,MED4,ycf19,Alternative locus ID,S,yggT; YggT family protein,K02221,-0.347072897,0.298743849,0.700302898,0.070562959,0.486383676,0.7265498,-0.567824382,0.089629589,0.373449672,-0.691740036,0.000120069,0.001011632,-0.070784884,0.776014195,0.868719854,-0.057802889,0.677336825,0.990722725
1_1012_MED4_genome,2,MED4,,Alternative locus ID,S,,,-0.489651174,0.009096093,0.025772264,-0.252788596,0.363643816,0.629825119,0.066957562,0.806845558,0.964990225,-0.288541021,0.057795899,0.097157716,-0.435414092,0.009510784,0.020129629,0.018880442,0.930734318,0.991470674
1_1012_MED4_genome,4,MED4,,Alternative locus ID,S,,,-0.217041803,0.452547404,0.707934497,0.169022772,0.15374819,0.433064916,-0.130241032,0.678583993,0.802692347,-0.67240452,0.000166995,0.001216236,-0.667280996,0.001346133,0.010957291,-0.20144504,0.12972253,0.878494537
1_1012_MED4_genome,5,MED4,,Alternative locus ID,S,,,0.202855973,0.314415403,0.76551583,0.140951194,0.232948136,1,0.311499826,0.052256743,0.548815156,0.268591361,0.191712268,0.898808268,0.212205548,0.239612361,0.893299861,0.20686162,0.063820933,0.531349434
1_1013_MED4_genome,2,MED4,pykF,Belongs to the pyruvate kinase family,G,"PK, pyk; pyruvate kinase [EC:2.7.1.40]",K00873,-0.005448806,0.971050466,0.977666637,0.103529636,0.689373424,0.837625774,0.046026118,0.855094098,0.969258261,0.040751047,0.787589069,0.832210452,0.087367526,0.547434551,0.607522688,-0.064333605,0.773851454,0.962180351
1_1013_MED4_genome,4,MED4,pykF,Belongs to the pyruvate kinase family,G,"PK, pyk; pyruvate kinase [EC:2.7.1.40]",K00873,0.095290214,0.6843086,0.836232075,-0.036639292,0.735130192,0.883720338,0.025888908,0.898871956,0.946155084,0.056267509,0.576844912,0.63429827,0.268441712,0.092531611,0.21396126,0.046898566,0.673331671,0.990722725
1_1013_MED4_genome,5,MED4,pykF,Belongs to the pyruvate kinase family,G,"PK, pyk; pyruvate kinase [EC:2.7.1.40]",K00873,0.047018491,0.805204093,0.953840591,-0.069055169,0.53821243,1,0.041048229,0.776343618,0.930101147,0.125811785,0.514031676,0.922965613,0.091076528,0.661135544,0.952769227,-0.109084568,0.253553124,0.612323449
1_1014_MED4_genome,2,MED4,salY,Alternative locus ID,V,ABC.CD.P; putative ABC transport system permease protein,K02004,0.043648166,0.769262327,0.811952159,-0.018669964,0.949485805,0.977995835,-0.166934521,0.697878093,0.916937273,0.36350673,0.038310562,0.071037249,0.104832312,0.480325427,0.54579395,-0.282751583,0.345356183,0.860144317
1_1014_MED4_genome,4,MED4,salY,Alternative locus ID,V,ABC.CD.P; putative ABC transport system permease protein,K02004,0.087155002,0.758467179,0.866755176,0.21579393,0.121390123,0.389950546,0.228555982,0.357318872,0.559802806,0.398968902,0.022767272,0.039977998,0.443352708,0.016305894,0.061418869,0.155754885,0.287331973,0.952968986
1_1014_MED4_genome,5,MED4,salY,Alternative locus ID,V,ABC.CD.P; putative ABC transport system permease protein,K02004,0.295554413,0.247903246,0.734314532,0.044360348,0.839524378,1,0.314924706,0.187777339,0.579936121,0.228803239,0.361407625,0.900846365,0.211681907,0.428166675,0.893299861,0.15714924,0.459423498,0.728178664
1_1015_MED4_genome,2,MED4,,Alternative locus ID,S,bioY; biotin transport system substrate-specific component,K03523,0.608928015,0.083058895,0.137193584,-1.584162792,0.416485094,0.664081284,-0.400263996,0.61875242,0.892812064,1.078048599,0.006871993,0.019791753,0.64518078,0.031561562,0.052951756,-0.407054128,0.466195502,0.874893221
1_1015_MED4_genome,4,MED4,,Alternative locus ID,S,bioY; biotin transport system substrate-specific component,K03523,0.443523103,0.363908089,0.700302898,0.415304564,0.167642681,0.452451084,0.841502194,0.06457812,0.366223526,1.121645055,0.002409907,0.006927373,1.03322638,0.004046478,0.024065894,0.439872672,0.214271418,0.946270322
1_1015_MED4_genome,5,MED4,,Alternative locus ID,S,bioY; biotin transport system substrate-specific component,K03523,-0.072062228,0.888964272,0.981763688,-0.12903274,0.823436472,1,-0.440128623,0.374809565,0.700058827,-0.07044818,0.90068103,0.985482426,0.03239535,0.949274814,0.992810239,0.209306329,0.661256586,0.841798477
1_1016_MED4_genome,4,MED4,lspA,This protein specifically catalyzes the removal of signal peptides from prolipoproteins,MU,lspA; signal peptidase II [EC:3.4.23.36],K03101,0.766839754,0.514191163,0.74100617,-2.09843919,0.035570475,0.284029129,0.555420933,0.769572045,0.865043829,1.454754531,0.036694609,0.059435366,0.971219568,0.326613258,0.490105907,-0.697900698,0.361230528,0.952968986
1_1016_MED4_genome,2,MED4,lspA,This protein specifically catalyzes the removal of signal peptides from prolipoproteins,MU,lspA; signal peptidase II [EC:3.4.23.36],K03101,0.974451686,0.366322512,0.447081032,-1.442156174,0.657468841,0.812472297,0.544786864,0.825026051,0.968357472,2.78548502,0.007885733,0.021780947,2.479336199,0.005179379,0.012379375,0.048143997,0.967835502,0.991470674
1_1016_MED4_genome,5,MED4,lspA,This protein specifically catalyzes the removal of signal peptides from prolipoproteins,MU,lspA; signal peptidase II [EC:3.4.23.36],K03101,-0.176283674,0.869846563,0.977750291,0.598936594,0.382489262,1,-1.539925335,0.145793286,0.569305531,0.10533246,0.884296057,0.9845882,0.042385246,0.942906054,0.991419009,-0.216623497,0.616537056,0.826806779
1_1017_MED4_genome,5,MED4,,GTPase SAR1 and related small G,S,K06883; uncharacterized protein,K06883,-1.031282519,0.040246063,0.724256163,-0.21896305,0.58197503,1,-0.736287537,0.067827905,0.548815156,-0.725650512,0.074733415,0.898808268,-1.097010579,0.03983435,0.893299861,-0.766781469,0.063700295,0.531349434
1_1017_MED4_genome,4,MED4,,GTPase SAR1 and related small G,S,K06883; uncharacterized protein,K06883,1.024017269,0.03321058,0.700302898,-0.471006646,0.105990564,0.372800798,1.155827884,0.027560365,0.366223526,1.002895491,0.007850771,0.016572891,0.062318964,0.880832254,0.931747518,-0.094894467,0.729830432,0.996426336
1_1017_MED4_genome,2,MED4,,GTPase SAR1 and related small G,S,K06883; uncharacterized protein,K06883,1.178662107,0.002479658,0.011336661,0.596896848,0.34011789,0.613489641,0.473781433,0.297453108,0.694504506,0.835310347,0.006363388,0.01877737,1.415200899,0.000366352,0.002075996,0.618957005,0.147009001,0.860144317
1_1018_MED4_genome,2,MED4,,,None,,,0.661685106,0.336718161,0.417044221,2.051377439,0.108637014,0.448244487,1.817260909,0.160176244,0.56110618,0.919949586,0.32310695,0.397877212,1.356489051,0.076562342,0.110833653,0.024667933,0.973221246,0.991807965
1_1018_MED4_genome,5,MED4,,,None,,,-1.0893866,0.212211398,0.724256163,-0.475323264,0.405879704,1,-1.646386208,0.060896633,0.548815156,-0.428918619,0.524296331,0.922965613,-0.347523338,0.583134303,0.932918934,0.272219231,0.575751723,0.802071063
