GENE,t=0h,t=3h,t=6h,t=12h,t=24h,t=48h,Nitrite,Urea,ANNOTATION
PMT0035,0.202639614,0.089433886,0.334499155,0.253275423,*0.943253245910259,*0.87853008953369,0.06757577,0.27151775,possible Squash family serine protease inhibit
PMT0036,0.662048258,0.457932342,-0.023607466,0.831727348,0.853013977,0.044513859,0.195889881,0.083651277,HNH endonuclease:HNH nuclease
PMT0037,-0.136869162,-0.129040794,-0.2270079,-0.437267517,-0.28428311,0.188155393,-0.027040471,0.08744942,SNF2 related domain:DEAD/DEAH boxhelicase:Helicase C-termina...
PMT0038,-0.336108767,-0.121136214,-0.054510407,0.830714064,**1.58946714134705,0.698858273,-0.26478535,**-1.20806890386919,possible Penicillin amidase
PMT0039,0.270885072,0.312621573,0.228120367,0.860616804,**1.56698084879083,**1.45612392877064,0.063009466,-0.19331044,conserved hypothetical protein
PMT0040,0.317041733,0.115848653,0.250204442,0.186635488,0.406701269,-0.12252003,0.048631119,-0.461936688,possible methyl-accepting chemotaxis protein[Bacillus ...
PMT0043,0.109257056,0.100927594,0.152159455,-0.292881786,-0.663104681,**-1.37673958704467,0.07519289,-0.413829146,DHSS soluble hydrogenase small subunit
PMT0044,0.408291756,0.164759291,-0.470982098,-0.55552016,-1.652846278,-0.590793697,-0.112049621,-0.110937942,cbiD CbiD protein
PMT0045,-0.194737096,-0.122738046,-0.076767348,-0.606338315,-0.924492806,-0.398326631,-0.175667219,0.095952977,guaA Glutamine amidotransferase class-I:GMP synthase
PMT0046,-0.06470202,0.008055441,-0.099849294,-0.496238632,-0.026126011,-0.385354291,-0.1677797,-0.1768377,conserved hypothetical protein
PMT0047,0.400579033,0.111531762,-0.040991021,0.076473475,0.328682122,0.807015424,0.01574734,0.493514625,conserved hypothetical protein
PMT0048,-0.121647854,0.122696478,0.201366596,0.101525916,0.011884967,0.060746263,-0.246553594,0.009608509,Putative penicillin-binding protein
PMT0049,-0.286573578,-0.025470788,-0.135821763,-0.299579744,-0.711681856,-0.220621971,-0.128647524,-0.429374792,sqdX SqdX
PMT0050,-0.359167483,-0.139045969,-0.209956651,-0.523154228,*-0.81931792340572,**-1.32314353569124,-0.17053315,-0.692555484,sqdB sulfolipid (UDP-sulfoquinovose) biosynthesisprotein
PMT0052,0.147705219,-0.012406088,0.147271815,0.000507605,0.139108289,-0.29664809,0.004136119,-0.285992414,thiG thiamin biosynthesis protein
PMT0054,-0.141181948,-0.036455982,-0.081340159,0.044993034,0.159233057,-0.492764216,0.215518532,-0.428410985,putative photosystem I assembly related proteinYcf37
PMT0055,-0.110984788,0.140917688,-0.244339222,-0.740305346,**-1.02050057824342,-0.671303411,-0.578569816,-0.732950263,"rpl20, rplT 50S ribosomal protein L20"
PMT0056,0.134922156,0.126215843,-0.272276208,-0.493358926,-0.416459087,-0.491402252,-0.136586661,-0.537478479,"rpl35, rpmI 50S ribosomal protein L35"
PMT0057,0.15736719,0.067802745,-0.318845561,-1.212501167,-0.481175796,-1.502946234,-0.482612665,0.470649671,possible amidase enhancer
PMT0058,-0.149636318,0.050628596,0.111504617,-0.054055749,-0.017164937,0.529264091,-0.399524964,0.285192283,"Glycosyl transferase, family 2"
PMT0059,-0.122368537,0.068763254,0.208347975,0.044769626,0.547659549,0.152899645,-0.04045588,-0.166739759,"dnaX DNA polymerase, gamma and tau subunits"
PMT0060,-0.062530485,-0.06828295,0.219332748,-0.905464432,0.30102636,-0.746122225,-0.185325852,-0.246936031,conserved hypothetical protein
PMT0061,-0.032793484,-0.165591385,*-0.744405014954208,-0.224824984,-0.065657648,-0.563869338,-0.260075526,-0.612370872,"clpX putative Clp protease ATP-binding subunit, ClpX"
PMT0062,-0.020296736,0.052582378,0.025827249,-0.199922085,0.025854749,0.383641481,0.152795908,0.126096891,clpP2 Clp protease proteolytic subunit
PMT0063,0.042883449,0.136740161,0.152931499,0.072660227,0.067750712,0.502061417,0.098861873,-0.506170188,FKBP-type peptidyl-prolyl cis-trans isomerase(PPIase)
PMT0064,0.183894604,-0.377804868,-0.155308856,-1.267362335,-1.29731067,-0.031701625,-0.067248284,0.727690054,asd aspartate Semialdehyde dehydrogenase
PMT0065,0.311067625,-0.010197183,-0.250411514,-0.386788021,-0.195023329,0.292729589,-0.008533579,0.295484441,dapA Dihydrodipicolinate synthetase
PMT0066,-0.065416407,-0.030983171,-0.172348036,-0.583644054,-0.560841202,-0.512351756,-0.071418105,0.159375774,conserved hypothetical protein
PMT0067,-0.242321281,0.261029873,-0.050970657,0.242419434,-0.791595334,0.226589163,0.170509239,0.241032291,possible liver stage antigen LSA-1-malariaparasite ...
PMT0068,0.052101254,0.459563656,-0.584663232,0.751355577,0.466572084,-0.119463329,-0.186703236,0.073965282,conserved hypothetical protein
PMT0069,0.302661138,0.258879985,0.209814295,-0.226352703,-0.621065554,**-2.07935094367650,-0.083990696,-0.157148288,ycf23 conserved hypothetical protein
PMT0070,0.236635487,0.291767206,0.111479495,-0.019059452,0.298296837,-0.607685119,0.065800213,-0.482743984,conserved hypothetical protein
PMT0071,-0.204616328,-0.147997077,-0.118645026,0.503772616,-0.565496067,-1.289316611,0.10938905,0.347843505,uvrB DEAD/DEAH box helicase:Helicase C-terminaldomain:UvrB/uvrC m...
PMT0072,-0.147689452,-0.314532297,0.141495448,0.48664502,0.891769013,0.524257488,-0.030232289,-0.356177832,possible FAD binding domain
PMT0073,-0.115389512,0.019354786,-0.091721075,-0.143956458,0.002074388,0.357643615,0.021646467,-0.356772239,lysC Aspartate kinase
PMT0074,-0.133302857,-0.03429897,0.127425806,0.374787981,0.338288418,0.869500818,0.182682548,-0.292933192,conserved hypothetical protein
PMT0075,-0.622147236,-0.076587758,0.342984628,-0.123431564,-0.566475032,-0.279993676,-0.48186676,0.199964416,cobH putative Precorrin-8X methylmutase CobH
PMT0076,0.169777758,0.119468257,-0.03327186,0.032818941,-0.327652011,-0.028934766,-0.21968671,0.091766249,possible transporter component
PMT0077,0.217195192,0.130590752,0.073003779,-0.020821101,-0.180789175,-0.172885859,0.08424395,0.079445182,"ABC transporter, multi drug efflux family"
PMT0078,0.237653936,0.17516898,-0.070886143,0.104064892,-0.304955477,-0.639855932,-0.018752966,-0.091923598,Conserved hypothetical protein
PMT0079,0.098343096,-0.233991094,-0.110932033,-0.153192375,-0.178650568,0.685722833,-0.084578646,0.321322453,"mutS,fdv putative DNA mismatch repair protein"
PMT0080,0.039435398,0.092507508,-0.080508905,-0.514708772,**-1.16464281304928,**-2.62053738659705,0.045844135,0.254649756,psbZ possible Photosystem II reaction center Z protein(PsbZ)
PMT0081,-0.073451501,0.095419192,-0.381834841,-0.883325005,**-1.29018978788799,**-1.58148846187321,-0.292530709,**-1.09363479835561,"ribH Putative 6,7-dimethyl-8-ribityllumazine synthaseor riboflavin synthase beta chain"
PMT0082,0.09429416,0.012010521,0.122671611,0.126166248,-0.221115017,-0.903375149,0.109595389,-0.101284376,unnamed product 
PMT0083,-0.159955036,-0.134699491,-0.216742163,-0.596984846,-0.841699498,-0.969184925,-0.174071404,0.258135032,secA Preprotein translocase SecA subunit
PMT0084,0.369989556,0.038860172,-0.836890885,-0.14362451,0.471188057,-1.346639509,0.089299444,-0.113537852,putative glucose-1-phosphatethymidylyltransferase
PMT0085,-0.304192584,-0.326319728,-0.598704882,-1.735228831,-0.658456318,-2.267967876,-0.209837921,-0.063971931,glycosyltransferase
PMT0086,0.329730068,0.440695558,-0.133799837,0.803549055,0.727986182,-1.386336446,-0.439508767,0.070947286,Possible UDP-glucose-4-epimerase
PMT0087,-0.098993795,-0.177986138,-0.103853714,0.319509928,0.166217893,-1.985899901,-0.462073187,0.503807752,glycosyltransferase
PMT0088,0.072138944,-0.109644499,-0.045866234,-0.117411861,-0.201851937,**-3.84440577142666,-0.560557433,-0.124479787,possible protease
PMT0089,0.000637219,-0.086587071,-0.032523761,-0.297139103,-0.59999088,-0.907795875,-0.146468144,0.190952101,possible acyltransferase
PMT0090,-0.172815572,-0.351925623,-0.45639374,-0.238517076,0.019638457,0.988218208,-0.228717049,0.483798814,hypothetical protein
PMT0091,-0.064681744,-0.11452618,-0.069337033,-0.122975362,-0.075438594,-0.996437292,-0.289623239,*1.16822167946684,conserved hypothetical protein
PMT0092,0.338369105,-0.105634561,-0.015049438,0.269491373,-0.220846266,-2.471196567,-0.298476698,1.149843711,hypothetical protein
PMT0093,0.419311774,0.4669379,0.233702681,-0.844665961,-0.738731294,-1.704327209,-0.010219674,1.191113965,multidrug efflux family ABC transporter
PMT0094,0.227886447,0.159346815,-0.061720302,-1.199794939,-1.059725665,-1.934492067,0.231313807,1.069618929,possible transporter for efflux
PMT0095,-0.545373314,-0.399533674,0.261325098,-1.726916417,-0.203384877,*-3.98617099926020,-0.073204027,0.473125025,capsular polysaccharide biosynthesis protein
PMT0096,0.083956305,0.174309782,-0.433722898,0.429129699,-1.417603161,-1.339276284,-0.298241558,1.218060376,capsular polysaccharide biosynthesis protein
PMT0097,-0.434163298,-0.146618938,-0.613868321,0.172360476,0.471734969,-1.170317194,0.359959538,*1.84332051418784,conserved hypothetical protein
PMT0098,-0.2142422,0.006022833,-0.009504288,0.087738111,0.198685552,-0.644333236,-0.094975985,0.125656839,LPS biosynthesis protein
PMT0099,-0.293722544,-0.051172865,-0.148308424,-0.270744716,-0.486613114,-1.031388421,0.017298185,0.807996236,"HisH imidazoleglycerol-phosphate synthase, glutamineamidotransferase subunit"
PMT0100,0.122668079,0.147619776,0.150317393,0.300402959,-1.078136802,-3.116688097,-0.120318874,0.708543275,"hisF imidazoleglycerol-phosphate synthase, cyclasesubunit"
PMT0101,-0.152054025,0.031880682,-0.521701055,-0.444724058,-0.881118875,-2.273936761,0.10377576,0.840658991,acetyltransferase
PMT0102,-0.261956885,-0.150572454,-0.265745034,-0.193817518,-0.680947142,-2.816788848,-0.741548302,-0.505010547,"Surface polysaccharide biosynthesis protein,possible cytidylyltransferase"
PMT0103,-0.13896851,0.285473671,-0.196916938,-0.388196625,-0.499689879,-1.772459902,-0.166695961,-0.200760443,"aminotransferase, Class III pyridoxal-phosphatedependent"
PMT0104,-0.296586678,-0.065509597,-0.611636365,-1.344838874,-0.31439391,-0.663300617,-0.093451021,0.556588141,"surface polysaccharide biosynthesis protein,transferase"
PMT0105,-0.045955995,0.002299881,-0.184517168,-0.532683219,-1.634593806,-1.981554138,-0.190351485,0.433446381,hypothetical protein
PMT0106,-0.260469954,-0.072552205,-0.403161018,-0.479753393,-0.752917455,-2.351450642,-0.483885082,0.267089803,neuB N-acetylneuraminate synthase
PMT0107,-0.064489213,0.008882569,-0.236279883,-0.112829941,-1.515302637,*-3.23106352231047,0.144064214,0.127150716,conserved hypothetical protein
PMT0108,-0.054548226,-0.044005565,-0.199703922,-0.242025752,-2.559372228,-1.519906839,0.493084186,0.317582923,"ABC transporter, ATP binding protein"
PMT0109,0.154424485,0.300020664,-0.038263379,-0.311312942,-1.371649276,-2.292306693,0.103555016,-0.066020122,"ABC transporter, membrane component"
PMT0110,0.289615981,-0.042695372,-0.235687999,-0.156357592,-0.845326753,**-3.91622982705882,0.196701625,-0.27836351,conserved hypothetical protein
PMT0111,0.353737593,0.073899106,0.076537148,0.180174639,-0.143048471,-0.502640931,0.164523156,0.072935838,putative SecA-type protein translocase
PMT0112,0.018147172,0.045482815,0.273732763,-0.112938088,-0.280217985,-0.473159467,0.25738549,0.033467192,"rmlA, rfbA glucose-1-phosphate thymidylyltransferase"
PMT0113,-0.050197659,-0.205250284,-0.250482542,-0.142983663,-0.5555728,0.657211766,0.116537777,0.378787447,"rfbC dTDP-4-dehydrorhamnose 3,5-epimerase"
PMT0114,0.071760038,-0.154517679,-0.708040601,0.240439743,0.007220351,-1.458313183,0.147982173,0.347840351,rfbD putative dTDP-4-dehydrorhamnose reductase
PMT0115,0.186631207,0.191097231,0.15514353,-0.300141792,-0.657968672,**-1.57394382353685,-0.033465168,-0.021857777,"rfbB dTDP-glucose-4,6-dehydratase"
PMT0116,0.159051321,0.056216864,-0.225927316,-0.124955839,-0.121024382,-1.070350815,-0.040509777,0.156315896,possible glycosyltransferase
PMT0117,0.137801643,0.053772638,0.004347668,0.473408195,0.725767801,-0.665433971,0.090080251,-0.245437585,cysE Serine acetyltransferase
PMT0118,-0.113987604,0.076314117,0.368215123,-0.172957218,-0.698024264,-0.229748386,0.036249916,0.132347059,possible transcriptional regulator
PMT0119,0.318984704,0.185981689,0.006127887,0.177787537,0.383225441,**1.03968999765148,0.161381648,*0.814615326680455,infC Translatioin Initiation factor 3
PMT0120,0.806305025,0.300198086,-0.118406631,-0.180807056,-0.250292178,0.648485571,-0.775423011,*-3.26689366697143,"miaA,trpX tRNA delta-2-isopentenylpyrophosphate (IPP)transferase"
PMT0121,-0.212546453,-0.252869584,-0.482598198,-0.212706437,-0.381510789,0.031042961,-0.49201658,0.447656456,"gyrB DNA gyrase, subunit B"
PMT0122,0.007032628,-0.1406396,*-0.764505375139767,-0.617682687,-1.328621494,-0.63309982,-0.36694203,0.336903181,conserved hypothetical
PMT0123,-0.09694297,-0.091569771,-0.476528306,0.290042434,0.36066159,0.855974626,-0.298951887,-0.028143965,conserved hypothetical protein
PMT0124,-0.261808316,0.007794124,-0.168860718,-0.360186635,-0.3314993,**1.34996930264201,-0.125898161,-0.47386187,conserved hypothetical protein
PMT0125,0.076173663,0.216919568,0.300476656,0.016123263,-0.053777222,*0.782654135360116,0.021893017,-0.147756433,Glutathione peroxidase
PMT0126,-0.047720868,0.068002695,0.290779289,0.14368976,0.213027149,0.172548115,-0.154753588,0.14456275,"MgtE family, putative magnesium transportprotein"
PMT0127,0.109728891,0.009388667,0.183811324,0.337032755,*0.7435801632165,**2.27276319472991,0.410463118,0.043035304,"Type II alternative RNA polymerase sigma factor,sigma-70 family"
PMT0128,0.000598237,-0.146552856,-0.061033135,0.336001178,0.077098429,**1.36566514412838,0.166745026,0.255712125,Alpha/beta hydrolasefold:Esterase/lipase/thioesterase family...
PMT0129,-0.071188955,-0.065866362,-0.196888957,-0.989473281,0.028190234,-0.507015083,0.075914664,0.422404223,putative RND family multidrug efflux transporter
PMT0130,-0.063482683,0.310805012,-0.170818662,-0.376049224,-0.042765381,0.239215974,-0.216125984,-0.806247656,conserved hypothetical protein
PMT0131,0.046339695,0.267878777,-0.046291134,-0.297216249,0.115620905,0.489197934,0.02798517,-0.275222681,hypothetical
PMT0132,-0.782329493,-0.444113341,-0.652468979,-1.211574412,-1.650570004,-0.147895424,-0.108551459,0.103275401,sdhA FAD binding site:Fumarate reductase/succinatedehydrogenase f...
PMT0133,-0.74194873,0.265619532,0.101016969,0.892478628,0.028051178,-0.524604258,1.176545414,0.114476645,"sdhB succinate dehydrogenase/fumarate reductase,iron-sulfur binding"
PMT0134,0.095985329,0.006260706,-0.207878058,0.445683251,0.6892675,0.409365057,0.253914217,-0.114747729,Iron/Ascorbate oxidoreductase
PMT0135,-0.203261594,0.240198484,-0.009433605,-0.593855365,-0.412111426,-1.012815324,0.026769637,-0.25437326,probable adenine glycosylase
PMT0136,-0.079109796,-0.105609921,0.005437036,-0.433626377,0.221351765,0.395976584,-0.124118201,-0.109874148,Putative carbohydrate kinase
PMT0137,0.406305608,0.210806931,-0.097466666,-0.012314693,-0.06293167,-0.59538201,0.146900417,0.024656711,conserved hypothetical protein
PMT0138,-0.017732014,-0.352086112,*-0.590701957300218,-0.981266158,**-1.16821845052563,**-1.23045244182897,-0.249261033,0.018965707,"ahcY, sahH putative adenosylhomocysteinase"
PMT0139,-0.138669325,-0.265327132,-0.603862494,-0.619128988,-0.335405129,-1.099331872,-0.012227944,0.260651793,possible unknown protein [Enterobacteria phageP22] sp|...
PMT0140,-0.939402657,0.072926615,-0.152920072,-0.465597854,-2.028744741,*-2.16565094229075,-0.254295837,0.07987113,DedA family; putative alkaline phosphatase-likeprotein
PMT0141,-0.030824054,-0.348342085,-0.108045079,0.003625323,0.264109493,-0.571548297,-0.28565161,-0.088149082,ssb single-stranded DNA-binding protein
PMT0142,-0.817367163,0.063753603,0.023579198,-0.427722724,-0.579644686,*-1.09848008713181,-0.718183451,-0.666093893,mreB Rod shape determining protein
PMT0143,-1.736113693,-0.100277778,-0.143145782,-0.38605113,-0.505510251,-0.708162907,-0.341968336,0.095607911,mreC putative rod shape-determining protein
PMT0144,-0.111546928,-0.10211291,-0.358291073,-0.775703012,-1.03816876,0.534815125,-0.3424413,0.491375982,conserved hypothetical protein
PMT0145,0.137579086,-0.194711225,-0.69469577,-0.529439958,-0.802280823,0.212656471,-0.053058235,0.181723967,"Bacterial extracellular solute-binding protein,family 1"
PMT0146,-0.186455082,-0.096007619,-0.492406088,-0.917223748,**-1.01817607447242,-0.420390333,-0.207233673,-0.040769647,two-component response regulator
PMT0147,-0.060478351,-0.107997339,0.205117233,-0.297541118,-0.410782453,-0.136559166,-0.1068236,-0.350500147,"lysS Lysyl-tRNA synthetase, class-2:tRNA synthetases,class II (D,..."
PMT0148,0.127089602,-0.026163906,0.032531775,0.07198868,-0.689373336,-0.490610824,0.360864581,0.416179144,conserved hypothetical protein
PMT0149,0.007601553,-0.184305331,0.04663296,-0.082731193,-0.38118055,-0.399512185,-0.129418667,-0.066354509,conserved hypothetical protein
PMT0150,0.087468257,0.117422438,0.214709611,0.22497401,0.100795846,0.740659568,0.185952287,-0.108678639,conserved hypothetical protein
PMT0151,-0.174213585,-0.126344182,-0.19724664,0.088307602,-0.701110838,1.606574987,-0.334817696,0.405903518,conserved hypothetical protein
PMT0152,0.0079912,0.032386429,-0.024310706,-0.655847027,-0.5082949,-0.018844537,-0.074002036,-0.226427541,conserved hypothetical protein
PMT0153,0.64681091,0.419881022,0.414408505,-1.304098942,-1.6636338,0.939656051,0.408526968,-0.353427206,hypothetical
PMT0154,0.326472922,0.001840902,0.240348123,-0.153389907,-0.130257085,0.883838896,-0.163583132,0.115789926,Eukaryotic protein kinase:Serine/Threonineprotein kinase
PMT0155,0.518161867,0.370613833,0.467465891,-0.30156861,-1.458669861,-0.436710076,0.296397636,-0.166993891,smpB tmRNA binding protein SmpB
PMT0156,0.306695924,0.011451283,0.45146006,-0.413328889,-0.309287383,1.087073037,-0.490979608,-0.29602945,ruvB Holliday junction DNA helicase RuvB
PMT0157,-0.091973313,0.069734237,-0.059977626,-0.217512303,0.005589956,0.219822429,0.249444933,0.521488681,conserved hypothetical protein
PMT0158,0.13096569,-0.214344118,-0.161629035,-0.593564909,-0.423787256,0.215254992,0.273892621,0.49954008,Zinc metallopeptidase M20/M25/M40 family
PMT0159,-0.091611965,0.040634039,0.273146907,-0.482403799,-0.006244849,-2.138366387,-0.025200618,0.128835559,conserved hypothetical protein
PMT0160,-0.067476393,-0.239670462,-0.44734174,-0.21793144,-0.099142466,-0.191326954,-0.082265764,-0.338610964,thiC ThiC family
PMT0161,-0.011720913,0.256037564,0.298949811,-0.21012128,-0.672062818,-1.405228102,0.373192147,0.529836998,conserved hypothetical protein
PMT0162,-0.231976514,-0.25196713,-0.303694699,-0.611919203,-0.623494097,**-1.46325363068213,0.197019386,0.023543838,"possible Bacterial regulatory proteins, crp fa"
PMT0163,0.330619367,0.134259798,0.193428905,0.13068022,0.087530408,-0.287660011,-0.091068466,-0.42085356,aroK Shikimate kinase
PMT0164,0.112393289,-0.02449913,-0.125070875,-0.248997505,-0.265224668,-0.639073495,0.02670668,0.196456752,6-pyruvoyl tetrahydropterin synthase
PMT0165,0.044096919,-0.063185892,0.14332772,-0.47062214,0.209284301,0.623366675,0.057598903,0.062884265,ribG RibD/ribG C-terminal domain
PMT0166,0.03534883,-0.288907523,-0.430415139,-1.398579621,-0.230900811,0.57103951,0.139060494,-0.135903839,conserved hypothetical protein
PMT0167,0.36951784,0.243459108,-0.083605442,0.123523486,0.770318206,-0.711439527,-0.119066068,0.165453486,hypothetical
PMT0168,0.455749093,0.247602757,-0.335912881,-0.553662729,-0.338056906,**-2.38031493429661,-0.786018547,**-1.94978085339545,"possible Negative factor, (F-Protein) or Nef."
PMT0169,-0.188015341,0.030886965,*-0.935539182084183,-1.5688211,**-1.56049938853610,**-4.11370463600921,**-1.48351781594686,**-3.00121598359076,possible Chitin synthase
PMT0170,-0.037532266,0.103848816,0.098263195,0.056089422,-1.275531253,0.39907161,0.296359976,-0.272011486,conserved hypothetical protein
PMT0171,-0.191693913,-0.111595719,0.088338706,-1.531729815,-1.340929096,-3.045598419,0.405587245,0.032090677,possible Penicillin amidase
PMT0172,0.216156763,0.051415014,0.333588934,0.116297818,0.51917277,-0.715834675,0.195812577,-0.648424961,conserved hypothetical protein
PMT0173,0.017752125,-0.038356241,0.149035748,0.1567536,0.501597861,**0.982676111582852,-0.275672471,-0.241228772,conserved hypothetical protein
PMT0174,-0.508815095,-0.03405686,0.142503275,0.16312179,-0.390464148,0.73506175,0.184818506,0.442014898,multidrug efflux MFS family transporter
PMT0175,0.014925053,-0.005830575,-0.053050479,-0.279675684,-0.256349072,0.290333402,0.007701892,0.351021444,possible Fe-S oxidoreductase
PMT0176,0.079281374,0.227095571,0.176230571,0.16631623,0.252250801,-0.449554187,-0.126435796,-0.124229759,conserved hypothetical protein
PMT0177,-0.726679854,-0.379964297,-0.594567742,-1.141192978,**-2.05047486447968,*-1.79175167877570,-0.226458732,-0.574437983,"nadB Fumarate reductase/succinate dehydrogenaseflavoprotein, N-te..."
PMT0178,-0.059229633,0.123026388,-0.144290171,-0.0648264,-0.369283622,-0.85640352,0.134896469,0.334121482,psbU putative Photosystem II PsbU protein
PMT0179,0.036991872,0.098772248,-0.167353387,0.270733801,0.072222207,-0.093114216,-0.287453222,0.233264485,conserved hypothetical protein
PMT0180,-0.445847758,-0.233236552,0.167612767,-0.47881285,-0.729188794,0.134951004,-0.122315523,0.164666589,Bacitracin resistance protein BacA
PMT0181,0.059043544,0.110456821,-0.035893866,-0.514921421,0.468740093,-0.257175306,0.212151436,0.565343591,possible Fe-S oxidoreductase
PMT0182,-0.496141837,-0.239155009,-0.391448288,0.036931331,-0.070148545,-0.399875376,-0.494383377,0.064208498,possible RND family outer membrane effluxprotein
