gene_id,cluster
PMT1203,4
PMT1275,4
PMT1781,4
PMT2130,4
PMT1333,4
PMT0453,4
PMT0613,4
PMT2132,4
PMT0902,4
PMT0498,4
PMT1204,4
PMT2149,4
PMT0456,4
PMT0256,4
PMT2124,4
PMT1237,4
PMT0926,4
PMT1100,4
PMT0757,4
PMT0922,4
PMT0239,4
PMT1380,4
PMT1509,4
PMT0395,4
PMT0246,4
PMT1935,4
PMT1206,4
PMT0849,4
PMT2121,4
PMT0730,4
PMT1947,4
PMT1376,4
PMT0748,4
PMT1481,4
PMT2249,4
PMT2134,4
PMT2046,4
PMT1368,4
PMT0897,4
PMT0836,4
PMT2250,4
PMT0874,4
PMT0247,4
PMT1944,4
PMT0421,4
PMT1186,4
PMT0724,4
PMT0115,4
PMT1892,4
PMT1031,4
PMT0593,4
PMT1998,4
PMT0645,4
PMT0927,4
PMT1205,4
PMT1231,4
PMT0539,4
PMT0555,4
PMT0499,4
PMT0187,4
PMT1815,4
PMT2148,4
PMT1223,4
PMT2117,4
PMT2086,4
PMT2024,4
PMT0242,4
PMT1113,4
PMT1243,4
PMT0069,4
PMT0008,4
PMT2228,4
PMT0752,4
PMT1106,4
PMT1940,4
PMT0631,4
PMT1827,4
PMT0895,4
PMT1925,4
PMT0560,4
PMT1095,4
PMT0243,4
PMT1093,4
PMT0207,4
PMT2196,4
PMT0904,4
PMT0923,4
PMT1202,4
PMT2077,4
PMT0016,4
PMT0245,4
PMT0629,4
PMT0557,4
PMT0820,4
PMT1941,4
PMT0483,4
PMT0517,4
PMT1217,4
PMT1610,4
PMT0321,4
PMT1015,4
PMT1043,4
PMT1986,4
PMT1523,4
PMT2019,4
PMT1863,4
PMT0929,4
PMT0925,4
PMT0221,4
PMT1695,4
PMT1570,4
PMT2129,4
PMT0043,4
PMT2118,4
PMT0193,4
PMT1782,4
PMT0285,4
PMT2194,4
PMT2137,4
PMT1289,4
PMT1896,4
PMT1850,4
PMT0829,4
PMT0532,4
PMT2125,4
PMT0579,4
PMT0278,4
PMT1135,4
PMT0464,4
PMT0443,4
PMT1577,4
PMT2081,4
PMT1219,5
PMT0081,5
PMT1323,5
PMT1272,5
PMT0568,5
PMT1750,5
PMT2172,5
PMT1897,5
PMT2119,5
PMT1124,5
PMT1507,5
PMT1063,5
PMT1505,5
PMT0817,5
PMT1450,5
PMT0606,5
PMT0754,5
PMT0616,5
PMT1504,5
PMT1730,5
PMT1306,5
PMT1668,5
PMT2091,5
PMT0032,5
PMT1449,5
PMT0628,5
PMT1859,5
PMT0162,5
PMT1760,5
PMT0445,5
PMT0055,5
PMT2162,5
PMT1915,5
PMT1816,5
PMT1307,5
PMT1754,5
PMT2088,5
PMT1777,5
PMT0276,5
PMT1780,5
PMT1854,5
PMT1533,5
PMT1180,5
PMT0350,5
PMT0050,5
PMT1955,5
PMT2100,5
PMT1022,5
PMT0793,5
PMT0367,5
PMT2003,5
PMT1395,5
PMT1107,5
PMT1914,5
PMT1836,5
PMT1262,5
PMT1498,5
PMT1322,5
PMT1926,5
PMT0675,5
PMT1749,5
PMT1590,5
PMT0848,5
PMT1752,5
PMT0061,5
PMT0122,5
PMT0584,5
PMT0739,5
PMT0859,5
PMT0924,5
PMT1213,5
PMT0977,5
PMT0497,5
PMT2122,5
PMT2004,5
PMT1345,5
PMT2013,5
PMT1197,5
PMT0146,5
PMT1898,5
PMT2259,5
PMT0227,5
PMT0600,5
PMT0552,5
PMT1452,5
PMT2083,5
PMT1755,5
PMT1004,5
PMT1899,5
PMT1451,5
PMT1783,5
PMT1588,5
PMT2261,5
PMT1199,5
PMT1177,5
PMT0142,5
PMT1369,5
PMT0272,5
PMT1751,5
PMT1840,5
PMT0577,5
PMT2002,5
PMT0389,5
PMT1856,5
PMT0138,5
PMT1200,5
PMT1515,5
PMT0906,5
PMT1094,5
PMT1779,5
PMT0014,5
PMT1384,5
PMT1442,5
PMT0989,6
PMT1768,6
PMT1957,6
PMT0657,6
PMT1414,6
PMT1126,6
PMT1234,6
PMT1547,6
PMT1708,6
PMT1176,6
PMT2138,6
PMT1567,6
PMT0080,6
PMT0249,6
PMT0687,6
PMT0095,6
PMT1665,6
PMT1220,6
PMT1045,6
PMT1907,6
PMT0031,6
PMT0277,6
PMT1770,6
PMT0426,6
PMT2191,6
PMT0916,6
PMT0110,6
PMT0260,6
PMT0774,6
PMT0258,6
PMT0088,6
PMT1317,6
PMT1710,6
PMT0915,6
PMT0241,6
PMT0630,6
PMT1663,6
PMT0725,6
PMT1047,6
PMT1954,6
PMT1427,6
PMT1273,6
PMT1800,6
PMT1697,6
PMT1905,6
PMT1212,6
PMT0700,6
PMT0832,6
PMT1791,6
PMT0688,6
PMT0840,6
PMT0140,6
PMT1040,6
PMT1767,6
PMT0642,6
PMT1576,6
PMT0534,6
PMT0495,6
PMT1244,6
PMT1316,6
PMT0850,6
PMT1571,6
PMT0917,6
PMT1035,6
PMT0740,6
PMT2089,6
PMT0107,6
PMT0785,6
PMT0856,6
PMT0509,6
PMT1683,6
PMT0484,6
PMT1046,6
PMT0633,6
PMT2063,6
PMT1666,6
PMT1769,6
PMT0478,6
PMT0485,6
PMT0718,6
PMT0168,6
PMT0907,7
PMT1574,7
PMT1761,7
PMT1748,7
PMT1734,7
PMT1736,7
PMT1747,7
PMT1733,7
PMT1081,7
PMT1572,7
PMT2090,7
PMT1759,7
PMT1573,7
PMT1758,7
PMT1737,7
PMT1470,7
PMT1956,7
PMT0169,7
PMT1479,7
PMT1471,7
PMT0551,7
PMT1741,7
PMT1732,7
PMT1756,7
PMT1472,7
PMT1083,7
PMT1739,7
PMT0582,7
PMT1468,7
PMT1742,7
PMT1469,7
PMT0535,7
PMT1473,7
PMT1740,7
PMT0583,7
PMT1743,7
PMT1904,7
PMT1746,7
PMT1527,7
PMT1789,7
PMT1745,7
PMT1738,7
PMT1467,7
PMT1506,7
PMT1466,7
PMT1735,7
PMT1744,7
PMT1377,7
PMT2158,7
PMT1753,7
PMT0177,7
