gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	cog_id	cog_name	cog_length
2785712142	201	38.34	13	201	7	196	2.0e-43	168	COG0009	tRNA A37 threonylcarbamoyladenosine synthetase subunit TsaC/SUA5/YrdC	211
2785712143	310	67.11	11	310	2	302	0.0e+00	495	COG0408	Coproporphyrinogen III oxidase	303
2785712144	226	42.99	7	226	4	213	8.0e-50	190	COG3047	Outer membrane protein W	213
2785712145	143	33.87	19	142	6	126	6.0e-24	103	COG2346	Truncated hemoglobin YjbI	133
2785712146	253	39.76	2	249	28	279	4.0e-56	211	COG0169	Shikimate 5-dehydrogenase	283
2785712148	188	47.37	18	188	6	169	1.0e-51	195	COG0663	Carbonic anhydrase or acetyltransferase, isoleucine patch superfamily	176
2785712149	347	19.05	31	315	58	384	2.0e-14	73.9	COG1887	CDP-glycerol glycerophosphotransferase, TagB/SpsB family	388
2785712159	1029	33.24	1	1029	2	1070	0.0e+00	868	COG0587	DNA polymerase III, alpha subunit	1139
2785712161	249	24.04	27	229	35	231	8.0e-13	67.7	COG4544	Uncharacterized conserved protein	260
2785712163	583	41.03	8	579	4	588	0.0e+00	524	COG4805	Uncharacterized conserved protein, DUF885 familyt	588
2785712164	111	45.71	1	105	1	104	8.0e-30	122	COG4517	Uncharacterized protein	109
2785712165	535	20.42	123	535	17	432	2.0e-26	114	COG2234	Zn-dependent amino- or carboxypeptidase, M28 family	435
2785712167	255	27.89	59	247	50	226	3.0e-09	55.8	COG2801	Transposase InsO and inactivated derivatives	232
2785712168	195	22.11	1	190	5	192	4.0e-08	51.6	COG1309	DNA-binding transcriptional regulator, AcrR family	201
2785712169	409	51.74	4	403	3	391	1.0e-111	396	COG0452	Phosphopantothenoylcysteine synthetase/decarboxylase	392
2785712170	225	47.32	1	224	1	224	5.0e-67	247	COG2003	DNA repair protein RadC, contains a helix-hairpin-helix DNA-binding motif	224
2785712175	78	63.64	1	76	1	77	8.0e-20	88.4	COG0227	Ribosomal protein L28	77
2785712176	51	57.14	1	49	2	50	7.0e-11	58.7	COG0267	Ribosomal protein L33	50
2785712178	269	54.21	1	269	1	273	4.0e-96	344	COG0266	Formamidopyrimidine-DNA glycosylase	273
2785712179	162	62.26	1	159	1	159	9.0e-66	242	COG0669	Phosphopantetheine adenylyltransferase	159
2785712184	398	45.62	5	391	3	388	1.0e-125	443	COG0156	7-keto-8-aminopelargonate synthetase or related enzyme	388
2785712185	341	37.39	1	340	1	350	2.0e-81	296	COG1063	Threonine dehydrogenase or related Zn-dependent dehydrogenase	350
2785712186	103	36.05	16	98	18	103	2.0e-17	81.1	COG0607	Rhodanese-related sulfurtransferase	110
2785712187	287	27.72	99	287	18	216	1.0e-16	80.5	COG0705	Membrane associated serine protease, rhomboid family	228
2785712188	137	25.55	5	135	28	159	7.0e-17	79.9	COG1580	Flagellar basal body-associated protein FliL	159
2785712189	204	30.43	39	191	15	172	1.0e-19	90	COG3161	4-hydroxybenzoate synthetase (chorismate-pyruvate lyase)	174
2785712190	285	40.93	1	280	6	286	1.0e-49	190	COG0382	4-hydroxybenzoate polyprenyltransferase	289
2785712191	83	50.6	1	83	10	92	4.0e-16	76.2	COG2960	Uncharacterized conserved protein YqiC, BMFP domain	103
2785712192	671	42.97	1	651	1	655	0.0e+00	600	COG0210	Superfamily I DNA or RNA helicase	655
2785712194	135	39.67	12	132	6	122	4.0e-21	93.6	COG3245	Cytochrome c5	126
2785712196	470	32.59	15	462	25	471	4.0e-62	232	COG1757	Na+/H+ antiporter NhaC	485
2785712197	589	41.27	22	525	8	502	0.0e+00	468	COG1292	Choline-glycine betaine transporter	537
2785712203	697	30.14	52	697	72	719	5.0e-109	388	COG4773	Outer membrane receptor for ferric coprogen and ferric-rhodotorulic acid	719
2785712205	406	29.41	1	405	1	390	4.0e-63	235	COG1960	Acyl-CoA dehydrogenase related to the alkylation response protein AidB	393
2785712206	311	22.56	14	308	1	295	4.0e-25	108	COG0583	DNA-binding transcriptional regulator, LysR family	297
2785712207	253	21.9	12	217	27	218	7.0e-11	61.4	COG0491	Glyoxylase or a related metal-dependent hydrolase, beta-lactamase superfamily II	252
2785712208	461	26.67	33	458	22	463	4.0e-49	189	COG3106	Predicted ATPase, YcjX-like family	467
2785712210	408	22.67	2	245	5	250	3.0e-28	119	COG2966	Uncharacterized membrane protein YjjP, DUF1212 family	250
2785712212	377	24.25	19	370	4	358	6.0e-66	244	COG1060	2-iminoacetate synthase ThiH (tyrosine cleavage enzyme, thamine biosynthesis)	370
2785712213	256	61.81	1	253	7	260	3.0e-94	337	COG2022	Thiamin biosynthesis thiazole synthase ThiGH, ThiG subunit	262
2785712214	69	28.79	4	69	3	68	2.0e-09	54.1	COG2104	Sulfur carrier protein ThiS (thiamine biosynthesis)	68
2785712215	264	37.8	16	263	1	252	3.0e-44	172	COG0476	Molybdopterin or thiamine biosynthesis adenylyltransferase	254
2785712216	533	40.31	338	528	16	204	4.0e-49	189	COG0352	Thiamine monophosphate synthase	211
2785712217	636	67.83	141	598	1	432	0.0e+00	763	COG0422	Thiamine biosynthesis protein ThiC	432
2785712218	391	28.17	1	390	1	391	5.0e-47	182	COG3071	Uncharacterized conserved protein HemY, contains two TPR repeats	400
2785712219	390	30.71	23	389	6	369	4.0e-49	189	COG2959	Uncharacterized conserved protein HemX (no evidence of involvement in heme biosynthesis)	391
2785712220	243	26.34	1	234	3	238	7.0e-19	87.8	COG1587	Uroporphyrinogen-III synthase	248
2785712221	312	57.52	8	312	2	307	1.0e-119	423	COG0181	Porphobilinogen deaminase	307
2785712223	223	34.1	8	223	7	207	3.0e-37	148	COG0400	Predicted esterase	207
2785712224	213	58.73	6	194	4	186	5.0e-76	277	COG0194	Guanylate kinase	191
2785712225	90	52.24	1	66	1	67	2.0e-12	64.2	COG1758	DNA-directed RNA polymerase, subunit K/omega	74
2785712226	703	44.03	1	697	6	700	0.0e+00	855	COG0317	(p)ppGpp synthase/hydrolase, HD superfamily	701
2785712227	128	49.61	1	128	2	130	1.0e-31	128	COG0251	Enamine deaminase RidA, house cleaning of reactive enamine intermediates, YjgF/YER057c/UK114 family	130
2785712229	690	53.97	7	682	10	676	0.0e+00	862	COG1200	RecG-like helicase	677
2785712231	157	52.44	1	157	2	165	2.0e-52	198	COG0678	Peroxiredoxin	165
2785712233	344	24.75	60	342	1	297	3.0e-26	112	COG1840	ABC-type Fe3+ transport system, periplasmic component	299
2785712234	506	33.08	4	501	9	540	3.0e-61	229	COG1178	ABC-type Fe3+ transport system, permease component	540
2785712235	343	38.14	1	342	5	352	4.0e-87	314	COG3842	ABC-type Fe3+/spermidine/putrescine transport systems, ATPase components	352
2785712236	393	53.23	1	391	1	401	0.0e+00	523	COG2081	Predicted flavoprotein YhiN	408
2785712237	223	45.09	1	223	1	213	4.0e-49	188	COG3047	Outer membrane protein W	213
2785712240	395	31.3	157	378	13	239	1.0e-41	163	COG2200	EAL domain, c-di-GMP-specific phosphodiesterase class I (or its enzymatically inactive variant)	256
2785712241	519	38.71	357	510	20	173	5.0e-29	122	COG2199	GGDEF domain, diguanylate cyclase (c-di-GMP synthetase) or its enzymatically inactive variants	181
2785712242	294	21.26	2	294	1	292	2.0e-19	89.7	COG0583	DNA-binding transcriptional regulator, LysR family	297
2785712243	200	39.2	1	198	1	199	4.0e-35	141	COG1279	Arginine exporter protein ArgO	202
2785712244	105	47.12	1	104	2	104	4.0e-17	79.7	COG2076	Multidrug transporter EmrE and related cation transporters	106
2785712247	381	31.93	1	375	2	372	1.0e-28	120	COG0845	Multidrug efflux pump subunit AcrA (membrane-fusion protein)	372
2785712248	1032	54.32	1	1026	2	1009	0.0e+00	1027	COG0841	Multidrug efflux pump subunit AcrB	1009
2785712249	165	24.63	32	148	29	160	2.0e-05	42.2	COG3545	Predicted esterase of the alpha/beta hydrolase fold	181
2785712250	613	33.4	5	421	16	466	4.0e-83	302	COG0427	Acyl-CoA hydrolase	501
2785712251	323	39.81	13	318	14	309	1.0e-67	250	COG0123	Acetoin utilization deacetylase AcuC or a related deacetylase	340
2785712252	246	36.51	17	76	11	73	7.0e-10	57.7	COG0695	Glutaredoxin	80
2785712254	493	28.75	184	493	99	408	2.0e-32	133	COG0840	Methyl-accepting chemotaxis protein	408
2785712257	204	55.21	6	196	1	191	1.0e-62	232	COG0807	GTP cyclohydrolase II	193
2785712260	222	24.42	1	212	1	201	4.0e-21	94.9	COG0625	Glutathione S-transferase	211
2785712261	613	52.61	21	609	6	588	0.0e+00	706	COG0514	Superfamily II DNA helicase RecQ	590
2785712262	170	29.08	30	169	14	136	5.0e-15	73.9	COG2050	Acyl-coenzyme A thioesterase PaaI, contains HGG motif	141
2785712263	445	34.16	7	445	10	448	7.0e-85	308	COG2239	Mg/Co/Ni transporter MgtE (contains CBS domain)	451
2785712264	304	52.8	11	296	8	293	1.0e-75	276	COG2962	Uncharacterized membrane protein RarD, contains two EamA domains	293
2785712265	425	26.61	53	409	62	430	1.0e-52	200	COG3706	Two-component response regulator, PleD family, consists of two REC domains and a diguanylate cyclase (GGDEF) domain	435
2785712266	723	45.08	8	654	1	655	0.0e+00	610	COG0210	Superfamily I DNA or RNA helicase	655
2785712267	268	56.28	78	260	3	185	2.0e-64	239	COG1045	Serine acetyltransferase	194
2785712268	502	35.09	334	499	8	178	3.0e-32	133	COG2199	GGDEF domain, diguanylate cyclase (c-di-GMP synthetase) or its enzymatically inactive variants	181
2785712269	246	21.14	10	246	4	226	1.0e-17	83.4	COG1011	FMN phosphatase YigB, HAD superfamily	229
2785712270	306	52.96	7	306	2	299	1.0e-94	339	COG4973	Site-specific recombinase XerC	299
2785712271	231	31.48	20	226	1	214	1.0e-33	136	COG3159	Uncharacterized conserved protein YigA, DUF484 family	218
2785712272	276	52.55	3	276	1	272	3.0e-99	354	COG0253	Diaminopimelate epimerase	272
2785712273	416	48.23	1	391	1	394	3.0e-120	425	COG0019	Diaminopimelate decarboxylase	394
2785712275	355	14.75	1	275	2	335	2.0e-08	53.5	COG1819	UDP:flavonoid glycosyltransferase YjiC, YdhE family	406
2785712277	161	46.91	5	161	13	174	3.0e-39	154	COG0684	Regulator of RNase E activity RraA	210
2785712278	413	20.82	12	412	17	429	1.0e-31	130	COG1653	ABC-type glycerol-3-phosphate transport system, periplasmic component	433
2785712280	210	47.72	5	201	3	187	2.0e-67	248	COG0163	3-polyprenyl-4-hydroxybenzoate decarboxylase	191
2785712281	452	41.43	2	447	9	458	0.0e+00	485	COG0773	UDP-N-acetylmuramate-alanine ligase	459
2785712282	325	52.06	7	320	12	321	7.0e-113	400	COG0158	Fructose-1,6-bisphosphatase	326
2785712283	176	54.02	1	174	1	170	5.0e-53	200	COG0221	Inorganic pyrophosphatase	171
2785712284	161	39.49	9	161	5	161	4.0e-36	144	COG3495	Uncharacterized protein	166
2785712285	315	24.53	1	314	4	296	7.0e-46	177	COG0329	Dihydrodipicolinate synthase/N-acetylneuraminate lyase	299
2785712287	139	30.37	4	135	3	137	1.0e-24	105	COG0824	Acyl-CoA thioesterase FadM	137
2785712288	158	23.96	31	126	18	113	1.0e-05	42.6	COG1846	DNA-binding transcriptional regulator, MarR family	126
2785712289	411	19.4	44	378	16	352	5.0e-13	69.2	COG0793	C-terminal processing protease CtpA/Prc, contains a PDZ domain	406
2785712292	943	69.61	1	940	3	933	0.0e+00	1603	COG0178	Excinuclease UvrABC ATPase subunit	935
2785712293	445	21.79	24	379	30	383	2.0e-19	90.7	COG2814	Predicted arabinose efflux permease, MFS family	394
2785712294	194	34.04	6	190	1	188	4.0e-36	144	COG0637	Beta-phosphoglucomutase or related phosphatase, HAD superfamily	221
2785712297	333	37.58	2	330	1	329	1.0e-79	290	COG1609	DNA-binding transcriptional regulator, LacI/PurR family	333
2785712298	339	28.36	6	338	2	306	1.0e-53	204	COG2017	Galactose mutarotase or related enzyme	308
2785712299	351	48.39	11	346	2	338	1.0e-94	340	COG1085	Galactose-1-phosphate uridylyltransferase	338
2785712300	379	49.87	4	377	7	386	1.0e-119	423	COG0153	Galactokinase	390
2785712301	520	31.56	5	517	3	520	5.0e-75	275	COG4146	Uncharacterized membrane permease YidK, sodium:solute symporter family	571
2785712302	194	39.49	5	194	2	167	6.0e-32	130	COG0629	Single-stranded DNA-binding protein	167
2785712305	709	33.43	6	698	2	672	0.0e+00	490	COG3345	Alpha-galactosidase	687
2785712306	484	35.39	5	464	3	481	6.0e-75	275	COG4146	Uncharacterized membrane permease YidK, sodium:solute symporter family	571
2785712307	914	13.46	308	914	177	768	1.0e-15	79.2	COG1629	Outer membrane receptor proteins, mostly Fe transport	768
2785712308	494	61.05	1	492	3	494	0.0e+00	740	COG0554	Glycerol kinase	499
2785712309	252	38	1	250	1	250	4.0e-67	248	COG1349	DNA-binding transcriptional regulator of sugar metabolism, DeoR/GlpR family	253
2785712310	515	46.03	7	487	9	496	0.0e+00	528	COG0578	Glycerol-3-phosphate dehydrogenase	532
2785712311	194	15.15	12	161	3	156	4.0e-03	34.8	COG0406	Broad specificity phosphatase PhoE	208
2785712314	208	22.22	18	206	17	191	2.0e-05	42.6	COG3166	Tfp pilus assembly protein PilN	206
2785712317	582	21.44	72	579	76	566	1.0e-50	194	COG1450	Type II secretory pathway component GspD/PulD (secretin)	587
2785712318	300	36.5	1	261	9	269	3.0e-49	188	COG3267	Type II secretory pathway, component ExeA (predicted ATPase)	269
2785712320	570	44.75	63	560	2	497	0.0e+00	501	COG2804	Type II secretory pathway ATPase GspE/PulE or T4P pilus assembly pathway ATPase PilB	500
2785712321	411	34.47	1	409	1	397	5.0e-93	334	COG1459	Type II secretory pathway, component PulF	397
2785712324	405	45.74	23	398	11	376	2.0e-97	349	COG3328	Transposase (or an inactivated derivative)	379
2785712325	170	22.39	1	134	1	134	6.0e-09	53.9	COG2165	Type II secretory pathway, pseudopilin PulG	149
2785712327	184	16.15	11	140	4	130	8.0e-05	40.4	COG2165	Type II secretory pathway, pseudopilin PulG	149
2785712331	347	69.19	5	346	1	342	0.0e+00	484	COG1077	Actin-like ATPase involved in cell morphogenesis	342
2785712332	300	35.25	4	280	2	279	3.0e-54	205	COG1792	Cell shape-determining protein MreC	284
2785712333	158	41.72	6	155	10	160	6.0e-21	93.7	COG2891	Cell shape-determining protein MreD	167
2785712334	196	44.1	1	194	1	189	2.0e-54	205	COG0424	Predicted house-cleaning NTP pyrophosphatase, Maf/HAM1 superfamily	193
2785712335	488	48.27	2	488	1	483	0.0e+00	499	COG1530	Ribonuclease G or E	487
2785712336	1331	24.98	11	1301	4	1271	0.0e+00	502	COG3164	Uncharacterized conserved protein YhdP, contains DUF3971 and AsmA2 domains	1271
2785712337	272	35.13	1	272	2	269	2.0e-48	186	COG0388	Predicted amidohydrolase	274
2785712338	480	40	20	479	5	454	9.0e-117	414	COG0312	Predicted Zn-dependent protease or its inactivated homolog	454
2785712340	185	44.58	20	185	19	183	7.0e-37	147	COG3028	Ribosomal 50S subunit-associated protein YjgA (function unknown), DUF615 family	187
2785712341	443	36.4	10	442	1	453	4.0e-83	302	COG0312	Predicted Zn-dependent protease or its inactivated homolog	454
2785712342	284	30.56	177	284	16	123	2.0e-18	86.8	COG2207	AraC-type DNA-binding domain and AraC-containing proteins	127
2785712343	1039	37.86	36	931	1	808	0.0e+00	580	COG3250	Beta-galactosidase/beta-glucuronidase	808
2785712344	235	40.69	4	232	1	228	7.0e-53	200	COG0745	DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain	229
2785712346	474	39.92	1	474	1	480	2.0e-126	446	COG0297	Glycogen synthase	487
2785712347	360	34.55	86	358	27	297	9.0e-60	224	COG2813	16S rRNA G1207 methylase RsmC	300
2785712348	239	50.45	19	239	3	226	3.0e-74	271	COG0220	tRNA G46 methylase TrmB	227
2785712349	234	23.08	6	230	23	277	5.0e-14	71.7	COG0596	Pimeloyl-ACP methyl ester carboxylesterase	282
2785712350	355	46.69	9	355	10	342	5.0e-110	391	COG1194	Adenine-specific DNA glycosylase, acts on AG and A-oxoG pairs	342
2785712351	90	72.22	1	90	1	90	3.0e-34	136	COG2924	Fe-S cluster biosynthesis and repair protein YggX	90
2785712364	249	23.53	8	141	6	158	6.0e-07	48.1	COG1432	Uncharacterized conserved protein, LabA/DUF88 family	181
2785712368	676	24.84	231	653	20	476	1.0e-25	112	COG0464	AAA+-type ATPase, SpoVK/Ycf46/Vps4 family	494
2785712369	297	30.63	18	279	23	281	3.0e-31	129	COG4974	Site-specific recombinase XerD	300
2785712373	549	16.45	1	512	1	524	3.0e-19	90.4	COG3593	Predicted ATP-dependent endonuclease of the OLD family, contains P-loop ATPase and TOPRIM domains	581
2785712378	426	20.34	28	415	38	444	3.0e-18	86.7	COG1538	Outer membrane protein TolC	457
2785712380	1035	48.26	1	1033	1	1022	0.0e+00	1172	COG3696	Cu/Ag efflux pump CusA	1027
2785712381	292	36.52	2	281	14	294	7.0e-60	224	COG1230	Co/Zn/Cd efflux system component	296
2785712383	135	37.61	15	131	1	117	7.0e-22	96.4	COG0818	Diacylglycerol kinase	123
2785712384	535	38.26	11	533	10	544	8.0e-113	401	COG2194	Phosphoethanolamine transferase for periplasmic glucans (OPG), alkaline phosphatase superfamily	555
2785712385	580	26.15	19	451	11	432	8.0e-42	165	COG1807	4-amino-4-deoxy-L-arabinose transferase or related glycosyltransferase of PMT family	535
2785712386	238	19.52	7	213	9	218	3.0e-12	65.3	COG0398	Uncharacterized membrane protein YdjX, TVP38/TMEM64 family, SNARE-associated domain	223
2785712387	244	29.17	1	214	3	209	5.0e-19	88.3	COG0463	Glycosyltransferase involved in cell wall bisynthesis	291
2785712389	268	37.33	40	259	1	224	6.0e-46	177	COG0745	DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain	229
2785712390	479	18.82	140	472	6	327	4.0e-19	89.8	COG0642	Signal transduction histidine kinase	336
2785712394	1048	47.72	1	1029	1	1019	0.0e+00	1150	COG3696	Cu/Ag efflux pump CusA	1027
2785712396	429	21.09	40	420	43	444	1.0e-21	97.9	COG1538	Outer membrane protein TolC	457
2785712398	128	26.45	1	121	2	121	9.0e-13	66	COG3682	Predicted transcriptional regulator	123
2785712399	429	21.81	90	382	17	291	7.0e-07	49.1	COG4974	Site-specific recombinase XerD	300
2785712400	269	21.49	57	268	2	228	2.0e-12	66.5	COG1011	FMN phosphatase YigB, HAD superfamily	229
2785712401	394	22.7	10	351	60	402	1.0e-15	77.7	COG0840	Methyl-accepting chemotaxis protein	408
2785712403	697	37.62	1	683	2	705	0.0e+00	606	COG0643	Chemotaxis protein histidine kinase CheA	716
2785712404	167	41.25	1	160	3	162	1.0e-36	145	COG0835	Chemotaxis signal transduction protein	165
2785712405	966	41.98	620	918	85	408	2.0e-57	218	COG0840	Methyl-accepting chemotaxis protein	408
2785712406	276	40.74	17	275	1	266	5.0e-71	260	COG1352	Methylase of chemotaxis methyl-accepting proteins	268
2785712407	209	36.25	11	169	1	159	2.0e-40	158	COG1871	Chemotaxis receptor (MCP) glutamine deamidase CheD	164
2785712408	348	48.42	3	346	2	350	8.0e-102	363	COG2201	Chemotaxis response regulator CheB, contains REC and protein-glutamate methylesterase domains	350
2785712411	653	36.92	1	639	2	705	0.0e+00	576	COG0643	Chemotaxis protein histidine kinase CheA	716
2785712412	167	39.88	1	163	3	165	2.0e-36	145	COG0835	Chemotaxis signal transduction protein	165
2785712413	768	38.86	378	720	41	408	6.0e-54	206	COG0840	Methyl-accepting chemotaxis protein	408
2785712414	969	41.36	621	919	85	408	9.0e-59	222	COG0840	Methyl-accepting chemotaxis protein	408
2785712415	277	40.22	18	277	1	267	2.0e-69	255	COG1352	Methylase of chemotaxis methyl-accepting proteins	268
2785712416	205	40.49	13	174	1	159	8.0e-47	180	COG1871	Chemotaxis receptor (MCP) glutamine deamidase CheD	164
2785712417	348	50.29	2	346	1	350	1.0e-105	376	COG2201	Chemotaxis response regulator CheB, contains REC and protein-glutamate methylesterase domains	350
2785712419	223	24.67	1	222	2	227	3.0e-23	101	COG1011	FMN phosphatase YigB, HAD superfamily	229
2785712421	752	16.15	9	751	26	768	8.0e-21	96.1	COG1629	Outer membrane receptor proteins, mostly Fe transport	768
2785712422	344	32.34	11	342	2	331	5.0e-68	251	COG1609	DNA-binding transcriptional regulator, LacI/PurR family	333
2785712423	412	21.28	7	412	15	419	4.0e-27	116	COG0738	Fucose permease	422
2785712424	507	40.95	15	506	57	553	1.0e-108	387	COG1626	Neutral trehalase	558
2785712425	599	23.31	431	588	6	167	2.0e-14	74.8	COG2199	GGDEF domain, diguanylate cyclase (c-di-GMP synthetase) or its enzymatically inactive variants	181
2785712426	297	21.32	3	134	5	138	5.0e-05	42.1	COG2510	Uncharacterized membrane protein	140
2785712427	167	24.86	6	167	4	188	8.0e-16	76.7	COG0546	Phosphoglycolate phosphatase, HAD superfamily	220
2785712431	312	22.09	79	307	15	271	1.0e-17	84.1	COG1082	Sugar phosphate isomerase/epimerase	274
2785712432	334	44.58	2	331	1	331	3.0e-88	318	COG1609	DNA-binding transcriptional regulator, LacI/PurR family	333
2785712433	384	25.59	1	338	1	312	5.0e-39	155	COG0673	Predicted dehydrogenase	342
2785712434	355	20.44	11	328	1	274	3.0e-29	122	COG1082	Sugar phosphate isomerase/epimerase	274
2785712436	309	24.07	65	294	11	249	9.0e-23	101	COG3622	Hydroxypyruvate isomerase	260
2785712437	561	22.96	1	555	3	536	7.0e-81	295	COG2303	Choline dehydrogenase or related flavoprotein	542
2785712440	382	40.63	6	382	4	377	4.0e-103	368	COG1454	Alcohol dehydrogenase, class IV	377
2785712446	462	33.33	55	320	56	328	5.0e-42	165	COG3344	Retron-type reverse transcriptase	328
2785712447	333	31.91	22	321	5	284	3.0e-48	186	COG0115	Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase	284
2785712448	248	67.39	1	230	1	230	7.0e-104	369	COG0588	Phosphoglycerate mutase (BPG-dependent)	230
2785712449	153	43.75	5	141	9	148	2.0e-28	118	COG3542	Predicted sugar epimerase, cupin superfamily	162
2785712450	905	58.65	1	904	1	861	0.0e+00	1171	COG1048	Aconitase A	861
2785712452	752	42	255	747	12	495	7.0e-127	448	COG2804	Type II secretory pathway ATPase GspE/PulE or T4P pilus assembly pathway ATPase PilB	500
2785712453	103	72.55	1	102	1	102	1.0e-38	151	COG0051	Ribosomal protein S10	104
2785712454	212	62.56	3	212	2	212	5.0e-78	283	COG0087	Ribosomal protein L3	218
2785712455	201	46.19	1	201	2	211	3.0e-54	204	COG0088	Ribosomal protein L4	214
2785712456	99	58.51	6	98	1	94	2.0e-23	100	COG0089	Ribosomal protein L23	94
2785712457	274	66.55	1	274	1	275	2.0e-113	402	COG0090	Ribosomal protein L2	275
2785712458	91	71.74	1	91	1	92	1.0e-35	141	COG0185	Ribosomal protein S19	93
2785712459	110	63.64	1	110	9	118	3.0e-34	136	COG0091	Ribosomal protein L22	120
2785712460	234	62.5	12	234	1	224	5.0e-80	290	COG0092	Ribosomal protein S3	233
2785712461	136	63.24	1	133	2	137	5.0e-46	176	COG0197	Ribosomal protein L16/L10AE	146
2785712462	63	54.84	2	63	4	65	5.0e-08	49.5	COG0255	Ribosomal protein L29	69
2785712463	85	53.75	5	84	7	86	1.0e-21	94.9	COG0186	Ribosomal protein S17	87
2785712464	369	24.16	1	360	1	378	8.0e-27	115	COG0438	Glycosyltransferase involved in cell wall bisynthesis	381
2785712465	436	39.67	19	431	2	415	1.0e-103	370	COG1519	3-deoxy-D-manno-octulosonic-acid transferase	419
2785712466	605	28.74	5	414	8	429	2.0e-48	187	COG0025	NhaP-type Na+/H+ or K+/H+ antiporter	429
2785712469	636	32.04	250	636	27	408	8.0e-52	198	COG0840	Methyl-accepting chemotaxis protein	408
2785712470	729	42.27	46	722	5	682	0.0e+00	699	COG0339	Zn-dependent oligopeptidase	683
2785712473	284	50.88	2	284	5	287	3.0e-107	381	COG0788	Formyltetrahydrofolate hydrolase	287
2785712474	217	23.92	1	200	1	178	1.0e-18	86.9	COG1514	2'-5' RNA ligase	180
2785712475	898	31.15	19	896	42	843	0.0e+00	531	COG1643	HrpA-like RNA helicase	845
2785712476	270	20.16	2	231	3	226	2.0e-08	53.5	COG5266	Uncharacterized conserved protein, contains GH25 family domain	264
2785712477	427	39.77	18	350	1	340	4.0e-85	308	COG2951	Membrane-bound lytic murein transglycosylase B	343
