gene ID,Description,Functional group,HL/dark,WL/dark,BL/dark,RL/dark,GL/dark,DCMU/WL
PMM0336,conserved hypothetical protein,16. Hypothetical,3.0*,3.8*,2.6*,2.5*,1,-3.6*
PMM0340,conserved hypothetical protein,16. Hypothetical,2.4*,1.6,2.0*,1.3,1.2,1
PMM0343,mttA/Hcf106 family,15. Other categories,-1.6,1.1,-2.1*,-1.2,-1.1,-1.2
PMM0345,putative bacterioferritin comigratory protein,14. Transport and binding proteins,4.4*,1.9,2.5*,1.4,1,-1.4
PMM0347,conserved hypothetical protein,16. Hypothetical,5.4*,2.2*,2.6*,1.6,1.3,-1.5
PMM0355,conserved hypothetical protein,16. Hypothetical,-2.1*,-1.1,-2.0*,-1.4,1,1
PMM0356,Alpha/beta hydrolasefold:Esterase/lipase/thioesterase family,7. Fatty acid phospholipid and sterol metabolism,-3.1*,-1.8,-2.9*,-2.0*,-1,2.0*
PMM0364,possible Malic enzyme,15. Other categories,2.2*,1.5,2.2*,1.5,1.5,1.1
PMM0365,possible DsrE-like protein,15. Other categories,2.5*,1.7,2.5*,1,1.3,-1.2
PMM0366,Type-1 copper (blue) domain,14. Transport and binding proteins,4.3*,1.7,2.8*,1.4,1.1,-1.1
PMM0367,conserved hypothetical protein,16. Hypothetical,2.0*,2.1*,2.0*,2.0*,1.3,-1.4
PMM0380,conserved hypothetical protein,16. Hypothetical,3.1*,1.9,2.2*,1.2,1.2,-1.3
PMM0400,IrtA light repressed protein A homolog,15. Other categories,-2.6*,-1.1,-2.0*,-1.6,-1.2,-1.2
PMM0417,hypothetical protein,16. Hypothetical,-2.9*,-1.1,-1.8,1.2,-1,1
PMM0423,conserved hypothetical protein,16. Hypothetical,2.4*,1.8,1.5,1.3,-1.1,-1.4
PMM0444,ctaE Cytochrome c oxidase subunit III,8. Photosynthesis and respiration,-2.1*,-1.3,-1.9,-1.2,-1.1,1.1
PMM0446,ctaC (coxB) putative cytochrome c oxidase subunit 2,8. Photosynthesis and respiration,-2.4*,-1.5,-2.3*,-1.3,-1.2,-1
PMM0452,groEL2 cpn60-2 GroEL2 protein,4. Cellular processes,1.3,2.3*,1.9,1.1,1.4,-1.6
PMM0453,fabG 3-oxoacyl-[acyl-carrier protein] reductase,7. Fatty acid phospholipid and sterol metabolism,-2.0*,1.3,-1.6,-1.1,1.2,-1.1
PMM0462,petC Rieske iron-sulfur protein,8. Photosynthesis and respiration,-3.1*,-1.2,-1.9,-1.2,1,1
PMM0468,psaJ Photosystem I PsaJ protein,8. Photosynthesis and respiration,-4.4*,-1.2,-2.0*,-1.1,-1,1.1
PMM0469,psaF Photosystem I PsaF protein,8. Photosynthesis and respiration,-5.3*,-1.2,-2.3*,-1.8,-1.2,1.1
PMM0481,conserved hypothetical protein,16. Hypothetical,-2.9*,-1,-2.7*,-1.4,-1,-1.2
PMM0540,psaM possible photosystem I reaction PsaM protein,8. Photosynthesis and respiration,-3.8*,-1.3,-1.5,-1.1,1.1,1.1
PMM0542,por pcr Light dependent protochlorophyllideoxido-reductase,"2. Biosynthesis of cofactors, prosthetic groups, and carriers",-2.0*,-1,-1.7,-1,-1.1,-1.2
PMM0543,chlL frxC Protochlorophyllide reductase iron-sulfur ATP-binding protein,"2. Biosynthesis of cofactors, prosthetic groups, and carriers",-3.5*,-1.1,-2.1*,-1.1,-1,1
PMM0544,chlB Light-independent protochlorophyllide reductase subunit B,"2. Biosynthesis of cofactors, prosthetic groups, and carriers",-6.2*,-1.8,-4.1*,-1.8,-1.2,1.4
PMM0545,chlN Light-independent protochlorophyllide reductase subunit N,"2. Biosynthesis of cofactors, prosthetic groups, and carriers",-5.5*,-1.7,-3.6*,-1.5,-1.1,1.3
PMM0546,conserved hypothetical protein,16. Hypothetical,-2.9*,-1.3,-2.1*,-1.9,1.1,1.3
PMM0557,conserved hypothetical protein,16. Hypothetical,-3.0*,-1.5,-2.2*,-1.7,-1.2,-1
PMM0561,putative multidrug efflux ABC transporter,14. Transport and binding proteins,3.3*,1.9,1.9,1.6,1,-1.4
PMM0577,Putative type II alternative sigma factor sigma70 family,12. Transcription,-2.0*,-1.1,-2.2*,-1.5,-1.1,-1
PMM0583,hemE Uroporphyrinogen decarboxylase (URO-D),"2. Biosynthesis of cofactors, prosthetic groups, and carriers",-3.6*,-1.1,-1.8,-1.2,1,1.1
PMM0593,Peptidase family M3,7. Fatty acid phospholipid and sterol metabolism,3.7*,2.4*,2.9*,1.7,1.1,-1.7
PMM0594,ndhD putative NADH Dehydrogenase complex 1 subunit(chain 4),15. Other categories,4.3*,2.8*,2.8*,2.2*,1.1,-1.7
PMM0600,conserved hypothetical protein,16. Hypothetical,-2.1*,-1.2,-2.3*,-1.1,-1.2,-1
PMM0618,sds polyprenyl synthetase; solanesyl diphosphatesynthase (sds),"2. Biosynthesis of cofactors, prosthetic groups, and carriers",4.1*,1.6,1.9,1.3,-1.1,-1.2
PMM0642,cysD putative O-Acetyl homoserine sulfhydrylase,1. Amino acid biosynthesis,-4.4*,-1.3,-2.1*,-1.5,-1.1,1.1
PMM0643,metA putative homoserine O-succinyltransferase,1. Amino acid biosynthesis,-2.0*,-1.2,-1.8,-1.1,-1.1,-1
PMM0660,possible RNA recognition motif (RRM),12. Transcription,-4.6*,-2.0*,-3.2*,-1.8,-1.1,1.5
PMM0661,nrdJ ribonucleotide reductase (Class II),"9. Purines, pyrimidines, nucleosides, and nucleotides",-2.6*,1.1,-1.7,-1.2,1,-1.1
PMM0680,conserved hypothetical protein,16. Hypothetical,3.8*,2.0*,2.6*,1.5,1.1,-1.5
PMM0689,hli22 possible high light inducible protein,15. Other categories,10.9*,2.0*,4.1*,1.2,-1.1,-1.3
PMM0690,hli21 possible high light inducible protein,15. Other categories,29.1*,4.5*,8.9*,2.2*,1.2,-1.7
PMM0691,conserved hypothetical protein,16. Hypothetical,-2.5*,1.4,-1.2,-1.1,1.3,-1.2
PMM0696,hypothetical protein,16. Hypothetical,2.6*,1.8,1.4,1.1,1.1,-1.5
PMM0697,possible D12 class N6 adenine-specific DNA met,"11. DNA replication, recombination, and repair",2.4*,2.0*,1.8,1,1,-1.5
PMM0699,conserved hypothetical protein,16. Hypothetical,3.9*,2.7*,3.7*,1.6,1.3,-1.7
PMM0703,conserved hypothetical protein,16. Hypothetical,11.2*,3.2*,4.7*,1.9,1,-1.9
PMM0741,conserved hypothetical protein,16. Hypothetical,1.7,2.2*,1.1,1.4,1,-1.7
PMM0743,ftsH1 FtsH ATP-dependent protease homolog,4. Cellular processes,3.8*,2.2*,2.4*,1.2,1.1,-1.4
PMM0760,chIP Aromatic-ring hydroxylase (flavoproteinmonooxygenase),"2. Biosynthesis of cofactors, prosthetic groups, and carriers",-3.6*,1.1,-2.0*,-1.2,-1.1,-1.2
PMM0766,гре cbbE Ribulose-phosphate 3-epimerase,15. Other categories,2.1*,2.7*,2.2*,1.4,1.5,-1.5
PMM0781,cbbA cfxA fbaA fda Fructose-bisphosphate/sedoheptulose-17-bisphosphate aldolase,7. Fatty acid phospholipid and sterol metabolism,1.8,2.3*,1.6,1.3,1.3,-1.4
PMM0799,conserved hypothetical protein,16. Hypothetical,-2.1*,-1.2,-1.9,1.1,1.1,1
PMM0808,Rieske iron-sulfur protein 2Fe-2S subunit,5. Central intermediary metabolism,-2.1*,-1.1,-1.9,-1.1,-1.2,-1.1
PMM0810,hypothetical protein,16. Hypothetical,4.5*,2.2*,2.3*,1.3,1.1,-1.4
PMM0814,possible Cytochrome oxidase c subunit VIb,15. Other categories,-1.4,-1.2,-2.0*,1.1,-1.3,1
PMM0817,hli17 possible high light inducible protein,15. Other categories,33.1*,6.3*,15.0*,2.8*,1.1,-1.9
PMM0818,hli16 possible high light inducible protein,15. Other categories,41.7*,6.6*,16.4*,2.9*,1.2,-2.0*
PMM0844,PNIL34 AT103 phytochrome-regulated gene,15. Other categories,-3.3*,-1,-1.6,-1.1,1.1,-1
PMM0861,possible Virion host shutoff protein,14. Transport and binding proteins,1.2,1.3,2.2*,-1.1,1.1,-1.1
PMM0881,conserved hypothetical protein,16. Hypothetical,-2.7*,-1.7,-2.5*,-1.1,-1.2,1.1
PMM0906,psak Photosystem I Psak protein,8. Photosynthesis and respiration,-4.3*,-1.4,-2.1*,-1.1,1,1.2
PMM0921,Generic methyl-transferase,12. Transcription,3.3*,1.8,1.8,1.2,-1.1,-1.6
PMM0953,conserved hypothetical protein,16. Hypothetical,-4.1*,-1,-1.7,-1.4,1,-1.2
PMM0954,ABC transporter multidrug efflux family,14. Transport and binding proteins,2.8*,1.4,1.3,1.2,1,-1.3
PMM0962,possible Vng0271c,15. Other categories,2.1*,2.1*,1.9,1.5,1.2,-1.4
PMM0975,conserved hypothetical protein,16. Hypothetical,2.1*,1.3,1.1,1.1,1,-1.2
PMM0977,putative multidrug efflux ABC transporter,14. Transport and binding proteins,2.5*,1.3,1.4,1.4,1.1,-1.3
PMM0997,possible Protein of unknown function DUF67,16. Hypothetical,3.3*,2.9*,2.3*,2.2*,1.2,-1.7
PMM0998,conserved hypothetical protein,16. Hypothetical,2.7*,1.6,1.5,1.2,1,-1.4
PMM1001,conserved hypothetical protein,16. Hypothetical,7.7*,2.9*,3.7*,1.6,1.1,-1.8
PMM1003,possible Photosystem II reaction centre N protein,8. Photosynthesis and respiration,-4.0*,-1.6,-2.6*,-1,-1.2,-1
PMM1006,Glutathione peroxidase,15. Other categories,7.3*,3.0*,5.1*,1.8,1.2,-1.8
PMM1008,hypothetical protein,16. Hypothetical,2.6*,1.4,1.4,1.4,1,-1.4
PMM1011,hypothetical protein,16. Hypothetical,-3.3*,1.4,-1.1,1.5,1.4,-1.4
PMM1015,conserved hypothetical protein,16. Hypothetical,3.6*,1.4,1.9,1.7,1.1,-1.2
PMM1018,hypothetical protein,16. Hypothetical,2.2*,2.3*,1.6,1.6,1.1,-2.1*
PMM1019,possible Integrin alpha cytoplasmic region,15. Other categories,2.0*,1.5,1.3,1,1,-1.3
PMM1022,conserved hypothetical protein,16. Hypothetical,3.5*,1.6,1.6,1.2,1,-1.3
PMM1026,conserved hypothetical protein,16. Hypothetical,4.0*,2.3*,3.3*,1.8,1.3,-1.5
PMM1028,conserved hypothetical protein,16. Hypothetical,-6.6*,-3.5*,-3.5*,-2.8*,1.1,3.4*
PMM1055,chl Protoporphyrin IX Magnesium chelatase,"2. Biosynthesis of cofactors, prosthetic groups, and carriers",2.3*,2.5*,2.4*,1.6,1.5,-1.5
PMM1058,petG Cytochrome b6/f complex subunit V,8. Photosynthesis and respiration,-3.1*,-1.2,-2.2*,-1.1,-1.1,-1.1
PMM1068,conserved hypothetical protein,16. Hypothetical,3.4*,1.8,1.9,1.4,1.2,-1.4
PMM1083,possible kinase,15. Other categories,2.6*,1.8,1.7,1.2,1.1,-1.4
PMM1118,hli4 possible high light inducible protein,15. Other categories,37.0*,12.2*,25.4*,6.4*,1.8,-1.7
PMM1119,som possible porin,3. Cell envelope,1.7,1.7,2.0*,1.4,1.4,-1.2
PMM1128,hli15 possible high light inducible protein,15. Other categories,3.9*,1.8,2.4*,1.3,1.1,-1.2
PMM1131,conserved hypothetical protein,16. Hypothetical,-2.2*,-1.1,-2.1*,-1.5,-1.1,-1.1
PMM1135,hli14 possible high light inducible protein,15. Other categories,40.8*,11.3*,23.0*,4.9*,1.3,-1.7
PMM1148,possible EF-1 guanine nucleotide exchange domain,13. Translation,-11.3*,-2.2*,-5.0*,-2.1*,-1.2,1.5
PMM1149,conserved hypothetical protein,16. Hypothetical,-2.0*,1.3,-1.4,-1,-1,-1.1
PMM1164,futA sfuA idiA putative iron ABC transporter substrate binding protein,14. Transport and binding proteins,1.6,2.3*,1.3,1.2,1.4,-1.3
PMM1168,conserved hypothetical protein,16. Hypothetical,5.4*,2.3*,2.6*,1.3,1,-1.7
PMM1176,possible Helix-turn-helix protein copG family,10. Regulatory functions,-2.9*,-1.9,-2.6*,-1.2,-1.2,1.2
PMM1185,conserved hypothetical protein,16. Hypothetical,2.8*,1.8,2.1*,1.2,1,-1.4
PMM1229,Dehydrogenase E1 component,6. Energy Metabolism,1.9,2.1*,1.5,1.9,1.2,-1.6
PMM1240,methyltransferase,15. Other categories,1.3,2.1*,1.3,1.5,1.3,-1.6
PMM1266,conserved hypothetical protein,16. Hypothetical,3.9*,2.4*,2.6*,1.8,1.2,-1.5
PMM1295,putative signal peptidase,10. Regulatory functions,1.8,1.9,1.1,1.3,1,-1.3
PMM1314,clpP3 Clp protease proteolytic subunit,13. Translation,2.3*,1.7,1.5,-1.1,1.1,1
PMM1357,Steroid 5-alpha reductase C-terminal domain,10. Regulatory functions,8.8*,3.0*,3.8*,2.0*,1,-1.6
PMM1358,conserved hypothetical protein,16. Hypothetical,2.6*,1.6,1.4,1.2,1,-1.4
PMM1359,conserved hypothetical protein,16. Hypothetical,61.2*,17.4*,37.2*,5.9*,1.1,-4.2*
PMM1361,conserved hypothetical protein,16. Hypothetical,2.5*,2.0*,1.7,1.3,1.3,-1.7
PMM1396,hli9 possible high light inducible protein,15. Other categories,41.3*,6.8*,16.7*,2.5*,1.1,-2.0*
PMM1397,hli8 possible high light inducible protein,15. Other categories,42.2*,8.1*,19.2*,2.2*,1.2,-2.0*
PMM1404,hli5 possible high light inducible protein,15. Other categories,39.5*,4.6*,20.0*,3.2*,1.3,-1.5
PMM1416,conserved hypothetical protein,16. Hypothetical,2.9*,1.5,1.5,1.2,1.2,-1.3
PMM1420,conserved hypothetical protein,16. Hypothetical,3.6*,1.8,2.0*,1.5,1.1,-1.3
PMM1431,conserved hypothetical protein,16. Hypothetical,-3.3*,-1.3,-1.9,-1.2,-1,1.1
PMM1434,conserved hypothetical protein,16. Hypothetical,-2.2*,-1.1,-2.3*,-1.4,-1.2,-1
PMM1440,cysH Phosphoadenosine phosphosulfate reductase,1. Amino acid biosynthesis,-2.0*,1.1,-1.5,1.4,1.4,-1.6
PMM1454,possible ABC transporter ATP-binding protein,14. Transport and binding proteins,2.1*,1.4,1.4,1.4,1.1,-1.3
PMM1471,conserved hypothetical protein,16. Hypothetical,2.4*,1.7,1.8,1.4,1.2,-1.4
PMM1475,possible Transcriptional regulator Fur family,10. Regulatory functions,1.4,2.1*,1.4,1.4,1.2,-1.5
PMM1481,hypothetical protein,16. Hypothetical,3.2*,1.4,1.5,1.1,1.1,-1.1
PMM1533,conserved hypothetical protein,16. Hypothetical,1.9,2.1*,1.4,1.4,1.1,-1.4
PMM1553,possible glycosyl transferase,15. Other categories,-2.0*,1.2,-1.5,-1.1,1.1,-1
PMM1572,nrtA nitrate/nitrite transport system substrate-binding,14. Transport and binding proteins,-2.2*,-1.2,-2.2*,-1.2,-1.2,1.2
PMM1582,conserved hypothetical protein,16. Hypothetical,2.2*,1.6,1.4,1.2,1.1,-1.3
PMM1584,possible sugar kinase,15. Other categories,3.3*,1.4,1.4,1.4,1.1,-1.3
PMM1591,possible 16S rRNA methyltransferase,13. Translation,2.0*,1.9,1.5,1.5,1.1,-1.4
PMM1600,conserved hypothetical protein,16. Hypothetical,2.3*,2.2*,2.4*,1.9,1.3,-1.7
PMM1619,conserved hypothetical protein,16. Hypothetical,2.6*,1.4,1.3,1.4,1,-1.2
PMM1626,crtQ zeta-carotene desaturase,"2. Biosynthesis of cofactors, prosthetic groups, and carriers",2.5*,1.7,1.3,1.4,1.1,-1.3
PMM1627,conserved hypothetical protein,16. Hypothetical,3.2*,1.8,1.6,1.4,1.1,-1.3
PMM1628,possible Phycobilisome-binding protein,8. Photosynthesis and respiration,-3.2*,-1.1,-1.8,-1.2,-1.1,1.1
PMM1629,Type II alternative RNA polymerase sigma factor,14. Transport and binding proteins,12.5*,11.4*,10.3*,4.3*,2.3*,-1.3
PMM1631,conserved hypothetical protein,16. Hypothetical,2.1*,1.4,1.4,1.3,1.1,-1.2
PMM1635,conserved hypothetical protein,16. Hypothetical,2.6*,1.8,1.6,1.4,1.1,-1.3
PMM1636,conserved hypothetical protein,16. Hypothetical,2.5*,2.1*,2.2*,1.5,1.2,-1.5
PMM1638,conserved hypothetical protein,16. Hypothetical,2.9*,1.6,1.4,1.4,1.1,-1.2
PMM1639,possible sodium/hydrogen exchanger,14. Transport and binding proteins,2.1*,1.6,1.5,1.3,1.1,-1.3
PMM1640,possible ABC transporter ATP-binding protein,14. Transport and binding proteins,2.3*,1.4,1.4,1.3,1.1,-1.3
PMM1644,possible transposase,11. DNA replication recombination and repair,2.8*,2.2*,2.4*,1.7,1.2,-1.5
PMM1646,conserved hypothetical protein,16. Hypothetical,3.6*,2.4*,2.8*,1.7,1.2,-1.6
PMM1647,conserved hypothetical protein,16. Hypothetical,4.4*,2.6*,3.2*,2.0*,1.2,-1.8
PMM1648,conserved hypothetical protein,16. Hypothetical,3.4*,2.4*,2.8*,1.7,1.2,-1.6
PMM1653,conserved hypothetical protein,16. Hypothetical,3.5*,1.9,2.0*,1.4,1.1,-1.3
PMM1654,possible transposase,11. DNA replication recombination and repair,1.8,2.0*,1.4,1.4,1.2,-1.5
PMM1658,conserved hypothetical protein,16. Hypothetical,2.4*,1.7,1.8,1.3,1.1,-1.3
PMM1664,conserved hypothetical protein,16. Hypothetical,2.2*,1.4,1.2,1.2,1.1,-1.2
PMM1666,psbH Photosystem II PsbH protein,8. Photosynthesis and respiration,-2.3*,1.4,-1.1,1.5,1.4,-1.6
PMM1667,psbX Photosystem II PsbX protein,8. Photosynthesis and respiration,1.6,2.1*,1.3,1.6,1.3,-1.7
PMM1668,ycf37 possible photosystem II assembly-related protein Ycf37,8. Photosynthesis and respiration,2.1*,2.0*,1.2,1.2,-1.1,-1.4
PMM1669,gcsH gcvH putative Glycine cleavage H-protein,10. Regulatory functions,3.7*,1.7,1.5,1.6,1,-1.3
PMM1670,conserved hypothetical protein,16. Hypothetical,6.2*,1.3,-1.4,2.6*,-1.2,-1.3
PMM1671,conserved hypothetical protein,16. Hypothetical,9.6*,1.5,-1.7,4.2*,-1.6,-1.5
PMM1672,des9 Fatty acid desaturase type 1,7. Fatty acid phospholipid and sterol metabolism,18.9*,2.1*,-2.1*,6.4*,-2.2*,-1.8
PMM1697,Type II alternative RNA polymerase sigma factor sigma-70 family,12. Transcription,-3.5*,-1.6,-3.0*,-1.6,-1.2,1.2
PMM1704,dnaK2 Molecular chaperone Dnak2,4. Cellular processes,1.6,2.0*,2.0*,1.2,1.4,-1.5
PMM1711,conserved hypothetical protein,16. Hypothetical,3.8*,1.9,1.8,1.2,1.1,-1.3
PMM1714,hypothetical protein,16. Hypothetical,1.8,2.2*,1.1,1.5,1,-1.7
PMM1715,hypothetical protein,16. Hypothetical,1.7,2.1*,1,1.5,1,-1.7
PMM1718,possible sodium-dependent transporter,14. Transport and binding proteins,2.1*,1.4,1.3,1.3,1,-1.2
PMM1719,conserved hypothetical protein,16. Hypothetical,2.2*,1.5,1.5,1.2,1.1,-1.3
