seqid,gene_names,gene,locus_tag_ncbi,locus_tag,source,start,end,strand,Note,exception,inference,product,protein_id,Ontology_term_ncbi,go_component,go_function,go_process,old_locus_tags,start_cyanorak,end_cyanorak,strand_cyanorak,locus_tag_cyanorak,gene_names_cyanorak,Ontology_term_cyanorak,cluster_number,cyanorak_Role,cyanorak_Role_description,eggNOG,eggNOG_description,kegg,kegg_description,ontology_term_description,product_cyanorak,protein_domains,protein_domains_description,tIGR_Role,tIGR_Role_description,position_merge_note,ec_numbers
NZ_DS999537.1,pyrH,pyrH,P9202_RS06780,P9202_149,Protein Homology,1242336.0,1243040.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_019477263.1,UMP kinase,WP_002805268.1,"GO:0006221,GO:0015949,GO:0033862,GO:0005737",cytoplasm|0005737||IEA,UMP kinase activity|0033862||IEA,"pyrimidine nucleotide biosynthetic process|0006221||IEA,nucleobase-containing small molecule interconversion|0015949||IEA",P9202_149,1242336.0,1243040.0,-,CK_Pro_MIT9202_00149,pyrH,"GO:0006221,GO:0006225,GO:0008152,GO:0016310,GO:0044210,GO:0046940,GO:0033862,GO:0000166,GO:0005524,GO:0009041,GO:0016301,GO:0016740,GO:0005737",CK_00000662,M.2,Nucleotide and nucleoside interconversions,"COG0528,bactNOG01221,cyaNOG00479","COG: METABOLISM [F] Nucleotide transport and metabolism,bactNOG: METABOLISM [F] Nucleotide transport and metabolism,cyaNOG: METABOLISM [F] Nucleotide transport and metabolism",2.7.4.22,UMP kinase%3B uridylate kinase%3B UMPK%3B uridine monophosphate kinase%3B PyrH%3B UMP-kinase%3B SmbA,"pyrimidine nucleotide biosynthetic process,UDP biosynthetic process,metabolic process,phosphorylation,'de novo' CTP biosynthetic process,nucleoside monophosphate phosphorylation,pyrimidine nucleotide biosynthetic process,UDP biosynthetic process,metabolic process,phosphorylation,'de novo' CTP biosynthetic process,nucleoside monophosphate phosphorylation,UMP kinase activity,nucleotide binding,ATP binding,uridylate kinase activity,kinase activity,transferase activity,pyrimidine nucleotide biosynthetic process,UDP biosynthetic process,metabolic process,phosphorylation,'de novo' CTP biosynthetic process,nucleoside monophosphate phosphorylation,UMP kinase activity,nucleotide binding,ATP binding,uridylate kinase activity,kinase activity,transferase activity,cytoplasm",uridylate kinase,"TIGR02075,PF00696,IPR001048,IPR015963","UMP kinase,Amino acid kinase family,Aspartate/glutamate/uridylate kinase,Uridylate kinase%2C bacteria",124,Purines%2C pyrimidines%2C nucleosides%2C and nucleotides / Nucleotide and nucleoside interconversions,,2.7.4.22
NZ_DS999537.1,fmt,fmt,P9202_RS08960,P9202_150,Protein Homology,1636935.0,1637921.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007760.1,methionyl-tRNA formyltransferase,WP_002805269.1,"GO:0071951,GO:0004479,GO:0005737",cytoplasm|0005737||IEA,methionyl-tRNA formyltransferase activity|0004479||IEA,conversion of methionyl-tRNA to N-formyl-methionyl-tRNA|0071951||IEA,P9202_150,1636935.0,1637921.0,+,CK_Pro_MIT9202_00150,fmt,"GO:0006431,GO:0071951,GO:0009058,GO:0019988,GO:0006412,GO:0006413,GO:0004479,GO:0016740,GO:0016742",CK_00000856,K.1,tRNA aminoacylation,"COG0223,bactNOG00822,cyaNOG06032,cyaNOG00308","COG: INFORMATION STORAGE AND PROCESSING [J] Translation%2C ribosomal structure and biogenesis,bactNOG: INFORMATION STORAGE AND PROCESSING [J] Translation%2C ribosomal structure and biogenesis,cyaNOG: INFORMATION STORAGE AND PROCESSING [J] Translation%2C ribosomal structure and biogenesis,cyaNOG: INFORMATION STORAGE AND PROCESSING [J] Translation%2C ribosomal structure and biogenesis",2.1.2.9,methionyl-tRNA formyltransferase%3B N10-formyltetrahydrofolic-methionyl-transfer ribonucleic transformylase%3B formylmethionyl-transfer ribonucleic synthetase%3B methionyl ribonucleic formyltransferase%3B methionyl-tRNA Met formyltransferase%3B methionyl-tRNA transformylase%3B methionyl-transfer RNA transformylase%3B methionyl-transfer ribonucleate methyltransferase%3B methionyl-transfer ribonucleic transformylase,"methionyl-tRNA aminoacylation,conversion of methionyl-tRNA to N-formyl-methionyl-tRNA,biosynthetic process,charged-tRNA amino acid modification,translation,translational initiation,methionyl-tRNA aminoacylation,conversion of methionyl-tRNA to N-formyl-methionyl-tRNA,biosynthetic process,charged-tRNA amino acid modification,translation,translational initiation,methionyl-tRNA formyltransferase activity,transferase activity,hydroxymethyl-%2C formyl- and related transferase activity",methionyl-tRNA formyltransferase,"TIGR00460,PF02911,PF00551,IPR005794,IPR005793,IPR002376","methionyl-tRNA formyltransferase,Formyl transferase%2C C-terminal domain,Formyl transferase,Methionyl-tRNA formyltransferase,Formyl transferase%2C C-terminal,Formyl transferase%2C N-terminal",137,Protein synthesis / tRNA aminoacylation,,2.1.2.9
NZ_DS999537.1,P9202_RS06930,,P9202_RS06930,P9202_152,Protein Homology,1269976.0,1272273.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818057.1,CsoS2 family carboxysome shell protein,WP_002805270.1,,,,,P9202_152,1269976.0,1272273.0,+,CK_Pro_MIT9202_00152,csoS2,"GO:0015977,GO:0031470",CK_00000683,J.2,CO2 fixation,"NOG12793,COG0840,bactNOG93191,bactNOG07999,bactNOG98286,cyaNOG05293","COG: POORLY CHARACTERIZED [S] Function unknown,COG: NT,bactNOG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown",,,"carbon fixation,carbon fixation,carboxysome",carboxysome shell protein CsoS2,"PF12288,IPR020990","Carboxysome shell peptide mid-region,Carboxysome shell protein",164,Energy metabolism / Photosynthesis,,
NZ_DS999537.1,P9202_RS04285,,P9202_RS04285,P9202_153,Protein Homology,807284.0,808213.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002805271.1,Ycf66 family protein,WP_002805271.1,,,,,P9202_153,807284.0,808213.0,+,CK_Pro_MIT9202_00153,ycf66,,CK_00001136,R.2,Conserved hypothetical proteins,"COG1530,NOG12133,NOG119591,NOG123322,COG2319,COG0532,bactNOG47959,bactNOG59373,cyaNOG00583,cyaNOG04797,cyaNOG03253","COG: INFORMATION STORAGE AND PROCESSING [J] Translation%2C ribosomal structure and biogenesis,COG: POORLY CHARACTERIZED [S] Function unknown,COG: POORLY CHARACTERIZED [S] Function unknown,COG: POORLY CHARACTERIZED [S] Function unknown,COG: POORLY CHARACTERIZED [R] General function prediction only,COG: INFORMATION STORAGE AND PROCESSING [J] Translation%2C ribosomal structure and biogenesis,bactNOG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown",,,,uncharacterized conserved hypothetical protein Ycf66,"PF07444,IPR010004","Ycf66 protein N-terminus,Uncharacterised protein family Ycf66","156,157","Hypothetical proteins / Conserved,Unknown function / General",,
NZ_DS999537.1,P9202_RS05320,,P9202_RS05320,P9202_154,Protein Homology,992520.0,993716.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011862305.1,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,WP_002805272.1,,,,,P9202_154,992520.0,993716.0,+,CK_Pro_MIT9202_00154,lytB,"GO:0009240,GO:0015968,GO:0046677,GO:0019288,GO:0050992,GO:0051745,GO:0046872,GO:0051745",CK_00000245,B.11,Other,"COG0761,bactNOG01565,cyaNOG00975","COG: IM,bactNOG: METABOLISM [I] Lipid transport and metabolism,cyaNOG: METABOLISM [C] Energy production and conversion","1.17.1.2,1.17.7.4","Transferred to 1.17.7.4,Transferred to 1.17.7.4","isopentenyl diphosphate biosynthetic process,stringent response,response to antibiotic,isopentenyl diphosphate biosynthetic process%2C methylerythritol 4-phosphate pathway,dimethylallyl diphosphate biosynthetic process,isopentenyl diphosphate biosynthetic process,stringent response,response to antibiotic,isopentenyl diphosphate biosynthetic process%2C methylerythritol 4-phosphate pathway,dimethylallyl diphosphate biosynthetic process,4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase activity,metal ion binding,4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase activity",4-hydroxy-3-methylbut-2-enyl diphosphate reductase,"TIGR00216,PF02401,IPR003451","4-hydroxy-3-methylbut-2-enyl diphosphate reductase,LytB protein,4-hydroxy-3-methylbut-2-enyl diphosphate reductase",76,Biosynthesis of cofactors%2C prosthetic groups%2C and carriers / Other,,1.17.7.4
NZ_DS999537.1,P9202_RS06750,,P9202_RS06750,P9202_155,Protein Homology,1235891.0,1237252.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007339.1,CPBP family intramembrane glutamic endopeptidase,WP_002805273.1,"GO:0071586,GO:0004222,GO:0070007,GO:0016020",membrane|0016020||IEA,"metalloendopeptidase activity|0004222||IEA,glutamic-type endopeptidase activity|0070007||IEA",CAAX-box protein processing|0071586||IEA,P9202_155,1235891.0,1237252.0,+,CK_Pro_MIT9202_00155,,GO:0016020,CK_00000658,,,"COG1266,bactNOG13711,bactNOG100164,bactNOG43966,bactNOG52142,bactNOG99195,bactNOG83305,bactNOG83347,cyaNOG00174","COG: POORLY CHARACTERIZED [R] General function prediction only,bactNOG: POORLY CHARACTERIZED [R] General function prediction only,bactNOG: POORLY CHARACTERIZED [R] General function prediction only,bactNOG: POORLY CHARACTERIZED [R] General function prediction only,bactNOG: POORLY CHARACTERIZED [R] General function prediction only,bactNOG: POORLY CHARACTERIZED [R] General function prediction only,bactNOG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: POORLY CHARACTERIZED [R] General function prediction only,cyaNOG: POORLY CHARACTERIZED [R] General function prediction only",,,membrane,CAAX protease self-immunity family protein,"PF02517,IPR003675","CPBP intramembrane metalloprotease,CAAX prenyl protease 2",157,Unknown function / General,,3.4.-.-
NZ_DS999537.1,P9202_RS10195,,P9202_RS10195,P9202_156,GeneMarkS-2+,386574.0,386705.0,-,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_002805274.1,,,,,P9202_156,386574.0,386705.0,-,CK_Pro_MIT9202_00156,,,CK_00034724,R.2,Conserved hypothetical proteins,,,,,,uncharacterized conserved membrane protein,,,156,Hypothetical proteins / Conserved,,
NZ_DS999537.1,P9202_RS09805,,P9202_RS09805,P9202_157,Protein Homology,125096.0,125260.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002805275.1,hypothetical protein,WP_002805275.1,,,,,P9202_157,125096.0,125260.0,+,CK_Pro_MIT9202_00157,,,CK_00003465,R.2,Conserved hypothetical proteins,,,,,,conserved hypothetical protein,,,156,Hypothetical proteins / Conserved,,
NZ_DS999537.1,P9202_RS07340,,P9202_RS07340,P9202_158,Protein Homology,1349518.0,1350225.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002805276.1,SDR family NAD(P)-dependent oxidoreductase,WP_002805276.1,,,,,P9202_158,1349518.0,1350225.0,-,CK_Pro_MIT9202_00158,,"GO:0008152,GO:0016491",CK_00001264,H,Fatty acid%2C phospholipid and sterol metabolism,"COG1028,COG0300,COG4221,bactNOG27482,cyaNOG05942","COG: IQR,COG: POORLY CHARACTERIZED [R] General function prediction only,COG: POORLY CHARACTERIZED [R] General function prediction only,bactNOG: Q,cyaNOG: Q",,,"metabolic process,metabolic process,oxidoreductase activity",short-chain dehydrogenase/reductase family,"PF00106,PS00061,IPR020904,IPR002198","short chain dehydrogenase,Short-chain dehydrogenases/reductases family signature.,Short-chain dehydrogenase/reductase%2C conserved site,Description not found.",176,Fatty acid and phospholipid metabolism / Biosynthesis,,
NZ_DS999537.1,ilvA,ilvA,P9202_RS08610,P9202_159,Protein Homology,1568649.0,1570190.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007687.1,threonine ammonia-lyase%2C biosynthetic,WP_002805277.1,"GO:0009097,GO:0004794",,threonine deaminase activity|0004794||IEA,isoleucine biosynthetic process|0009097||IEA,P9202_159,1568649.0,1570190.0,-,CK_Pro_MIT9202_00159,ilvA,"GO:0009097,GO:0009097,GO:0006520,GO:0004794,GO:0004794,GO:0030170",CK_00000808,A.5,Pyruvate family (Ala%2C Val%2C Leu),"COG1171,bactNOG00306,cyaNOG01617,cyaNOG01154","COG: METABOLISM [E] Amino acid transport and metabolism,bactNOG: METABOLISM [E] Amino acid transport and metabolism,cyaNOG: METABOLISM [E] Amino acid transport and metabolism,cyaNOG: METABOLISM [E] Amino acid transport and metabolism",4.3.1.19,Transferred to 4.3.1.19,"isoleucine biosynthetic process,isoleucine biosynthetic process,cellular amino acid metabolic process,isoleucine biosynthetic process,isoleucine biosynthetic process,cellular amino acid metabolic process,L-threonine ammonia-lyase activity,L-threonine ammonia-lyase activity,pyridoxal phosphate binding",threonine ammonia-lyase,"TIGR01124,PF00291,PF00585,PS00165,PS51672,IPR005787,IPR001721,IPR001926,IPR000634","threonine ammonia-lyase%2C biosynthetic,Pyridoxal-phosphate dependent enzyme,C-terminal regulatory domain of Threonine dehydratase,Serine/threonine dehydratases pyridoxal-phosphate attachment site.,ACT-like domain profile.,Threonine dehydratase%2C biosynthetic,Threonine dehydratase%2C ACT-like domain,Pyridoxal-phosphate dependent enzyme,Serine/threonine dehydratase%2C pyridoxal-phosphate-binding site",74,Amino acid biosynthesis / Pyruvate family,,4.3.1.19
NZ_DS999537.1,P9202_RS06605,,P9202_RS06605,P9202_160,Protein Homology,1209478.0,1210077.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007310.1,hypothetical protein,WP_002805278.1,,,,,P9202_160,1209478.0,1210077.0,+,CK_Pro_MIT9202_00160,,,CK_00000637,R.2,Conserved hypothetical proteins,"NOG12819,COG0465,bactNOG17217,cyaNOG01356","COG: POORLY CHARACTERIZED [S] Function unknown,COG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones,bactNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown",,,,conserved hypothetical protein,,,156,Hypothetical proteins / Conserved,,
NZ_DS999537.1,rpmF,rpmF,P9202_RS08900,P9202_161,Protein Homology,1626592.0,1626762.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012007748.1,50S ribosomal protein L32,WP_002805281.1,"GO:0006412,GO:0003735,GO:0015934",large ribosomal subunit|0015934||IEA,structural constituent of ribosome|0003735||IEA,translation|0006412||IEA,P9202_161,1626592.0,1626762.0,+,CK_Pro_MIT9202_00161,rpmF,"GO:0006412,GO:0003735,GO:0000315,GO:0022625,GO:0005840",CK_00001256,K.2,Ribosomal proteins: synthesis and modification,"COG0333,NOG118555,bactNOG50071,bactNOG75213,cyaNOG04114,cyaNOG08322","COG: INFORMATION STORAGE AND PROCESSING [J] Translation%2C ribosomal structure and biogenesis,COG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: INFORMATION STORAGE AND PROCESSING [J] Translation%2C ribosomal structure and biogenesis,bactNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: INFORMATION STORAGE AND PROCESSING [J] Translation%2C ribosomal structure and biogenesis,cyaNOG: POORLY CHARACTERIZED [S] Function unknown",,,"translation,translation,structural constituent of ribosome,translation,structural constituent of ribosome,organellar large ribosomal subunit,cytosolic large ribosomal subunit,ribosome",50S ribosomal protein L32,"TIGR01031,PF01783,IPR002677","ribosomal protein bL32,Ribosomal L32p protein family,Ribosomal protein L32p",158,Protein synthesis / Ribosomal proteins: synthesis and modification,,
NZ_DS999537.1,P9202_RS06220,,P9202_RS06220,P9202_162,Protein Homology,1143775.0,1144956.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002805283.1,aminotransferase class V-fold PLP-dependent enzyme,WP_002805283.1,,,,,P9202_162,1143775.0,1144956.0,-,CK_Pro_MIT9202_00162,c-des,"GO:0008152,GO:0016829,GO:0030170",CK_00000692,"B.11,D.1.9","Other, Other","COG0520,bactNOG06167,bactNOG15749,cyaNOG01563","COG: METABOLISM [E] Amino acid transport and metabolism,bactNOG: METABOLISM [E] Amino acid transport and metabolism,bactNOG: METABOLISM [E] Amino acid transport and metabolism,cyaNOG: METABOLISM [E] Amino acid transport and metabolism",,,"metabolic process,metabolic process,lyase activity,pyridoxal phosphate binding",pyridoxal phosphate-dependent monomeric L-cysteine/cystine C-S-lyase,"PF00266,IPR000192,IPR015424,IPR015421,IPR015422","Aminotransferase class-V,Aminotransferase class V domain,Pyridoxal phosphate-dependent transferase,Pyridoxal phosphate-dependent transferase%2C major domain,Pyridoxal phosphate-dependent transferase domain 1",76,Biosynthesis of cofactors%2C prosthetic groups%2C and carriers / Other,,
NZ_DS999537.1,P9202_RS07500,,P9202_RS07500,P9202_164,Protein Homology,1376867.0,1377214.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_019476043.1,hypothetical protein,WP_002805288.1,,,,,P9202_164,1376867.0,1377214.0,+,CK_Pro_MIT9202_00164,,,CK_00038514,,,,,,,,conserved hypothetical protein,,,,,,
NZ_DS999537.1,P9202_RS07475,,P9202_RS07475,P9202_165,GeneMarkS-2+,1373788.0,1374339.0,-,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_002805293.1,,,,,P9202_165,1373788.0,1374339.0,-,CK_Pro_MIT9202_00165,,,CK_00050075,,,,,,,,conserved hypothetical protein,,,,,,
NZ_DS999537.1,P9202_RS03660,,P9202_RS03660,P9202_166,Protein Homology,673177.0,674115.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011863767.1,acyl-CoA desaturase,WP_002805294.1,"GO:0006633,GO:0006636,GO:0016717,GO:0046872,GO:0016020",membrane|0016020||IEA,"oxidoreductase activity%2C acting on paired donors%2C with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water|0016717||IEA,metal ion binding|0046872||IEA","fatty acid biosynthetic process|0006633||IEA,unsaturated fatty acid biosynthetic process|0006636||IEA",P9202_166,673177.0,674115.0,+,CK_Pro_MIT9202_00166,desC4,"GO:0006629,GO:0006633,GO:0055114,GO:0016491",CK_00008117,"D.1.6,H","Temperature,Fatty acid%2C phospholipid and sterol metabolism","COG1398,bactNOG03516,cyaNOG00039","COG: METABOLISM [I] Lipid transport and metabolism,bactNOG: METABOLISM [I] Lipid transport and metabolism,cyaNOG: METABOLISM [I] Lipid transport and metabolism",1.14.19.1,stearoyl-CoA 9-desaturase%3B Delta9-desaturase%3B acyl-CoA desaturase%3B fatty acid desaturase%3B stearoyl-CoA%2C hydrogen-donor:oxygen oxidoreductase,"lipid metabolic process,fatty acid biosynthetic process,oxidation-reduction process,lipid metabolic process,fatty acid biosynthetic process,oxidation-reduction process,oxidoreductase activity",delta-9 fatty-acid desaturase DesC4,"PF00487,IPR005804","Fatty acid desaturase,Fatty acid desaturase domain",121,Fatty acid and phospholipid metabolism / Other,,1.14.19.-
NZ_DS999537.1,P9202_RS05965,,P9202_RS05965,P9202_167,Protein Homology,1098489.0,1100891.0,-,,,COORDINATES: protein motif:HMM:TIGR01785.1,TonB-dependent hemoglobin/transferrin/lactoferrin family receptor,WP_002805296.1,"GO:0055085,GO:0022857,GO:0019867",outer membrane|0019867||IEA,transmembrane transporter activity|0022857||IEA,transmembrane transport|0055085||IEA,P9202_167,1098489.0,1100891.0,-,CK_Pro_MIT9202_00167,cirA,"GO:0033212,GO:0043213,GO:0044718,GO:0006810,GO:0006811,GO:0055072,GO:0004872,GO:0015343,GO:0042912,GO:0016020,GO:0016021,GO:0009279",CK_00038154,Q.4,Cations and iron carrying compounds,,,,,"iron import into cell,bacteriocin transport,siderophore transmembrane transport,transport,ion transport,iron ion homeostasis,iron import into cell,bacteriocin transport,siderophore transmembrane transport,transport,ion transport,iron ion homeostasis,signaling receptor activity,siderophore transmembrane transporter activity,colicin transmembrane transporter activity,iron import into cell,bacteriocin transport,siderophore transmembrane transport,transport,ion transport,iron ion homeostasis,signaling receptor activity,siderophore transmembrane transporter activity,colicin transmembrane transporter activity,membrane,integral component of membrane,cell outer membrane",outer membrane receptor involved in uptake of ferric dihyroxybenzoylserine,"TIGR01785,TIGR01786,PF07715,PF00593,IPR012910,IPR000531","TonB-dependent heme/hemoglobin receptor family protein,TonB-dependent hemoglobin/transferrin/lactoferrin receptor family protein,TonB-dependent Receptor Plug Domain,TonB dependent receptor,TonB-dependent receptor%2C plug domain,TonB-dependent receptor-like%2C beta-barrel",145,Transport and binding proteins / Cations and iron carrying compounds,,
NZ_DS999537.1,P9202_RS05710,,P9202_RS05710,P9202_168,Protein Homology,1063011.0,1063445.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011817826.1,hypothetical protein,WP_002805297.1,,,,,P9202_168,1063011.0,1063445.0,+,CK_Pro_MIT9202_00168,,,CK_00046930,R.2,Conserved hypothetical proteins,,,,,,uncharacterized conserved membrane protein,,,156,Hypothetical proteins / Conserved,,
NZ_DS999537.1,P9202_RS03295,,P9202_RS03295,P9202_169,Protein Homology,599307.0,601853.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011863704.1,glycogen/starch/alpha-glucan phosphorylase,WP_002805298.1,,,,,P9202_169,599307.0,601853.0,+,CK_Pro_MIT9202_00169,glgP,"GO:0005977,GO:0005980,GO:0005975,GO:0008184,GO:0004645,GO:0030170",CK_00000118,"D.1.5,G.8","Phosphorus, Glycogen and sugar metabolism","COG0058,bactNOG02001,cyaNOG01083","COG: METABOLISM [G] Carbohydrate transport and metabolism,bactNOG: METABOLISM [G] Carbohydrate transport and metabolism,cyaNOG: METABOLISM [G] Carbohydrate transport and metabolism",2.4.1.1,glycogen phosphorylase%3B muscle phosphorylase a and b%3B amylophosphorylase%3B polyphosphorylase%3B amylopectin phosphorylase%3B glucan phosphorylase%3B alpha-glucan phosphorylase%3B 1%2C4-alpha-glucan phosphorylase%3B glucosan phosphorylase%3B granulose phosphorylase%3B maltodextrin phosphorylase%3B muscle phosphorylase%3B myophosphorylase%3B potato phosphorylase%3B starch phosphorylase%3B 1%2C4-alpha-D-glucan:phosphate alpha-D-glucosyltransferase%3B phosphorylase (ambiguous),"glycogen metabolic process,glycogen catabolic process,carbohydrate metabolic process,glycogen metabolic process,glycogen catabolic process,carbohydrate metabolic process,glycogen phosphorylase activity,phosphorylase activity,pyridoxal phosphate binding",glycogen phosphorylase,"TIGR02093,PF00343,PS00102,IPR000811,IPR011833","glycogen/starch/alpha-glucan phosphorylases,Carbohydrate phosphorylase,Phosphorylase pyridoxal-phosphate attachment site.,Glycosyl transferase%2C family 35,Glycogen/starch/alpha-glucan phosphorylase",105,Energy metabolism / Biosynthesis and degradation of polysaccharides,,2.4.1.1
NZ_DS999537.1,P9202_RS05690,,P9202_RS05690,P9202_170,Protein Homology,1058469.0,1059227.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011862364.1,LysM peptidoglycan-binding domain-containing protein,WP_033829919.1,GO:0097367,,carbohydrate derivative binding|0097367||IEA,,P9202_170,1058469.0,1059188.0,-,CK_Pro_MIT9202_00170,,,CK_00040676,C.3,Surface polysaccharides and lipopolysaccharides,"COG0739,COG1388,bactNOG36546,cyaNOG05985","COG: CELLULAR PROCESSES AND SIGNALING [M] Cell wall/membrane/envelope biogenesis,COG: CELLULAR PROCESSES AND SIGNALING [M] Cell wall/membrane/envelope biogenesis,bactNOG: CELLULAR PROCESSES AND SIGNALING [M] Cell wall/membrane/envelope biogenesis,cyaNOG: CELLULAR PROCESSES AND SIGNALING [M] Cell wall/membrane/envelope biogenesis",,,,LysM domain-containing protein,"PF01476,PS51782,IPR018392,IPR036779","LysM domain,LysM domain profile.,LysM domain,LysM domain superfamily",90,Cell envelope / Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides,,
NZ_DS999537.1,P9202_RS00820,,P9202_RS00820,P9202_171,Protein Homology,141914.0,142174.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002807916.1,chlorophyll a/b-binding protein,WP_002805301.1,,,,,P9202_171,141914.0,142174.0,+,CK_Pro_MIT9202_00171,hli,"GO:0009644,GO:0016020",CK_00043616,"D.1.2,J","Light,Photosynthesis and respiration",,,,,"response to high light intensity,response to high light intensity,membrane",high light inducible protein,"PF00504,IPR023329","Chlorophyll A-B binding protein,Chlorophyll a/b binding domain superfamily",149,Cellular processes / Adaptations to atypical conditions,,
NZ_DS999537.1,P9202_RS07750,,P9202_RS07750,P9202_172,Protein Homology,1417417.0,1417644.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011862743.1,hypothetical protein,WP_002805302.1,,,,,P9202_172,1417417.0,1417644.0,-,CK_Pro_MIT9202_00172,,,CK_00003425,R.2,Conserved hypothetical proteins,,,,,,possible uncharacterized conserved secreted protein,,,156,Hypothetical proteins / Conserved,,
NZ_DS999537.1,P9202_RS06235,,P9202_RS06235,P9202_173,Protein Homology,1146575.0,1146820.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011360360.1,NifU family protein,WP_002805305.1,,,,,P9202_173,1146575.0,1146820.0,-,CK_Pro_MIT9202_00173,,"GO:0016226,GO:0005506,GO:0051536",CK_00000693,"D.1.9,R.1"," Other,Conserved hypothetical domains","COG0694,bactNOG43935,bactNOG32525,cyaNOG03857","COG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones,bactNOG: METABOLISM [C] Energy production and conversion,bactNOG: METABOLISM [C] Energy production and conversion,cyaNOG: METABOLISM [C] Energy production and conversion",,,"iron-sulfur cluster assembly,iron-sulfur cluster assembly,iron ion binding,iron-sulfur cluster binding",NifU-like protein,"PF01106,IPR001075","NifU-like domain,NIF system FeS cluster assembly%2C NifU%2C C-terminal",157,Unknown function / General,,
NZ_DS999537.1,psaA,psaA,P9202_RS02895,P9202_174,Protein Homology,531970.0,534252.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011128980.1,photosystem I core protein PsaA,WP_002805306.1,"GO:0015979,GO:0016168,GO:0046872,GO:0009538,GO:0016020","photosystem I reaction center|0009538||IEA,membrane|0016020||IEA","chlorophyll binding|0016168||IEA,metal ion binding|0046872||IEA",photosynthesis|0015979||IEA,P9202_174,531970.0,534252.0,-,CK_Pro_MIT9202_00174,psaA,"GO:0015979,GO:0016168,GO:0046872,GO:0009522,GO:0009538,GO:0016021,GO:0009579",CK_00007993,J.7,Photosystem I,"NOG05023,bactNOG12406,cyaNOG00170","COG: METABOLISM [C] Energy production and conversion,bactNOG: METABOLISM [C] Energy production and conversion,cyaNOG: METABOLISM [C] Energy production and conversion",,,"photosynthesis,photosynthesis,chlorophyll binding,metal ion binding,photosynthesis,chlorophyll binding,metal ion binding,photosystem I,photosystem I reaction center,integral component of membrane,thylakoid",photosystem I core protein PsaA,"TIGR01335,PF00223,PS00419,IPR020586,IPR006243,IPR001280","photosystem I core protein PsaA,Photosystem I psaA/psaB protein,Photosystem I psaA and psaB proteins signature.,Photosystem I PsaA/PsaB%2C conserved site,Photosystem I PsaA,Photosystem I PsaA/PsaB",164,Energy metabolism / Photosynthesis,,1.97.1.12
NZ_DS999537.1,P9202_RS04430,,P9202_RS04430,P9202_175,Protein Homology,835767.0,836030.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012006906.1,DUF2973 domain-containing protein,WP_033829880.1,,,,,P9202_175,835836.0,836030.0,+,CK_Pro_MIT9202_00175,,,CK_00042327,I.2,Prophage functions,,,,,,bacteriophage-like protein,"PF11189,IPR021355","Protein of unknown function (DUF2973),Bacteriophage Syn9%2C Gp224",152,Mobile and extrachromosomal element functions / Prophage functions,,
