geneID,Path,KO,chr,start,end,strand,logFC,logCPM,LR,PValue,annot,bacterial_chemotaxis,biosynthesis_of_amino_acids,carbon_metabolism,fatty_acid_metabolism,flagellar_assembly,redox_genes,ribosome,tonb_associated_genes,resolved_locus_tag,resolution_method
AEZ55_0462,3010.0,K02895,scf7180000008834,404438,404752,+,0.296923732,8.789044525,0.802038357,0.370484632,ribosomal protein L24,,,,,,,Y,,EZ55_03589,tier1:geneID
AEZ55_0463,3010.0,K02931,scf7180000008834,404770,405309,+,0.49648158,9.188216472,2.104842678,0.146833444,ribosomal L5P family C-terminus,,,,,,,Y,,EZ55_03588,tier1:geneID
AEZ55_0464,3010.0,K02954,scf7180000008834,405322,405627,+,0.460162664,8.277269496,1.573212248,0.20974113,ribosomal protein S14p/S29e,,,,,,,Y,,EZ55_03587,tier1:geneID
AEZ55_0465,3010.0,K02994,scf7180000008834,405641,406033,+,0.563352311,8.272710843,2.413121844,0.120322202,ribosomal protein S8,,,,,,,Y,,EZ55_03586,tier1:geneID
AEZ55_0466,3010.0,K02933,scf7180000008834,406047,406580,+,0.460494636,8.897396062,1.440424963,0.230070585,ribosomal protein L6,,,,,,,Y,,EZ55_03585,tier1:geneID
AEZ55_0467,3010.0,K02881,scf7180000008834,406593,406946,+,0.471455718,7.705733782,1.587245165,0.207720165,ribosomal protein L18,,,,,,,Y,,EZ55_03584,tier1:geneID
AEZ55_0468,3010.0,K02988,scf7180000008834,406956,407456,+,0.457084273,8.861660088,1.235854546,0.266271482,ribosomal protein S5,,,,,,,Y,,EZ55_03583,tier1:geneID
AEZ55_0469,3010.0,K02907,scf7180000008834,407463,407642,+,0.417345806,6.67391339,1.267838113,0.26017264,ribosomal protein L30,,,,,,,Y,,EZ55_03582,tier1:geneID
AEZ55_0470,3010.0,K02876,scf7180000008834,407646,408080,+,0.641990106,8.194088417,2.415618921,0.120130482,ribosomal protein L15,,,,,,,Y,,EZ55_03581,tier1:geneID
AEZ55_0472,3010.0,K02919,scf7180000008834,409444,409560,+,-0.178798177,9.833323906,0.322671996,0.570006281,ribosomal protein L36,,,,,,,Y,,EZ55_03579,tier1:geneID
AEZ55_0474,3010.0,K02952,scf7180000008834,409736,410092,+,-0.351395112,10.25440108,1.200575316,0.273206722,30S ribosomal protein S13,,,,,,,Y,,EZ55_03577,tier1:geneID
AEZ55_0475,3010.0,K02948,scf7180000008834,410107,410499,+,-0.607295986,9.644997062,2.978279485,0.084388935,30S ribosomal protein S11,,,,,,,Y,,EZ55_03576,tier1:geneID
AEZ55_0476,3010.0,K02986,scf7180000008834,410524,411144,+,-0.611666014,10.36842321,3.081507074,0.079187119,ribosomal protein S4,,,,,,,Y,,EZ55_03575,tier1:geneID
AEZ55_0478,3010.0,K02879,scf7180000008834,412195,412596,+,-0.446072134,8.781326829,1.52931753,0.2162149,ribosomal protein L17,,,,,,,Y,,EZ55_03573,tier1:geneID
AEZ55_0525,2030.0,K03406,scf7180000008834,459662,460741,+,0.54450866,5.175779988,2.951693531,0.085787616,methyl-accepting chemotaxis protein signaling,Y,,,,,,,,EZ55_03534,tier1:geneID
AEZ55_0558,1200.0,K01895,scf7180000008834,490602,492548,+,0.294380892,9.73209296,0.554724427,0.456393695,acetate--CoA ligase,,,Y,,,,,,EZ55_03507,tier1:geneID
AEZ55_0583,,,scf7180000008834,514997,518206,+,0.228340769,8.386639912,0.592891709,0.441303086,TonB-dependent receptor plug domain protein,,,,,,,,Y,EZ55_03486,tier1:geneID
AEZ55_0586,1200.0,K00024,scf7180000008834,519865,520803,+,0.549308491,9.633415934,2.486070157,0.1148582,"malate dehydrogenase, NAD-dependent",,,Y,,,,,,EZ55_03483,tier1:geneID
AEZ55_0587,1200.0,K01595,scf7180000008834,520950,523571,-,-1.038502905,10.13915759,5.121623144,0.023629505,phosphoenolpyruvate carboxykinase (GTP),,,Y,,,,,,EZ55_03482,tier1:geneID
AEZ55_0589,1200.0,K00209,scf7180000008834,524724,525902,+,-0.351590162,7.266317254,1.455661809,0.227621636,short-chain alcohol dehydrogenase,,,Y,,,,,,EZ55_03480,tier1:geneID
AEZ55_0617,1200.0,K00140,scf7180000008834,548034,549524,+,0.004214608,2.896387324,0.000252797,0.987314507,methylmalonate-semialdehyde dehydrogenase,,,Y,,,,,,EZ55_03453,tier1:geneID
AEZ55_0619,,K02014,scf7180000008834,549836,551647,+,0.122595521,3.82022186,0.28218302,0.595273945,TonB-dependent receptor plug domain protein,,,,,,,,Y,EZ55_03452,tier1:geneID
AEZ55_0639,1200.0,K01754,scf7180000008834,566180,567220,-,-0.233529027,4.820288645,1.081331463,0.298399889,pyridoxal-phosphate dependent protein,,Y,Y,,,,,,EZ55_03437,tier1:geneID
AEZ55_0672,1200.0,K01070,scf7180000008834,600572,601414,+,0.013284601,5.455701361,0.003097764,0.955614608,S-formylglutathione hydrolase,,,Y,,,,,,EZ55_03409,tier1:geneID
AEZ55_0704,1212.0,K00507,scf7180000008834,623702,624664,-,-0.176351227,8.998910253,0.299988503,0.583889629,stearoyl-CoA 9-desaturase,,,,Y,,,,,EZ55_03387,tier1:geneID
AEZ55_0723,2030.0,K03410,scf7180000008834,642832,643416,-,0.458533816,6.162655152,2.043981784,0.152809196,CheC-like family protein,Y,,,,,,,,EZ55_03372,tier1:geneID
AEZ55_0725,1230.0,K00817,scf7180000008834,644046,645221,-,-0.029254683,3.646007252,0.011636185,0.914097901,putative histidinol-phosphate transaminase,,Y,,,,,,,EZ55_03370,tier1:geneID
AEZ55_0727,,K02014,scf7180000008834,646178,648826,-,0.160036118,3.315896645,0.324637261,0.568834058,TonB-dependent receptor plug domain protein,,,,,,,,Y,EZ55_03368,tier1:geneID
AEZ55_0731,2030.0,K03406,scf7180000008834,653457,655199,+,0.479235943,5.340010631,1.963670002,0.161121362,PAS domain S-box,Y,,,,,,,,EZ55_03364,tier1:geneID
AEZ55_0756,,,scf7180000008834,679930,682272,-,-0.239172328,4.715246525,1.148038272,0.283960185,TonB-dependent receptor plug domain protein,,,,,,,,Y,EZ55_03344,tier1:geneID
AEZ55_0763,1200.0,K00140,scf7180000008834,687716,689215,-,-0.528669009,6.267384481,3.039971193,0.081237359,methylmalonate-semialdehyde dehydrogenase,,,Y,,,,,,EZ55_03339,tier1:geneID
AEZ55_0765,2030.0,K03406,scf7180000008834,690731,692047,+,0.857241573,8.178140639,8.824602367,0.002971961,PAS domain S-box,Y,,,,,,,,EZ55_03337,tier1:geneID
AEZ55_0777,,,scf7180000008834,705175,707670,-,0.692084444,8.147011854,4.027358182,0.044767992,TonB-dependent receptor,,,,,,,,Y,EZ55_03327,tier1:geneID
AEZ55_0819,,,scf7180000008834,742381,743160,+,-0.002552625,2.64894213,8.87e-05,0.992486115,thioredoxin,,,,,,Y,,,EZ55_03294,tier1:geneID
AEZ55_0824,,K02014,scf7180000008834,747378,749501,-,0.745827572,4.179650597,9.08407189,0.002578453,TonB-dependent siderophore receptor,,,,,,,,Y,EZ55_03289,tier1:geneID
AEZ55_0841,1200.0,K00626,scf7180000008834,767630,768880,+,-0.092403616,3.011702257,0.102058729,0.749372928,acetyl-CoA acetyltransferase,,,Y,Y,,,,,EZ55_03274,tier1:geneID
AEZ55_0842,1200.0,K01782,scf7180000008834,768903,771053,+,0.417126383,3.891609319,2.525161595,0.112043302,putative multifunctional fatty acid oxidation,,,Y,Y,,,,,EZ55_03273,tier1:geneID
AEZ55_0877,,,scf7180000008834,803891,806029,-,-0.335453666,3.973041955,1.937149173,0.163978407,TonB-dependent receptor,,,,,,,,Y,EZ55_03240,tier1:geneID
AEZ55_0898,1230.0,K01915,scf7180000008834,828270,829679,-,-0.145310249,10.5131164,0.07693486,0.781494986,"glutamine synthetase, type I",,Y,,,,,,,EZ55_03220,tier1:geneID
AEZ55_0902,1230.0,K14155,scf7180000008834,832970,833863,+,0.07577665,6.383987425,0.077191533,0.781140065,conserved hypothetical protein,,Y,,,,,,,EZ55_03216,tier1:geneID
AEZ55_0903,1230.0,K14155,scf7180000008834,833823,834149,+,-0.65140923,4.53492918,4.59310474,0.032100816,conserved domain protein,,Y,,,,,,,,unresolved
AEZ55_0914,1200.0,K01679,scf7180000008834,842378,843751,+,0.593840497,4.657920292,4.994293923,0.025431027,fumarate hydratase,,,Y,,,,,,EZ55_03206,tier1:geneID
AEZ55_0944,1230.0,K01243,scf7180000008834,870104,870805,-,0.132333457,6.833401319,0.251593214,0.615955474,MTA/SAH nucleosidase,,Y,,,,,,,EZ55_03179,tier1:geneID
AEZ55_0949,1230.0,K00266,scf7180000008834,874022,875437,-,-0.406754496,8.335962049,0.885609366,0.346669908,glutamate synthase subunit beta,,Y,,,,,,,EZ55_03175,tier1:geneID
AEZ55_0950,1230.0,K00265,scf7180000008834,875451,879917,-,0.071316412,10.34338141,0.042388491,0.836881012,class II glutamine amidotransferase,,Y,,,,,,,EZ55_03174,tier1:geneID
AEZ55_0964,,K02014,scf7180000008834,896964,899228,+,-0.271937988,7.863825179,0.89425203,0.344327643,TonB-dependent receptor plug domain protein,,,,,,,,Y,EZ55_03161,tier1:geneID
AEZ55_0984,1230.0,K00290,scf7180000008834,913092,913421,-,0.102156714,5.82426221,0.156836797,0.692085658,"saccharopine dehydrogenase (NAD+, L-lysine",,Y,,,,,,,,unresolved
AEZ55_0985,1230.0,K00290,scf7180000008834,913421,914101,-,0.155615601,7.468236119,0.286578283,0.592421637,saccharopine dehydrogenase,,Y,,,,,,,EZ55_03144,tier1:geneID
AEZ55_1013,1200.0,K00121,scf7180000008834,935028,936185,-,0.114970933,9.647916089,0.059767862,0.80686322,S-(hydroxymethyl)glutathione dehydrogenase/class,,,Y,,,,,,EZ55_03120,tier1:geneID
AEZ55_1015,1230.0,K12524,scf7180000008834,937546,940011,+,0.173623206,9.674518107,0.153037702,0.69564916,homoserine dehydrogenase,,Y,,,,,,,EZ55_03118,tier1:geneID
AEZ55_1016,1230.0,K00872,scf7180000008834,940182,941126,+,-0.844885127,7.177339286,2.870720501,0.090204479,homoserine kinase,,Y,,,,,,,EZ55_03117,tier1:geneID
AEZ55_1017,1230.0,K01733,scf7180000008834,941262,942545,+,-1.186105767,7.520168183,5.559710055,0.018378458,threonine synthase,,Y,,,,,,,EZ55_03116,tier1:geneID
AEZ55_1020,1200.0,K01810,scf7180000008834,944020,945669,-,-0.176592829,8.097658618,0.325322421,0.568426485,glucose-6-phosphate isomerase,,,Y,,,,,,EZ55_03113,tier1:geneID
AEZ55_1021,1200.0,K00616,scf7180000008834,945684,946643,-,-0.090600255,7.71846618,0.109507074,0.740706024,transaldolase,,Y,Y,,,,,,EZ55_03112,tier1:geneID
AEZ55_1043,,K04063,scf7180000008834,965035,965469,+,2.256808534,8.203650645,19.47471367,1.02e-05,"peroxiredoxin, OsmC family protein",,,,,,Y,,,EZ55_03095,tier1:geneID
AEZ55_1054,1230.0,K00286,scf7180000008834,974694,975515,-,0.167781814,7.257992954,0.404123274,0.524967472,pyrroline-5-carboxylate reductase,,Y,,,,,,,EZ55_03085,tier1:geneID
AEZ55_1077,,,scf7180000008834,995987,996727,+,-0.231969661,7.562741246,0.739744863,0.38974262,glutaredoxin,,,,,,Y,,,EZ55_03066,tier1:geneID
AEZ55_1106,2030.0,K03406,scf7180000008834,1032363,1034270,+,2.682309559,6.277167788,37.65070777,8.46e-10,methyl-accepting chemotaxis protein signaling,Y,,,,,,,,EZ55_03037,tier1:geneID
AEZ55_1107,2030.0,K03408,scf7180000008834,1034307,1035854,+,1.78755025,5.753061444,18.16154637,2.03e-05,CheW-like domain protein,Y,,,,,,,,EZ55_03036,tier1:geneID
AEZ55_1108,2030.0,K03412,scf7180000008834,1035874,1036911,+,1.538659059,4.885125779,12.22231018,0.000472214,response regulator receiver domain protein,Y,,,,,,,,EZ55_03035,tier1:geneID
AEZ55_1110,2030.0,K00575,scf7180000008834,1037560,1038414,+,1.444222534,3.893494786,11.6303499,0.000648843,"CheR methyltransferase, SAM binding domain",Y,,,,,,,,EZ55_03033,tier1:geneID
AEZ55_1112,2030.0,K03407,scf7180000008834,1040530,1041414,+,0.232673471,3.353214699,0.697006521,0.403791379,CheW-like domain protein,Y,,,,,,,,,unresolved
AEZ55_1115,2030.0,K03413,scf7180000008834,1042410,1042778,+,-0.060671021,3.206877919,0.040233539,0.841024654,response regulator receiver domain protein,Y,,,,,,,,EZ55_03028,tier1:geneID
AEZ55_1116,2030.0,K03406,scf7180000008834,1042788,1044077,+,-0.100561934,5.6610696,0.156356147,0.692533725,methyl-accepting chemotaxis protein signaling,Y,,,,,,,,EZ55_03027,tier1:geneID
AEZ55_1132,1200.0,K00163,scf7180000008834,1054883,1057558,+,-1.458997687,9.964482062,14.20196066,0.000164199,"pyruvate dehydrogenase (acetyl-transferring),",,,Y,,,,,,EZ55_03014,tier1:geneID
AEZ55_1133,1200.0,K00627,scf7180000008834,1057580,1059628,+,-0.738151895,8.486752413,3.147110154,0.076061558,dihydrolipoyllysine-residue acetyltransferase,,,Y,,,,,,EZ55_03013,tier1:geneID
AEZ55_1134,1200.0,K00382,scf7180000008834,1059761,1061182,+,-0.367798415,9.352171694,1.26878919,0.25999395,dihydrolipoyl dehydrogenase,,,Y,,,,,,EZ55_03012,tier1:geneID
AEZ55_1149,1200.0,K00058,scf7180000008834,1074101,1075330,-,0.372540558,8.456076024,1.481814264,0.223490879,phosphoglycerate dehydrogenase,,Y,Y,,,,,,EZ55_03003,tier1:geneID
AEZ55_1150,1200.0,K01807,scf7180000008834,1075679,1076335,-,0.618714292,6.621748313,3.928683948,0.047469079,ribose 5-phosphate isomerase A,,Y,Y,,,,,,EZ55_03002,tier1:geneID
AEZ55_1171,,K02014,scf7180000008834,1096849,1099575,+,-1.753120526,9.70527932,17.66116213,2.64e-05,TonB-dependent receptor,,,,,,,,Y,EZ55_02984,tier1:geneID
AEZ55_1179,1200.0,K00605,scf7180000008834,1107083,1108162,+,1.204279571,9.07320973,7.38471519,0.006578049,glycine cleavage system T protein,,,Y,,,,,,EZ55_02978,tier1:geneID
AEZ55_1181,1200.0,K00281,scf7180000008834,1108708,1111620,+,0.541177907,8.844098096,1.244271601,0.264649397,glycine dehydrogenase,,,Y,,,,,,EZ55_02976,tier1:geneID
AEZ55_1187,,,scf7180000008834,1114780,1115190,+,-0.142190771,4.358504211,0.325964157,0.568045259,TonB family C-terminal domain protein,,,,,,,,Y,EZ55_02974,tier1:geneID
AEZ55_1266,,,scf7180000008834,1192329,1194401,+,0.111196954,3.385836508,0.144741963,0.703611639,TonB-dependent receptor,,,,,,,,Y,EZ55_02909,tier1:geneID
AEZ55_1279,,,scf7180000008834,1210361,1211602,-,-1.109040364,8.533168294,13.53266239,0.000234447,gram-negative bacterial TonB protein,,,,,,,,Y,EZ55_02896,tier1:geneID
AEZ55_1300,,K13639,scf7180000008834,1228269,1228745,+,-0.122599916,3.324452258,0.20433759,0.651242216,redox-sensitive transcriptional activator SoxR,,,,,,Y,,,EZ55_02881,tier1:geneID
AEZ55_1311,1212.0,K01692,scf7180000008834,1237534,1238190,-,0.344649722,6.450048336,1.365622559,0.242565415,enoyl-CoA hydratase/isomerase family protein,,,,Y,,,,,EZ55_02873,tier1:geneID
AEZ55_1328,,K02014,scf7180000008834,1252389,1255292,-,-0.593696925,13.53114831,2.030591148,0.154160635,TonB-dependent receptor,,,,,,,,Y,EZ55_02858,tier1:geneID
AEZ55_1331,,,scf7180000008834,1258724,1261243,+,-1.046327365,13.30129494,6.852267227,0.008852886,TonB-dependent receptor,,,,,,,,Y,EZ55_02855,tier1:geneID
AEZ55_1387,1200.0,K01638,scf7180000008834,1321922,1324117,-,0.893263517,11.66737579,2.445037184,0.117897091,malate synthase G,,,Y,,,,,,EZ55_02804,tier1:geneID
AEZ55_1389,1200.0,K01637,scf7180000008834,1325441,1326604,-,0.599478784,12.69088359,1.110523535,0.291968172,isocitrate lyase family protein,,,Y,,,,,,EZ55_02802,tier1:geneID
AEZ55_1390,1200.0,K01637,scf7180000008834,1326580,1327035,-,1.078640795,11.64379667,3.774407997,0.052042314,conserved domain protein,,,Y,,,,,,,unresolved
AEZ55_1391,2030.0,K03415,scf7180000008834,1327473,1328432,+,-0.348191323,8.616374588,0.97025356,0.32461695,CheW-like domain protein,Y,,,,,,,,EZ55_02801,tier1:geneID
AEZ55_1417,1200.0,K00640,scf7180000008834,1354058,1354882,+,-0.614974674,6.624480164,6.173837618,0.012965306,serine O-acetyltransferase,,Y,Y,,,,,,EZ55_02776,tier1:geneID
AEZ55_1447,2030.0,K03406,scf7180000008834,1383106,1384728,+,0.027768777,5.021752671,0.015146817,0.902049763,methyl-accepting chemotaxis protein signaling,Y,,,,,,,,EZ55_02750,tier1:geneID
AEZ55_1456,1200.0,K01491,scf7180000008834,1391296,1392150,-,0.256345645,6.704422379,1.001380901,0.316976601,"tetrahydrofolate dehydrogenase/cyclohydrolase,",,,Y,,,,,,EZ55_02743,tier1:geneID
AEZ55_1476,1230.0,K01439,scf7180000008834,1403228,1404403,+,-0.394551128,3.906778533,2.336647925,0.126361205,succinyl-diaminopimelate desuccinylase,,Y,,,,,,,EZ55_02727,tier1:geneID
AEZ55_1485,3010.0,K02968,scf7180000008834,1412475,1412738,-,0.400213781,9.204796686,1.50172975,0.220405403,ribosomal protein S20,,,,,,,Y,,EZ55_02719,tier1:geneID
AEZ55_1526,1200.0,K01079,scf7180000008834,1449087,1450070,+,-0.030846894,5.369936047,0.021134145,0.88441411,phosphoserine phosphatase SerB,,Y,Y,,,,,,EZ55_02682,tier1:geneID
AEZ55_1532,1200.0,K00600,scf7180000008834,1458194,1459450,+,0.023552706,8.737715542,0.006313298,0.936669719,glycine hydroxymethyltransferase,,Y,Y,,,,,,EZ55_02676,tier1:geneID
AEZ55_1545,2030.0,K02556,scf7180000008834,1469255,1470016,+,-0.348582332,7.005815658,1.611016409,0.204348985,flagellar motor protein PomA,Y,,,,Y,,,,EZ55_02664,tier1:geneID
AEZ55_1546,2030.0,K02557,scf7180000008834,1470016,1470945,+,-0.333909915,5.807100626,2.089179464,0.148345728,flagellar motor protein MotB,Y,,,,Y,,,,EZ55_02663,tier1:geneID
AEZ55_1600,,,scf7180000008834,1518174,1520528,-,0.297840323,5.288218378,1.786171343,0.181393343,TonB-dependent receptor,,,,,,,,Y,EZ55_02617,tier1:geneID
AEZ55_1608,1230.0,K11755,scf7180000008834,1528739,1529356,-,-0.540176498,5.193213742,1.431840382,0.231464322,phosphoribosyl-ATP diphosphatase,,Y,,,,,,,EZ55_02610,tier1:geneID
AEZ55_1609,1230.0,K02500,scf7180000008834,1529353,1529631,-,-1.000620178,3.896535074,3.806894108,0.051042015,imidazole glycerol phosphate synthase subunit,,Y,,,,,,,,unresolved
AEZ55_1610,1230.0,K02500,scf7180000008834,1529674,1530165,-,-0.747406429,4.397396312,2.789338222,0.094893409,"putative imidazoleglycerol phosphate synthase,",,Y,,,,,,,EZ55_02609,tier1:geneID
AEZ55_1611,1230.0,K01814,scf7180000008834,1530147,1530884,-,-0.752591972,5.186744435,3.481557517,0.062056306,1-(5-phosphoribosyl)-5-[(5-,,Y,,,,,,,EZ55_02608,tier1:geneID
AEZ55_1612,1230.0,K02501,scf7180000008834,1530884,1531525,-,-1.057163446,5.164777497,9.664149411,0.001878987,"imidazole glycerol phosphate synthase, glutamine",,Y,,,,,,,EZ55_02607,tier1:geneID
AEZ55_1613,1230.0,K01089,scf7180000008834,1531525,1532595,-,-1.167737636,6.453928455,10.56621885,0.001151731,histidinol-phosphatase,,Y,,,,,,,EZ55_02606,tier1:geneID
AEZ55_1614,1230.0,K00817,scf7180000008834,1532592,1533671,-,-1.363312362,6.376309729,20.32267406,6.54e-06,histidinol-phosphate transaminase,,Y,,,,,,,EZ55_02605,tier1:geneID
AEZ55_1615,1230.0,K00013,scf7180000008834,1533671,1534975,-,-1.245111198,7.218481217,12.9615742,0.00031795,histidinol dehydrogenase,,Y,,,,,,,EZ55_02604,tier1:geneID
AEZ55_1616,1230.0,K00765,scf7180000008834,1534989,1535891,-,-0.356058592,8.712558244,1.183303285,0.276684537,ATP phosphoribosyltransferase,,Y,,,,,,,EZ55_02603,tier1:geneID
AEZ55_1644,1212.0,K01897,scf7180000008834,1554219,1555871,+,0.105220585,8.873093478,0.119977747,0.729058626,long-chain-fatty-acid--CoA ligase,,,,Y,,,,,EZ55_02580,tier1:geneID
AEZ55_1668,1212.0,K01692,scf7180000008834,1578757,1579596,+,-0.651903659,8.331801074,4.308729207,0.037917276,enoyl-CoA hydratase/isomerase family protein,,,,Y,,,,,EZ55_02558,tier1:geneID
AEZ55_1700,1212.0,K01897,scf7180000008834,1611699,1612454,+,-0.362663823,4.367678304,1.386494183,0.238998041,conserved hypothetical protein,,,,Y,,,,,EZ55_02529,tier1:geneID
AEZ55_1701,1212.0,K00647,scf7180000008834,1612748,1613962,+,-0.263104763,8.169224288,0.51410147,0.473368731,"beta-ketoacyl synthase, N-terminal domain",,,,Y,,,,,EZ55_02528,tier1:geneID
AEZ55_1711,1230.0,K00133,scf7180000008834,1620462,1621478,+,-0.088225305,6.335822702,0.134415188,0.713897438,aspartate-semialdehyde dehydrogenase,,Y,,,,,,,EZ55_02520,tier1:geneID
