locus_tag,island_id,product,resolved_locus_tag,resolution_method
P9301_06981,MIT9301_1_606847_633340,conserved hypothetical protein,P9301_06981,locus_tag:locus_tag
P9301_06991,MIT9301_1_606847_633340,conserved hypothetical protein,P9301_06991,locus_tag:locus_tag
P9301_07001,MIT9301_1_606847_633340,conserved hypothetical protein,P9301_07001,locus_tag:locus_tag
P9301_07011,MIT9301_1_606847_633340,conserved hypothetical protein,P9301_07011,locus_tag:locus_tag
P9301_07021,MIT9301_1_606847_633340,conserved hypothetical protein,P9301_07021,locus_tag:locus_tag
P9301_07031,MIT9301_1_606847_633340,hypothetical protein,P9301_07031,locus_tag:locus_tag
P9301_07041,MIT9301_1_606847_633340,conserved hypothetical protein,P9301_07041,locus_tag:locus_tag
P9301_07051,MIT9301_1_606847_633340,hypothetical protein,P9301_07051,locus_tag:locus_tag
P9301_07061,MIT9301_1_606847_633340,hypothetical protein,P9301_07061,locus_tag:locus_tag
P9301_07071,MIT9301_1_606847_633340,hypothetical protein,P9301_07071,locus_tag:locus_tag
P9301_07081,MIT9301_1_606847_633340,outer membrane beta-barrel domain protein,P9301_07081,locus_tag:locus_tag
P9301_07091,MIT9301_1_606847_633340,conserved hypothetical protein,P9301_07091,locus_tag:locus_tag
P9301_07101,MIT9301_1_606847_633340,uncharacterized conserved membrane protein,P9301_07101,locus_tag:locus_tag
P9301_07111,MIT9301_1_606847_633340,conserved hypothetical protein,P9301_07111,locus_tag:locus_tag
P9301_07121,MIT9301_1_606847_633340,uncharacterized conserved membrane protein,P9301_07121,locus_tag:locus_tag
P9301_07381,MIT9301_1_658159_689796,conserved hypothetical protein,P9301_07381,locus_tag:locus_tag
P9301_07391,MIT9301_1_658159_689796,conserved hypothetical protein,P9301_07391,locus_tag:locus_tag
P9301_07411,MIT9301_1_658159_689796,"NAD-dependent DNA ligase, N-terminal domain",P9301_07411,locus_tag:locus_tag
P9301_07421,MIT9301_1_658159_689796,Hypothetical protein,P9301_07421,locus_tag:locus_tag
P9301_07431,MIT9301_1_658159_689796,uncharacterized conserved membrane protein,P9301_07431,locus_tag:locus_tag
P9301_07441,MIT9301_1_658159_689796,conserved hypothetical protein,P9301_07441,locus_tag:locus_tag
P9301_07451,MIT9301_1_658159_689796,conserved hypothetical protein (DUF1651),P9301_07451,locus_tag:locus_tag
P9301_07461,MIT9301_1_658159_689796,conserved hypothetical protein,P9301_07461,locus_tag:locus_tag
P9301_07471,MIT9301_1_658159_689796,uncharacterized conserved membrane protein,P9301_07471,locus_tag:locus_tag
P9301_07481,MIT9301_1_658159_689796,high light inducible protein,P9301_07481,locus_tag:locus_tag
P9301_07501,MIT9301_1_658159_689796,conserved hypothetical protein,P9301_07501,locus_tag:locus_tag
P9301_07511,MIT9301_1_658159_689796,tryptophan-rich conserved hypothetical protein CHP02450,P9301_07511,locus_tag:locus_tag
P9301_07521,MIT9301_1_658159_689796,conserved hypothetical protein,P9301_07521,locus_tag:locus_tag
P9301_07531,MIT9301_1_658159_689796,conserved hypothetical protein,P9301_07531,locus_tag:locus_tag
P9301_07541,MIT9301_1_658159_689796,uncharacterized conserved membrane protein,P9301_07541,locus_tag:locus_tag
P9301_07551,MIT9301_1_658159_689796,short-chain dehydrogenase/reductase (SDR) superfamily,P9301_07551,locus_tag:locus_tag
P9301_07561,MIT9301_1_658159_689796,conserved hypothetical protein,P9301_07561,locus_tag:locus_tag
P9301_07571,MIT9301_1_658159_689796,uncharacterized conserved membrane protein,P9301_07571,locus_tag:locus_tag
P9301_07581,MIT9301_1_658159_689796,possible uncharacterized conserved secreted protein,P9301_07581,locus_tag:locus_tag
P9301_07591,MIT9301_1_658159_689796,conserved hypothetical protein,P9301_07591,locus_tag:locus_tag
P9301_07601,MIT9301_1_658159_689796,conserved hypothetical protein,P9301_07601,locus_tag:locus_tag
P9301_07611,MIT9301_1_658159_689796,conserved hypothetical protein,P9301_07611,locus_tag:locus_tag
P9301_07621,MIT9301_1_658159_689796,uncharacterized conserved membrane protein,P9301_07621,locus_tag:locus_tag
P9301_07631,MIT9301_1_658159_689796,conserved hypothetical protein,P9301_07631,locus_tag:locus_tag
P9301_07641,MIT9301_1_658159_689796,conserved hypothetical protein,P9301_07641,locus_tag:locus_tag
P9301_07651,MIT9301_1_658159_689796,conserved hypothetical protein,P9301_07651,locus_tag:locus_tag
P9301_07661,MIT9301_1_658159_689796,"uncharacterized conserved membrane protein, Prochlorococcus-specific",P9301_07661,locus_tag:locus_tag
P9301_07681,MIT9301_1_658159_689796,uncharacterized conserved membrane protein,P9301_07681,locus_tag:locus_tag
P9301_07691,MIT9301_1_658159_689796,"protein of unknown function DUF1499, Prochlorococcus-specific",P9301_07691,locus_tag:locus_tag
P9301_07701,MIT9301_1_658159_689796,possible uncharacterized conserved secreted protein,P9301_07701,locus_tag:locus_tag
P9301_07711,MIT9301_1_658159_689796,"potassium ion channel, VIC family",P9301_07711,locus_tag:locus_tag
P9301_07721,MIT9301_1_658159_689796,cytochrome c553 (cytochrome c6),P9301_07721,locus_tag:locus_tag
P9301_07731,MIT9301_1_658159_689796,Hypothetical protein,P9301_07731,locus_tag:locus_tag
P9301_07741,MIT9301_1_658159_689796,"phosphate ABC transporter, phosphate-binding protein PstS",P9301_07741,locus_tag:locus_tag
P9301_07751,MIT9301_1_658159_689796,ABC-type phosphate transport system permease component,P9301_07751,locus_tag:locus_tag
P9301_07761,MIT9301_1_658159_689796,ABC-type phosphate transport system permease component,P9301_07761,locus_tag:locus_tag
P9301_07771,MIT9301_1_658159_689796,ABC-type phosphate transport system ATPase component,P9301_07771,locus_tag:locus_tag
P9301_07791,MIT9301_1_658159_689796,Conserved hypothetical protein,P9301_07791,locus_tag:locus_tag
P9301_07801,MIT9301_1_658159_689796,uncharacterized conserved secreted protein,P9301_07801,locus_tag:locus_tag
P9301_07811,MIT9301_1_658159_689796,"metallophosphoesterase, DNA ligase-associated",P9301_07811,locus_tag:locus_tag
P9301_07821,MIT9301_1_658159_689796,ATP-dependent Lhr-N-terminus-like helicase,P9301_07821,locus_tag:locus_tag
P9301_07831,MIT9301_1_658159_689796,ATP-dependent DNA ligase,P9301_07831,locus_tag:locus_tag
P9301_07841,MIT9301_1_658159_689796,putative mRNA 3-end processing factor,P9301_07841,locus_tag:locus_tag
P9301_07851,MIT9301_1_658159_689796,uncharacterized conserved membrane protein,P9301_07851,locus_tag:locus_tag
P9301_07861,MIT9301_1_658159_689796,"translation initiation factor IF-2, N-terminal domain-containing protein",P9301_07861,locus_tag:locus_tag
P9301_07871,MIT9301_1_658159_689796,conserved hypothetical protein,P9301_07871,locus_tag:locus_tag
P9301_07881,MIT9301_1_658159_689796,conserved hypothetical protein,P9301_07881,locus_tag:locus_tag
P9301_07891,MIT9301_1_658159_689796,conserved hypothetical protein,P9301_07891,locus_tag:locus_tag
P9301_07901,MIT9301_1_658159_689796,uncharacterized conserved membrane protein,P9301_07901,locus_tag:locus_tag
P9301_07911,MIT9301_1_658159_689796,conserved hypothetical protein,P9301_07911,locus_tag:locus_tag
P9301_07921,MIT9301_1_658159_689796,conserved hypothetical protein,P9301_07921,locus_tag:locus_tag
P9301_07931,MIT9301_1_658159_689796,conserved hypothetical protein,P9301_07931,locus_tag:locus_tag
P9301_07951,MIT9301_1_658159_689796,uncharacterized conserved lipoprotein,P9301_07951,locus_tag:locus_tag
P9301_07961,MIT9301_1_658159_689796,conserved hypothetical protein,P9301_07961,locus_tag:locus_tag
P9301_07971,MIT9301_1_658159_689796,conserved hypothetical protein,P9301_07971,locus_tag:locus_tag
P9301_07981,MIT9301_1_658159_689796,conserved hypothetical protein,P9301_07981,locus_tag:locus_tag
P9301_07991,MIT9301_1_658159_689796,uncharacterized conserved metal-binding protein (DUF2103),P9301_07991,locus_tag:locus_tag
P9301_08001,MIT9301_1_658159_689796,cytochrome b6/f complex subunit VIII,P9301_08001,locus_tag:locus_tag
P9301_pseudoVIMSS1362551,MIT9301_1_658159_689796,hypothetical protein,P9301_pseudoVIMSS1362551,locus_tag:locus_tag
P9301_08661,MIT9301_1_750720_775450,"iron stress-induced protein, Prochlorococcus-specific",P9301_08661,locus_tag:locus_tag
P9301_08671,MIT9301_1_750720_775450,"possible transcriptional regulator of iron metabolism, Crp/Fnr family protein",P9301_08671,locus_tag:locus_tag
P9301_08681,MIT9301_1_750720_775450,ABC transporter family protein,P9301_08681,locus_tag:locus_tag
P9301_08691,MIT9301_1_750720_775450,chlorophyll b synthase / chlorophyllide a oxygenase,P9301_08691,locus_tag:locus_tag
P9301_08711,MIT9301_1_750720_775450,conserved hypothetical protein,P9301_08711,locus_tag:locus_tag
P9301_08721,MIT9301_1_750720_775450,uncharacterized conserved secreted protein,P9301_08721,locus_tag:locus_tag
P9301_08731,MIT9301_1_750720_775450,Conserved hypothetical protein,P9301_08731,locus_tag:locus_tag
