locus_tag,island_id,product
BSR22_06255,RS50_1_1139597_1151102,sodium:solute symporter
BSR22_06260,RS50_1_1139597_1151102,hypothetical protein
BSR22_06265,RS50_1_1139597_1151102,glutathione S-transferase
BSR22_06270,RS50_1_1139597_1151102,GIY-YIG nuclease family protein
BSR22_06275,RS50_1_1139597_1151102,SDR family NAD(P)-dependent oxidoreductase
BSR22_06280,RS50_1_1139597_1151102,lycopene beta cyclase
BSR22_RS09530,RS50_1_1139597_1151102,hypothetical protein
BSR22_RS09700,RS50_1_1139597_1151102,hypothetical protein
BSR22_04945,RS50_1_909670_948933,prolyl aminopeptidase
BSR22_04950,RS50_1_909670_948933,FAD-binding domain-containing protein
BSR22_04955,RS50_1_909670_948933,TenA family protein
BSR22_04960,RS50_1_909670_948933,bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase
BSR22_04965,RS50_1_909670_948933,hypothetical protein
BSR22_04970,RS50_1_909670_948933,cupin domain-containing protein
BSR22_04975,RS50_1_909670_948933,phosphoenolpyruvate carboxykinase
BSR22_04985,RS50_1_909670_948933,DUF3764 family protein
BSR22_04990,RS50_1_909670_948933,hypothetical protein
BSR22_04995,RS50_1_909670_948933,hypothetical protein
BSR22_05000,RS50_1_909670_948933,hypothetical protein
BSR22_05015,RS50_1_909670_948933,type II 3-dehydroquinate dehydratase
BSR22_05020,RS50_1_909670_948933,tRNA-(ms[2]io[6]A)-hydroxylase
BSR22_05025,RS50_1_909670_948933,precorrin-2 C(20)-methyltransferase
BSR22_05030,RS50_1_909670_948933,DUF1823 family protein
BSR22_05035,RS50_1_909670_948933,ribosome biogenesis GTPase Der
BSR22_05040,RS50_1_909670_948933,energy-coupling factor transporter transmembrane component T family protein
BSR22_05045,RS50_1_909670_948933,PII-interacting protein PipX family protein
BSR22_05050,RS50_1_909670_948933,YggS family pyridoxal phosphate-dependent enzyme
BSR22_05055,RS50_1_909670_948933,cell division protein SepF
BSR22_05060,RS50_1_909670_948933,pyrroline-5-carboxylate reductase
BSR22_05065,RS50_1_909670_948933,glycosyltransferase family 4 protein
BSR22_05070,RS50_1_909670_948933,DNA repair protein RecO
BSR22_05075,RS50_1_909670_948933,2-deoxyribose-5-phosphate aldolase
BSR22_05080,RS50_1_909670_948933,"ribosome hibernation-promoting factor, HPF/YfiA family"
BSR22_05085,RS50_1_909670_948933,lipoyl(octanoyl) transferase LipB
BSR22_05090,RS50_1_909670_948933,AMP-binding protein
BSR22_05095,RS50_1_909670_948933,YlqD family protein
BSR22_05100,RS50_1_909670_948933,dihydrolipoamide acetyltransferase family protein
BSR22_05105,RS50_1_909670_948933,tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA
BSR22_05110,RS50_1_909670_948933,cysteine synthase A
BSR22_05115,RS50_1_909670_948933,PLP-dependent transferase
BSR22_05120,RS50_1_909670_948933,trans-sulfuration enzyme family protein
BSR22_05125,RS50_1_909670_948933,30S ribosomal protein S4
BSR22_05130,RS50_1_909670_948933,membrane protein insertion efficiency factor YidD
BSR22_05135,RS50_1_909670_948933,glutaredoxin family protein
BSR22_05140,RS50_1_909670_948933,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase"
BSR22_05145,RS50_1_909670_948933,SDR family NAD(P)-dependent oxidoreductase
BSR22_05150,RS50_1_909670_948933,aminotransferase class V-fold PLP-dependent enzyme
BSR22_05155,RS50_1_909670_948933,methyltransferase domain-containing protein
BSR22_05160,RS50_1_909670_948933,DUF4278 domain-containing protein
BSR22_05165,RS50_1_909670_948933,hypothetical protein
BSR22_05170,RS50_1_909670_948933,NifU family protein
BSR22_05175,RS50_1_909670_948933,malate:quinone oxidoreductase
BSR22_05180,RS50_1_909670_948933,translation elongation factor 4
BSR22_RS09515,RS50_1_909670_948933,hypothetical protein
BSR22_RS09520,RS50_1_909670_948933,hypothetical protein
BSR22_RS09525,RS50_1_909670_948933,hypothetical protein
BSR22_05235,RS50_1_955106_960007,chlorophyll synthase ChlG
BSR22_05240,RS50_1_955106_960007,cytochrome b6f subunit PetP
BSR22_05245,RS50_1_955106_960007,imidazole glycerol phosphate synthase subunit HisF
BSR22_05250,RS50_1_955106_960007,"bifunctional demethylmenaquinone methyltransferase/2-methoxy-6-polyprenyl-1,4-benzoquinol methylase UbiE"
BSR22_05715,RS50_1_1039307_1084293,ribosome recycling factor
BSR22_05720,RS50_1_1039307_1084293,UMP kinase
BSR22_05725,RS50_1_1039307_1084293,"cob(I)yrinic acid a,c-diamide adenosyltransferase"
BSR22_05730,RS50_1_1039307_1084293,site-specific integrase
BSR22_05735,RS50_1_1039307_1084293,ferrochelatase
BSR22_05740,RS50_1_1039307_1084293,biosynthetic-type acetolactate synthase large subunit
BSR22_05745,RS50_1_1039307_1084293,hypothetical protein
BSR22_05750,RS50_1_1039307_1084293,peptidoglycan editing factor PgeF
BSR22_05755,RS50_1_1039307_1084293,Tab2 family RNA-binding protein
BSR22_05760,RS50_1_1039307_1084293,S1 RNA-binding domain-containing protein
BSR22_05765,RS50_1_1039307_1084293,creatininase family protein
BSR22_05770,RS50_1_1039307_1084293,aldehyde oxygenase (deformylating)
BSR22_05775,RS50_1_1039307_1084293,long-chain acyl-[acyl-carrier-protein] reductase
BSR22_05780,RS50_1_1039307_1084293,acetyl-CoA carboxylase carboxyltransferase subunit alpha
BSR22_05785,RS50_1_1039307_1084293,SDR family oxidoreductase
BSR22_05790,RS50_1_1039307_1084293,GTP cyclohydrolase I
BSR22_05795,RS50_1_1039307_1084293,phosphoribosylanthranilate isomerase
BSR22_05800,RS50_1_1039307_1084293,site-2 protease family protein
BSR22_05805,RS50_1_1039307_1084293,lipoyl protein ligase domain-containing protein
BSR22_05810,RS50_1_1039307_1084293,photosystem I reaction center subunit XII
BSR22_05815,RS50_1_1039307_1084293,hypothetical protein
BSR22_05820,RS50_1_1039307_1084293,protochlorophyllide reductase
BSR22_05825,RS50_1_1039307_1084293,ferredoxin:protochlorophyllide reductase (ATP-dependent) iron-sulfur ATP-binding protein
BSR22_05830,RS50_1_1039307_1084293,ferredoxin:protochlorophyllide reductase (ATP-dependent) subunit B
BSR22_05835,RS50_1_1039307_1084293,ferredoxin:protochlorophyllide reductase (ATP-dependent) subunit N
BSR22_05840,RS50_1_1039307_1084293,hypothetical protein
BSR22_05845,RS50_1_1039307_1084293,hypothetical protein
BSR22_05850,RS50_1_1039307_1084293,non-canonical purine NTP pyrophosphatase
BSR22_05855,RS50_1_1039307_1084293,BMC domain-containing protein
BSR22_05860,RS50_1_1039307_1084293,form I ribulose bisphosphate carboxylase large subunit
BSR22_05865,RS50_1_1039307_1084293,ribulose bisphosphate carboxylase small subunit
BSR22_05870,RS50_1_1039307_1084293,CsoS2 family carboxysome shell protein
BSR22_05875,RS50_1_1039307_1084293,carboxysome shell carbonic anhydrase
BSR22_05880,RS50_1_1039307_1084293,carboxysome peptide A
BSR22_05885,RS50_1_1039307_1084293,carboxysome peptide B
BSR22_05890,RS50_1_1039307_1084293,4a-hydroxytetrahydrobiopterin dehydratase
BSR22_05895,RS50_1_1039307_1084293,DUF3136 domain-containing protein
BSR22_05900,RS50_1_1039307_1084293,Rid family detoxifying hydrolase
BSR22_05905,RS50_1_1039307_1084293,hydroxyacylglutathione hydrolase
BSR22_05910,RS50_1_1039307_1084293,ATP phosphoribosyltransferase
BSR22_05915,RS50_1_1039307_1084293,ABC transporter ATP-binding protein
BSR22_05920,RS50_1_1039307_1084293,GNAT family N-acetyltransferase
BSR22_05925,RS50_1_1039307_1084293,TIGR04283 family arsenosugar biosynthesis glycosyltransferase
BSR22_05930,RS50_1_1039307_1084293,TIGR04282 family arsenosugar biosynthesis glycosyltransferase
BSR22_05935,RS50_1_1039307_1084293,chromosomal replication initiator protein DnaA
BSR22_05940,RS50_1_1039307_1084293,glutathione S-transferase
BSR22_05945,RS50_1_1039307_1084293,glutathione-disulfide reductase
BSR22_06420,RS50_1_1172116_1221933,"ribonucleoside-triphosphate reductase, adenosylcobalamin-dependent"
BSR22_06425,RS50_1_1172116_1221933,class I SAM-dependent methyltransferase
BSR22_06430,RS50_1_1172116_1221933,peptide chain release factor 3
BSR22_06435,RS50_1_1172116_1221933,CPP1-like family protein
BSR22_06440,RS50_1_1172116_1221933,Hsp33 family molecular chaperone HslO
BSR22_06445,RS50_1_1172116_1221933,ABC transporter ATP-binding protein
BSR22_06450,RS50_1_1172116_1221933,DUF3531 family protein
BSR22_06455,RS50_1_1172116_1221933,16S rRNA (uracil(1498)-N(3))-methyltransferase
BSR22_06460,RS50_1_1172116_1221933,TIGR00297 family protein
BSR22_06465,RS50_1_1172116_1221933,GDSL-type esterase/lipase family protein
BSR22_06470,RS50_1_1172116_1221933,PhnE/PtxC family ABC transporter permease
BSR22_06475,RS50_1_1172116_1221933,ATP-binding cassette domain-containing protein
BSR22_06480,RS50_1_1172116_1221933,putative selenate ABC transporter substrate-binding protein
BSR22_06485,RS50_1_1172116_1221933,pyridoxal phosphate-dependent aminotransferase
BSR22_06490,RS50_1_1172116_1221933,uracil-DNA glycosylase
BSR22_06495,RS50_1_1172116_1221933,(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase
BSR22_06500,RS50_1_1172116_1221933,S41 family peptidase
BSR22_06505,RS50_1_1172116_1221933,quinolinate synthase NadA
BSR22_06510,RS50_1_1172116_1221933,TIGR04168 family protein
BSR22_06515,RS50_1_1172116_1221933,hypothetical protein
BSR22_06520,RS50_1_1172116_1221933,SAM-dependent methyltransferase
BSR22_06525,RS50_1_1172116_1221933,3-dehydroquinate synthase
BSR22_06530,RS50_1_1172116_1221933,5-(carboxyamino)imidazole ribonucleotide synthase
BSR22_06540,RS50_1_1172116_1221933,DUF1651 domain-containing protein
BSR22_06545,RS50_1_1172116_1221933,NAD-dependent DNA ligase
BSR22_06550,RS50_1_1172116_1221933,hypothetical protein
BSR22_06555,RS50_1_1172116_1221933,Notch domain-containing protein
BSR22_06560,RS50_1_1172116_1221933,hypothetical protein
BSR22_06565,RS50_1_1172116_1221933,DUF1651 domain-containing protein
BSR22_06575,RS50_1_1172116_1221933,hypothetical protein
BSR22_06580,RS50_1_1172116_1221933,hypothetical protein
BSR22_06585,RS50_1_1172116_1221933,chlorophyll a/b-binding protein
BSR22_06590,RS50_1_1172116_1221933,TIGR02450 family Trp-rich protein
BSR22_06595,RS50_1_1172116_1221933,hypothetical protein
BSR22_06600,RS50_1_1172116_1221933,hypothetical protein
BSR22_06605,RS50_1_1172116_1221933,hypothetical protein
BSR22_06610,RS50_1_1172116_1221933,SDR family oxidoreductase
BSR22_06615,RS50_1_1172116_1221933,hypothetical protein
BSR22_06620,RS50_1_1172116_1221933,hypothetical protein
BSR22_06625,RS50_1_1172116_1221933,hypothetical protein
BSR22_06630,RS50_1_1172116_1221933,hypothetical protein
BSR22_06635,RS50_1_1172116_1221933,hypothetical protein
BSR22_06640,RS50_1_1172116_1221933,hypothetical protein
BSR22_06645,RS50_1_1172116_1221933,DUF3303 domain-containing protein
BSR22_06650,RS50_1_1172116_1221933,DUP family protein
BSR22_06655,RS50_1_1172116_1221933,DUF1499 domain-containing protein
BSR22_06660,RS50_1_1172116_1221933,potassium channel family protein
BSR22_06665,RS50_1_1172116_1221933,c-type cytochrome
BSR22_06670,RS50_1_1172116_1221933,hypothetical protein
BSR22_06675,RS50_1_1172116_1221933,hypothetical protein
BSR22_06680,RS50_1_1172116_1221933,hypothetical protein
BSR22_06685,RS50_1_1172116_1221933,hypothetical protein
BSR22_06690,RS50_1_1172116_1221933,hypothetical protein
BSR22_06695,RS50_1_1172116_1221933,hypothetical protein
BSR22_06700,RS50_1_1172116_1221933,HNH endonuclease
BSR22_06705,RS50_1_1172116_1221933,hypothetical protein
BSR22_06710,RS50_1_1172116_1221933,DUF3303 domain-containing protein
BSR22_06715,RS50_1_1172116_1221933,cupredoxin domain-containing protein
BSR22_06720,RS50_1_1172116_1221933,S41 family peptidase
BSR22_06725,RS50_1_1172116_1221933,hypothetical protein
BSR22_06730,RS50_1_1172116_1221933,hypothetical protein
BSR22_06740,RS50_1_1172116_1221933,hypothetical protein
BSR22_06745,RS50_1_1172116_1221933,ACR3 family arsenite efflux transporter
BSR22_06750,RS50_1_1172116_1221933,OsmC family protein
BSR22_06755,RS50_1_1172116_1221933,HD domain-containing protein
BSR22_06760,RS50_1_1172116_1221933,phytanoyl-CoA dioxygenase family protein
BSR22_06765,RS50_1_1172116_1221933,GNAT family N-acetyltransferase
BSR22_06770,RS50_1_1172116_1221933,phosphonate dehydrogenase
BSR22_RS09250,RS50_1_1172116_1221933,hypothetical protein
BSR22_RS09255,RS50_1_1172116_1221933,putative quinol monooxygenase
BSR22_RS09540,RS50_1_1172116_1221933,hypothetical protein
BSR22_RS09545,RS50_1_1172116_1221933,hypothetical protein
BSR22_RS09550,RS50_1_1172116_1221933,hypothetical protein
BSR22_RS09555,RS50_1_1172116_1221933,hypothetical protein
BSR22_RS09560,RS50_1_1172116_1221933,hypothetical protein
BSR22_RS09565,RS50_1_1172116_1221933,hypothetical protein
BSR22_RS09745,RS50_1_1172116_1221933,hypothetical protein
BSR22_07270,RS50_1_1312084_1366123,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase
BSR22_07275,RS50_1_1312084_1366123,NAD-dependent epimerase/dehydratase family protein
BSR22_07280,RS50_1_1312084_1366123,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
BSR22_07285,RS50_1_1312084_1366123,PCC domain-containing protein
BSR22_07290,RS50_1_1312084_1366123,hypothetical protein
BSR22_07295,RS50_1_1312084_1366123,SDR family oxidoreductase
BSR22_07300,RS50_1_1312084_1366123,endonuclease III
BSR22_07305,RS50_1_1312084_1366123,ABC transporter ATP-binding protein
BSR22_07310,RS50_1_1312084_1366123,ferritin
BSR22_07315,RS50_1_1312084_1366123,hypothetical protein
BSR22_07320,RS50_1_1312084_1366123,Crp/Fnr family transcriptional regulator
BSR22_07330,RS50_1_1312084_1366123,ABC transporter ATP-binding protein
BSR22_07335,RS50_1_1312084_1366123,Rieske (2Fe-2S) protein
BSR22_07340,RS50_1_1312084_1366123,hypothetical protein
BSR22_07345,RS50_1_1312084_1366123,RNA-binding protein
BSR22_07350,RS50_1_1312084_1366123,hypothetical protein
BSR22_07355,RS50_1_1312084_1366123,hypothetical protein
BSR22_07360,RS50_1_1312084_1366123,hypothetical protein
BSR22_07365,RS50_1_1312084_1366123,hypothetical protein
BSR22_07370,RS50_1_1312084_1366123,hypothetical protein
BSR22_07375,RS50_1_1312084_1366123,urea ABC transporter ATP-binding subunit UrtE
BSR22_07380,RS50_1_1312084_1366123,urea ABC transporter ATP-binding protein UrtD
BSR22_07385,RS50_1_1312084_1366123,urea ABC transporter permease subunit UrtC
BSR22_07390,RS50_1_1312084_1366123,urea ABC transporter permease subunit UrtB
BSR22_07395,RS50_1_1312084_1366123,urea ABC transporter substrate-binding protein
BSR22_07400,RS50_1_1312084_1366123,urease accessory protein UreG
BSR22_07405,RS50_1_1312084_1366123,urease accessory protein UreF
BSR22_07410,RS50_1_1312084_1366123,urease accessory protein UreE
BSR22_07415,RS50_1_1312084_1366123,urease accessory protein UreD
BSR22_07420,RS50_1_1312084_1366123,urease subunit gamma
BSR22_07425,RS50_1_1312084_1366123,urease subunit beta
BSR22_07430,RS50_1_1312084_1366123,urease subunit alpha
BSR22_07435,RS50_1_1312084_1366123,glycosyl transferase
BSR22_07440,RS50_1_1312084_1366123,sugar phosphorylase
BSR22_07445,RS50_1_1312084_1366123,mannosyl-3-phosphoglycerate phosphatase-related protein YedP
BSR22_07450,RS50_1_1312084_1366123,kinase
BSR22_07455,RS50_1_1312084_1366123,DUF1830 domain-containing protein
BSR22_07460,RS50_1_1312084_1366123,hypothetical protein
BSR22_07465,RS50_1_1312084_1366123,undecaprenyl-diphosphate phosphatase
BSR22_07470,RS50_1_1312084_1366123,hypothetical protein
BSR22_07480,RS50_1_1312084_1366123,peptide-methionine (S)-S-oxide reductase MsrA
BSR22_07485,RS50_1_1312084_1366123,ABC transporter ATP-binding protein
BSR22_07490,RS50_1_1312084_1366123,DUF3288 family protein
BSR22_07495,RS50_1_1312084_1366123,anthranilate phosphoribosyltransferase
BSR22_07500,RS50_1_1312084_1366123,glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit
BSR22_07505,RS50_1_1312084_1366123,STAS domain-containing protein
BSR22_07510,RS50_1_1312084_1366123,Mini-ribonuclease 3
BSR22_07515,RS50_1_1312084_1366123,23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB
BSR22_07520,RS50_1_1312084_1366123,DUF1816 domain-containing protein
BSR22_07525,RS50_1_1312084_1366123,Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatA
BSR22_07530,RS50_1_1312084_1366123,DNA polymerase III subunit alpha
BSR22_07535,RS50_1_1312084_1366123,PAM68 family protein
BSR22_07540,RS50_1_1312084_1366123,30S ribosomal protein S15
BSR22_07545,RS50_1_1312084_1366123,Holliday junction branch migration protein RuvA
BSR22_07550,RS50_1_1312084_1366123,glycine zipper 2TM domain-containing protein
BSR22_07555,RS50_1_1312084_1366123,DMT family transporter
BSR22_07560,RS50_1_1312084_1366123,DNA primase
BSR22_07565,RS50_1_1312084_1366123,serine hydroxymethyltransferase
BSR22_07570,RS50_1_1312084_1366123,Y-family DNA polymerase
BSR22_07575,RS50_1_1312084_1366123,LexA family protein
BSR22_07580,RS50_1_1312084_1366123,23S rRNA (pseudouridine(1915)-N(3))-methyltransferase RlmH
BSR22_07585,RS50_1_1312084_1366123,hypothetical protein
BSR22_RS09275,RS50_1_1312084_1366123,hypothetical protein
BSR22_RS09600,RS50_1_1312084_1366123,hypothetical protein
BSR22_RS09605,RS50_1_1312084_1366123,hypothetical protein
BSR22_RS09755,RS50_1_1312084_1366123,hypothetical protein
BSR22_01860,RS50_1_325670_331309,23S rRNA (adenine(2503)-C(2))-methyltransferase RlmN
BSR22_01865,RS50_1_325670_331309,high light inducible protein
BSR22_RS09470,RS50_1_325670_331309,hypothetical protein
BSR22_01890,RS50_1_337946_347377,30S ribosomal protein S20
BSR22_01895,RS50_1_337946_347377,histidinol dehydrogenase
BSR22_01900,RS50_1_337946_347377,ribose-5-phosphate isomerase RpiA
BSR22_01905,RS50_1_337946_347377,trypsin-like peptidase domain-containing protein
BSR22_01910,RS50_1_337946_347377,ribosome maturation factor RimP
BSR22_01915,RS50_1_337946_347377,transcription termination factor NusA
BSR22_01920,RS50_1_337946_347377,YlxR family protein
BSR22_03325,RS50_1_625775_649609,aldo/keto reductase
BSR22_03335,RS50_1_625775_649609,THUMP domain-containing class I SAM-dependent RNA methyltransferase
BSR22_03340,RS50_1_625775_649609,phage holin family protein
BSR22_03345,RS50_1_625775_649609,DUF883 C-terminal domain-containing protein
BSR22_03350,RS50_1_625775_649609,hypothetical protein
BSR22_03355,RS50_1_625775_649609,chromosome segregation protein SMC
BSR22_03360,RS50_1_625775_649609,PRC-barrel domain-containing protein
BSR22_03365,RS50_1_625775_649609,glycosyl transferase
BSR22_03375,RS50_1_625775_649609,acetyl-CoA carboxylase biotin carboxylase subunit
BSR22_03380,RS50_1_625775_649609,YggT family protein
BSR22_03385,RS50_1_625775_649609,photosystem II reaction center X protein
BSR22_03390,RS50_1_625775_649609,Ycf66 family protein
BSR22_03395,RS50_1_625775_649609,chlorophyll a/b-binding protein
BSR22_03400,RS50_1_625775_649609,ABC transporter ATP-binding protein/permease
BSR22_03405,RS50_1_625775_649609,hypothetical protein
BSR22_03410,RS50_1_625775_649609,histidine triad nucleotide-binding protein
BSR22_03415,RS50_1_625775_649609,peptide deformylase
BSR22_03420,RS50_1_625775_649609,alpha/beta hydrolase family protein
BSR22_03425,RS50_1_625775_649609,aminotransferase class V-fold PLP-dependent enzyme
BSR22_03430,RS50_1_625775_649609,SufD family Fe-S cluster assembly protein
BSR22_03435,RS50_1_625775_649609,Fe-S cluster assembly ATPase SufC
BSR22_RS09240,RS50_1_625775_649609,hypothetical protein
BSR22_RS09490,RS50_1_625775_649609,hypothetical protein
BSR22_03475,RS50_1_655736_688329,type III pantothenate kinase
BSR22_03480,RS50_1_655736_688329,phosphoadenylyl-sulfate reductase
BSR22_03485,RS50_1_655736_688329,NAD(P)/FAD-dependent oxidoreductase
BSR22_03490,RS50_1_655736_688329,SLC13 family permease
BSR22_03495,RS50_1_655736_688329,potassium transporter TrkG
BSR22_03500,RS50_1_655736_688329,potassium channel family protein
BSR22_03505,RS50_1_655736_688329,ribbon-helix-helix domain-containing protein
BSR22_03510,RS50_1_655736_688329,hypothetical protein
BSR22_03515,RS50_1_655736_688329,hypothetical protein
BSR22_03520,RS50_1_655736_688329,ABC-F family ATP-binding cassette domain-containing protein
BSR22_03525,RS50_1_655736_688329,trypsin-like peptidase domain-containing protein
BSR22_03530,RS50_1_655736_688329,DUF2973 domain-containing protein
BSR22_03535,RS50_1_655736_688329,hypothetical protein
BSR22_03540,RS50_1_655736_688329,high light inducible protein
BSR22_03545,RS50_1_655736_688329,hypothetical protein
BSR22_03550,RS50_1_655736_688329,YihY/virulence factor BrkB family protein
BSR22_03555,RS50_1_655736_688329,inositol monophosphatase family protein
BSR22_03560,RS50_1_655736_688329,TolC family protein
BSR22_03565,RS50_1_655736_688329,TIGR03279 family radical SAM protein
BSR22_03570,RS50_1_655736_688329,DUF3120 domain-containing protein
BSR22_03575,RS50_1_655736_688329,L-aspartate oxidase
BSR22_03580,RS50_1_655736_688329,vitamin K epoxide reductase family protein
BSR22_03585,RS50_1_655736_688329,30S ribosomal protein S12 methylthiotransferase RimO
BSR22_03590,RS50_1_655736_688329,cytochrome b6
BSR22_03595,RS50_1_655736_688329,DUF4346 domain-containing protein
BSR22_03600,RS50_1_655736_688329,peptidogalycan biosysnthesis protein
BSR22_03605,RS50_1_655736_688329,dihydrofolate reductase family protein
BSR22_03610,RS50_1_655736_688329,6-pyruvoyl trahydropterin synthase family protein
BSR22_03615,RS50_1_655736_688329,shikimate kinase
BSR22_03620,RS50_1_655736_688329,chlororespiratory reduction protein 7
BSR22_03625,RS50_1_655736_688329,DUF6816 family protein
BSR22_03630,RS50_1_655736_688329,glutathione S-transferase family protein
BSR22_03635,RS50_1_655736_688329,DUF751 family protein
BSR22_03640,RS50_1_655736_688329,30S ribosome-binding factor RbfA
BSR22_03645,RS50_1_655736_688329,uroporphyrinogen-III synthase
BSR22_03650,RS50_1_655736_688329,SRPBCC family protein
BSR22_03655,RS50_1_655736_688329,"9,9'-di-cis-zeta-carotene desaturase"
BSR22_03660,RS50_1_655736_688329,HesB/IscA family protein
BSR22_03665,RS50_1_655736_688329,tetratricopeptide repeat protein
BSR22_RS09495,RS50_1_655736_688329,hypothetical protein
BSR22_04030,RS50_1_749246_773951,arginine--tRNA ligase
BSR22_04035,RS50_1_749246_773951,carboxylating nicotinate-nucleotide diphosphorylase
BSR22_04040,RS50_1_749246_773951,tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE
BSR22_04045,RS50_1_749246_773951,DUF2062 domain-containing protein
BSR22_04050,RS50_1_749246_773951,RelA/SpoT family protein
BSR22_04055,RS50_1_749246_773951,ABC transporter ATP-binding protein
BSR22_04060,RS50_1_749246_773951,RluA family pseudouridine synthase
BSR22_04065,RS50_1_749246_773951,ribosome biogenesis GTPase YlqF
BSR22_04070,RS50_1_749246_773951,phosphoglycerate kinase
BSR22_04075,RS50_1_749246_773951,hypothetical protein
BSR22_04080,RS50_1_749246_773951,UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
BSR22_04085,RS50_1_749246_773951,pyridoxal phosphate-dependent aminotransferase
BSR22_04090,RS50_1_749246_773951,quinone-dependent dihydroorotate dehydrogenase
BSR22_04095,RS50_1_749246_773951,ribonuclease HI
BSR22_04100,RS50_1_749246_773951,50S ribosomal protein L7/L12
BSR22_04105,RS50_1_749246_773951,50S ribosomal protein L10
BSR22_04110,RS50_1_749246_773951,50S ribosomal protein L1
BSR22_04115,RS50_1_749246_773951,50S ribosomal protein L11
BSR22_04120,RS50_1_749246_773951,transcription termination/antitermination protein NusG
BSR22_04125,RS50_1_749246_773951,preprotein translocase subunit SecE
BSR22_04130,RS50_1_749246_773951,ATP-dependent Clp protease ATP-binding subunit
BSR22_04135,RS50_1_749246_773951,phosphopyruvate hydratase
BSR22_04635,RS50_1_861667_881350,UvrD-helicase domain-containing protein
BSR22_04640,RS50_1_861667_881350,hypothetical protein
BSR22_04645,RS50_1_861667_881350,R-phycoerythrin subunit beta
BSR22_04650,RS50_1_861667_881350,phycobiliprotein lyase
BSR22_04655,RS50_1_861667_881350,hypothetical protein
BSR22_04660,RS50_1_861667_881350,TVP38/TMEM64 family protein
BSR22_04665,RS50_1_861667_881350,hypothetical protein
BSR22_04670,RS50_1_861667_881350,tetratricopeptide repeat protein
BSR22_04680,RS50_1_861667_881350,FGGY-family carbohydrate kinase
BSR22_04685,RS50_1_861667_881350,methionine adenosyltransferase
BSR22_04690,RS50_1_861667_881350,30S ribosomal protein S1
BSR22_04695,RS50_1_861667_881350,transcriptional regulator NrdR
