GID,SYMBOL,KID,KO,PRODUCT,uniprot_acc,uniprot_def,ec_num,start_pos,pos,length
PMT9312_0018,PMT9312_0018,pmi:PMT9312_0018,,hypothetical protein,Q31DG6,Hypothetical protein.,,20211,20211..20441,76
PMT9312_0019,engC,pmi:PMT9312_0019,K06949,GTPase EngC,Q31DG5,GTPase EngC.,3.6.1.-,20431,20431..21348,305
PMT9312_0020,PMT9312_0020,pmi:PMT9312_0020,K09747,hypothetical protein,Q31DG4,Hypothetical protein.,,21314,complement(21314..21664),116
PMT9312_0021,PMT9312_0021,pmi:PMT9312_0021,K00075,UDP-N-acetylenolpyruvoylglucosamine reductase,Q31DG3,UDP-N-acetylenolpyruvoylglucosamine reductase (EC 1.1.1.158).,1.1.1.158,21682,complement(21682..22575),297
PMT9312_0022,PMT9312_0022,pmi:PMT9312_0022,K01924,UDP-N-acetylmuramate--alanine ligase,Q31DG2,UDP-N-acetylmuramate--alanine ligase.,6.3.2.8,22584,complement(22584..23993),469
PMT9312_0023,gap2,pmi:PMT9312_0023,K00150,"glyceraldehyde-3-phosphate dehydrogenase, type I",Q31DG1,"Glyceraldehyde-3-phosphate dehydrogenase, type I (EC 1.2.1.12).",1.2.1.59,24187,24187..25209,340
PMT9312_0024,PMT9312_0024,pmi:PMT9312_0024,K00946,thiamine-phosphate kinase,Q31DG0,Thiamine-phosphate kinase (EC 2.7.4.16).,2.7.4.16,25210,complement(25210..26196),328
PMT9312_0025,PMT9312_0025,pmi:PMT9312_0025,K01802,cyclophilin-type peptidyl-prolyl cis-trans isomerase,Q31DF9,Cyclophilin-type peptidyl-prolyl cis-trans isomerase.,5.2.1.8,26189,complement(26189..27280),363
PMT9312_0026,PMT9312_0026,pmi:PMT9312_0026,K02356,translation elongation factor P,Q31DF8,Translation elongation factor P.,,27324,27324..27884,186
PMT9312_0027,accB,pmi:PMT9312_0027,K02160,"acetyl-CoA carboxylase, biotin carboxyl carrier protein",Q31DF7,"Acetyl-CoA carboxylase, biotin carboxyl carrier protein.",,27884,27884..28387,167
PMT9312_0028,PMT9312_0028,pmi:PMT9312_0028,K00097,4-hydroxythreonine-4-phosphate dehydrogenase,Q31DF6,4-hydroxythreonine-4-phosphate dehydrogenase (EC 1.1.1.262).,1.1.1.262,28364,complement(28364..29395),343
PMT9312_0029,PMT9312_0029,pmi:PMT9312_0029,,hypothetical protein,Q31DF5,Hypothetical protein.,,29419,complement(29419..30297),292
PMT9312_0030,PMT9312_0030,pmi:PMT9312_0030,,transcription factor TFIID (or TatA-b)-like,Q31DF4,Transcription factor TFIID (Or TatA-b)-like.,,30330,30330..30560,76
PMT9312_0031,PMT9312_0031,pmi:PMT9312_0031,,HNH nuclease,Q31DF3,HNH nuclease.,,30561,complement(30561..30962),133
PMT9312_0032,PMT9312_0032,pmi:PMT9312_0032,,type II secretion system protein-like,Q31DF2,Type II secretion system protein-like precursor.,,31106,complement(31106..31516),136
PMT9312_0033,PMT9312_0033,pmi:PMT9312_0033,K07120,hypothetical protein,Q31DF1,Hypothetical protein.,,31573,complement(31573..32085),170
PMT9312_0034,PMT9312_0034,pmi:PMT9312_0034,,hypothetical protein,Q31DF0,Hypothetical protein.,,32220,32220..32417,65
PMT9312_0035,PMT9312_0035,pmi:PMT9312_0035,K00828,serine--glyoxylate transaminase,Q31DE9,Serine--glyoxylate transaminase (EC 2.6.1.45).,2.6.1.45,32419,complement(32419..33582),387
PMT9312_0036,cbiD,pmi:PMT9312_0036,K02188,cobalamin biosynthesis protein CbiD,Q31DE8,Cobalamin biosynthesis protein CbiD.,,33667,33667..34755,362
PMT9312_0037,PMT9312_0037,pmi:PMT9312_0037,K01951,GMP synthase,Q31DE7,(EC 6.3.5.2) (Glutamine amidotransferase) (GMP synthetase).,6.3.5.2,34810,34810..36396,528
PMT9312_0038,PMT9312_0038,pmi:PMT9312_0038,,TPR repeat,Q31DE6,TPR repeat.,,36581,complement(36581..38065),494
PMT9312_0039,PMT9312_0039,pmi:PMT9312_0039,,hypothetical protein,Q31DE5,Hypothetical protein.,,38344,38344..39057,237
PMT9312_0040,PMT9312_0040,pmi:PMT9312_0040,,hypothetical protein,Q31DE4,Hypothetical protein.,,39139,39139..39747,202
PMT9312_0041,PMT9312_0041,pmi:PMT9312_0041,K05515,peptidoglycan glycosyltransferase,Q31DE3,Peptidoglycan glycosyltransferase precursor (EC 2.4.1.129).,,40011,40011..41801,596
PMT9312_0042,PMT9312_0042,pmi:PMT9312_0042,,reductase-like,Q31DE2,Reductase-like.,,41824,complement(41824..42348),174
PMT9312_0043,PMT9312_0043,pmi:PMT9312_0043,,flavoprotein,Q31DE1,Flavoprotein.,,42366,complement(42366..44147),593
PMT9312_0044,PMT9312_0044,pmi:PMT9312_0044,,flavoprotein,Q31DE0,Flavoprotein.,,44164,complement(44164..45939),591
PMT9312_0045,PMT9312_0045,pmi:PMT9312_0045,K01872,alanyl-tRNA synthetase,Q31DD9,Alanyl-tRNA synthetase (EC 6.1.1.7).,6.1.1.7,46058,46058..48718,886
PMT9312_0046,speA,pmi:PMT9312_0046,K01585,arginine decarboxylase,Q31DD8,Arginine decarboxylase.,4.1.1.19,48703,complement(48703..50649),648
PMT9312_0047,PMT9312_0047,pmi:PMT9312_0047,K00940,nucleoside-diphosphate kinase,Q31DD7,Nucleoside diphosphate kinase (EC 2.7.4.6) (NDK) (NDP kinase) (Nucleoside-2-P kinase).,2.7.4.6,50772,50772..51230,152
PMT9312_0048,PMT9312_0048,pmi:PMT9312_0048,K03153,putative thiamine biosynthesis oxidoreductase,Q31DD6,Putative thiamine biosynthesis oxidoreductase.,1.4.3.19,51234,complement(51234..52343),369
PMT9312_0049,PMT9312_0049,pmi:PMT9312_0049,K02434,"glutamyl-tRNA(Gln) amidotransferase, B subunit",Q31DD5,Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B (EC 6.3.5.-) (Asp/Glu-ADT subunit B).,6.3.5.6 6.3.5.7,52423,52423..53895,490
PMT9312_0050,PMT9312_0050,pmi:PMT9312_0050,K00859,dephospho-CoA kinase,Q31DD4,Dephospho-CoA kinase (EC 2.7.1.24) (Dephosphocoenzyme A kinase).,2.7.1.24,53900,complement(53900..54517),205
PMT9312_0051,argJ,pmi:PMT9312_0051,K00620,arginine biosynthesis bifunctional protein ArgJ,Q31DD3,Arginine biosynthesis bifunctional protein ArgJ (EC 2.3.1.1).,2.3.1.1 2.3.1.35,54595,54595..55833,412
PMT9312_0052,PMT9312_0052,pmi:PMT9312_0052,K03496,hypothetical protein,Q31DD2,Hypothetical protein.,,56002,complement(56002..56667),221
PMT9312_0053,PMT9312_0053,pmi:PMT9312_0053,,aldo/keto reductase family,Q31DD1,Aldo/keto reductase family.,,56799,56799..57782,327
PMT9312_R0001,ssrA,pmi:PMT9312_R0001,,tmRNA,,,,58087,complement(58087..58337),
PMT9312_0054,PMT9312_0054,pmi:PMT9312_0054,K07444,putative RNA methylase family UPF0020,Q31DD0,Putative RNA methylase family UPF0020.,,58409,58409..59533,374
PMT9312_0055,PMT9312_0055,pmi:PMT9312_0055,,hypothetical protein,Q31DC9,Hypothetical protein.,,59535,complement(59535..59921),128
PMT9312_0056,PMT9312_0056,pmi:PMT9312_0056,,hypothetical protein,Q31DC8,Hypothetical protein.,,59923,complement(59923..60384),153
PMT9312_0057,PMT9312_0057,pmi:PMT9312_0057,,hypothetical protein,Q31DC7,Hypothetical protein.,,60573,60573..60710,45
PMT9312_0058,PMT9312_0058,pmi:PMT9312_0058,,hypothetical protein,Q31DC6,Hypothetical protein.,,60790,60790..61152,120
PMT9312_0059,PMT9312_0059,pmi:PMT9312_0059,K03529,chromosome segregation protein SMC,Q31DC5,Chromosome segregation protein SMC.,,61229,61229..64819,1196
PMT9312_0060,PMT9312_0060,pmi:PMT9312_0060,,hypothetical protein,Q31DC4,Hypothetical protein.,,64865,64865..65914,349
PMT9312_0061,PMT9312_0061,pmi:PMT9312_0061,,hypothetical protein,Q31DC3,Hypothetical protein.,,65918,complement(65918..67183),421
PMT9312_R0002,tRNA-Leu4,pmi:PMT9312_R0002,,tRNA-Leu,,,,67209,complement(67209..67290),
PMT9312_0062,accC,pmi:PMT9312_0062,K01946 K01961,"acetyl-CoA carboxylase, biotin carboxylase subunit",Q31DC2,"Acetyl-CoA carboxylase, biotin carboxylase.",6.3.4.14 6.4.1.2,67553,67553..68899,448
PMT9312_0063,PMT9312_0063,pmi:PMT9312_0063,,"YGGT family, conserved hypothetical integral membrane protein",Q31DC1,"YGGT family, conserved hypothetical integral membrane protein.",,68918,complement(68918..69232),104
PMT9312_0064,PMT9312_0064,pmi:PMT9312_0064,K02722,hypothetical protein,Q31DC0,Hypothetical protein.,,69314,69314..69499,61
PMT9312_0065,PMT9312_0065,pmi:PMT9312_0065,,hypothetical protein,Q31DB9,Hypothetical protein.,,69580,69580..70506,308
PMT9312_0066,PMT9312_0066,pmi:PMT9312_0066,,high light inducible protein-like,Q31DB8,High light inducible protein-like.,,70507,complement(70507..70782),91
PMT9312_0067,PMT9312_0067,pmi:PMT9312_0067,K02471,ATPase,Q31DB7,ATPase.,,70791,complement(70791..72773),660
PMT9312_0068,PMT9312_0068,pmi:PMT9312_0068,,hypothetical protein,Q31DB6,Hypothetical protein.,,72816,complement(72816..73094),92
PMT9312_0069,PMT9312_0069,pmi:PMT9312_0069,,HIT (histidine triad) family protein,Q31DB5,HIT (Histidine triad) family protein.,,73142,complement(73142..73483),113
PMT9312_0070,PMT9312_0070,pmi:PMT9312_0070,K01462,formylmethionine deformylase,Q31DB4,Peptide deformylase (Polypeptide deformylase).,3.5.1.88,73488,complement(73488..74093),201
PMT9312_0071,PMT9312_0071,pmi:PMT9312_0071,,esterase/lipase/thioesterase family active site,Q31DB3,Esterase/lipase/thioesterase family active site.,,74175,74175..76100,641
PMT9312_0072,PMT9312_0072,pmi:PMT9312_0072,K11717,"cysteine desulfurases, SufS subfamily",Q31DB2,"Cysteine desulfurases, SufS subfamily.",2.8.1.7 4.4.1.16,76097,complement(76097..77350),417
PMT9312_0073,PMT9312_0073,pmi:PMT9312_0073,K07033,"ABC transporter, membrane component",Q31DB1,"ABC transporter, membrane component.",,77350,complement(77350..78567),405
PMT9312_0074,sufC,pmi:PMT9312_0074,K09013,FeS assembly ATPase SufC,Q31DB0,FeS assembly ATPase SufC.,,78569,complement(78569..79354),261
PMT9312_0075,sufB,pmi:PMT9312_0075,K09014,FeS assembly protein SufB,Q31DA9,FeS assembly protein SufB.,,79376,complement(79376..80818),480
PMT9312_0076,PMT9312_0076,pmi:PMT9312_0076,,hypothetical protein,Q31DA8,Hypothetical protein.,,80915,80915..81268,117
PMT9312_0077,PMT9312_0077,pmi:PMT9312_0077,K09942,hypothetical protein,Q31DA7,Hypothetical protein.,,81539,81539..82639,366
PMT9312_0078,PMT9312_0078,pmi:PMT9312_0078,,membrane protein,Q31DA6,Membrane protein.,,82652,82652..82822,56
PMT9312_0079,PMT9312_0079,pmi:PMT9312_0079,K01835,phosphoglucomutase,Q31DA5,Phosphoglucomutase.,5.4.2.2,82855,82855..84492,545
PMT9312_0080,PMT9312_0080,pmi:PMT9312_0080,K07478,ATPase,Q31DA4,ATPase.,,84525,84525..85814,429
PMT9312_0081,PMT9312_0081,pmi:PMT9312_0081,,4'-phosphopantetheinyl transferase family protein-like,Q31DA3,4'-phosphopantetheinyl transferase family protein-like.,,85811,complement(85811..86467),218
PMT9312_0082,PMT9312_0082,pmi:PMT9312_0082,K03564,putative bacterioferritin comigratory (BCP) protein,Q31DA2,Putative bacterioferritin comigratory (BCP) protein.,1.11.1.15,86467,86467..86934,155
PMT9312_0083,PMT9312_0083,pmi:PMT9312_0083,K03525,"putative transcriptional acitvator, Baf",Q31DA1,"Putative transcriptional acitvator, Baf.",2.7.1.33,86938,complement(86938..87621),227
PMT9312_0084,PMT9312_0084,pmi:PMT9312_0084,K00390,phosphoadenosine phosphosulfate reductase,Q31DA0,Phosphoadenosine phosphosulfate reductase (EC 1.8.4.8).,1.8.4.8,87637,complement(87637..88362),241
PMT9312_0085,PMT9312_0085,pmi:PMT9312_0085,K03885,"putative NADH dehydrogenase, transport associated",Q31D99,"Putative NADH dehydrogenase, transport associated.",1.6.99.3,88437,88437..89651,404
PMT9312_0086,PMT9312_0086,pmi:PMT9312_0086,,"putative sodium/sulfate transporter, DASS family",Q31D98,"Putative sodium/sulfate transporter, DASS family.",,89701,89701..91509,602
PMT9312_0087,PMT9312_0087,pmi:PMT9312_0087,,"sodium transporter, trk family-like",Q31D97,"Sodium transporter, trk family-like precursor.",,91515,91515..92918,467
PMT9312_0088,PMT9312_0088,pmi:PMT9312_0088,K03499,"putative potassium channel, VIC family",Q31D96,"Putative potassium channel, VIC family.",,92937,92937..93641,234
PMT9312_0089,PMT9312_0089,pmi:PMT9312_0089,,hypothetical protein,Q31D95,Hypothetical protein.,,93648,complement(93648..93950),100
PMT9312_0090,PMT9312_0090,pmi:PMT9312_0090,,hypothetical protein,Q31D94,Hypothetical protein.,,94076,94076..94414,112
PMT9312_0091,PMT9312_0091,pmi:PMT9312_0091,,hypothetical protein,Q31D93,Hypothetical protein.,,94450,94450..94680,76
PMT9312_0092,PMT9312_0092,pmi:PMT9312_0092,,hypothetical protein,Q31D92,Hypothetical protein.,,94658,complement(94658..94834),58
PMT9312_0093,PMT9312_0093,pmi:PMT9312_0093,K06158,ATPase,Q31D91,ATPase.,,94907,94907..96517,536
PMT9312_0094,PMT9312_0094,pmi:PMT9312_0094,,PDZ/DHR/GLGF,Q31D90,PDZ/DHR/GLGF precursor.,,96830,complement(96830..97951),373
PMT9312_0095,PMT9312_0095,pmi:PMT9312_0095,,hypothetical protein,Q31D89,Hypothetical protein.,,98127,98127..98390,87
PMT9312_0096,PMT9312_0096,pmi:PMT9312_0096,,hypothetical protein,Q31D88,Hypothetical protein.,,98490,98490..98801,103
PMT9312_0097,PMT9312_0097,pmi:PMT9312_0097,,high light inducible protein-like,Q31D87,High light inducible protein-like.,,98867,98867..99013,48
PMT9312_0098,PMT9312_0098,pmi:PMT9312_0098,,hypothetical protein,Q31D86,Hypothetical protein.,,99018,complement(99018..99317),99
PMT9312_0099,PMT9312_0099,pmi:PMT9312_0099,K07058,serum resistance locus BrkB-like,Q31D85,Serum resistance locus BrkB-like.,,99319,complement(99319..100239),306
PMT9312_0100,PMT9312_0100,pmi:PMT9312_0100,K01092,inositol monophosphate family protein,Q31D84,Inositol monophosphate family protein.,3.1.3.25,100329,complement(100329..101129),266
PMT9312_0101,PMT9312_0101,pmi:PMT9312_0101,,RND family outer membrane efflux protein-like,Q31D83,RND family outer membrane efflux protein-like precursor.,,101126,complement(101126..102559),477
PMT9312_0102,PMT9312_0102,pmi:PMT9312_0102,,Fe-S oxidoreductase-like,Q31D82,Fe-S oxidoreductase-like precursor.,,102552,complement(102552..103964),470
PMT9312_0103,PMT9312_0103,pmi:PMT9312_0103,,hypothetical protein,Q31D81,Hypothetical protein.,,104182,104182..104919,245
PMT9312_0104,PMT9312_0104,pmi:PMT9312_0104,K00278,L-aspartate oxidase,Q31D80,L-aspartate oxidase (EC 1.4.3.16).,1.4.3.16,104919,104919..106586,555
PMT9312_0105,PMT9312_0105,pmi:PMT9312_0105,,thioredoxin domain 2,Q31D79,Thioredoxin domain 2.,,106576,complement(106576..107511),311
PMT9312_0106,PMT9312_0106,pmi:PMT9312_0106,,protein of unknown function UPF0004,Q31D78,Hypothetical protein.,,107562,107562..108977,471
PMT9312_0106a,petL,pmi:PMT9312_0106a,,cytochrome b6f complex subunit PetL,,,,108983,complement(108983..109075),30
PMT9312_0107,PMT9312_0107,pmi:PMT9312_0107,,hypothetical protein,Q31D77,Hypothetical protein.,,109140,complement(109140..109526),128
PMT9312_0108,PMT9312_0108,pmi:PMT9312_0108,K09919,hypothetical protein,Q31D76,Hypothetical protein.,,109588,complement(109588..110742),384
PMT9312_0109,PMT9312_0109,pmi:PMT9312_0109,K00082,RibD/RibG-like,Q31D75,RibD/ribG-like.,1.1.1.193,110760,complement(110760..111410),216
PMT9312_0110,PMT9312_0110,pmi:PMT9312_0110,K01737,6-pyruvoyl tetrahydropterin synthase,Q31D74,6-pyruvoyl tetrahydropterin synthase.,4.2.3.12,111407,complement(111407..112333),308
PMT9312_0111,PMT9312_0111,pmi:PMT9312_0111,K00891,shikimate kinase,Q31D73,Shikimate kinase (EC 2.7.1.71).,2.7.1.71,112384,112384..112941,185
PMT9312_1809,PMT9312_1809,pmi:PMT9312_1809,,hypothetical protein,Q31D72,Hypothetical protein precursor.,,112938,complement(112938..113195),85
PMT9312_0112,PMT9312_0112,pmi:PMT9312_0112,,POLO box duplicated region-like,Q31D71,POLO box duplicated region-like precursor.,,113194,113194..113904,236
PMT9312_0113,PMT9312_0113,pmi:PMT9312_0113,K00799,putative glutathione S-transferase,Q31D70,Putative glutathione S-transferase.,2.5.1.18,113891,complement(113891..114616),241
PMT9312_0114,PMT9312_0114,pmi:PMT9312_0114,,hypothetical protein,Q31D69,Hypothetical protein.,,114671,114671..114880,69
PMT9312_0115,PMT9312_0115,pmi:PMT9312_0115,K02834,ribosome-binding factor A,Q31D68,Ribosome-binding factor A.,,114880,114880..115272,130
PMT9312_0116,PMT9312_0116,pmi:PMT9312_0116,K01719,putative uroporphyrinogen III synthase,Q31D67,Putative uroporphyrinogen III synthase.,4.2.1.75,115259,115259..116056,265
PMT9312_0117,PMT9312_0117,pmi:PMT9312_0117,,hypothetical protein,Q31D66,Hypothetical protein.,,116049,complement(116049..116519),156
PMT9312_0118,PMT9312_0118,pmi:PMT9312_0118,K00514,"carotene 7,8-desaturase",Q31D65,"Carotene 7,8-desaturase precursor (EC 1.14.99.30).",1.14.99.30,116523,complement(116523..118022),499
PMT9312_0119,PMT9312_0119,pmi:PMT9312_0119,,HesB/YadR/YfhF,Q31D64,HesB/YadR/YfhF.,,118078,118078..118470,130
PMT9312_0120,PMT9312_0120,pmi:PMT9312_0120,,hypothetical protein,Q31D63,Hypothetical protein.,,118477,118477..118905,142
PMT9312_0121,PMT9312_0121,pmi:PMT9312_0121,,hypothetical protein,Q31D62,Hypothetical protein.,,118907,118907..120118,403
PMT9312_0122,PMT9312_0122,pmi:PMT9312_0122,,hypothetical protein,Q31D61,Hypothetical protein.,,120090,120090..120371,93
PMT9312_0123,PMT9312_0123,pmi:PMT9312_0123,K07071,hypothetical protein,Q31D60,Hypothetical protein.,,120322,complement(120322..121248),308
PMT9312_0124,PMT9312_0124,pmi:PMT9312_0124,,hypothetical protein,Q31D59,Hypothetical protein.,,121385,121385..121621,78
PMT9312_0125,PMT9312_0125,pmi:PMT9312_0125,K03686,heat shock protein DnaJ-like,Q31D58,Heat shock protein DnaJ-like.,,121632,complement(121632..122309),225
PMT9312_0126,PMT9312_0126,pmi:PMT9312_0126,K01738,cysteine synthase A,Q31D57,Cysteine synthase A.,2.5.1.47,122326,complement(122326..123294),322
PMT9312_0127,PMT9312_0127,pmi:PMT9312_0127,,hypothetical protein,Q31D56,UPF0367 protein PMT9312_0127.,,123446,123446..123718,90
PMT9312_0128,PMT9312_0128,pmi:PMT9312_0128,K02006,ATPase,Q31D55,ATPase.,,123727,123727..124401,224
PMT9312_R0003,tRNA-Asn1,pmi:PMT9312_R0003,,tRNA-Asn,,,,124451,124451..124522,
PMT9312_0129,PMT9312_0129,pmi:PMT9312_0129,,signal peptide binding domain-like,Q31D54,Signal peptide binding domain-like.,,125109,complement(125109..125468),119
PMT9312_0130,"rre31, crr31, rpaA",pmi:PMT9312_0130,K10697,two-component response regulator (OmpR subfamily),Q31D53,"Two component transcriptional regulator, winged helix family.",,125872,125872..126654,260
PMT9312_0131,PMT9312_0131,pmi:PMT9312_0131,K02341,"DNA polymerase III, delta prime subunit",Q31D52,"DNA polymerase III, delta prime subunit.",2.7.7.7,126658,complement(126658..127617),319
PMT9312_0132,PMT9312_0132,pmi:PMT9312_0132,K00943,thymidylate kinase,Q31D51,Thymidylate kinase (EC 2.7.4.9).,2.7.4.9,127614,complement(127614..128252),212
PMT9312_0133,PMT9312_0133,pmi:PMT9312_0133,,heavy metal translocating P-type ATPase,Q31D50,Heavy metal translocating P-type ATPase.,,128253,complement(128253..130559),768
PMT9312_0134,PMT9312_0134,pmi:PMT9312_0134,,TPR repeat,Q31D49,TPR repeat.,,130669,130669..131190,173
PMT9312_0135,radA,pmi:PMT9312_0135,K04485,DNA repair protein RadA,Q31D48,DNA repair protein RadA.,,131196,complement(131196..132545),449
PMT9312_0136,PMT9312_0136,pmi:PMT9312_0136,K11329,"two component transcriptional regulator, winged helix family",Q31D47,"Two component transcriptional regulator, winged helix family.",,132653,132653..133399,248
PMT9312_0137,plsX,pmi:PMT9312_0137,K03621,fatty acid/phospholipid synthesis protein PlsX,Q31D46,Fatty acid/phospholipid synthesis protein PlsX precursor.,2.3.1.15,133400,133400..134818,472
PMT9312_0138,PMT9312_0138,pmi:PMT9312_0138,K00648,3-oxoacyl-(acyl-carrier-protein) synthase III,Q31D45,3-oxoacyl-(Acyl-carrier-protein) synthase III (EC 2.3.1.41).,2.3.1.180,134874,134874..135881,335
PMT9312_0139,PMT9312_0139,pmi:PMT9312_0139,K00645,malonyl CoA-acyl carrier protein transacylase,Q31D44,Malonyl CoA-acyl carrier protein transacylase.,2.3.1.39,135900,135900..136796,298
PMT9312_0140,PMT9312_0140,pmi:PMT9312_0140,K00655,1-acyl-sn-glycerol-3-phosphate acyltransferases,Q31D43,1-acyl-sn-glycerol-3-phosphate acyltransferases.,2.3.1.51,136802,136802..137422,206
PMT9312_0141,PMT9312_0141,pmi:PMT9312_0141,,hypothetical protein,Q31D42,Hypothetical protein.,,137427,complement(137427..138080),217
PMT9312_0142,PMT9312_0142,pmi:PMT9312_0142,,putative Ycf34,Q31D41,Putative Ycf34.,,138090,complement(138090..138341),83
PMT9312_0143,PMT9312_0143,pmi:PMT9312_0143,,poly A polymerase family,Q31D40,Poly A polymerase family.,,138356,138356..139576,406
PMT9312_0144,PMT9312_0144,pmi:PMT9312_0144,,RNA-binding region RNP-1,Q31D39,RNA-binding region RNP-1.,,139636,139636..140055,139
PMT9312_0145,PMT9312_0145,pmi:PMT9312_0145,K02291,squalene and phytoene synthases,Q31D38,Squalene and phytoene synthases.,2.5.1.32,140056,complement(140056..140964),302
PMT9312_0146,PMT9312_0146,pmi:PMT9312_0146,K02293,"carotene 7,8-desaturase",Q31D37,"Carotene 7,8-desaturase (EC 1.14.99.30).",1.14.99.-,141002,complement(141002..142399),465
PMT9312_0147,PMT9312_0147,pmi:PMT9312_0147,K05584,NADH dehydrogenase I subunit M,Q31D36,NADH dehydrogenase I subunit M.,1.6.5.3,142490,142490..142837,115
PMT9312_0148,PMT9312_0148,pmi:PMT9312_0148,,hypothetical protein,Q31D35,Hypothetical protein.,,142909,142909..143460,183
PMT9312_0149,PMT9312_0149,pmi:PMT9312_0149,,putative rubisco transcriptional regulator,Q31D34,Putative rubisco transcriptional regulator.,,143451,complement(143451..144410),319
PMT9312_0150,PMT9312_0150,pmi:PMT9312_0150,,hypothetical protein,Q31D33,Hypothetical protein precursor.,,144493,144493..145221,242
PMT9312_0151,ndhF1,pmi:PMT9312_0151,K05577,"proton-translocating NADH-quinone oxidoreductase, chain L",Q31D32,"Proton-translocating NADH-quinone oxidoreductase, chain L (EC 1.6.99.5).",1.6.5.3,145257,145257..147278,673
PMT9312_0152,ndhD1,pmi:PMT9312_0152,K05575,"proton-translocating NADH-quinone oxidoreductase, chain M",Q31D31,"Proton-translocating NADH-quinone oxidoreductase, chain M (EC 1.6.99.5).",1.6.5.3,147400,147400..149004,534
PMT9312_0153,PMT9312_0153,pmi:PMT9312_0153,K05896,hypothetical protein,Q31D30,Hypothetical protein.,,149128,149128..149949,273
PMT9312_0154,PMT9312_0154,pmi:PMT9312_0154,K00966,putative sugar-phosphate nucleotidyl transferase,Q31D29,Putative sugar-phosphate nucleotidyl transferase.,2.7.7.13,149998,149998..151176,392
PMT9312_0155,PMT9312_0155,pmi:PMT9312_0155,,hypothetical protein,Q31D28,Methylenetetrahydrofolate reductase.,,151160,complement(151160..152050),296
PMT9312_0156,PMT9312_0156,pmi:PMT9312_0156,,"transcriptional regulator, LuxR family",Q31D27,"Transcriptional regulator, LuxR family.",,152128,152128..152406,92
PMT9312_0157,PMT9312_0157,pmi:PMT9312_0157,,hypothetical protein,Q31D26,Hypothetical protein.,,152620,complement(152620..153117),165
