species,symbol,product,logFC,PValue
EZ55,EZ55_02790,uncharacterized protein DUF2491,-1.559706913,2.23E-11
EZ55,EZ55_02633,hypothetical protein,-1.545975353,0.000441067
EZ55,EZ55_03057,hypothetical protein,-1.544650568,7.96E-05
EZ55,EZ55_03445,hypothetical protein,-1.506583815,3.62E-12
EZ55,EZ55_00384,hypothetical protein,-1.494231658,1.82E-07
EZ55,EZ55_03401,hypothetical protein,-1.476051087,3.70E-06
EZ55,EZ55_02314,membrane protein YqaA with SNARE-associated,-1.468718289,3.13E-06
EZ55,EZ55_02313,sulfoxide reductase heme-binding subunit YedZ,-1.455688019,0.003999538
EZ55,EZ55_02789,voltage-gated potassium channel,-1.455679597,6.43E-10
EZ55,EZ55_00463,glycerol 3-phosphate dehydrogenase (NAD(P)+),-1.440189134,1.00E-05
EZ55,EZ55_03864,NADPH-dependent ferric siderophore reductase,-1.435836863,2.07E-08
EZ55,EZ55_03400,phage shock protein A (PspA) family protein,-1.433193703,6.47E-06
EZ55,EZ55_00879,uncharacterized protein DUF3718,-1.40082129,1.12E-06
EZ55,EZ55_02791,putative membrane protein,-1.392654693,1.06E-10
EZ55,EZ55_01268,uncharacterized protein DUF3379,-1.385370668,0.00097103
EZ55,EZ55_03797,hypothetical protein,-1.381811629,1.24E-06
EZ55,EZ55_03943,peptidase M23-like protein,-1.376466965,0.000184435
EZ55,EZ55_02567,uncharacterized protein DUF3592,-1.374958474,4.21E-05
EZ55,EZ55_00751,transposase,-1.35719166,3.51E-07
EZ55,EZ55_04245,hypothetical protein,-1.345755853,8.22E-05
EZ55,EZ55_03448,hypothetical protein,-1.343625271,0.00276004
EZ55,EZ55_02981,glutamine--fructose-6-phosphate transaminase,-1.332500103,0.000158831
EZ55,EZ55_00871,DNA-binding MarR family transcriptional,-1.324000522,1.34E-05
EZ55,EZ55_03695,hypothetical protein,-1.320153242,1.23E-05
EZ55,EZ55_02906,hypothetical protein,-1.314299162,0.010112766
EZ55,EZ55_01826,outer membrane receptor protein involved in Fe,-1.312913755,0.003751613
EZ55,EZ55_01495,molecular chaperone IbpA,-1.309578506,1.68E-07
EZ55,EZ55_00440,argininosuccinate lyase,-1.295731563,0.000731021
EZ55,EZ55_02983,hexosaminidase,-1.282662078,0.000202452
EZ55,EZ55_01891,nitroreductase,-1.273153725,8.53E-05
EZ55,EZ55_03048,cell division-specific peptidoglycan biosynthesis,-1.271630661,0.00340183
EZ55,EZ55_03449,hypothetical protein,-1.263266689,0.002490187
EZ55,EZ55_01830,putative thiamine transport system permease,-1.248208314,0.000763167
EZ55,EZ55_03696,hypothetical protein,-1.237938061,3.27E-05
EZ55,EZ55_01508,alkylhydroperoxidase family enzyme,-1.220874899,0.000838689
EZ55,EZ55_00439,N-acetylglutamate synthase,-1.216787155,0.000353415
EZ55,EZ55_02490,hypothetical protein,-1.214122292,2.02E-05
EZ55,EZ55_04152,hypothetical protein,-1.202667334,0.001050325
EZ55,EZ55_03049,UDP-N-acetylmuramoylalanine--D-glutamate ligase,-1.200489621,0.002496267
EZ55,EZ55_03050,phospho-N-acetylmuramoyl-pentapeptide-transferase,-1.199391629,0.000193742
EZ55,EZ55_02610,phosphoribosyl-ATP pyrophosphatase,-1.198970737,0.001650433
EZ55,EZ55_02312,sulfoxide reductase catalytic subunit YedY,-1.185639331,0.015494139
EZ55,EZ55_02788,phage shock protein A (PspA) family protein,-1.185512095,0.000805725
EZ55,EZ55_02936,hypothetical protein,-1.181973124,0.008269017
EZ55,EZ55_04157,hypothetical protein,-1.180216165,0.000580754
EZ55,EZ55_02980,N-acetylglucosamine 6-phosphate deacetylase,-1.174617663,0.000200682
EZ55,EZ55_01933,mechanosensitive ion channel-like protein,-1.166312078,1.79E-13
EZ55,EZ55_02298,D-alanine transaminase,-1.153440446,9.80E-05
EZ55,EZ55_03691,ABC-2 type transport system ATP-binding protein,-1.150964694,2.46E-11
EZ55,EZ55_01630,putative colanic acid biosynthesis UDP-glucose,-1.148454592,4.70E-07
EZ55,EZ55_00462,hypothetical protein,-1.144649245,0.007628242
EZ55,EZ55_03942,thiol:disulfide interchange protein DsbD,-1.139661121,0.001158723
EZ55,EZ55_03167,2-methylaconitate cis-trans isomerase,-1.139192482,0.015806808
EZ55,EZ55_02878,hypothetical protein,-1.136652408,7.60E-05
EZ55,EZ55_01059,flagellin,-1.127569549,1.08E-08
EZ55,EZ55_01509,transposase,-1.120171933,1.75E-07
EZ55,EZ55_03939,chaperonin GroES,-1.11494987,4.06E-06
EZ55,EZ55_02792,uncharacterized protein YgiB involved in biofilm,-1.106941539,2.97E-08
EZ55,EZ55_04260,4-oxalocrotonate tautomerase,-1.102585385,0.000763048
EZ55,EZ55_00172,serine O-acetyltransferase,-1.096061025,0.000138393
EZ55,EZ55_04239,hypothetical protein,-1.093175345,3.70E-08
EZ55,EZ55_03630,NADPH-glutathione reductase,-1.087265693,0.001304488
EZ55,EZ55_02877,choline dehydrogenase,-1.076257824,0.000445973
EZ55,EZ55_02984,iron complex outermembrane receptor protein,-1.073056979,0.006672866
EZ55,EZ55_02982,glucosamine kinase,-1.071628603,0.000680978
EZ55,EZ55_02904,carboxymethylenebutenolidase,-1.071191498,8.45E-05
EZ55,EZ55_01192,uncharacterized membrane protein YkgB,-1.069542981,0.023899248
EZ55,EZ55_02441,TonB-dependent receptor,-1.06799776,0.007636924
EZ55,EZ55_01931,glutamate 5-kinase,-1.067327933,0.001935933
EZ55,EZ55_04084,DUF3014 family protein,-1.065084134,6.36E-07
EZ55,EZ55_04153,outer membrane protein TolC,-1.056396912,0.006003522
EZ55,EZ55_00441,argininosuccinate synthase,-1.054706294,0.007660935
EZ55,EZ55_03954,amidase,-1.051941119,3.36E-09
EZ55,EZ55_04257,acetaldehyde dehydrogenase,-1.045015224,0.001062426
EZ55,EZ55_01892,uncharacterized protein DUF2797,-1.041048117,1.22E-07
EZ55,EZ55_04258,4-hydroxy-2-oxovalerate aldolase,-1.039899238,0.001346235
EZ55,EZ55_03653,HslV component of HslUV peptidase,-1.037728474,0.000168706
EZ55,EZ55_03008,hypothetical protein,-1.032442667,0.00349116
EZ55,EZ55_03051,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alani,-1.024035148,0.000180057
EZ55,EZ55_04241,putative transposase,-1.023371949,5.05E-07
EZ55,EZ55_03096,peptide-methionine (S)-S-oxide reductase,-1.023147279,0.028547705
EZ55,EZ55_01929,DNA topoisomerase-1,-1.022794052,1.10E-08
EZ55,EZ55_00913,outer membrane protein with beta-barrel domain,-1.019863715,0.001321803
EZ55,EZ55_00431,GST-like protein,-1.015346356,3.34E-05
EZ55,EZ55_00800,magnesium transporter,-1.014942759,4.34E-05
EZ55,EZ55_04256,2-oxopent-4-enoate/cis-2-oxohex-4-enoate,-1.013009189,0.002121797
EZ55,EZ55_02793,glutathionylspermidine synthase,-1.00140721,4.41E-06
EZ55,EZ55_02279,NAD(P)-dependent dehydrogenase (short-subunit,1.04201158,0.002920919
EZ55,EZ55_01198,fatty acid desaturase,1.042798644,1.95E-05
EZ55,EZ55_03647,hypothetical protein,1.071123128,0.000161371
EZ55,EZ55_01225,iron complex outermembrane receptor protein,1.339202752,0.001216998
EZ55,EZ55_03462,sterol desaturase/sphingolipid hydroxylase (fatty,1.43860926,0.003268911
EZ55,EZ55_03879,cytochrome b561,1.670462841,1.03E-05
EZ55,EZ55_02865,alpha-glucosidase,2.035046915,1.55E-07
EZ55,EZ55_03749,maltogenic amylase-like enzyme,2.135761895,3.55E-05
EZ55,EZ55_01991,putative glutathione S-transferase,2.149597533,1.09E-08
EZ55,EZ55_02501,sucrose phosphorylase,2.478832386,3.87E-06
EZ55,EZ55_02269,FMN-dependent NADH-azoreductase,2.55150313,3.93E-07
EZ55,EZ55_02855,outer membrane receptor protein involved in Fe,2.642916698,7.34E-06
EZ55,EZ55_02158,hypothetical protein,2.653532263,3.78E-09
EZ55,EZ55_02165,putative oxidoreductase,2.810948577,1.46E-05
EZ55,EZ55_03747,fucose permease,2.812841687,1.81E-07
EZ55,EZ55_03748,amylosucrase,3.172924642,1.77E-08
