symbol,product,logFC,PValue,locus_tag
EZ55_00443,N-acetylglutamate kinase,1.033547918,0.025071618,EZ55_00443
EZ55_01559,starch phosphorylase,1.045286093,0.002319494,EZ55_01559
EZ55_03057,hypothetical protein,1.063174737,0.017051406,EZ55_03057
EZ55_00442,ornithine carbamoyltransferase,1.06871267,0.023763454,EZ55_00442
EZ55_01932,glutamate-5-semialdehyde dehydrogenase,1.080671401,0.013230913,EZ55_01932
EZ55_03892,glutamine--fructose-6-phosphate transaminase,1.101195416,0.000704363,EZ55_03892
EZ55_00444,N-acetyl-gamma-glutamyl-phosphate reductase,1.120735921,0.006107212,EZ55_00444
EZ55_00525,uncharacterized 5xTM membrane YitT family,1.122236854,0.000953552,EZ55_00525
EZ55_03398,hypothetical protein,1.143024208,0.001687554,EZ55_03398
EZ55_02878,hypothetical protein,1.15240725,0.00070939,EZ55_02878
EZ55_00687,hypothetical protein,1.162491087,0.000970783,
EZ55_04113,F-type H+-transporting ATPase subunit alpha,1.202445826,0.002823165,EZ55_04113
EZ55_01815,alkyl hydroperoxide reductase subunit F,1.212380425,0.019543476,EZ55_01815
EZ55_02877,choline dehydrogenase,1.237162153,0.00052395,EZ55_02877
EZ55_00204,UDPglucose--hexose-1-phosphate,1.240734125,0.002808975,EZ55_00204
EZ55_00292,glycosyltransferase involved in cell wall,1.242674707,0.001220364,EZ55_00292
EZ55_04112,ATP synthase F1 subcomplex gamma subunit,1.293459002,0.003396123,EZ55_04112
EZ55_00788,DNA-binding response OmpR family regulator,1.381839391,0.000245742,EZ55_00788
EZ55_00416,uncharacterized protein (TIGR02001 family),1.39158238,0.002474897,EZ55_00416
EZ55_00782,SNARE associated Golgi protein,1.440059192,0.002911579,EZ55_00782
EZ55_01738,hypothetical protein,1.497648552,0.012084189,EZ55_01738
EZ55_00390,nitrogen regulatory protein P-II family,1.537124781,0.012573365,EZ55_00390
EZ55_00783,glycosyltransferase involved in cell wall,1.576091705,0.004582643,EZ55_00783
EZ55_00391,ammonium transporter,1.592647949,0.000996129,EZ55_00391
EZ55_00780,thermostable hemolysin,1.637194437,0.003292473,EZ55_00780
EZ55_02876,betaine aldehyde dehydrogenase,1.886127593,0.000231983,EZ55_02876
EZ55_00205,galactokinase,2.603944474,3.75e-08,EZ55_00205
EZ55_02884,hypothetical protein,2.625899071,3.14e-07,EZ55_02884
