cyanorak_locus_tag,locus_tag
ProMIT1327_00146,PMIT1327_00146
ProMIT1327_00148,PMIT1327_00148
ProMIT1327_00149,PMIT1327_00149
ProMIT1327_00150,PMIT1327_00150
ProMIT1327_00151,PMIT1327_00151
ProMIT1327_00152,PMIT1327_00152
ProMIT1327_00153,PMIT1327_00153
ProMIT1327_00155,PMIT1327_00155
ProMIT1327_00156,PMIT1327_00156
ProMIT1327_00157,PMIT1327_00157
ProMIT1327_00158,PMIT1327_00158
ProMIT1327_00159,PMIT1327_00159
ProMIT1327_00160,PMIT1327_00160
ProMIT1327_00161,PMIT1327_00161
ProMIT1327_00162,PMIT1327_00162
ProMIT1327_00164,PMIT1327_00164
ProMIT1327_00165,PMIT1327_00165
ProMIT1327_00166,PMIT1327_00166
ProMIT1327_00167,PMIT1327_00167
ProMIT1327_00168,PMIT1327_00168
ProMIT1327_00169,PMIT1327_00169
ProMIT1327_00170,PMIT1327_00170
ProMIT1327_00171,PMIT1327_00171
ProMIT1327_00172,PMIT1327_00172
ProMIT1327_00173,PMIT1327_00173
ProMIT1327_00174,PMIT1327_00174
ProMIT1327_00175,PMIT1327_00175
ProMIT1327_00176,PMIT1327_00176
ProMIT1327_00177,PMIT1327_00177
ProMIT1327_00178,PMIT1327_00178
ProMIT1327_00179,PMIT1327_00179
ProMIT1327_00180,PMIT1327_00180
ProMIT1327_00181,PMIT1327_00181
ProMIT1327_00182,PMIT1327_00182
ProMIT1327_00183,PMIT1327_00183
ProMIT1327_00184,PMIT1327_00184
ProMIT1327_00185,PMIT1327_00185
ProMIT1327_00186,PMIT1327_00186
ProMIT1327_00187,PMIT1327_00187
ProMIT1327_00188,PMIT1327_00188
ProMIT1327_00189,PMIT1327_00189
ProMIT1327_00190,PMIT1327_00190
ProMIT1327_00192,PMIT1327_00192
ProMIT1327_00193,PMIT1327_00193
ProMIT1327_00194,PMIT1327_00194
ProMIT1327_00195,PMIT1327_00195
ProMIT1327_00196,PMIT1327_00196
ProMIT1327_00197,PMIT1327_RS00875
ProMIT1327_00198,PMIT1327_00198
ProMIT1327_00199,PMIT1327_00199
ProMIT1327_00200,PMIT1327_00200
ProMIT1327_00201,PMIT1327_00201
ProMIT1327_00202,PMIT1327_00202
ProMIT1327_00203,PMIT1327_00203
ProMIT1327_00204,PMIT1327_00204
ProMIT1327_00205,PMIT1327_00205
ProMIT1327_00206,PMIT1327_00206
ProMIT1327_00207,PMIT1327_00207
ProMIT1327_00208,PMIT1327_00208
ProMIT1327_00209,PMIT1327_00209
ProMIT1327_00210,PMIT1327_00210
ProMIT1327_00211,PMIT1327_00211
ProMIT1327_00212,PMIT1327_00212
ProMIT1327_00213,PMIT1327_00213
ProMIT1327_00214,PMIT1327_00214
ProMIT1327_00215,PMIT1327_00215
ProMIT1327_00216,PMIT1327_00216
ProMIT1327_00217,PMIT1327_00217
ProMIT1327_00218,PMIT1327_00218
ProMIT1327_00219,PMIT1327_00219
ProMIT1327_00220,PMIT1327_00220
ProMIT1327_00221,PMIT1327_00221
ProMIT1327_00222,PMIT1327_00222
ProMIT1327_00223,PMIT1327_00223
ProMIT1327_00224,PMIT1327_00224
ProMIT1327_00225,PMIT1327_00225
ProMIT1327_00226,PMIT1327_00226
ProMIT1327_00227,PMIT1327_00227
ProMIT1327_00228,PMIT1327_00228
ProMIT1327_00229,PMIT1327_00229
ProMIT1327_00230,PMIT1327_00230
ProMIT1327_00232,PMIT1327_00232
ProMIT1327_00233,PMIT1327_00233
ProMIT1327_00234,PMIT1327_00234
ProMIT1327_00235,PMIT1327_00235
ProMIT1327_00236,PMIT1327_00236
ProMIT1327_00237,PMIT1327_00237
ProMIT1327_00238,PMIT1327_00238
ProMIT1327_00239,PMIT1327_00239
ProMIT1327_00240,PMIT1327_00240
ProMIT1327_00241,PMIT1327_00241
ProMIT1327_00242,PMIT1327_00242
ProMIT1327_00243,PMIT1327_00243
ProMIT1327_00244,PMIT1327_00244
ProMIT1327_00245,PMIT1327_00245
ProMIT1327_00246,PMIT1327_00246
ProMIT1327_00247,PMIT1327_00247
ProMIT1327_00248,PMIT1327_00248
ProMIT1327_00249,PMIT1327_00249
ProMIT1327_00250,PMIT1327_00250
ProMIT1327_00251,PMIT1327_00251
ProMIT1327_00252,PMIT1327_00252
ProMIT1327_00253,PMIT1327_00253
ProMIT1327_00254,PMIT1327_00254
ProMIT1327_00255,PMIT1327_00255
ProMIT1327_00256,PMIT1327_00256
ProMIT1327_00257,PMIT1327_00257
ProMIT1327_00258,PMIT1327_00258
ProMIT1327_00259,PMIT1327_00259
ProMIT1327_00260,PMIT1327_00260
ProMIT1327_00261,PMIT1327_00261
ProMIT1327_00262,PMIT1327_00262
ProMIT1327_00264,PMIT1327_00264
ProMIT1327_00265,PMIT1327_00265
ProMIT1327_00266,PMIT1327_00266
ProMIT1327_00267,PMIT1327_00267
ProMIT1327_00268,PMIT1327_00268
ProMIT1327_00269,PMIT1327_00269
ProMIT1327_00270,PMIT1327_00270
ProMIT1327_00272,PMIT1327_00272
ProMIT1327_00274,PMIT1327_00274
ProMIT1327_00276,PMIT1327_00276
ProMIT1327_00277,PMIT1327_00277
ProMIT1327_00278,PMIT1327_00278
ProMIT1327_00279,PMIT1327_00279
ProMIT1327_00280,PMIT1327_00280
ProMIT1327_00282,PMIT1327_00282
ProMIT1327_00283,PMIT1327_00283
ProMIT1327_00284,PMIT1327_00284
ProMIT1327_00285,PMIT1327_00285
ProMIT1327_00286,PMIT1327_00286
ProMIT1327_00287,PMIT1327_00287
ProMIT1327_00288,PMIT1327_00288
ProMIT1327_00289,PMIT1327_00289
ProMIT1327_00290,PMIT1327_00290
ProMIT1327_00291,PMIT1327_00291
ProMIT1327_00292,PMIT1327_00292
ProMIT1327_00293,PMIT1327_00293
ProMIT1327_00294,PMIT1327_00294
ProMIT1327_00295,PMIT1327_00295
ProMIT1327_00296,PMIT1327_00296
ProMIT1327_00297,PMIT1327_00297
ProMIT1327_00298,PMIT1327_00298
ProMIT1327_00299,PMIT1327_RS13050
ProMIT1327_00300,PMIT1327_00300
ProMIT1327_00301,PMIT1327_00301
ProMIT1327_00302,PMIT1327_00302
ProMIT1327_00303,PMIT1327_00303
ProMIT1327_00304,PMIT1327_RS13055
ProMIT1327_00306,PMIT1327_00306
ProMIT1327_00307,PMIT1327_00307
ProMIT1327_00309,PMIT1327_00309
ProMIT1327_00310,PMIT1327_00310
ProMIT1327_00311,PMIT1327_00311
ProMIT1327_00313,PMIT1327_00313
ProMIT1327_00314,PMIT1327_00314
ProMIT1327_00315,PMIT1327_00315
ProMIT1327_00316,PMIT1327_00316
ProMIT1327_00318,PMIT1327_00318
ProMIT1327_00319,PMIT1327_00319
ProMIT1327_00320,PMIT1327_00320
ProMIT1327_00321,PMIT1327_00321
ProMIT1327_00323,PMIT1327_00323
ProMIT1327_00325,PMIT1327_00325
ProMIT1327_00326,PMIT1327_00326
ProMIT1327_00327,PMIT1327_00327
ProMIT1327_00329,PMIT1327_00329
ProMIT1327_00330,PMIT1327_00330
ProMIT1327_00331,PMIT1327_00331
ProMIT1327_00332,PMIT1327_00332
ProMIT1327_00333,PMIT1327_00333
ProMIT1327_00334,PMIT1327_00334
ProMIT1327_00335,PMIT1327_00335
ProMIT1327_00336,PMIT1327_00336
ProMIT1327_00337,PMIT1327_00337
ProMIT1327_00338,PMIT1327_00338
ProMIT1327_00339,PMIT1327_00339
ProMIT1327_00340,PMIT1327_00340
ProMIT1327_00341,PMIT1327_00341
ProMIT1327_00342,PMIT1327_00342
ProMIT1327_00343,PMIT1327_00343
ProMIT1327_00345,PMIT1327_00345
ProMIT1327_00346,PMIT1327_00346
ProMIT1327_00347,PMIT1327_00347
ProMIT1327_00348,PMIT1327_00348
ProMIT1327_00349,PMIT1327_00349
ProMIT1327_00350,PMIT1327_00350
ProMIT1327_00351,PMIT1327_00351
ProMIT1327_00352,PMIT1327_00352
ProMIT1327_00353,PMIT1327_00353
ProMIT1327_00354,PMIT1327_00354
ProMIT1327_00357,PMIT1327_00357
ProMIT1327_00358,PMIT1327_00358
ProMIT1327_00359,PMIT1327_00359
ProMIT1327_00361,PMIT1327_00361
ProMIT1327_00362,PMIT1327_00362
ProMIT1327_00363,PMIT1327_00363
ProMIT1327_00364,PMIT1327_00364
ProMIT1327_00365,PMIT1327_00365
ProMIT1327_00367,PMIT1327_00367
ProMIT1327_00368,PMIT1327_00368
ProMIT1327_00369,PMIT1327_00369
ProMIT1327_00370,PMIT1327_00370
ProMIT1327_00371,PMIT1327_00371
ProMIT1327_00374,PMIT1327_00374
ProMIT1327_00375,PMIT1327_00375
ProMIT1327_00376,PMIT1327_00376
ProMIT1327_00377,PMIT1327_00377
ProMIT1327_00379,PMIT1327_00379
ProMIT1327_00380,PMIT1327_00380
ProMIT1327_00381,PMIT1327_00381
ProMIT1327_00382,PMIT1327_00382
ProMIT1327_00383,PMIT1327_00383
ProMIT1327_00384,PMIT1327_00384
ProMIT1327_00386,PMIT1327_00386
ProMIT1327_00388,PMIT1327_00388
ProMIT1327_00389,PMIT1327_00389
ProMIT1327_00390,PMIT1327_00390
ProMIT1327_00391,PMIT1327_00391
ProMIT1327_00392,PMIT1327_00392
ProMIT1327_00394,PMIT1327_00394
ProMIT1327_00395,PMIT1327_00395
ProMIT1327_00396,PMIT1327_00396
ProMIT1327_00397,PMIT1327_00397
ProMIT1327_00399,PMIT1327_00399
ProMIT1327_00401,PMIT1327_00401
ProMIT1327_00402,PMIT1327_00402
ProMIT1327_00403,PMIT1327_00403
ProMIT1327_00404,PMIT1327_00404
ProMIT1327_00405,PMIT1327_00405
ProMIT1327_00406,PMIT1327_00406
ProMIT1327_00407,PMIT1327_00407
ProMIT1327_00408,PMIT1327_00408
ProMIT1327_00410,PMIT1327_00410
ProMIT1327_00411,PMIT1327_00411
ProMIT1327_00412,PMIT1327_00412
ProMIT1327_00413,PMIT1327_00413
ProMIT1327_00414,PMIT1327_00414
ProMIT1327_00415,PMIT1327_00415
ProMIT1327_00417,PMIT1327_00417
ProMIT1327_00418,PMIT1327_00418
ProMIT1327_00419,PMIT1327_00419
ProMIT1327_00420,PMIT1327_00420
ProMIT1327_00421,PMIT1327_00421
ProMIT1327_00422,PMIT1327_00422
ProMIT1327_00423,PMIT1327_00423
ProMIT1327_00424,PMIT1327_00424
ProMIT1327_00425,PMIT1327_00425
ProMIT1327_00426,PMIT1327_00426
ProMIT1327_00427,PMIT1327_00427
ProMIT1327_00428,PMIT1327_00428
ProMIT1327_00429,PMIT1327_00429
ProMIT1327_00430,PMIT1327_00430
ProMIT1327_00431,PMIT1327_00431
ProMIT1327_00432,PMIT1327_00432
ProMIT1327_00433,PMIT1327_00433
ProMIT1327_00435,PMIT1327_00435
ProMIT1327_00436,PMIT1327_00436
ProMIT1327_00437,PMIT1327_00437
ProMIT1327_00438,PMIT1327_00438
ProMIT1327_00439,PMIT1327_00439
ProMIT1327_00442,PMIT1327_00442
ProMIT1327_00443,PMIT1327_00443
ProMIT1327_00447,PMIT1327_00447
ProMIT1327_00448,PMIT1327_00448
ProMIT1327_00449,PMIT1327_00449
ProMIT1327_00451,PMIT1327_00451
ProMIT1327_00452,PMIT1327_00452
ProMIT1327_00453,PMIT1327_00453
ProMIT1327_00454,PMIT1327_00454
ProMIT1327_00455,PMIT1327_00455
ProMIT1327_00456,PMIT1327_00456
ProMIT1327_00457,PMIT1327_00457
ProMIT1327_00458,PMIT1327_00458
ProMIT1327_00459,PMIT1327_00459
ProMIT1327_00461,PMIT1327_00461
ProMIT1327_00462,PMIT1327_00462
ProMIT1327_00463,PMIT1327_00463
ProMIT1327_00464,PMIT1327_00464
ProMIT1327_00466,PMIT1327_00466
ProMIT1327_00467,PMIT1327_00467
ProMIT1327_00468,PMIT1327_00468
ProMIT1327_00470,PMIT1327_00470
ProMIT1327_00471,PMIT1327_00471
ProMIT1327_00472,PMIT1327_00472
ProMIT1327_00474,PMIT1327_00474
ProMIT1327_00475,PMIT1327_00475
ProMIT1327_00476,PMIT1327_00476
ProMIT1327_00477,PMIT1327_00477
ProMIT1327_00479,PMIT1327_00479
ProMIT1327_00480,PMIT1327_00480
ProMIT1327_00484,PMIT1327_00484
ProMIT1327_00485,PMIT1327_00485
ProMIT1327_00487,PMIT1327_00487
ProMIT1327_00488,PMIT1327_00488
ProMIT1327_00489,PMIT1327_00489
ProMIT1327_00491,PMIT1327_00491
ProMIT1327_00494,PMIT1327_00494
ProMIT1327_00495,PMIT1327_00495
ProMIT1327_00496,PMIT1327_00496
ProMIT1327_00497,PMIT1327_00497
ProMIT1327_00498,PMIT1327_00498
ProMIT1327_00499,PMIT1327_00499
ProMIT1327_00501,PMIT1327_00501
ProMIT1327_00503,PMIT1327_00503
ProMIT1327_00504,PMIT1327_00504
ProMIT1327_00505,PMIT1327_00505
ProMIT1327_00506,PMIT1327_00506
ProMIT1327_00508,PMIT1327_00508
ProMIT1327_00509,PMIT1327_00509
ProMIT1327_00510,PMIT1327_00510
ProMIT1327_00512,PMIT1327_00512
ProMIT1327_00513,PMIT1327_00513
ProMIT1327_00515,PMIT1327_00515
ProMIT1327_00516,PMIT1327_00516
ProMIT1327_00518,PMIT1327_00518
ProMIT1327_00519,PMIT1327_00519
ProMIT1327_00520,PMIT1327_00520
ProMIT1327_00521,PMIT1327_00521
ProMIT1327_00522,PMIT1327_00522
ProMIT1327_00523,PMIT1327_00523
ProMIT1327_00524,PMIT1327_00524
ProMIT1327_00526,PMIT1327_00526
ProMIT1327_00527,PMIT1327_00527
ProMIT1327_00528,PMIT1327_00528
ProMIT1327_00529,PMIT1327_00529
ProMIT1327_00530,PMIT1327_00530
ProMIT1327_00531,PMIT1327_00531
ProMIT1327_00533,PMIT1327_00533
ProMIT1327_00534,PMIT1327_00534
ProMIT1327_00538,PMIT1327_00538
ProMIT1327_00539,PMIT1327_00539
ProMIT1327_00540,PMIT1327_00540
ProMIT1327_00541,PMIT1327_00541
ProMIT1327_00542,PMIT1327_00542
ProMIT1327_00543,PMIT1327_00543
ProMIT1327_00544,PMIT1327_00544
ProMIT1327_00545,PMIT1327_00545
ProMIT1327_00546,PMIT1327_00546
ProMIT1327_00547,PMIT1327_00547
ProMIT1327_00548,PMIT1327_00548
ProMIT1327_00549,PMIT1327_00549
ProMIT1327_00550,PMIT1327_00550
ProMIT1327_00551,PMIT1327_00551
ProMIT1327_00553,PMIT1327_00553
ProMIT1327_00554,PMIT1327_00554
ProMIT1327_00555,PMIT1327_00555
ProMIT1327_00556,PMIT1327_00556
ProMIT1327_00557,PMIT1327_00557
ProMIT1327_00558,PMIT1327_00558
ProMIT1327_00559,PMIT1327_00559
ProMIT1327_00560,PMIT1327_00560
ProMIT1327_00561,PMIT1327_00561
ProMIT1327_00562,PMIT1327_00562
ProMIT1327_00563,PMIT1327_00563
ProMIT1327_00564,PMIT1327_00564
ProMIT1327_00565,PMIT1327_00565
ProMIT1327_00567,PMIT1327_00567
ProMIT1327_00571,PMIT1327_00571
ProMIT1327_00572,PMIT1327_00572
ProMIT1327_00573,PMIT1327_00573
ProMIT1327_00574,PMIT1327_00574
ProMIT1327_00575,PMIT1327_00575
ProMIT1327_00576,PMIT1327_00576
ProMIT1327_00577,PMIT1327_00577
ProMIT1327_00578,PMIT1327_00578
ProMIT1327_00579,PMIT1327_00579
ProMIT1327_00580,PMIT1327_00580
ProMIT1327_00581,PMIT1327_00581
ProMIT1327_00583,PMIT1327_00583
ProMIT1327_00584,PMIT1327_00584
ProMIT1327_00585,PMIT1327_00585
ProMIT1327_00586,PMIT1327_00586
ProMIT1327_00587,PMIT1327_00587
ProMIT1327_00588,PMIT1327_00588
ProMIT1327_00591,PMIT1327_00591
ProMIT1327_00592,PMIT1327_00592
ProMIT1327_00593,PMIT1327_00593
ProMIT1327_00594,PMIT1327_00594
ProMIT1327_00595,PMIT1327_00595
ProMIT1327_00596,PMIT1327_00596
ProMIT1327_00597,PMIT1327_00597
ProMIT1327_00600,PMIT1327_00600
ProMIT1327_00601,PMIT1327_00601
ProMIT1327_00602,PMIT1327_00602
ProMIT1327_00603,PMIT1327_00603
ProMIT1327_00604,PMIT1327_00604
ProMIT1327_00605,PMIT1327_00605
ProMIT1327_00606,PMIT1327_00606
ProMIT1327_00607,PMIT1327_00607
ProMIT1327_00608,PMIT1327_00608
ProMIT1327_00609,PMIT1327_00609
ProMIT1327_00610,PMIT1327_00610
ProMIT1327_00611,PMIT1327_00611
ProMIT1327_00612,PMIT1327_00612
ProMIT1327_00613,PMIT1327_00613
ProMIT1327_00615,PMIT1327_00615
ProMIT1327_00617,PMIT1327_00617
ProMIT1327_00618,PMIT1327_00618
ProMIT1327_00620,PMIT1327_00620
ProMIT1327_00621,PMIT1327_00621
ProMIT1327_00622,PMIT1327_00622
ProMIT1327_00623,PMIT1327_00623
ProMIT1327_00624,PMIT1327_00624
ProMIT1327_00625,PMIT1327_00625
ProMIT1327_00626,PMIT1327_00626
ProMIT1327_00627,PMIT1327_00627
ProMIT1327_00629,PMIT1327_00629
ProMIT1327_00630,PMIT1327_00630
ProMIT1327_00631,PMIT1327_00631
ProMIT1327_00632,PMIT1327_00632
ProMIT1327_00634,PMIT1327_00634
ProMIT1327_00635,PMIT1327_00635
ProMIT1327_00636,PMIT1327_00636
ProMIT1327_00637,PMIT1327_00637
ProMIT1327_00638,PMIT1327_00638
ProMIT1327_00639,PMIT1327_00639
ProMIT1327_00640,PMIT1327_00640
ProMIT1327_00641,PMIT1327_00641
ProMIT1327_00642,PMIT1327_00642
ProMIT1327_00643,PMIT1327_00643
ProMIT1327_00644,PMIT1327_00644
ProMIT1327_00645,PMIT1327_00645
ProMIT1327_00646,PMIT1327_00646
ProMIT1327_00647,PMIT1327_00647
ProMIT1327_00648,PMIT1327_00648
ProMIT1327_00649,PMIT1327_00649
ProMIT1327_00650,PMIT1327_00650
ProMIT1327_00651,PMIT1327_00651
ProMIT1327_00652,PMIT1327_00652
ProMIT1327_00653,PMIT1327_00653
ProMIT1327_00654,PMIT1327_00654
ProMIT1327_00655,PMIT1327_00655
ProMIT1327_00658,PMIT1327_00658
ProMIT1327_00659,PMIT1327_00659
ProMIT1327_00660,PMIT1327_00660
ProMIT1327_00661,PMIT1327_00661
ProMIT1327_00662,PMIT1327_00662
ProMIT1327_00663,PMIT1327_00663
ProMIT1327_00664,PMIT1327_00664
ProMIT1327_00665,PMIT1327_00665
ProMIT1327_00666,PMIT1327_00666
ProMIT1327_00667,PMIT1327_00667
ProMIT1327_00668,PMIT1327_00668
ProMIT1327_00669,PMIT1327_00669
ProMIT1327_00670,PMIT1327_00670
ProMIT1327_00671,PMIT1327_00668
ProMIT1327_00672,PMIT1327_00672
ProMIT1327_00673,PMIT1327_00673
ProMIT1327_00674,PMIT1327_00674
ProMIT1327_00675,PMIT1327_00675
ProMIT1327_00676,PMIT1327_00676
ProMIT1327_00677,PMIT1327_00677
ProMIT1327_00678,PMIT1327_00678
ProMIT1327_00679,PMIT1327_00679
ProMIT1327_00680,PMIT1327_00680
ProMIT1327_00681,PMIT1327_00681
ProMIT1327_00682,PMIT1327_00682
ProMIT1327_00683,PMIT1327_00683
ProMIT1327_00684,PMIT1327_00684
ProMIT1327_00685,PMIT1327_00685
ProMIT1327_00686,PMIT1327_00686
ProMIT1327_00687,PMIT1327_00687
ProMIT1327_00688,PMIT1327_00688
ProMIT1327_00689,PMIT1327_00689
ProMIT1327_00690,PMIT1327_00690
ProMIT1327_00691,PMIT1327_00691
ProMIT1327_00692,PMIT1327_00692
ProMIT1327_00693,PMIT1327_00693
ProMIT1327_00694,PMIT1327_00694
ProMIT1327_00695,PMIT1327_00695
ProMIT1327_00697,PMIT1327_00697
ProMIT1327_00698,PMIT1327_00698
ProMIT1327_00699,PMIT1327_00699
ProMIT1327_00700,PMIT1327_00700
ProMIT1327_00701,PMIT1327_00701
ProMIT1327_00702,PMIT1327_00702
ProMIT1327_00703,PMIT1327_00703
ProMIT1327_00704,PMIT1327_00704
ProMIT1327_00705,PMIT1327_00705
ProMIT1327_00706,PMIT1327_00706
ProMIT1327_00707,PMIT1327_00707
ProMIT1327_00708,PMIT1327_00708
ProMIT1327_00709,PMIT1327_00709
ProMIT1327_00710,PMIT1327_00710
ProMIT1327_00711,PMIT1327_00711
ProMIT1327_00712,PMIT1327_00712
ProMIT1327_00713,PMIT1327_00713
ProMIT1327_00714,PMIT1327_00714
ProMIT1327_00715,PMIT1327_00715
ProMIT1327_00716,PMIT1327_00716
ProMIT1327_00717,PMIT1327_00717
ProMIT1327_00718,PMIT1327_00718
ProMIT1327_00719,PMIT1327_00719
ProMIT1327_00720,PMIT1327_00720
ProMIT1327_00721,PMIT1327_00721
ProMIT1327_00722,PMIT1327_00722
ProMIT1327_00723,PMIT1327_00723
ProMIT1327_00724,PMIT1327_00724
ProMIT1327_00725,PMIT1327_00725
ProMIT1327_00726,PMIT1327_00726
ProMIT1327_00727,PMIT1327_00727
ProMIT1327_00728,PMIT1327_00728
ProMIT1327_00729,PMIT1327_00729
ProMIT1327_00730,PMIT1327_00730
ProMIT1327_00731,PMIT1327_00731
ProMIT1327_00732,PMIT1327_00732
ProMIT1327_00734,PMIT1327_00734
ProMIT1327_00735,PMIT1327_00735
ProMIT1327_00736,PMIT1327_00736
ProMIT1327_00737,PMIT1327_00737
ProMIT1327_00738,PMIT1327_00738
ProMIT1327_00739,PMIT1327_00739
ProMIT1327_00741,PMIT1327_00741
ProMIT1327_00742,PMIT1327_00742
ProMIT1327_00743,PMIT1327_00743
ProMIT1327_00744,PMIT1327_00744
ProMIT1327_00745,PMIT1327_00745
ProMIT1327_00746,PMIT1327_00746
ProMIT1327_00747,PMIT1327_00747
ProMIT1327_00748,PMIT1327_00748
ProMIT1327_00749,PMIT1327_00749
ProMIT1327_00750,PMIT1327_00750
ProMIT1327_00751,PMIT1327_00751
ProMIT1327_00752,PMIT1327_00752
ProMIT1327_00753,PMIT1327_00753
ProMIT1327_00754,PMIT1327_00754
ProMIT1327_00755,PMIT1327_00755
ProMIT1327_00756,PMIT1327_00756
ProMIT1327_00759,PMIT1327_00759
ProMIT1327_00760,PMIT1327_00760
ProMIT1327_00762,PMIT1327_00762
ProMIT1327_00763,PMIT1327_00763
ProMIT1327_00765,PMIT1327_00765
ProMIT1327_00767,PMIT1327_00767
ProMIT1327_00768,PMIT1327_00768
ProMIT1327_00769,PMIT1327_00769
ProMIT1327_00770,PMIT1327_00770
ProMIT1327_00771,PMIT1327_00771
ProMIT1327_00772,PMIT1327_00772
ProMIT1327_00773,PMIT1327_00773
ProMIT1327_00775,PMIT1327_00775
ProMIT1327_00776,PMIT1327_00776
ProMIT1327_00777,PMIT1327_00777
ProMIT1327_00779,PMIT1327_00779
ProMIT1327_00780,PMIT1327_00780
ProMIT1327_00781,PMIT1327_00781
ProMIT1327_00782,PMIT1327_00782
ProMIT1327_00787,PMIT1327_00787
ProMIT1327_00790,PMIT1327_00790
ProMIT1327_00791,PMIT1327_00791
ProMIT1327_00793,PMIT1327_00793
ProMIT1327_00794,PMIT1327_00794
