seqid,gene_names,gene,locus_tag_ncbi,locus_tag,source,start,end,strand,Note,exception,inference,product,protein_id,Ontology_term,go_component,go_function,go_process,gene_synonym,old_locus_tags,ec_numbers
NC_008750.1,tusA,tusA,SPUTW3181_RS00065,Sputw3181_0011,Protein Homology,15435,15680,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011787433.1,sulfurtransferase TusA,WP_011787433.1,"GO:0002143,GO:0097163",,sulfur carrier activity|0097163||IEA,tRNA wobble position uridine thiolation|0002143||IEA,,Sputw3181_0011,2.8.1.-
NC_008750.1,fadA,fadA,SPUTW3181_RS00070,Sputw3181_0012,Protein Homology,15911,17074,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011070436.1,acetyl-CoA C-acyltransferase FadA,WP_011787434.1,"GO:0006631,GO:0003988",,acetyl-CoA C-acyltransferase activity|0003988||IEA,fatty acid metabolic process|0006631||IEA,,Sputw3181_0012,2.3.1.16
NC_008750.1,fadB,fadB,SPUTW3181_RS00075,Sputw3181_0013,Protein Homology,17097,19247,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014609503.1,fatty acid oxidation complex subunit alpha FadB,WP_011787435.1,"GO:0009062,GO:0003857,GO:0004165,GO:0004300,GO:0008692,GO:0036125",fatty acid beta-oxidation multienzyme complex|0036125||IEA,"3-hydroxyacyl-CoA dehydrogenase activity|0003857||IEA,delta(3)-delta(2)-enoyl-CoA isomerase activity|0004165||IEA,enoyl-CoA hydratase activity|0004300||IEA,3-hydroxybutyryl-CoA epimerase activity|0008692||IEA",fatty acid catabolic process|0009062||IEA,,Sputw3181_0013,
NC_008750.1,pepQ,pepQ,SPUTW3181_RS00080,Sputw3181_0014,Protein Homology,19738,21060,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011981995.1,Xaa-Pro dipeptidase,WP_011787436.1,,,,,,Sputw3181_0014,3.4.13.9
NC_008750.1,SPUTW3181_RS00085,,SPUTW3181_RS00085,Sputw3181_0015,Protein Homology,21088,21702,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011981996.1,YigZ family protein,WP_011787437.1,,,,,,Sputw3181_0015,
NC_008750.1,SPUTW3181_RS00090,,SPUTW3181_RS00090,Sputw3181_0016,Protein Homology,21780,23237,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_006084789.1,TrkH family potassium uptake protein,WP_011787438.1,"GO:0015379,GO:0016020",membrane|0016020||IEA,potassium:chloride symporter activity|0015379||IEA,,,Sputw3181_0016,
NC_008750.1,hemG,hemG,SPUTW3181_RS00095,Sputw3181_0017,Protein Homology,23240,23764,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014609506.1,menaquinone-dependent protoporphyrinogen IX dehydrogenase,WP_011787439.1,,,,,,Sputw3181_0017,1.3.5.3
NC_008750.1,SPUTW3181_RS00100,,SPUTW3181_RS00100,Sputw3181_0018,Protein Homology,23815,24123,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011787440.1,ArsR/SmtB family transcription factor,WP_011787440.1,"GO:0006355,GO:0003677,GO:0003700",,"DNA binding|0003677||IEA,DNA-binding transcription factor activity|0003700||IEA",regulation of DNA-templated transcription|0006355||IEA,,Sputw3181_0018,
NC_008750.1,hemG,hemG,SPUTW3181_RS00105,Sputw3181_0019,Protein Homology,24326,24880,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011787441.1,menaquinone-dependent protoporphyrinogen IX dehydrogenase,WP_011787441.1,,,,,,Sputw3181_0019,1.3.5.3
NC_008750.1,SPUTW3181_RS00110,,SPUTW3181_RS00110,Sputw3181_0020,Protein Homology,24920,26362,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011918268.1,TrkH family potassium uptake protein,WP_011787442.1,"GO:0030001,GO:0008324,GO:0015079",,"monoatomic cation transmembrane transporter activity|0008324||IEA,potassium ion transmembrane transporter activity|0015079||IEA",metal ion transport|0030001||IEA,,Sputw3181_0020,
NC_008750.1,trkA,trkA,SPUTW3181_RS00115,Sputw3181_0021,Protein Homology,26383,27792,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011494487.1,Trk system potassium transporter TrkA,WP_011787443.1,"GO:0006813,GO:0015079,GO:0016020",membrane|0016020||IEA,potassium ion transmembrane transporter activity|0015079||IEA,potassium ion transport|0006813||IEA,,Sputw3181_0021,
NC_008750.1,rsmB,rsmB,SPUTW3181_RS00120,Sputw3181_0022,Protein Homology,27808,29097,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011787444.1,16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB,WP_011787444.1,"GO:0001510,GO:0006355,GO:0006364,GO:0003723,GO:0008649",,"RNA binding|0003723||IEA,rRNA methyltransferase activity|0008649||IEA","RNA methylation|0001510||IEA,regulation of DNA-templated transcription|0006355||IEA,rRNA processing|0006364||IEA",,Sputw3181_0022,2.1.1.176
NC_008750.1,fmt,fmt,SPUTW3181_RS00125,Sputw3181_0023,Protein Homology,29100,30056,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011787445.1,methionyl-tRNA formyltransferase,WP_011787445.1,"GO:0071951,GO:0004479,GO:0005737",cytoplasm|0005737||IEA,methionyl-tRNA formyltransferase activity|0004479||IEA,conversion of methionyl-tRNA to N-formyl-methionyl-tRNA|0071951||IEA,,Sputw3181_0023,2.1.2.9
NC_008750.1,def,def,SPUTW3181_RS00130,Sputw3181_0024,Protein Homology,30066,30578,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_006084795.1,peptide deformylase,WP_011787446.1,"GO:0036211,GO:0042586",,peptide deformylase activity|0042586||IEA,protein modification process|0036211||IEA,,Sputw3181_0024,3.5.1.88
NC_008750.1,SPUTW3181_RS00135,,SPUTW3181_RS00135,Sputw3181_0025,Protein Homology,30704,31828,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012586344.1,LysM peptidoglycan-binding domain-containing protein,WP_011787447.1,GO:0097367,,carbohydrate derivative binding|0097367||IEA,,,Sputw3181_0025,
NC_008750.1,dprA,dprA,SPUTW3181_RS00140,Sputw3181_0026,Protein Homology,31913,32929,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012586345.1,DNA-processing protein DprA,WP_025008553.1,GO:0009294,,,DNA-mediated transformation|0009294||IEA,,Sputw3181_0026,
NC_008750.1,SPUTW3181_RS00145,,SPUTW3181_RS00145,Sputw3181_0027,Protein Homology,32932,33405,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011494493.1,DUF494 family protein,WP_006083793.1,,,,,,Sputw3181_0027,
NC_008750.1,SPUTW3181_RS00150,,SPUTW3181_RS00150,Sputw3181_0028,Protein Homology,33525,34088,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_006083792.1,type I DNA topoisomerase,WP_025008554.1,"GO:0006265,GO:0003677,GO:0003916,GO:0005694",chromosome|0005694||IEA,"DNA binding|0003677||IEA,DNA topoisomerase activity|0003916||IEA",DNA topological change|0006265||IEA,,Sputw3181_0028,5.6.2.1
NC_008750.1,SPUTW3181_RS00155,,SPUTW3181_RS00155,Sputw3181_0029,Protein Homology,34236,34802,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014609513.1,L-threonylcarbamoyladenylate synthase,WP_011787450.1,"GO:0006400,GO:0003725,GO:0061710",,"double-stranded RNA binding|0003725||IEA,L-threonylcarbamoyladenylate synthase|0061710||IEA",tRNA modification|0006400||IEA,,Sputw3181_0029,2.7.7.87
NC_008750.1,hemF,hemF,SPUTW3181_RS00160,Sputw3181_0030,Protein Homology,34828,35736,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011715331.1,oxygen-dependent coproporphyrinogen oxidase,WP_011787451.1,"GO:0006779,GO:0004109",,coproporphyrinogen oxidase activity|0004109||IEA,porphyrin-containing compound biosynthetic process|0006779||IEA,,Sputw3181_0030,1.3.3.3
NC_008750.1,SPUTW3181_RS00165,,SPUTW3181_RS00165,Sputw3181_0031,Protein Homology,35771,36208,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_006084801.1,group II truncated hemoglobin,WP_011787452.1,"GO:0005344,GO:0019825,GO:0020037,GO:0046872",,"oxygen carrier activity|0005344||IEA,oxygen binding|0019825||IEA,heme binding|0020037||IEA,metal ion binding|0046872||IEA",,,Sputw3181_0031,
NC_008750.1,aroE,aroE,SPUTW3181_RS00170,Sputw3181_0032,Protein Homology,36350,37198,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014609515.1,shikimate dehydrogenase,WP_011787453.1,"GO:0019632,GO:0004764",,shikimate 3-dehydrogenase (NADP+) activity|0004764||IEA,shikimate metabolic process|0019632||IEA,,Sputw3181_0032,1.1.1.25
NC_008750.1,SPUTW3181_RS00175,,SPUTW3181_RS00175,Sputw3181_0033,Protein Homology,37204,37479,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012586350.1,DUF1488 domain-containing protein,WP_011787454.1,,,,,,Sputw3181_0033,
NC_008750.1,SPUTW3181_RS00180,,SPUTW3181_RS00180,Sputw3181_0034,Protein Homology,37613,38161,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012586351.1,gamma carbonic anhydrase family protein,WP_011787455.1,GO:0046872,,metal ion binding|0046872||IEA,,,Sputw3181_0034,4.2.1.-
NC_008750.1,SPUTW3181_RS00200,,SPUTW3181_RS00200,Sputw3181_0035,Protein Homology,44067,46517,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012588965.1,EAL domain-containing protein,WP_011787456.1,,,,,,Sputw3181_0035,
NC_008750.1,SPUTW3181_RS00205,,SPUTW3181_RS00205,Sputw3181_0036,Protein Homology,46474,47457,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011787457.1,alpha/beta fold hydrolase,WP_011787457.1,,,,,,Sputw3181_0036,
NC_008750.1,SPUTW3181_RS00210,,SPUTW3181_RS00210,Sputw3181_0037,Protein Homology,47553,49364,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_006079355.1,DUF885 domain-containing protein,WP_011787458.1,,,,,,Sputw3181_0037,
NC_008750.1,add,add,SPUTW3181_RS00215,Sputw3181_0038,Protein Homology,49575,50570,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012588963.1,adenosine deaminase,WP_011787459.1,"GO:0009168,GO:0004000",,adenosine deaminase activity|0004000||IEA,purine ribonucleoside monophosphate biosynthetic process|0009168||IEA,,Sputw3181_0038,3.5.4.4
NC_008750.1,hemN,hemN,SPUTW3181_RS00220,Sputw3181_0039,Protein Homology,50667,52043,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_013049368.1,oxygen-independent coproporphyrinogen III oxidase,WP_082785939.1,"GO:0006779,GO:0004109,GO:0005737",cytoplasm|0005737||IEA,coproporphyrinogen oxidase activity|0004109||IEA,porphyrin-containing compound biosynthetic process|0006779||IEA,,Sputw3181_0039,1.3.98.3
NC_008750.1,SPUTW3181_RS00225,,SPUTW3181_RS00225,Sputw3181_0040,Protein Homology,52292,52759,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_006079358.1,DUF2489 domain-containing protein,WP_011787461.1,,,,,,Sputw3181_0040,
NC_008750.1,yihI,yihI,SPUTW3181_RS00230,Sputw3181_0041,Protein Homology,52829,53380,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011845367.1,Der GTPase-activating protein YihI,WP_011787462.1,,,,,,Sputw3181_0041,
NC_008750.1,SPUTW3181_RS00235,,SPUTW3181_RS00235,Sputw3181_0042,Protein Homology,53471,54109,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012588961.1,methyltransferase domain-containing protein,WP_011787463.1,,,,,,Sputw3181_0042,
NC_008750.1,SPUTW3181_RS00240,,SPUTW3181_RS00240,Sputw3181_0043,Protein Homology,54928,55551,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011920303.1,c-type cytochrome,WP_011787464.1,"GO:0009055,GO:0020037,GO:0046872",,"electron transfer activity|0009055||IEA,heme binding|0020037||IEA,metal ion binding|0046872||IEA",,,Sputw3181_0043,
NC_008750.1,yihA,yihA,SPUTW3181_RS00245,Sputw3181_0044,Protein Homology,55721,56380,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011787465.1,ribosome biogenesis GTP-binding protein YihA/YsxC,WP_011787465.1,"GO:0042254,GO:0003924,GO:0005525,GO:0043022,GO:0005737",cytoplasm|0005737||IEA,"GTPase activity|0003924||IEA,GTP binding|0005525||IEA,ribosome binding|0043022||IEA",ribosome biogenesis|0042254||IEA,,Sputw3181_0044,
NC_008750.1,polA,polA,SPUTW3181_RS00250,Sputw3181_0045,Protein Homology,57192,59960,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012588960.1,DNA polymerase I,WP_011787466.1,"GO:0006261,GO:0003676,GO:0003677,GO:0003887,GO:0008408",,"nucleic acid binding|0003676||IEA,DNA binding|0003677||IEA,DNA-directed DNA polymerase activity|0003887||IEA,3'-5' exonuclease activity|0008408||IEA",DNA-templated DNA replication|0006261||IEA,,Sputw3181_0045,2.7.7.7
NC_008750.1,elbB,elbB,SPUTW3181_RS00255,Sputw3181_0046,Protein Homology,60347,61009,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012090662.1,isoprenoid biosynthesis glyoxalase ElbB,WP_011787467.1,,,,,,Sputw3181_0046,4.2.1.-
NC_008750.1,glpG,glpG,SPUTW3181_RS00260,Sputw3181_0047,Protein Homology,61096,61941,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012090661.1,rhomboid family intramembrane serine protease GlpG,WP_011787468.1,"GO:0019538,GO:0004252,GO:0005886",plasma membrane|0005886||IEA,serine-type endopeptidase activity|0004252||IEA,protein metabolic process|0019538||IEA,,Sputw3181_0047,3.4.21.105
NC_008750.1,glpE,glpE,SPUTW3181_RS00265,Sputw3181_0048,Protein Homology,61938,62243,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011718813.1,thiosulfate sulfurtransferase GlpE,WP_006084745.1,GO:0004792,,thiosulfate sulfurtransferase activity|0004792||IEA,,,Sputw3181_0048,2.8.1.1
NC_008750.1,tdh,tdh,SPUTW3181_RS00270,Sputw3181_0049,Protein Homology,62354,63379,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_005120462.1,L-threonine 3-dehydrogenase,WP_011787469.1,"GO:0006567,GO:0008743",,L-threonine 3-dehydrogenase activity|0008743||IEA,threonine catabolic process|0006567||IEA,,Sputw3181_0049,1.1.1.103
NC_008750.1,SPUTW3181_RS00275,,SPUTW3181_RS00275,Sputw3181_0050,Protein Homology,63391,64584,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_006084744.1,glycine C-acetyltransferase,WP_011787470.1,"GO:0009058,GO:0008890,GO:0030170",,"glycine C-acetyltransferase activity|0008890||IEA,pyridoxal phosphate binding|0030170||IEA",biosynthetic process|0009058||IEA,,Sputw3181_0050,2.3.1.29
NC_008750.1,SPUTW3181_RS00280,,SPUTW3181_RS00280,Sputw3181_0051,Protein Homology,64872,65519,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_006079373.1,TetR/AcrR family transcriptional regulator,WP_011787471.1,,,,,,Sputw3181_0051,
NC_008750.1,waaA,waaA,SPUTW3181_RS00285,Sputw3181_0052,Protein Homology,65662,66927,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011787472.1,lipid IV(A) 3-deoxy-D-manno-octulosonic acid transferase,WP_011787472.1,GO:0016740,,transferase activity|0016740||IEA,,,Sputw3181_0052,2.4.99.12
NC_008750.1,SPUTW3181_RS00290,,SPUTW3181_RS00290,Sputw3181_0053,Protein Homology,66978,67730,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_006079376.1,3-deoxy-D-manno-octulosonic acid kinase,WP_011787473.1,GO:0016773,,phosphotransferase activity%2C alcohol group as acceptor|0016773||IEA,,,Sputw3181_0053,2.7.1.166
NC_008750.1,SPUTW3181_RS00295,,SPUTW3181_RS00295,Sputw3181_0054,Protein Homology,67829,68872,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011787474.1,glycosyltransferase family 9 protein,WP_011787474.1,GO:0016757,,glycosyltransferase activity|0016757||IEA,,,Sputw3181_0054,2.4.-.-
NC_008750.1,SPUTW3181_RS00300,,SPUTW3181_RS00300,Sputw3181_0055,Protein Homology,68961,70046,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_006084739.1,glycosyltransferase,WP_011787475.1,"GO:0006486,GO:0016757",,glycosyltransferase activity|0016757||IEA,protein glycosylation|0006486||IEA,,Sputw3181_0055,2.4.-.-
NC_008750.1,SPUTW3181_RS00305,,SPUTW3181_RS00305,Sputw3181_0056,Protein Homology,70071,71156,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011787476.1,CDP-glycerol glycerophosphotransferase family protein,WP_283104050.1,"GO:0047355,GO:0016020",membrane|0016020||IEA,CDP-glycerol glycerophosphotransferase activity|0047355||IEA,,,Sputw3181_0056,
NC_008750.1,SPUTW3181_RS21300,,SPUTW3181_RS21300,Sputw3181_0057,Protein Homology,71321,72280,+,,,COORDINATES: protein motif:HMM:NF012745.5,glycosyltransferase family 2 protein,WP_011787477.1,GO:0016757,,glycosyltransferase activity|0016757||IEA,,,Sputw3181_0057,2.4.-.-
NC_008750.1,SPUTW3181_RS00315,,SPUTW3181_RS00315,Sputw3181_0058,Protein Homology,72561,73634,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011787478.1,glycosyltransferase,WP_011787478.1,"GO:0006486,GO:0016757",,glycosyltransferase activity|0016757||IEA,protein glycosylation|0006486||IEA,,Sputw3181_0058,2.4.-.-
NC_008750.1,SPUTW3181_RS00320,,SPUTW3181_RS00320,Sputw3181_0059,Protein Homology,74334,76175,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011787479.1,DUF3413 domain-containing protein,WP_011787479.1,,,,,,Sputw3181_0059,
NC_008750.1,coaD,coaD,SPUTW3181_RS00325,Sputw3181_0060,Protein Homology,76556,77047,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012090652.1,pantetheine-phosphate adenylyltransferase,WP_011787480.1,"GO:0015937,GO:0004595",,pantetheine-phosphate adenylyltransferase activity|0004595||IEA,coenzyme A biosynthetic process|0015937||IEA,,Sputw3181_0060,2.7.7.3
NC_008750.1,SPUTW3181_RS00330,,SPUTW3181_RS00330,Sputw3181_0061,Protein Homology,77138,78613,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012588949.1,capsule assembly Wzi family protein,WP_011787481.1,,,,,,Sputw3181_0061,
NC_008750.1,SPUTW3181_RS00335,,SPUTW3181_RS00335,Sputw3181_0062,Protein Homology,78679,79686,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011787482.1,NAD-dependent epimerase,WP_011787482.1,,,,,,Sputw3181_0062,
NC_008750.1,SPUTW3181_RS00340,,SPUTW3181_RS00340,Sputw3181_0063,Protein Homology,79710,80873,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_006079389.1,nucleotide sugar dehydrogenase,WP_011787483.1,"GO:0000271,GO:0016616,GO:0051287",,"oxidoreductase activity%2C acting on the CH-OH group of donors%2C NAD or NADP as acceptor|0016616||IEA,NAD binding|0051287||IEA",polysaccharide biosynthetic process|0000271||IEA,,Sputw3181_0063,
NC_008750.1,SPUTW3181_RS00345,,SPUTW3181_RS00345,Sputw3181_0064,Protein Homology,81108,81839,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011624605.1,glycosyltransferase family 2 protein,WP_011787484.1,GO:0016757,,glycosyltransferase activity|0016757||IEA,,,Sputw3181_0064,2.4.-.-
NC_008750.1,SPUTW3181_RS00350,,SPUTW3181_RS00350,Sputw3181_0065,Protein Homology,81841,82506,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012090648.1,TVP38/TMEM64 family protein,WP_011787485.1,GO:0016020,membrane|0016020||IEA,,,,Sputw3181_0065,
NC_008750.1,SPUTW3181_RS00355,,SPUTW3181_RS00355,Sputw3181_0066,Protein Homology,82516,84240,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_006084729.1,ArnT family glycosyltransferase,WP_011787486.1,GO:0016757,,glycosyltransferase activity|0016757||IEA,,,Sputw3181_0066,2.4.-.-
NC_008750.1,mutM,mutM,SPUTW3181_RS00360,Sputw3181_0067,Protein Homology,84303,85118,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011627675.1,bifunctional DNA-formamidopyrimidine glycosylase/DNA-(apurinic or apyrimidinic site) lyase,WP_011787487.1,"GO:0006281,GO:0006284,GO:0003676,GO:0003684,GO:0003906,GO:0008270,GO:0008534,GO:0016799,GO:0019104",,"nucleic acid binding|0003676||IEA,damaged DNA binding|0003684||IEA,DNA-(apurinic or apyrimidinic site) endonuclease activity|0003906||IEA,zinc ion binding|0008270||IEA,oxidized purine nucleobase lesion DNA N-glycosylase activity|0008534||IEA,hydrolase activity%2C hydrolyzing N-glycosyl compounds|0016799||IEA,DNA N-glycosylase activity|0019104||IEA","DNA repair|0006281||IEA,base-excision repair|0006284||IEA",,Sputw3181_0067,"3.2.2.23,4.2.99.18"
NC_008750.1,SPUTW3181_RS00365,,SPUTW3181_RS00365,Sputw3181_0068,Protein Homology,85154,85609,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011787488.1,hypothetical protein,WP_011787488.1,,,,,,Sputw3181_0068,
NC_008750.1,moaA,moaA,SPUTW3181_RS00370,Sputw3181_0069,Protein Homology,85700,86683,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_006084726.1,GTP 3'%2C8-cyclase MoaA,WP_011787489.1,"GO:0006777,GO:0046872,GO:0051539",,"metal ion binding|0046872||IEA,4 iron%2C 4 sulfur cluster binding|0051539||IEA",Mo-molybdopterin cofactor biosynthetic process|0006777||IEA,,Sputw3181_0069,4.1.99.22
NC_008750.1,SPUTW3181_RS00375,,SPUTW3181_RS00375,Sputw3181_0070,Protein Homology,86700,88511,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012588943.1,bifunctional molybdopterin-guanine dinucleotide biosynthesis adaptor protein MobB/molybdopterin molybdotransferase MoeA,WP_011787490.1,"GO:0032324,GO:0005525",,GTP binding|0005525||IEA,molybdopterin cofactor biosynthetic process|0032324||IEA,,Sputw3181_0070,
NC_008750.1,mobA,mobA,SPUTW3181_RS00380,Sputw3181_0071,Protein Homology,88548,89138,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012322734.1,molybdenum cofactor guanylyltransferase MobA,WP_011787491.1,"GO:0006777,GO:0003824",,catalytic activity|0003824||IEA,Mo-molybdopterin cofactor biosynthetic process|0006777||IEA,,Sputw3181_0071,2.7.7.77
NC_008750.1,SPUTW3181_RS00385,,SPUTW3181_RS00385,Sputw3181_0072,Protein Homology,89122,89832,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_006079397.1,ATP-binding cassette domain-containing protein,WP_011787492.1,GO:0005524,,ATP binding|0005524||IEA,,,Sputw3181_0072,
