Strain,Protein ID,UniProt Annotation,Prokka Annotation,Predicted Sucellular Localization,COGcategory,"Spectral Counts Per Biovolume, Cells","Spectral Counts Per Biovolume, Vesicles",Log2(vesicle/cell counts)
MIT9312,Q318J9,RL18_PROM9 50S ribosomal protein L18 OS=Prochlorococcus marinus (strain MIT 9312) GN=rplR PE=3 SV=1,50S ribosomal protein L18,Cytoplasm,J,2.45E-08,2.95E-08,0.27040373
MIT9312,Q31BR8,Q31BR8_PROM9 Cell wall hydrolase/autolysin OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0616 PE=4 SV=1,N-acetylmuramoyl-L-alanine amidase,Outside cytoplasm,M,6.20E-09,6.80E-09,0.133386494
MIT9312,Q318I7,RL2_PROM9 50S ribosomal protein L2 OS=Prochlorococcus marinus (strain MIT 9312) GN=rplB PE=3 SV=1,50S ribosomal protein L2,Cytoplasm,J,1.24E-07,1.31E-07,0.076254569
MIT9312,Q31B27,Q31B27_PROM9 cAMP phosphodiesterases class-II-like protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0858 PE=4 SV=1,cAMP phosphodiesterase,Outside cytoplasm,S,4.34E-08,4.56E-08,0.07267508
MIT9312,Q31BK7,"Q31BK7_PROM9 C-terminal processing peptidase-2, Serine peptidase, MEROPS family S41A OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0677 PE=3 SV=1",peptidase S41,Inner membrane,M,7.67E-09,7.71E-09,0.00746753
MIT9312,Q31A79,Q31A79_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1157 PE=4 SV=1,hypothetical protein,Outside cytoplasm,S,1.18E-09,1.18E-09,-0.004810799
MIT9312,Q318I9,RL22_PROM9 50S ribosomal protein L22 OS=Prochlorococcus marinus (strain MIT 9312) GN=rplV PE=3 SV=1,50S ribosomal protein L22,Cytoplasm,J,1.12E-08,1.11E-08,-0.013272379
MIT9312,Q318J8,RL6_PROM9 50S ribosomal protein L6 OS=Prochlorococcus marinus (strain MIT 9312) GN=rplF PE=3 SV=1,50S ribosomal protein L6,Cytoplasm,J,6.67E-08,6.52E-08,-0.032018758
MIT9312,Q31C59,RL19_PROM9 50S ribosomal protein L19 OS=Prochlorococcus marinus (strain MIT 9312) GN=rplS PE=3 SV=2,50S ribosomal protein L19,Cytoplasm,J,4.96E-08,4.72E-08,-0.071198197
MIT9312,Q31B24,Q31B24_PROM9 Serine hydroxymethyltransferase-like protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0861 PE=4 SV=1,serine hydroxymethyltransferase,Cytoplasm,S,2.36E-09,2.22E-09,-0.08727296
MIT9312,Q31CS8,Q31CS8_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0256 PE=4 SV=1,LPS-assembly protein LptD,Outer membrane,S,2.98E-08,2.75E-08,-0.118701766
MIT9312,Q31AB6,Q31AB6_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1120 PE=4 SV=1,putative membrane protein,Unknown,S,1.71E-08,1.36E-08,-0.332277078
MIT9312,Q319E9,Q319E9_PROM9 Outer envelope membrane protein-like protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1436 PE=4 SV=1,chloroplast outer envelope membrane protein,Outer membrane,M,5.73E-08,4.33E-08,-0.403961237
MIT9312,Q31A66,Q31A66_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1170 PE=4 SV=1,hypothetical protein,Outside cytoplasm,S,7.97E-09,5.88E-09,-0.437770207
MIT9312,Q318K4,RL36_PROM9 50S ribosomal protein L36 OS=Prochlorococcus marinus (strain MIT 9312) GN=rpmJ PE=3 SV=1,NA,Unknown,J,1.00E-08,6.93E-09,-0.534278187
MIT9312,Q318N2,RS12_PROM9 30S ribosomal protein S12 OS=Prochlorococcus marinus (strain MIT 9312) GN=rpsL PE=3 SV=1,30S ribosomal protein S12,Cytoplasm,J,1.68E-08,1.06E-08,-0.667775813
MIT9312,Q31AA2,Q31AA2_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1134 PE=4 SV=1,hypothetical protein,Inner membrane,S,4.13E-09,2.48E-09,-0.73416321
MIT9312,Q318J4,RL14_PROM9 50S ribosomal protein L14 OS=Prochlorococcus marinus (strain MIT 9312) GN=rplN PE=3 SV=1,50S ribosomal protein L14,Cytoplasm,J,2.80E-08,1.65E-08,-0.767311486
MIT9312,Q318K6,RS11_PROM9 30S ribosomal protein S11 OS=Prochlorococcus marinus (strain MIT 9312) GN=rpsK PE=3 SV=1,30S ribosomal protein S11,Cytoplasm,J,2.95E-09,1.70E-09,-0.796224178
MIT9312,Q318I6,RL23_PROM9 50S ribosomal protein L23 OS=Prochlorococcus marinus (strain MIT 9312) GN=rplW PE=3 SV=1,50S ribosomal protein L23,Cytoplasm,J,3.10E-08,1.75E-08,-0.822892129
MIT9312,Q31C48,Q31C48_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0486 PE=4 SV=1,hypothetical protein,Unknown,S,7.08E-09,3.92E-09,-0.852807707
MIT9312,Q318I4,RL3_PROM9 50S ribosomal protein L3 OS=Prochlorococcus marinus (strain MIT 9312) GN=rplC PE=3 SV=1,50S ribosomal protein L3,Cytoplasm,J,4.07E-08,2.22E-08,-0.873869321
MIT9312,Q31AA5,Q31AA5_PROM9 Porin-like protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1131 PE=3 SV=1,porin,Extracellular,S,5.19E-07,2.79E-07,-0.898780637
MIT9312,Q31CZ6,Q31CZ6_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0187 PE=4 SV=1,MBL fold metallo-hydrolase,Unknown,S,1.95E-08,1.03E-08,-0.915349172
MIT9312,Q318J6,RL5_PROM9 50S ribosomal protein L5 OS=Prochlorococcus marinus (strain MIT 9312) GN=rplE PE=3 SV=1,50S ribosomal protein L5,Cytoplasm,J,4.37E-08,2.29E-08,-0.932978055
MIT9312,Q318I5,RL4_PROM9 50S ribosomal protein L4 OS=Prochlorococcus marinus (strain MIT 9312) GN=rplD PE=3 SV=1,50S ribosomal protein L4,Cytoplasm,J,4.81E-08,2.51E-08,-0.938501455
MIT9312,Q31BL1,Q31BL1_PROM9 Phosphonate-binding periplasmic protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0673 PE=4 SV=1,phosphate ABC transporter substrate-binding protein,Periplasm,P,2.07E-09,1.05E-09,-0.982090723
MIT9312,Q319E2,RL27_PROM9 50S ribosomal protein L27 OS=Prochlorococcus marinus (strain MIT 9312) GN=rpmA PE=3 SV=1,50S ribosomal protein L27,Cytoplasm,J,1.95E-08,9.81E-09,-0.99031123
MIT9312,Q319V3,Q319V3_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1283 PE=4 SV=1,hypothetical protein,Unknown,S,3.34E-08,1.66E-08,-1.006230077
MIT9312,Q31AI9,Q31AI9_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1047 PE=4 SV=1,hypothetical protein,Unknown,S,2.95E-09,1.44E-09,-1.037232277
MIT9312,Q318W9,Q318W9_PROM9 Protein family PM-24 OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1516 PE=4 SV=1,putative protein family PM-24,Unknown,S,1.83E-08,8.76E-09,-1.062842921
MIT9312,A7FAG4,A7FAG4_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1862 PE=4 SV=1,hypothetical protein,Unknown,S,4.72E-09,2.22E-09,-1.08727296
MIT9312,Q31BY2,Q31BY2_PROM9 Carboxysome shell protein CsoS2 OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0552 PE=4 SV=1,carboxysome shell protein,Cytoplasm,S,1.42E-07,6.32E-08,-1.165747018
MIT9312,Q319J8,MNMA_PROM9 tRNA-specific 2-thiouridylase MnmA OS=Prochlorococcus marinus (strain MIT 9312) GN=mnmA PE=3 SV=1,tRNA 2-thiouridine(34) synthase MnmA,Cytoplasm,J,6.49E-09,2.88E-09,-1.174735801
MIT9312,Q318K1,RL15_PROM9 50S ribosomal protein L15 OS=Prochlorococcus marinus (strain MIT 9312) GN=rplO1 PE=3 SV=1,50S ribosomal protein L15,Cytoplasm,J,3.04E-08,1.24E-08,-1.291380721
MIT9312,Q31BG3,Q31BG3_PROM9 Phosphate-binding protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0722 PE=3 SV=1,phosphate ABC transporter substrate-binding protein PstS,Periplasm,P,3.96E-08,1.53E-08,-1.370460273
MIT9312,Q31AT1,Q31AT1_PROM9 Uncharacterized secreted protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0954 PE=4 SV=1,hypothetical protein,Inner membrane,S,1.06E-08,3.92E-09,-1.437770207
MIT9312,Q31A42,Q31A42_PROM9 Type II secretory pathway component PulD-like protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1194 PE=3 SV=1,type II secretion pathway protein GspD,Outer membrane,U,2.66E-09,9.15E-10,-1.537305881
MIT9312,Q31AT8,RL32_PROM9 50S ribosomal protein L32 OS=Prochlorococcus marinus (strain MIT 9312) GN=rpmF PE=3 SV=1,50S ribosomal protein L32,Unknown,J,3.54E-09,1.18E-09,-1.5897733
MIT9312,Q319J7,Q319J7_PROM9 Apolipoprotein N-acyltransferase OS=Prochlorococcus marinus (strain MIT 9312) GN=lnt PE=3 SV=1,acyltransferase,Inner membrane,M,2.36E-09,7.84E-10,-1.589773301
MIT9312,Q31A11,Q31A11_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1225 PE=4 SV=1,cupin,Outside cytoplasm,S,1.27E-08,3.92E-09,-1.69410996
MIT9312,Q31AV3,RS18_PROM9 30S ribosomal protein S18 OS=Prochlorococcus marinus (strain MIT 9312) GN=rpsR PE=3 SV=1,30S ribosomal protein S18,Cytoplasm,J,2.01E-08,6.01E-09,-1.738636687
MIT9312,Q318E2,"Q318E2_PROM9 Sodium/proton antiporter NhaS3, CPA2 family OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1692 PE=4 SV=1",potassium transporter,Inner membrane,P,1.77E-09,5.23E-10,-1.759698302
MIT9312,Q319V8,Q319V8_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1278 PE=4 SV=1,glycosyl transferase,Inner membrane,M,2.66E-09,7.84E-10,-1.759698302
MIT9312,Q31BY5,Q31BY5_PROM9 Carboxysome shell protein CsoS1 OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0549 PE=4 SV=1,carbon dioxide-concentrating mechanism protein CcmK,Unknown,E,1.36E-07,4.03E-08,-1.759698302
MIT9312,Q31A56,Q31A56_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1180 PE=4 SV=1,putative protein family PM-13,Unknown,S,2.36E-09,6.54E-10,-1.852807707
MIT9312,Q31AA1,Q31AA1_PROM9 Protein family PM-13 OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1135 PE=4 SV=1,putative protein family PM-13,Unknown,S,2.36E-09,6.54E-10,-1.852807707
MIT9312,Q31B76,Q31B76_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0809 PE=4 SV=1,NADH-flavin reductase,Cytoplasm,G,7.08E-09,1.83E-09,-1.95234338
MIT9312,Q31BG5,Q31BG5_PROM9 Putative secreted protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0720 PE=4 SV=1,alkaline phosphatase,Outer membrane,F,8.26E-09,2.09E-09,-1.982090723
MIT9312,Q317Y0,RL20_PROM9 50S ribosomal protein L20 OS=Prochlorococcus marinus (strain MIT 9312) GN=rplT PE=3 SV=1,50S ribosomal protein L20,Cytoplasm,J,1.24E-08,3.14E-09,-1.982090723
MIT9312,Q319E3,RL21_PROM9 50S ribosomal protein L21 OS=Prochlorococcus marinus (strain MIT 9312) GN=rplU PE=3 SV=1,50S ribosomal protein L21,Cytoplasm,J,1.86E-08,4.71E-09,-1.982090724
MIT9312,Q31C98,Q31C98_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0436 PE=4 SV=1,hypothetical protein,Cytoplasm,S,2.66E-09,6.54E-10,-2.022732708
MIT9312,Q318W8,Q318W8_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1517 PE=4 SV=1,putative protein family PM-24,Unknown,S,2.66E-09,6.54E-10,-2.022732708
MIT9312,Q318J0,RS3_PROM9 30S ribosomal protein S3 OS=Prochlorococcus marinus (strain MIT 9312) GN=rpsC PE=3 SV=1,30S ribosomal protein S3,Cytoplasm,J,3.57E-08,8.76E-09,-2.027509848
MIT9312,Q31BY1,Q31BY1_PROM9 Carboxysome shell protein CsoS3 OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0553 PE=4 SV=1,carboxysome shell protein,Cytoplasm,S,1.09E-08,2.48E-09,-2.136261653
MIT9312,Q318K5,RS13_PROM9 30S ribosomal protein S13 OS=Prochlorococcus marinus (strain MIT 9312) GN=rpsM PE=3 SV=1,30S ribosomal protein S13,Cytoplasm,J,3.01E-08,6.41E-09,-2.232451299
MIT9312,Q318L0,RL13_PROM9 50S ribosomal protein L13 OS=Prochlorococcus marinus (strain MIT 9312) GN=rplM PE=3 SV=1,50S ribosomal protein L13,Cytoplasm,J,3.54E-08,7.32E-09,-2.274271475
MIT9312,Q31BY4,RBL_PROM9 Ribulose bisphosphate carboxylase large chain OS=Prochlorococcus marinus (strain MIT 9312) GN=cbbL PE=3 SV=1,ribulose bisphosphate carboxylase large chain,Cytoplasm,G,1.96E-07,3.82E-08,-2.362121772
MIT9312,Q31CR7,Q31CR7_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0267 PE=4 SV=1,DoxX subfamily protein,Inner membrane,S,4.13E-09,7.84E-10,-2.397128223
MIT9312,Q318J7,RS8_PROM9 30S ribosomal protein S8 OS=Prochlorococcus marinus (strain MIT 9312) GN=rpsH PE=3 SV=1,30S ribosomal protein S8,Cytoplasm,J,3.04E-08,5.75E-09,-2.40180471
MIT9312,Q318H4,Q318H4_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1660 PE=4 SV=1,putative membrane protein,Unknown,S,5.02E-09,9.15E-10,-2.45484372
MIT9312,Q319U5,RS14_PROM9 30S ribosomal protein S14 OS=Prochlorococcus marinus (strain MIT 9312) GN=rpsN PE=3 SV=1,30S ribosomal protein S14,Cytoplasm,J,1.71E-08,3.01E-09,-2.50915484
MIT9312,Q318N6,RS10_PROM9 30S ribosomal protein S10 OS=Prochlorococcus marinus (strain MIT 9312) GN=rpsJ PE=3 SV=1,30S ribosomal protein S10,Cytoplasm,J,4.99E-08,8.63E-09,-2.531221118
MIT9312,Q31BC8,Q31BC8_PROM9 DevC protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0757 PE=3 SV=1,ABC transporter,Inner membrane,V,5.31E-09,9.15E-10,-2.53730588
MIT9312,Q319X5,"Q319X5_PROM9 Putative iron ABC transporter, substrate binding protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1261 PE=4 SV=1",iron ABC transporter substrate-binding protein,Periplasm,P,9.15E-09,1.57E-09,-2.543969611
MIT9312,Q31D90,Q31D90_PROM9 PDZ/DHR/GLGF protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0094 PE=4 SV=1,serine protease,Unknown,O,7.97E-09,1.31E-09,-2.607695208
MIT9312,Q31CC9,RS4_PROM9 30S ribosomal protein S4 OS=Prochlorococcus marinus (strain MIT 9312) GN=rpsD PE=3 SV=1,30S ribosomal protein S4,Cytoplasm,J,5.99E-08,9.68E-09,-2.630618353
MIT9312,Q31D79,Q31D79_PROM9 Thioredoxin domain 2 OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0105 PE=4 SV=1,thioredoxin,Inner membrane,S,1.06E-08,1.70E-09,-2.644221084
MIT9312,Q31C20,Q31C20_PROM9 Signal peptidase I OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0514 PE=3 SV=1,S26 family signal peptidase,Inner membrane,U,5.02E-09,7.84E-10,-2.677236142
MIT9312,Q319K4,RS16_PROM9 30S ribosomal protein S16 OS=Prochlorococcus marinus (strain MIT 9312) GN=rpsP PE=3 SV=1,30S ribosomal protein S16,Cytoplasm,J,4.25E-08,6.54E-09,-2.700804613
MIT9312,Q31D83,Q31D83_PROM9 RND family outer membrane efflux protein-like protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0101 PE=4 SV=1,RND transporter,Outer membrane,M,2.30E-08,3.40E-09,-2.759698301
MIT9312,Q31B70,Q31B70_PROM9 Zn-ribbon protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0815 PE=4 SV=1,Zn-ribbon protein,Inner membrane,S,2.66E-09,3.92E-10,-2.759698302
MIT9312,Q31AN3,Q31AN3_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1002 PE=4 SV=1,hypothetical protein,Inner membrane,S,2.66E-09,3.92E-10,-2.759698302
MIT9312,Q31BY3,"Q31BY3_PROM9 Ribulose 1,5-bisphosphate carboxylase small subunit OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0551 PE=4 SV=1",ribulose bisphosphate carboxylase small chain,Unknown,C,2.28E-07,3.20E-08,-2.832422466
MIT9312,Q31BY7,Q31BY7_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0547 PE=4 SV=1,BMC domain-containing protein,Unknown,E,4.72E-09,6.54E-10,-2.852807706
MIT9312,Q31DB8,Q31DB8_PROM9 High light inducible protein-like protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0066 PE=4 SV=1,high light inducible protein,Unknown,S,1.53E-08,1.96E-09,-2.968284924
MIT9312,Q31AZ8,Q31AZ8_PROM9 ABC transporter-like protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0887 PE=3 SV=1,ABC transporter permease,Inner membrane,V,1.59E-08,1.96E-09,-3.022732707
MIT9312,Q318L1,RS9_PROM9 30S ribosomal protein S9 OS=Prochlorococcus marinus (strain MIT 9312) GN=rpsI PE=3 SV=1,30S ribosomal protein S9,Cytoplasm,J,1.42E-08,1.70E-09,-3.059258584
MIT9312,Q318K0,RS5_PROM9 30S ribosomal protein S5 OS=Prochlorococcus marinus (strain MIT 9312) GN=rpsE PE=3 SV=1,30S ribosomal protein S5,Cytoplasm,J,4.72E-08,5.62E-09,-3.070399141
MIT9312,Q318I8,RS19_PROM9 30S ribosomal protein S19 OS=Prochlorococcus marinus (strain MIT 9312) GN=rpsS PE=3 SV=1,30S ribosomal protein S19,Cytoplasm,J,1.74E-08,1.96E-09,-3.150488255
MIT9312,Q31AE6,Q31AE6_PROM9 Villin headpiece domain protein-like protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1090 PE=4 SV=1,Villin headpiece domain-containing protein,Unknown,S,5.90E-09,6.54E-10,-3.174735801
MIT9312,Q318N3,RS7_PROM9 30S ribosomal protein S7 OS=Prochlorococcus marinus (strain MIT 9312) GN=rpsG PE=3 SV=1,30S ribosomal protein S7,Cytoplasm,J,9.24E-08,1.02E-08,-3.179352429
MIT9312,Q31B78,Q31B78_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0807 PE=4 SV=1,glutaredoxin,Cytoplasm,S,1.42E-08,1.44E-09,-3.300266683
MIT9312,Q31BY6,Q31BY6_PROM9 HAM1 family protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0548 PE=4 SV=1,non-canonical purine NTP pyrophosphatase,Cytoplasm,F,1.48E-08,1.44E-09,-3.359160372
MIT9312,Q318B1,Q318B1_PROM9 Magnesium transporter MgtE OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1723 PE=3 SV=1,magnesium transporter,Inner membrane,P,2.42E-08,2.35E-09,-3.362362804
MIT9312,Q31CP2,Q31CP2_PROM9 ATPase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0292 PE=4 SV=1,peptidase S16,Inner membrane,Q,5.61E-09,5.23E-10,-3.422663315
MIT9312,Q319L0,Q319L0_PROM9 Polysaccharide export-related periplasmic protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1375 PE=4 SV=1,polysaccharide export-related periplasmic protein,Unknown,M,3.39E-08,3.14E-09,-3.435263351
MIT9312,Q31A01,Q31A01_PROM9 Secretion protein HlyD OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1235 PE=3 SV=1,hemolysin D,Cytoplasm,V,4.63E-08,4.18E-09,-3.46935655
MIT9312,Q31CU3,Q31CU3_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0241 PE=4 SV=1,putative membrane protein,Inner membrane,S,2.95E-09,2.61E-10,-3.496663896
MIT9312,Q31BZ2,Q31BZ2_PROM9 NADPH-protochlorophyllide oxidoreductase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0542 PE=4 SV=1,protochlorophyllide oxidoreductase,Cytoplasm,H,1.68E-08,1.44E-09,-3.548194197
MIT9312,Q318J2,RL29_PROM9 50S ribosomal protein L29 OS=Prochlorococcus marinus (strain MIT 9312) GN=rpmC PE=3 SV=1,50S ribosomal protein L29,Unknown,J,1.80E-08,1.44E-09,-3.64604152
MIT9312,Q319N0,Q319N0_PROM9 Uncharacterized protein involved in exopolysaccharide biosynthesis-like protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1355 PE=4 SV=1,hypothetical protein,Inner membrane,M,1.06E-08,7.84E-10,-3.759698301
MIT9312,Q31A37,Q31A37_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1199 PE=4 SV=1,pilin,Extracellular,U,1.42E-07,1.03E-08,-3.777845649
MIT9312,Q318X9,Q318X9_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1506 PE=4 SV=1,cupin,Outside cytoplasm,S,7.38E-09,5.23E-10,-3.818591991
MIT9312,Q31A71,"Q31A71_PROM9 Amino acid ABC transporter ATP-binding protein, PAAT family OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1165 PE=4 SV=1",polar amino acid ABC transporter ATP-binding protein,Inner membrane,E,5.61E-09,3.92E-10,-3.837700814
MIT9312,Q319V0,Q319V0_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1286 PE=4 SV=1,ribonuclease P,Unknown,S,1.74E-08,1.18E-09,-3.887453849
MIT9312,Q31D89,Q31D89_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0095 PE=4 SV=1,putative membrane protein,Unknown,S,9.74E-09,6.54E-10,-3.897201826
MIT9312,Q31BU5,Q31BU5_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0589 PE=4 SV=1,hypothetical protein,Outer membrane,S,9.74E-09,6.54E-10,-3.897201826
MIT9312,Q31A55,Q31A55_PROM9 Outer membrane protein-like protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1181 PE=4 SV=1,transporter,Outer membrane,M,3.36E-08,2.22E-09,-3.920162974
MIT9312,Q31BH5,Q31BH5_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0710 PE=4 SV=1,hypothetical protein,Unknown,S,2.07E-09,1.31E-10,-3.982090723
MIT9312,Q317T5,RS6_PROM9 30S ribosomal protein S6 OS=Prochlorococcus marinus (strain MIT 9312) GN=rpsF PE=3 SV=1,30S ribosomal protein S6,Cytoplasm,J,3.10E-08,1.96E-09,-3.982090723
MIT9312,Q319I8,Q319I8_PROM9 Acetylornithine aminotransferase OS=Prochlorococcus marinus (strain MIT 9312) GN=argD PE=3 SV=1,NA,Cytoplasm,E,6.49E-09,3.92E-10,-4.049204919
MIT9312,Q319V5,"Q319V5_PROM9 Signal peptide peptidase A, Serine peptidase, MEROPS family S49 OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1281 PE=4 SV=1",protease,Inner membrane,O,4.34E-08,2.61E-09,-4.052480051
