Supplementary Table S4. Relative enrichment of proteins in vesicles vs. parent cells. Ratios are based on biovolume-normalized protein spectral counts from Trypsin/Lys-C based proteomes only (data from Supplementary Table S2).,,,,,,,,
,,,,,,,,
Strain,Protein ID,UniProt Annotation,Prokka Annotation,Predicted Sucellular Localization,COGcategory,"Spectral Counts Per Biovolume, Cells","Spectral Counts Per Biovolume, Vesicles",Log2(vesicle/cell counts)
MIT9313,Q7V8F8,Q7V8F8_PROMM Cell wall hydrolase/autolysin OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0394 PE=4 SV=1,NA,Unknown,M,4.49E-09,9.70E-09,1.111373015
MIT9312,Q31BG4,Q31BG4_PROM9 Cyanobacterial porin OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0721 PE=3 SV=1,porin,Outer membrane,S,4.72E-09,9.28E-09,0.975011319
MIT9312,Q318J1,RL16_PROM9 50S ribosomal protein L16 OS=Prochlorococcus marinus (strain MIT 9312) GN=rplP PE=3 SV=1,50S ribosomal protein L16,Cytoplasm,J,4.72E-09,8.76E-09,0.891353389
MIT9313,Q7V4S1,Q7V4S1_PROMM Conserved hypothetical OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1874 PE=4 SV=1,hypothetical protein,Outside cytoplasm,S,7.18E-08,1.32E-07,0.87594307
MIT9313,Q7V504,Q7V504_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1778 PE=4 SV=1,hypothetical protein,Inner membrane,S,3.74E-09,6.83E-09,0.869172112
MIT9312,Q318K8,RL17_PROM9 50S ribosomal protein L17 OS=Prochlorococcus marinus (strain MIT 9312) GN=rplQ PE=3 SV=1,50S ribosomal protein L17,Cytoplasm,J,8.56E-09,1.56E-08,0.862100967
MIT9312,Q31AY7,RL28_PROM9 50S ribosomal protein L28 OS=Prochlorococcus marinus (strain MIT 9312) GN=rpmB PE=3 SV=1,50S ribosomal protein L28,Cytoplasm,J,4.13E-09,7.45E-09,0.850799291
MIT9313,Q7V6M0,Q7V6M0_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1134 PE=4 SV=1,hypothetical protein,Periplasm,S,6.73E-09,1.17E-08,0.79489935
MIT9312,Q319X2,Q319X2_PROM9 Porin-like protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1264 PE=3 SV=1,hypothetical protein,Outside cytoplasm,M,2.45E-08,3.87E-08,0.659678133
MIT9312,Q318X0,Q318X0_PROM9 Cyanobacterial porin OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1515 PE=3 SV=1,porin,Inner membrane,M,1.10E-07,1.70E-07,0.633726757
MIT9312,Q317Y1,RL35_PROM9 50S ribosomal protein L35 OS=Prochlorococcus marinus (strain MIT 9312) GN=rpmI PE=3 SV=1,50S ribosomal protein L35,Cytoplasm,J,5.90E-09,9.15E-09,0.632619121
MIT9313,Q7TV82,Q7TV82_PROMM Possible Penicillin amidase OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0038 PE=4 SV=1,penicillin amidase,Outside cytoplasm,S,1.65E-08,2.42E-08,0.558831992
MIT9313,Q7V4B6,Q7V4B6_PROMM Conserved hypothetical OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_2044 PE=4 SV=1,hypothetical protein,Inner membrane,S,2.24E-09,3.31E-09,0.558831991
MIT9313,Q7V5N6,Q7V5N6_PROMM Sulfatase OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1515 PE=4 SV=1,hypothetical protein,Outside cytoplasm,P,3.22E-08,4.25E-08,0.40309618
MIT9313,Q7V6Q3,Q7V6Q3_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1093 PE=4 SV=1,putative membrane protein,Outside cytoplasm,S,9.50E-08,1.20E-07,0.33833163
MIT9312,Q318J9,RL18_PROM9 50S ribosomal protein L18 OS=Prochlorococcus marinus (strain MIT 9312) GN=rplR PE=3 SV=1,50S ribosomal protein L18,Cytoplasm,J,2.45E-08,2.95E-08,0.27040373
MIT9313,Q7V5N4,"Q7V5N4_PROMM Possible ABC transporter, solute binding protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1517 PE=4 SV=1",ABC transporter substrate-binding protein,Periplasm,E,1.14E-07,1.34E-07,0.227443567
MIT9313,Q7V5X2,Q7V5X2_PROMM Chloroplast outer envelope membrane protein homolog OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1413 PE=4 SV=1,chloroplast outer envelope membrane protein,Outer membrane,M,1.58E-07,1.83E-07,0.216244427
MIT9312,Q31BR8,Q31BR8_PROM9 Cell wall hydrolase/autolysin OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0616 PE=4 SV=1,N-acetylmuramoyl-L-alanine amidase,Outside cytoplasm,M,6.20E-09,6.80E-09,0.133386494
MIT9313,Q7V9E3,Q7V9E3_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0006 PE=4 SV=1,pilus assembly protein TadD,Unknown,S,1.05E-08,1.15E-08,0.129988693
MIT9312,Q318I7,RL2_PROM9 50S ribosomal protein L2 OS=Prochlorococcus marinus (strain MIT 9312) GN=rplB PE=3 SV=1,50S ribosomal protein L2,Cytoplasm,J,1.24E-07,1.31E-07,0.076254569
MIT9312,Q31B27,Q31B27_PROM9 cAMP phosphodiesterases class-II-like protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0858 PE=4 SV=1,cAMP phosphodiesterase,Outside cytoplasm,S,4.34E-08,4.56E-08,0.07267508
MIT9312,Q31BK7,"Q31BK7_PROM9 C-terminal processing peptidase-2, Serine peptidase, MEROPS family S41A OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0677 PE=3 SV=1",peptidase S41,Inner membrane,M,7.67E-09,7.71E-09,0.00746753
MIT9312,Q31A79,Q31A79_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1157 PE=4 SV=1,hypothetical protein,Outside cytoplasm,S,1.18E-09,1.18E-09,-0.004810799
MIT9312,Q318I9,RL22_PROM9 50S ribosomal protein L22 OS=Prochlorococcus marinus (strain MIT 9312) GN=rplV PE=3 SV=1,50S ribosomal protein L22,Cytoplasm,J,1.12E-08,1.11E-08,-0.013272379
MIT9313,Q7V426,Q7V426_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_2147 PE=4 SV=1,hypothetical protein,Outside cytoplasm,S,1.87E-08,1.85E-08,-0.01463487
MIT9312,Q318J8,RL6_PROM9 50S ribosomal protein L6 OS=Prochlorococcus marinus (strain MIT 9312) GN=rplF PE=3 SV=1,50S ribosomal protein L6,Cytoplasm,J,6.67E-08,6.52E-08,-0.032018758
MIT9312,Q31C59,RL19_PROM9 50S ribosomal protein L19 OS=Prochlorococcus marinus (strain MIT 9312) GN=rplS PE=3 SV=2,50S ribosomal protein L19,Cytoplasm,J,4.96E-08,4.72E-08,-0.071198197
MIT9312,Q31B24,Q31B24_PROM9 Serine hydroxymethyltransferase-like protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0861 PE=4 SV=1,serine hydroxymethyltransferase,Cytoplasm,S,2.36E-09,2.22E-09,-0.08727296
MIT9312,Q31CS8,Q31CS8_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0256 PE=4 SV=1,LPS-assembly protein LptD,Outer membrane,S,2.98E-08,2.75E-08,-0.118701766
MIT9313,Q7V422,Q7V422_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_2153 PE=4 SV=1,hypothetical protein,Outer membrane,S,6.43E-08,5.86E-08,-0.134078422
MIT9313,Q7V4U8,Q7V4U8_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1841 PE=4 SV=1,LPS-assembly protein LptD,Unknown,S,2.47E-08,2.23E-08,-0.14927874
MIT9313,Q7V9A1,Q7V9A1_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0053 PE=4 SV=1,hypothetical protein,Unknown,S,7.48E-09,5.95E-09,-0.330136696
MIT9312,Q31AB6,Q31AB6_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1120 PE=4 SV=1,putative membrane protein,Unknown,S,1.71E-08,1.36E-08,-0.332277078
MIT9312,Q319E9,Q319E9_PROM9 Outer envelope membrane protein-like protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1436 PE=4 SV=1,chloroplast outer envelope membrane protein,Outer membrane,M,5.73E-08,4.33E-08,-0.403961237
MIT9312,Q31A66,Q31A66_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1170 PE=4 SV=1,hypothetical protein,Outside cytoplasm,S,7.97E-09,5.88E-09,-0.437770207
MIT9313,Q7V8A8,Q7V8A8_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0454 PE=4 SV=1,peptidase,Unknown,O,2.99E-09,2.20E-09,-0.441168008
MIT9313,Q7V5E9,Q7V5E9_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1613 PE=4 SV=1,hypothetical protein,Unknown,S,5.24E-09,3.75E-09,-0.482988184
MIT9312,Q318K4,RL36_PROM9 50S ribosomal protein L36 OS=Prochlorococcus marinus (strain MIT 9312) GN=rpmJ PE=3 SV=1,NA,Unknown,J,1.00E-08,6.93E-09,-0.534278187
MIT9313,Q7TUW4,Q7TUW4_PROMM Possible Ribosomal L29e protein family OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1054 PE=4 SV=1,hypothetical protein,Outside cytoplasm,J,5.24E-09,3.53E-09,-0.570451025
MIT9313,Q7V614,Q7V614_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1367 PE=4 SV=1,hypothetical protein,Unknown,S,2.02E-08,1.30E-08,-0.635340556
MIT9312,Q318N2,RS12_PROM9 30S ribosomal protein S12 OS=Prochlorococcus marinus (strain MIT 9312) GN=rpsL PE=3 SV=1,30S ribosomal protein S12,Cytoplasm,J,1.68E-08,1.06E-08,-0.667775813
MIT9312,Q31AA2,Q31AA2_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1134 PE=4 SV=1,hypothetical protein,Inner membrane,S,4.13E-09,2.48E-09,-0.73416321
MIT9312,Q318J4,RL14_PROM9 50S ribosomal protein L14 OS=Prochlorococcus marinus (strain MIT 9312) GN=rplN PE=3 SV=1,50S ribosomal protein L14,Cytoplasm,J,2.80E-08,1.65E-08,-0.767311486
MIT9312,Q318K6,RS11_PROM9 30S ribosomal protein S11 OS=Prochlorococcus marinus (strain MIT 9312) GN=rpsK PE=3 SV=1,30S ribosomal protein S11,Cytoplasm,J,2.95E-09,1.70E-09,-0.796224178
MIT9313,Q7V5N1,Q7V5N1_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1521 PE=4 SV=1,hypothetical protein,Unknown,S,1.27E-08,7.27E-09,-0.806164825
MIT9312,Q318I6,RL23_PROM9 50S ribosomal protein L23 OS=Prochlorococcus marinus (strain MIT 9312) GN=rplW PE=3 SV=1,50S ribosomal protein L23,Cytoplasm,J,3.10E-08,1.75E-08,-0.822892129
MIT9312,Q31C48,Q31C48_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0486 PE=4 SV=1,hypothetical protein,Unknown,S,7.08E-09,3.92E-09,-0.852807707
MIT9312,Q318I4,RL3_PROM9 50S ribosomal protein L3 OS=Prochlorococcus marinus (strain MIT 9312) GN=rplC PE=3 SV=1,50S ribosomal protein L3,Cytoplasm,J,4.07E-08,2.22E-08,-0.873869321
MIT9313,Q7V7U1,Q7V7U1_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0642 PE=4 SV=1,hypothetical protein,Outer membrane,M,1.50E-08,8.16E-09,-0.875570833
MIT9312,Q31AA5,Q31AA5_PROM9 Porin-like protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1131 PE=3 SV=1,porin,Extracellular,S,5.19E-07,2.79E-07,-0.898780637
MIT9312,Q31CZ6,Q31CZ6_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0187 PE=4 SV=1,MBL fold metallo-hydrolase,Unknown,S,1.95E-08,1.03E-08,-0.915349172
MIT9312,Q318J6,RL5_PROM9 50S ribosomal protein L5 OS=Prochlorococcus marinus (strain MIT 9312) GN=rplE PE=3 SV=1,50S ribosomal protein L5,Cytoplasm,J,4.37E-08,2.29E-08,-0.932978055
MIT9312,Q318I5,RL4_PROM9 50S ribosomal protein L4 OS=Prochlorococcus marinus (strain MIT 9312) GN=rplD PE=3 SV=1,50S ribosomal protein L4,Cytoplasm,J,4.81E-08,2.51E-08,-0.938501455
MIT9313,Q7TUQ6,Q7TUQ6_PROMM Possible Protein phosphatase 2C OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1619 PE=4 SV=1,protein phosphatase,Extracellular,S,2.81E-07,1.46E-07,-0.943155482
MIT9313,Q7V8Q0,Q7V8Q0_PROMM Possible porin OS=Prochlorococcus marinus (strain MIT 9313) GN=som PE=3 SV=1,porin,Outside cytoplasm,M,1.29E-07,6.61E-08,-0.96890564
MIT9313,Q7V569,Q7V569_PROMM Possible N-acetylmuramoyl-L-alanine amidase OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1705 PE=4 SV=1,N-acetylmuramoyl-L-alanine amidase,Unknown,S,8.23E-09,4.19E-09,-0.974600208
MIT9312,Q31BL1,Q31BL1_PROM9 Phosphonate-binding periplasmic protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0673 PE=4 SV=1,phosphate ABC transporter substrate-binding protein,Periplasm,P,2.07E-09,1.05E-09,-0.982090723
MIT9312,Q319E2,RL27_PROM9 50S ribosomal protein L27 OS=Prochlorococcus marinus (strain MIT 9312) GN=rpmA PE=3 SV=1,50S ribosomal protein L27,Cytoplasm,J,1.95E-08,9.81E-09,-0.99031123
MIT9312,Q319V3,Q319V3_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1283 PE=4 SV=1,hypothetical protein,Unknown,S,3.34E-08,1.66E-08,-1.006230077
MIT9313,Q7V416,"Q7V416_PROMM Possible Tripartite transporter component (TRAP-T family), substrate binding protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_2161 PE=3 SV=1",C4-dicarboxylate ABC transporter,Unknown,Q,2.24E-09,1.10E-09,-1.026130509
MIT9313,Q7V8B8,Q7V8B8_PROMM Conserved hypothetical OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0441 PE=4 SV=1,hypothetical protein,Unknown,S,8.98E-09,4.41E-09,-1.026130509
MIT9312,Q31AI9,Q31AI9_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1047 PE=4 SV=1,hypothetical protein,Unknown,S,2.95E-09,1.44E-09,-1.037232277
MIT9312,Q318W9,Q318W9_PROM9 Protein family PM-24 OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1516 PE=4 SV=1,putative protein family PM-24,Unknown,S,1.83E-08,8.76E-09,-1.062842921
MIT9313,Q7V8P8,"Q7V8P8_PROMM Putative iron ABC transporter, substrate binding protein OS=Prochlorococcus marinus (strain MIT 9313) GN=futA1,sfuA PE=4 SV=1",iron ABC transporter substrate-binding protein,Periplasm,P,1.37E-07,6.48E-08,-1.079123597
MIT9312,A7FAG4,A7FAG4_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1862 PE=4 SV=1,hypothetical protein,Unknown,S,4.72E-09,2.22E-09,-1.08727296
MIT9313,Q7V676,Q7V676_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1297 PE=4 SV=1,glutamyl-tRNA(Gln) amidotransferase subunit A,Cytoplasm,J,5.24E-09,2.42E-09,-1.111019406
MIT9313,Q7V8B6,Q7V8B6_PROMM Conserved hypothetical OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0443 PE=4 SV=1,hypothetical protein,Unknown,S,1.35E-08,6.17E-09,-1.125666182
MIT9312,Q31BY2,Q31BY2_PROM9 Carboxysome shell protein CsoS2 OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0552 PE=4 SV=1,carboxysome shell protein,Cytoplasm,S,1.42E-07,6.32E-08,-1.165747018
MIT9312,Q319J8,MNMA_PROM9 tRNA-specific 2-thiouridylase MnmA OS=Prochlorococcus marinus (strain MIT 9312) GN=mnmA PE=3 SV=1,tRNA 2-thiouridine(34) synthase MnmA,Cytoplasm,J,6.49E-09,2.88E-09,-1.174735801
MIT9313,Q7V6Z2,Q7V6Z2_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0985 PE=4 SV=1,hypothetical protein,Inner membrane,S,2.09E-08,9.26E-09,-1.178133602
MIT9313,Q7V495,Q7V495_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_2068 PE=4 SV=1,Inactivated Zn-dependent hydrolase of the beta-lactamase fold protein,Inner membrane,S,1.15E-07,5.09E-08,-1.178133603
MIT9313,Q7V4H2,Q7V4H2_PROMM Possible porin OS=Prochlorococcus marinus (strain MIT 9313) GN=som PE=3 SV=1,porin,Extracellular,M,3.43E-07,1.49E-07,-1.201420455
MIT9313,Q7V5N0,Q7V5N0_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1522 PE=4 SV=1,hypothetical protein,Outside cytoplasm,S,2.77E-08,1.15E-08,-1.272109751
MIT9312,Q318K1,RL15_PROM9 50S ribosomal protein L15 OS=Prochlorococcus marinus (strain MIT 9312) GN=rplO1 PE=3 SV=1,50S ribosomal protein L15,Cytoplasm,J,3.04E-08,1.24E-08,-1.291380721
MIT9313,Q7V8Y9,Q7V8Y9_PROMM Possible RND family outer membrane efflux protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0182 PE=4 SV=1,RND transporter,Outer membrane,M,1.95E-08,7.71E-09,-1.334252804
MIT9312,Q31BG3,Q31BG3_PROM9 Phosphate-binding protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0722 PE=3 SV=1,phosphate ABC transporter substrate-binding protein PstS,Periplasm,P,3.96E-08,1.53E-08,-1.370460273
MIT9312,Q31AT1,Q31AT1_PROM9 Uncharacterized secreted protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0954 PE=4 SV=1,hypothetical protein,Inner membrane,S,1.06E-08,3.92E-09,-1.437770207
MIT9313,B9ES51,B9ES51_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_2666 PE=4 SV=1,hypothetical protein,Unknown,S,1.65E-08,5.73E-09,-1.522088003
MIT9313,Q7V3Y3,"Q7V3Y3_PROMM ABC transporter, substrate binding protein, possibly Mn OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_2203 PE=3 SV=1",ABC transporter substrate-binding protein,Inner membrane,P,1.72E-08,5.95E-09,-1.531770557
MIT9313,Q7V8A3,Q7V8A3_PROMM Conserved hypothetical OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0459 PE=4 SV=1,hypothetical protein,Outside cytoplasm,S,4.41E-08,1.52E-08,-1.537214696
MIT9312,Q31A42,Q31A42_PROM9 Type II secretory pathway component PulD-like protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1194 PE=3 SV=1,type II secretion pathway protein GspD,Outer membrane,U,2.66E-09,9.15E-10,-1.537305881
MIT9313,Q7V819,"Q7V819_PROMM ABC transporter substrate binding protein, glycine betaine/proline family OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0555 PE=4 SV=1",glycine/betaine ABC transporter substrate-binding protein,Outside cytoplasm,E,1.50E-08,5.07E-09,-1.561462242
MIT9312,Q31AT8,RL32_PROM9 50S ribosomal protein L32 OS=Prochlorococcus marinus (strain MIT 9312) GN=rpmF PE=3 SV=1,50S ribosomal protein L32,Unknown,J,3.54E-09,1.18E-09,-1.5897733
MIT9312,Q319J7,Q319J7_PROM9 Apolipoprotein N-acyltransferase OS=Prochlorococcus marinus (strain MIT 9312) GN=lnt PE=3 SV=1,acyltransferase,Inner membrane,M,2.36E-09,7.84E-10,-1.589773301
MIT9312,Q31A11,Q31A11_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1225 PE=4 SV=1,cupin,Outside cytoplasm,S,1.27E-08,3.92E-09,-1.69410996
MIT9313,Q7V5L7,Q7V5L7_PROMM Conserved hypothetical OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1536 PE=4 SV=1,hypothetical protein,Outside cytoplasm,S,9.13E-08,2.78E-08,-1.716553517
MIT9312,Q31AV3,RS18_PROM9 30S ribosomal protein S18 OS=Prochlorococcus marinus (strain MIT 9312) GN=rpsR PE=3 SV=1,30S ribosomal protein S18,Cytoplasm,J,2.01E-08,6.01E-09,-1.738636687
MIT9312,Q318E2,"Q318E2_PROM9 Sodium/proton antiporter NhaS3, CPA2 family OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1692 PE=4 SV=1",potassium transporter,Inner membrane,P,1.77E-09,5.23E-10,-1.759698302
MIT9312,Q319V8,Q319V8_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1278 PE=4 SV=1,glycosyl transferase,Inner membrane,M,2.66E-09,7.84E-10,-1.759698302
MIT9312,Q31BY5,Q31BY5_PROM9 Carboxysome shell protein CsoS1 OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0549 PE=4 SV=1,carbon dioxide-concentrating mechanism protein CcmK,Unknown,E,1.36E-07,4.03E-08,-1.759698302
MIT9313,Q7V7U9,Q7V7U9_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0634 PE=4 SV=1,cupin,Unknown,S,2.99E-09,8.82E-10,-1.763096103
MIT9313,Q7V3V9,"Q7V3V9_PROMM Putative urea ABC transporter, substrate binding protein OS=Prochlorococcus marinus (strain MIT 9313) GN=urtA PE=4 SV=1",urea ABC transporter substrate-binding protein,Unknown,E,4.26E-08,1.23E-08,-1.788631196
MIT9313,Q7V6X7,Q7V6X7_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1004 PE=4 SV=1,cupin,Unknown,S,2.77E-08,7.94E-09,-1.802624467
MIT9312,Q31A56,Q31A56_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1180 PE=4 SV=1,putative protein family PM-13,Unknown,S,2.36E-09,6.54E-10,-1.852807707
MIT9312,Q31AA1,Q31AA1_PROM9 Protein family PM-13 OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1135 PE=4 SV=1,putative protein family PM-13,Unknown,S,2.36E-09,6.54E-10,-1.852807707
MIT9313,Q7TUR6,"Q7TUR6_PROMM Serine proteases, trypsin family OS=Prochlorococcus marinus (strain MIT 9313) GN=hhoA PE=4 SV=1",serine protease,Periplasm,O,2.39E-08,6.61E-09,-1.856205508
MIT9313,Q7V5Z2,Q7V5Z2_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1391 PE=4 SV=1,hypothetical protein,Outside cytoplasm,S,5.09E-08,1.39E-08,-1.873279021
MIT9312,Q31B76,Q31B76_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0809 PE=4 SV=1,NADH-flavin reductase,Cytoplasm,G,7.08E-09,1.83E-09,-1.95234338
MIT9313,Q7V5L9,Q7V5L9_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1534 PE=4 SV=1,hypothetical protein,Outside cytoplasm,S,5.99E-09,1.54E-09,-1.955741182
MIT9312,Q31BG5,Q31BG5_PROM9 Putative secreted protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0720 PE=4 SV=1,alkaline phosphatase,Outer membrane,F,8.26E-09,2.09E-09,-1.982090723
MIT9312,Q317Y0,RL20_PROM9 50S ribosomal protein L20 OS=Prochlorococcus marinus (strain MIT 9312) GN=rplT PE=3 SV=1,50S ribosomal protein L20,Cytoplasm,J,1.24E-08,3.14E-09,-1.982090723
MIT9312,Q319E3,RL21_PROM9 50S ribosomal protein L21 OS=Prochlorococcus marinus (strain MIT 9312) GN=rplU PE=3 SV=1,50S ribosomal protein L21,Cytoplasm,J,1.86E-08,4.71E-09,-1.982090724
